[ 0.83 0.40 0.31 0.29 0.17 0.95 0.33 0.66 0.37 0.49 1.00 0.35 0.90 0.89 0.72 0.36 0.24 0.56 0.98 0.88 0.42 0.43 0.62 0.79 0.80 0.16 0.63 0.83 0.93 0.61 0.22 0.15 0.84 0.55 0.94 0.92 0.65 0.62 0.85 0.51 0.25 0.00 0.73 0.68 0.90 0.50 0.87 0.66 0.45 0.79 0.80 0.65 0.42 0.56 0.54 0.89 0.37 0.04 0.60 0.84 0.18 0.66 0.80 ]
[ 0.98 0.71 0.49 0.25 0.98 0.74 0.80 0.82 0.17 0.65 0.35 1.00 0.51 0.69 0.60 0.22 0.94 0.79 0.34 0.90 0.82 0.43 0.72 0.32 0.18 0.89 0.46 0.30 0.55 0.91 0.63 0.94 0.15 0.49 0.82 0.73 0.50 0.24 0.34 0.02 0.61 0.86 0.57 0.18 0.89 0.41 0.78 0.34 0.92 0.25 0.56 0.37 0.29 0.44 0.72 0.97 0.99 0.08 0.24 0.62 0.17 0.42 0.15 ]
[ 0.51 0.96 0.27 0.37 0.50 0.28 0.32 0.94 0.93 0.68 0.90 0.51 1.00 0.72 0.06 0.73 0.14 0.21 0.56 0.55 0.16 0.76 0.28 0.92 0.17 0.96 0.27 0.84 0.97 0.57 0.67 0.27 0.55 0.70 0.68 0.54 0.64 0.64 0.76 0.30 0.33 0.99 0.19 0.94 0.11 0.16 0.59 0.27 0.47 0.40 0.90 1.00 0.40 0.78 0.12 0.23 0.19 0.93 0.85 0.82 0.35 0.35 0.03 ]
[ 0.88 0.42 0.26 0.37 0.19 0.35 0.16 0.17 0.77 0.93 0.89 0.69 0.72 1.00 0.22 0.91 0.74 0.91 0.96 0.93 0.82 0.66 0.46 0.87 0.78 0.86 0.99 0.97 0.31 0.10 0.94 0.12 0.71 0.36 0.79 0.24 0.28 0.99 0.59 0.94 0.35 0.41 0.81 0.92 0.29 0.51 0.35 0.04 0.50 0.56 0.06 0.04 0.55 0.89 0.90 0.96 0.46 0.13 0.36 0.56 0.93 0.37 0.44 ]
[ 0.95 0.24 0.85 0.74 0.97 0.06 0.52 0.42 0.88 0.86 0.72 0.60 0.06 0.22 1.00 0.77 0.88 0.38 0.28 0.03 0.73 0.00 0.26 0.63 0.96 0.57 0.22 0.65 0.48 0.79 0.31 0.26 0.64 0.48 0.97 0.53 0.14 0.52 0.35 0.73 1.00 0.26 0.42 0.63 0.63 0.24 0.22 0.86 0.79 0.24 0.95 0.36 0.95 0.60 0.85 0.83 0.14 0.24 0.16 0.25 0.91 0.58 0.93 ]
[ 0.53 0.31 0.55 0.20 0.24 0.87 0.85 0.34 0.49 0.35 0.36 0.22 0.73 0.91 0.77 1.00 0.37 0.89 0.30 0.87 0.46 0.38 0.65 0.94 0.91 0.73 0.97 0.38 0.08 0.29 0.32 0.74 0.33 0.16 1.00 0.83 0.77 0.93 0.62 0.89 0.93 0.57 0.81 0.33 0.61 0.00 0.79 0.92 0.49 0.92 0.52 0.80 0.49 0.92 0.79 0.42 0.20 0.56 0.92 0.95 0.27 0.54 0.41 ]
[ 0.08 0.44 0.82 0.81 0.93 0.14 0.63 0.60 0.41 0.10 0.24 0.94 0.14 0.74 0.88 0.37 1.00 0.54 0.56 0.71 0.95 0.19 0.99 0.31 0.17 0.75 0.23 0.51 0.99 0.50 0.37 0.03 0.86 0.00 0.10 0.38 0.92 0.75 0.17 0.98 0.42 0.68 0.56 1.00 0.25 0.95 0.92 0.47 0.97 0.63 0.16 0.34 0.21 0.20 0.49 0.15 0.00 0.11 0.82 0.90 0.22 0.96 0.85 ]
[ 0.92 0.14 0.38 0.21 0.52 0.48 0.98 0.77 0.59 0.80 0.56 0.79 0.21 0.91 0.38 0.89 0.54 1.00 0.12 0.34 0.98 0.86 0.18 0.99 0.57 0.61 0.20 0.77 0.77 0.70 0.81 0.97 0.89 0.27 0.83 0.21 0.88 0.65 0.60 0.00 0.31 0.20 0.12 0.94 0.50 0.45 0.44 0.52 0.53 0.04 0.89 0.63 0.99 0.74 0.92 0.59 0.34 0.45 0.36 0.66 0.51 0.53 0.92 ]
[ 0.00 0.20 0.03 0.51 0.70 0.55 0.54 0.52 0.66 0.00 0.98 0.34 0.56 0.96 0.28 0.30 0.56 0.12 1.00 0.18 0.42 0.00 0.95 0.36 0.85 0.60 0.94 0.98 0.45 0.63 0.98 0.31 0.33 0.30 0.97 0.30 0.63 0.46 0.58 0.87 0.13 0.98 0.82 0.63 0.05 0.78 0.22 0.74 0.51 0.52 0.40 0.88 0.04 0.91 0.40 0.93 0.91 0.60 0.25 0.67 0.63 0.58 0.69 ]
[ 0.83 0.51 0.01 0.97 0.41 0.33 0.86 0.19 0.35 0.88 0.88 0.90 0.55 0.93 0.03 0.87 0.71 0.34 0.18 1.00 0.87 0.08 0.59 0.42 0.99 0.45 0.54 0.79 0.16 0.92 0.60 1.00 0.19 0.16 0.92 0.23 0.86 0.32 0.50 0.51 0.36 0.96 0.66 0.80 0.81 0.43 0.17 0.00 0.21 0.99 0.92 0.76 0.72 0.90 0.16 0.85 0.88 0.28 0.63 0.15 0.70 0.73 0.46 ]
[ 0.21 0.79 0.65 0.69 0.99 0.52 0.56 0.54 0.20 0.91 0.42 0.82 0.16 0.82 0.73 0.46 0.95 0.98 0.42 0.87 1.00 0.37 0.89 0.34 0.17 0.70 0.60 0.40 0.17 0.21 0.38 0.38 0.02 0.47 0.67 0.33 0.92 0.96 0.98 0.91 0.87 0.66 0.36 0.45 0.47 0.56 0.70 0.72 0.89 0.69 0.53 0.27 0.57 0.66 0.74 0.05 0.41 0.66 0.25 0.15 0.61 0.42 0.50 ]
[ 0.83 0.43 0.32 0.61 0.34 0.04 0.49 0.97 0.56 0.98 0.43 0.43 0.76 0.66 0.00 0.38 0.19 0.86 0.00 0.08 0.37 1.00 0.90 0.47 0.66 0.02 0.85 0.69 0.29 0.98 0.09 0.58 0.14 0.47 0.41 0.08 0.54 0.81 0.68 0.84 0.42 0.42 0.75 0.87 0.69 0.57 0.34 0.61 0.84 0.26 0.30 0.22 0.96 0.95 0.45 0.81 0.68 0.88 0.49 0.95 0.05 0.57 0.49 ]
[ 0.61 0.56 0.86 0.68 0.94 0.22 0.36 0.60 0.26 0.18 0.62 0.72 0.28 0.46 0.26 0.65 0.99 0.18 0.95 0.59 0.89 0.90 1.00 0.97 0.90 0.73 0.61 0.90 0.82 0.72 0.60 0.28 0.22 0.85 0.65 0.73 0.82 0.61 0.63 0.99 0.46 0.59 0.62 0.92 0.85 0.85 0.18 0.18 0.56 0.65 0.67 0.90 0.15 0.24 0.48 0.64 0.97 0.16 0.38 0.01 0.96 0.83 0.35 ]
[ 0.42 0.33 0.08 0.62 0.40 0.35 0.79 0.92 0.29 0.00 0.79 0.32 0.92 0.87 0.63 0.94 0.31 0.99 0.36 0.42 0.34 0.47 0.97 1.00 0.78 0.20 0.27 0.27 0.92 0.50 0.71 0.63 0.77 0.73 0.81 0.40 0.92 0.23 0.98 0.07 0.35 0.42 0.39 0.82 0.63 0.92 0.45 0.84 0.59 0.31 0.82 0.56 0.10 0.77 0.22 0.35 0.76 0.73 0.03 0.86 0.32 0.44 0.61 ]
[ 0.09 0.71 0.89 0.86 0.66 0.22 0.86 0.45 0.48 0.69 0.80 0.18 0.17 0.78 0.96 0.91 0.17 0.57 0.85 0.99 0.17 0.66 0.90 0.78 1.00 0.15 0.29 0.98 0.71 0.09 0.24 0.85 0.73 0.94 0.83 0.14 0.89 0.24 0.48 0.88 0.80 0.44 0.43 0.36 0.62 0.62 0.43 0.17 0.83 0.99 0.87 0.87 0.71 0.73 0.72 0.91 0.27 0.77 0.19 0.97 0.87 0.53 0.02 ]
[ 0.41 0.68 0.79 0.98 0.92 0.36 0.95 0.42 0.24 0.35 0.16 0.89 0.96 0.86 0.57 0.73 0.75 0.61 0.60 0.45 0.70 0.02 0.73 0.20 0.15 1.00 0.67 0.31 0.18 0.52 0.95 0.47 0.57 0.50 0.17 0.97 0.31 0.22 0.56 0.07 0.65 0.00 0.47 0.79 0.96 0.61 0.79 0.42 0.56 0.78 0.63 0.42 0.71 0.96 0.73 0.34 0.94 0.95 0.54 0.88 0.97 0.30 0.75 ]
[ 0.59 0.85 0.30 0.52 0.83 0.55 0.62 0.89 0.36 0.83 0.63 0.46 0.27 0.99 0.22 0.97 0.23 0.20 0.94 0.54 0.60 0.85 0.61 0.27 0.29 0.67 1.00 0.02 0.33 0.17 0.58 0.53 0.95 0.88 0.26 0.91 0.90 0.75 0.61 0.30 0.79 0.29 0.17 0.30 0.41 0.32 0.00 0.70 0.35 0.94 0.29 0.28 0.49 0.97 0.80 0.58 0.70 0.58 0.21 0.97 0.38 0.94 0.61 ]
[ 0.82 0.37 0.96 0.91 0.93 0.82 0.13 0.80 0.76 0.77 0.83 0.30 0.84 0.97 0.65 0.38 0.51 0.77 0.98 0.79 0.40 0.69 0.90 0.27 0.98 0.31 0.02 1.00 0.64 0.46 0.64 0.46 0.57 0.27 0.90 0.36 0.50 0.85 0.95 0.20 0.92 0.07 0.11 0.50 0.17 0.67 0.56 0.09 0.23 0.94 0.76 0.43 0.15 0.50 0.51 0.21 0.14 0.86 0.94 0.86 0.93 0.41 0.16 ]
[ 0.85 0.52 0.92 0.03 0.86 0.75 0.67 0.46 0.18 0.97 0.93 0.55 0.97 0.31 0.48 0.08 0.99 0.77 0.45 0.16 0.17 0.29 0.82 0.92 0.71 0.18 0.33 0.64 1.00 0.35 0.68 0.56 0.72 0.16 0.44 0.49 0.21 0.79 0.22 0.66 0.55 0.41 0.95 0.30 0.66 0.12 0.44 0.24 0.41 0.18 0.61 0.64 0.22 0.72 0.57 0.80 0.90 0.35 0.18 0.62 0.16 0.33 0.74 ]
[ 0.46 0.97 0.96 0.65 0.31 0.69 0.90 0.77 0.33 0.50 0.61 0.91 0.57 0.10 0.79 0.29 0.50 0.70 0.63 0.92 0.21 0.98 0.72 0.50 0.09 0.52 0.17 0.46 0.35 1.00 0.95 0.93 0.15 0.31 0.80 0.38 0.52 0.35 0.23 0.69 0.60 0.78 0.56 0.69 0.38 0.88 0.74 0.95 0.99 0.54 0.30 0.57 0.97 0.88 0.08 0.37 0.72 0.92 0.24 0.89 0.98 0.91 0.88 ]
[ 0.98 0.88 0.45 0.72 0.83 0.95 0.66 0.99 0.32 0.24 0.22 0.63 0.67 0.94 0.31 0.32 0.37 0.81 0.98 0.60 0.38 0.09 0.60 0.71 0.24 0.95 0.58 0.64 0.68 0.95 1.00 0.93 0.85 0.00 0.84 0.83 0.50 0.65 0.28 0.88 0.32 0.44 0.79 0.72 0.25 0.49 0.90 0.52 0.00 0.53 0.24 0.53 0.61 0.95 0.80 0.77 0.78 0.05 0.92 0.21 0.26 0.65 0.00 ]
[ 0.46 0.68 0.53 0.94 0.42 0.19 0.47 0.33 0.00 0.83 0.15 0.94 0.27 0.12 0.26 0.74 0.03 0.97 0.31 1.00 0.38 0.58 0.28 0.63 0.85 0.47 0.53 0.46 0.56 0.93 0.93 1.00 0.67 0.18 0.94 0.16 0.27 0.91 0.55 0.74 0.83 0.25 0.02 0.84 0.92 0.90 0.80 0.51 0.00 0.55 0.48 0.56 0.40 0.09 0.22 0.22 0.64 0.48 0.85 0.88 0.90 0.92 0.40 ]
[ 0.57 0.09 0.36 0.57 0.26 0.86 0.59 0.00 0.58 0.96 0.84 0.15 0.55 0.71 0.64 0.33 0.86 0.89 0.33 0.19 0.02 0.14 0.22 0.77 0.73 0.57 0.95 0.57 0.72 0.15 0.85 0.67 1.00 0.64 0.27 0.56 0.47 0.98 0.64 0.86 0.30 0.24 0.17 0.87 0.92 0.28 0.69 0.85 0.99 0.26 0.99 0.68 0.79 0.30 0.24 0.06 0.46 0.34 0.87 0.93 0.96 0.43 0.38 ]
[ 0.49 0.47 0.61 0.22 0.68 0.08 0.58 0.24 0.71 0.84 0.55 0.49 0.70 0.36 0.48 0.16 0.00 0.27 0.30 0.16 0.47 0.47 0.85 0.73 0.94 0.50 0.88 0.27 0.16 0.31 0.00 0.18 0.64 1.00 0.61 0.21 0.39 0.53 0.92 0.66 0.20 0.99 0.29 1.00 0.75 0.77 0.64 0.86 0.27 0.50 0.59 0.59 0.59 0.21 0.59 0.67 0.95 0.27 0.86 0.39 0.00 0.31 0.84 ]
[ 0.30 0.64 0.27 0.44 0.63 0.23 0.82 0.57 0.99 0.56 0.94 0.82 0.68 0.79 0.97 1.00 0.10 0.83 0.97 0.92 0.67 0.41 0.65 0.81 0.83 0.17 0.26 0.90 0.44 0.80 0.84 0.94 0.27 0.61 1.00 0.90 0.85 0.57 0.41 0.49 0.00 0.61 0.78 0.04 0.84 0.37 0.97 0.90 0.89 0.40 0.57 0.80 0.33 0.00 0.87 0.92 0.43 0.32 0.30 0.22 0.51 0.26 0.73 ]
[ 0.89 0.94 0.01 0.62 0.61 0.86 0.65 0.84 0.46 0.00 0.92 0.73 0.54 0.24 0.53 0.83 0.38 0.21 0.30 0.23 0.33 0.08 0.73 0.40 0.14 0.97 0.91 0.36 0.49 0.38 0.83 0.16 0.56 0.21 0.90 1.00 0.83 0.72 0.38 0.28 0.39 0.72 0.27 0.19 0.52 1.00 0.36 0.36 0.85 0.91 0.48 0.11 0.30 0.17 0.14 0.86 0.21 0.35 0.74 0.79 0.97 0.00 0.22 ]
[ 0.91 0.60 0.79 0.02 0.93 0.87 0.00 0.85 0.88 0.34 0.65 0.50 0.64 0.28 0.14 0.77 0.92 0.88 0.63 0.86 0.92 0.54 0.82 0.92 0.89 0.31 0.90 0.50 0.21 0.52 0.50 0.27 0.47 0.39 0.85 0.83 1.00 0.46 0.22 0.80 0.96 0.85 0.43 0.88 0.92 0.17 0.50 0.85 0.70 0.62 0.88 0.36 0.94 0.70 0.16 0.16 0.78 0.79 0.93 0.31 0.93 0.68 0.29 ]
[ 0.51 0.09 0.85 0.80 0.69 0.22 0.29 0.91 0.24 0.20 0.62 0.24 0.64 0.99 0.52 0.93 0.75 0.65 0.46 0.32 0.96 0.81 0.61 0.23 0.24 0.22 0.75 0.85 0.79 0.35 0.65 0.91 0.98 0.53 0.57 0.72 0.46 1.00 0.97 0.26 0.24 0.16 0.59 0.27 0.91 0.24 0.80 0.06 0.38 0.83 0.14 0.72 0.54 0.48 0.84 0.72 1.00 0.93 0.48 0.15 0.78 0.31 0.27 ]
[ 0.87 0.19 0.19 0.98 0.12 0.00 0.87 0.29 0.24 0.79 0.85 0.34 0.76 0.59 0.35 0.62 0.17 0.60 0.58 0.50 0.98 0.68 0.63 0.98 0.48 0.56 0.61 0.95 0.22 0.23 0.28 0.55 0.64 0.92 0.41 0.38 0.22 0.97 1.00 0.10 0.93 0.19 0.26 0.26 0.77 0.19 0.32 0.84 0.64 0.97 0.89 0.85 0.99 1.00 0.76 0.10 0.90 0.77 0.55 0.88 0.95 0.37 0.23 ]
[ 0.00 0.56 0.36 0.88 0.57 0.41 0.81 0.35 0.87 0.48 0.51 0.02 0.30 0.94 0.73 0.89 0.98 0.00 0.87 0.51 0.91 0.84 0.99 0.07 0.88 0.07 0.30 0.20 0.66 0.69 0.88 0.74 0.86 0.66 0.49 0.28 0.80 0.26 0.10 1.00 0.24 0.74 0.84 0.68 0.33 0.34 0.74 0.80 0.93 0.27 0.65 0.50 0.28 0.26 0.20 0.12 0.21 0.87 0.67 0.22 0.57 0.89 0.93 ]
[ 0.54 0.61 0.47 0.50 0.70 0.34 0.67 0.78 0.18 0.98 0.25 0.61 0.33 0.35 1.00 0.93 0.42 0.31 0.13 0.36 0.87 0.42 0.46 0.35 0.80 0.65 0.79 0.92 0.55 0.60 0.32 0.83 0.30 0.20 0.00 0.39 0.96 0.24 0.93 0.24 1.00 0.14 0.91 0.51 0.74 0.18 0.27 0.93 0.48 0.46 0.83 0.60 0.47 0.64 0.86 0.50 0.24 0.95 0.93 0.63 0.88 0.91 0.79 ]
[ 0.72 0.85 0.75 0.88 0.36 0.11 0.44 0.35 0.94 0.79 0.00 0.86 0.99 0.41 0.26 0.57 0.68 0.20 0.98 0.96 0.66 0.42 0.59 0.42 0.44 0.00 0.29 0.07 0.41 0.78 0.44 0.25 0.24 0.99 0.61 0.72 0.85 0.16 0.19 0.74 0.14 1.00 0.58 0.32 0.81 0.59 0.80 0.37 0.25 0.56 0.85 0.19 0.89 0.76 0.99 0.62 0.92 0.31 0.82 0.22 0.63 0.92 0.12 ]
[ 0.76 0.78 0.09 0.22 0.91 0.59 0.85 0.55 0.51 0.14 0.73 0.57 0.19 0.81 0.42 0.81 0.56 0.12 0.82 0.66 0.36 0.75 0.62 0.39 0.43 0.47 0.17 0.11 0.95 0.56 0.79 0.02 0.17 0.29 0.78 0.27 0.43 0.59 0.26 0.84 0.91 0.58 1.00 0.88 0.30 0.56 0.53 0.79 0.30 0.96 0.74 0.47 1.00 0.38 0.25 0.75 0.26 0.45 0.25 0.79 0.48 0.56 0.24 ]
[ 0.44 0.40 0.86 0.75 0.31 0.85 0.81 0.84 0.00 0.82 0.68 0.18 0.94 0.92 0.63 0.33 1.00 0.94 0.63 0.80 0.45 0.87 0.92 0.82 0.36 0.79 0.30 0.50 0.30 0.69 0.72 0.84 0.87 1.00 0.04 0.19 0.88 0.27 0.26 0.68 0.51 0.32 0.88 1.00 0.12 0.89 0.49 0.85 0.91 0.58 0.99 0.28 0.94 0.87 0.36 0.62 0.95 0.10 0.26 0.11 0.27 0.54 0.23 ]
[ 0.82 0.85 0.53 0.40 0.48 0.96 0.67 0.20 0.40 0.67 0.90 0.89 0.11 0.29 0.63 0.61 0.25 0.50 0.05 0.81 0.47 0.69 0.85 0.63 0.62 0.96 0.41 0.17 0.66 0.38 0.25 0.92 0.92 0.75 0.84 0.52 0.92 0.91 0.77 0.33 0.74 0.81 0.30 0.12 1.00 0.56 0.54 0.34 0.99 0.38 0.70 0.93 0.11 0.36 0.90 0.58 0.97 0.50 0.37 0.95 0.94 0.99 0.91 ]
[ 0.12 0.01 0.53 0.90 0.40 0.27 0.30 0.91 0.46 0.45 0.50 0.41 0.16 0.51 0.24 0.00 0.95 0.45 0.78 0.43 0.56 0.57 0.85 0.92 0.62 0.61 0.32 0.67 0.12 0.88 0.49 0.90 0.28 0.77 0.37 1.00 0.17 0.24 0.19 0.34 0.18 0.59 0.56 0.89 0.56 1.00 0.64 0.62 0.80 0.49 0.54 0.64 0.59 0.75 0.56 0.93 0.61 0.02 0.37 0.51 0.82 0.50 0.37 ]
[ 0.77 0.26 0.23 0.41 0.97 0.99 0.94 0.74 0.85 0.25 0.87 0.78 0.59 0.35 0.22 0.79 0.92 0.44 0.22 0.17 0.70 0.34 0.18 0.45 0.43 0.79 0.00 0.56 0.44 0.74 0.90 0.80 0.69 0.64 0.97 0.36 0.50 0.80 0.32 0.74 0.27 0.80 0.53 0.49 0.54 0.64 1.00 0.61 0.95 0.66 0.91 0.19 0.50 0.33 0.55 0.27 0.63 0.93 0.22 0.34 0.84 0.65 0.80 ]
[ 0.73 0.70 0.40 0.14 0.80 0.18 0.48 0.26 0.40 0.43 0.66 0.34 0.27 0.04 0.86 0.92 0.47 0.52 0.74 0.00 0.72 0.61 0.18 0.84 0.17 0.42 0.70 0.09 0.24 0.95 0.52 0.51 0.85 0.86 0.90 0.36 0.85 0.06 0.84 0.80 0.93 0.37 0.79 0.85 0.34 0.62 0.61 1.00 0.54 0.93 0.96 0.96 0.79 0.65 0.89 1.00 0.51 0.71 0.62 0.21 0.83 0.64 0.41 ]
[ 0.24 0.08 0.81 0.94 0.95 0.87 0.25 0.09 0.04 0.29 0.45 0.92 0.47 0.50 0.79 0.49 0.97 0.53 0.51 0.21 0.89 0.84 0.56 0.59 0.83 0.56 0.35 0.23 0.41 0.99 0.00 0.00 0.99 0.27 0.89 0.85 0.70 0.38 0.64 0.93 0.48 0.25 0.30 0.91 0.99 0.80 0.95 0.54 1.00 0.86 0.29 0.29 0.92 0.69 0.24 0.53 0.97 0.77 0.03 0.39 0.94 0.70 0.93 ]
[ 0.88 0.44 0.99 0.20 0.99 0.18 0.57 0.38 0.85 0.28 0.79 0.25 0.40 0.56 0.24 0.92 0.63 0.04 0.52 0.99 0.69 0.26 0.65 0.31 0.99 0.78 0.94 0.94 0.18 0.54 0.53 0.55 0.26 0.50 0.40 0.91 0.62 0.83 0.97 0.27 0.46 0.56 0.96 0.58 0.38 0.49 0.66 0.93 0.86 1.00 0.32 0.23 0.12 0.75 0.89 0.99 0.96 0.93 0.46 0.68 0.59 0.17 0.12 ]
[ 0.11 0.30 0.97 1.00 0.12 0.63 0.69 0.12 0.00 0.54 0.80 0.56 0.90 0.06 0.95 0.52 0.16 0.89 0.40 0.92 0.53 0.30 0.67 0.82 0.87 0.63 0.29 0.76 0.61 0.30 0.24 0.48 0.99 0.59 0.57 0.48 0.88 0.14 0.89 0.65 0.83 0.85 0.74 0.99 0.70 0.54 0.91 0.96 0.29 0.32 1.00 0.06 0.29 0.86 0.97 0.67 0.00 0.09 0.68 0.49 0.59 0.39 0.99 ]
[ 0.61 0.74 0.16 0.89 0.83 0.75 0.18 0.75 0.87 0.60 0.65 0.37 1.00 0.04 0.36 0.80 0.34 0.63 0.88 0.76 0.27 0.22 0.90 0.56 0.87 0.42 0.28 0.43 0.64 0.57 0.53 0.56 0.68 0.59 0.80 0.11 0.36 0.72 0.85 0.50 0.60 0.19 0.47 0.28 0.93 0.64 0.19 0.96 0.29 0.23 0.06 1.00 0.59 0.36 0.38 0.41 0.62 0.88 0.17 0.40 0.41 0.65 0.50 ]
[ 0.69 0.84 0.37 0.21 0.49 0.99 0.25 0.98 0.00 0.35 0.42 0.29 0.40 0.55 0.95 0.49 0.21 0.99 0.04 0.72 0.57 0.96 0.15 0.10 0.71 0.71 0.49 0.15 0.22 0.97 0.61 0.40 0.79 0.59 0.33 0.30 0.94 0.54 0.99 0.28 0.47 0.89 1.00 0.94 0.11 0.59 0.50 0.79 0.92 0.12 0.29 0.59 1.00 0.98 0.34 0.49 0.43 0.36 0.68 0.94 0.75 0.19 0.80 ]
