[ 0.27 0.42 0.83 0.77 0.91 0.58 0.77 0.54 0.07 0.13 0.68 0.68 0.92 0.39 0.65 0.45 0.28 0.90 0.47 0.93 0.93 0.90 0.02 0.40 0.54 0.18 0.50 1.00 0.78 0.16 0.54 0.91 0.61 0.23 0.32 0.92 ]
[ 0.66 0.56 0.15 0.87 0.71 0.77 0.46 0.72 0.87 0.95 0.35 0.22 0.88 0.29 0.04 0.74 0.86 0.04 0.80 0.82 0.46 0.59 0.54 0.79 0.72 0.71 0.90 0.78 1.00 0.98 0.93 0.90 0.24 0.96 0.93 0.59 ]
[ 0.12 0.27 0.33 0.97 0.31 1.00 0.65 0.97 0.84 0.47 0.58 0.93 0.44 0.98 0.41 0.91 0.08 0.78 0.56 0.23 0.16 0.21 0.69 0.18 0.09 0.89 0.92 0.16 0.98 1.00 0.38 0.65 0.62 0.43 0.29 0.10 ]
[ 0.43 0.97 0.93 0.33 0.75 0.36 0.94 0.57 0.95 0.00 0.38 0.52 0.70 0.32 0.14 0.44 0.68 0.40 0.27 0.17 0.57 0.38 0.29 0.90 0.72 0.00 1.00 0.54 0.93 0.38 1.00 0.31 0.80 0.07 0.96 0.96 ]
[ 0.29 0.93 0.91 0.18 0.69 0.00 0.99 0.69 0.38 0.37 0.00 0.20 0.98 0.46 0.69 0.96 0.97 0.44 0.45 0.96 0.22 0.58 0.67 0.40 0.97 0.32 0.62 0.91 0.90 0.65 0.31 1.00 0.27 0.16 0.98 0.89 ]
[ 0.47 0.41 0.70 0.72 0.49 0.40 0.59 0.86 0.46 0.33 1.00 0.22 0.77 0.46 0.69 0.97 0.64 0.37 0.57 0.29 0.62 0.25 0.92 0.26 0.00 0.18 0.55 0.61 0.24 0.62 0.80 0.27 1.00 0.55 0.84 0.99 ]
[ 0.34 0.84 0.46 0.69 0.40 0.85 0.79 0.65 0.10 0.56 0.66 0.29 0.79 0.99 0.30 0.73 0.96 0.45 0.76 0.20 0.82 0.34 0.42 0.67 0.11 0.41 0.76 0.23 0.96 0.43 0.07 0.16 0.55 1.00 0.54 0.69 ]
[ 0.71 0.35 0.84 0.69 0.21 0.95 0.32 0.60 0.85 0.41 0.63 0.75 0.88 0.21 0.18 0.24 0.15 0.31 0.65 0.69 0.29 0.15 1.00 0.08 0.64 0.87 0.56 0.32 0.93 0.29 0.96 0.98 0.84 0.54 1.00 0.91 ]
[ 0.70 0.62 0.41 0.98 0.24 0.56 0.61 0.09 0.94 0.60 0.00 0.94 0.22 0.21 0.53 0.00 0.62 0.13 0.19 0.60 0.76 0.55 0.70 0.60 0.28 0.50 0.45 0.92 0.59 0.10 0.96 0.89 0.99 0.69 0.91 1.00 ]
];
