[ 0.54 0.81 0.60 0.92 0.88 0.73 0.46 0.00 0.09 0.95 1.00 0.74 0.94 0.20 0.35 1.00 0.96 0.35 0.78 0.66 0.76 0.59 0.18 0.55 0.92 0.19 0.86 0.00 0.95 0.79 0.72 0.25 0.93 0.39 0.76 0.87 0.45 0.00 0.72 0.23 0.66 0.71 0.15 0.62 0.93 0.66 0.85 0.98 0.84 0.44 0.63 0.55 0.44 0.00 0.32 ]
[ 0.25 0.56 0.89 0.28 0.78 0.94 0.00 0.70 0.52 0.20 0.74 1.00 0.48 0.94 0.46 0.20 0.20 0.97 0.58 0.34 0.40 0.21 0.67 0.98 0.00 0.94 0.33 0.42 0.91 0.67 0.47 0.55 0.29 0.54 0.86 0.66 0.46 0.32 0.71 0.50 0.97 0.95 0.18 0.00 0.92 0.81 0.52 0.53 0.34 0.73 0.86 0.92 0.39 0.50 0.37 ]
[ 0.94 0.92 0.77 0.29 0.99 0.01 0.25 0.97 0.84 0.46 0.94 0.48 1.00 0.92 0.00 0.93 0.58 0.04 0.60 0.19 0.89 0.45 0.57 0.35 0.27 0.80 0.89 0.49 0.61 0.91 0.53 0.70 0.49 0.31 0.35 0.36 0.76 0.87 0.85 0.87 0.03 0.95 0.93 0.15 0.24 0.75 0.37 0.12 0.65 0.80 0.38 0.56 0.83 0.63 0.28 ]
[ 0.37 0.80 0.73 0.91 0.66 0.36 0.57 0.88 0.16 0.96 0.20 0.94 0.92 1.00 0.87 0.81 0.72 0.84 0.59 0.88 0.70 0.24 0.90 0.61 0.74 0.92 0.28 0.88 0.92 0.66 0.65 0.42 0.87 0.38 0.49 0.31 0.86 0.75 0.29 0.95 0.50 0.49 0.56 0.54 0.85 0.57 0.99 0.31 0.40 0.71 0.02 0.22 0.91 0.93 0.48 ]
[ 0.59 0.63 0.64 1.00 0.77 0.16 0.86 0.61 0.20 0.25 0.35 0.46 0.00 0.87 1.00 0.61 0.38 0.61 0.12 0.99 0.49 0.50 0.52 0.49 0.36 0.66 0.90 0.56 0.70 0.40 0.40 0.32 0.26 0.57 0.22 0.96 0.21 0.85 0.81 0.50 0.12 0.61 0.86 0.77 0.43 0.87 0.33 0.46 0.89 0.40 0.56 0.81 0.89 0.35 0.48 ]
[ 0.40 0.46 0.35 0.41 0.26 0.29 0.18 0.29 0.61 0.74 1.00 0.20 0.93 0.81 0.61 1.00 0.92 0.16 0.91 0.91 0.80 0.54 0.52 0.44 0.31 0.00 0.00 0.57 0.83 0.82 0.53 0.44 0.64 0.39 0.25 0.31 0.90 0.16 0.53 0.00 0.51 0.48 0.60 0.23 0.48 0.32 0.79 0.73 0.02 0.56 0.63 0.88 0.39 0.26 0.68 ]
[ 0.71 0.42 0.77 0.35 0.81 0.80 0.91 0.51 0.49 0.85 0.96 0.20 0.58 0.72 0.38 0.92 1.00 0.53 0.01 0.97 0.50 1.00 0.04 0.42 0.62 0.07 0.68 0.97 0.00 0.85 0.42 0.96 0.83 0.61 0.70 0.17 0.27 0.07 0.30 0.93 0.42 0.76 0.08 0.84 0.81 0.52 0.88 0.92 0.85 0.44 0.70 0.34 0.06 0.22 0.46 ]
[ 0.55 0.77 0.55 0.17 0.59 0.81 0.06 0.68 0.35 0.36 0.35 0.97 0.04 0.84 0.61 0.16 0.53 1.00 0.17 0.43 0.00 0.79 0.15 0.00 1.00 0.21 0.60 0.40 0.95 0.06 0.30 0.91 0.06 0.29 0.24 0.64 0.24 0.46 0.65 0.95 0.95 0.77 0.35 0.14 0.16 0.40 0.21 0.97 0.31 0.42 0.34 0.78 0.97 0.05 0.95 ]
[ 0.98 0.99 0.30 0.84 0.16 0.00 0.74 0.56 0.50 0.26 0.78 0.58 0.60 0.59 0.12 0.91 0.01 0.17 1.00 0.31 0.69 0.61 0.40 0.00 0.85 0.94 0.23 0.94 0.48 0.65 0.86 0.24 0.82 0.44 0.92 0.99 0.96 0.05 0.28 0.92 0.63 0.34 0.51 0.25 0.74 0.65 0.47 0.97 0.37 0.15 0.75 0.18 0.92 0.96 0.63 ]
[ 0.93 0.79 0.54 0.19 0.50 0.37 0.62 0.59 0.30 0.27 0.66 0.34 0.19 0.88 0.99 0.91 0.97 0.43 0.31 1.00 0.74 0.36 0.26 0.83 0.71 0.87 0.96 0.90 0.16 0.97 0.47 0.81 0.32 0.74 0.20 0.28 0.77 0.16 0.36 0.39 0.72 0.58 0.86 0.22 0.60 0.25 0.92 0.55 0.07 0.64 0.81 0.48 0.41 0.76 0.49 ]
[ 0.92 0.83 0.26 0.76 0.64 0.96 0.79 0.23 0.80 0.60 0.76 0.40 0.89 0.70 0.49 0.80 0.50 0.00 0.69 0.74 1.00 0.97 0.00 0.42 0.97 0.82 1.00 0.86 0.38 0.61 0.60 0.69 0.16 0.63 0.17 0.66 0.10 0.49 0.95 0.97 0.03 0.43 0.59 0.90 0.58 0.17 0.86 0.48 0.47 0.80 0.40 0.30 0.56 0.85 0.54 ]
[ 0.11 0.46 0.21 0.89 0.89 0.00 0.90 0.43 0.40 0.84 0.59 0.21 0.45 0.24 0.50 0.54 1.00 0.79 0.61 0.36 0.97 1.00 0.96 0.60 0.00 0.33 0.90 0.28 0.89 0.05 0.99 0.08 0.39 0.47 0.03 0.56 0.51 0.92 0.93 0.85 0.34 0.88 0.48 0.13 0.98 0.68 0.62 0.98 0.89 0.15 0.97 0.41 0.91 0.95 0.21 ]
[ 0.88 0.17 0.23 0.87 0.78 0.30 0.95 0.57 0.79 0.66 0.18 0.67 0.57 0.90 0.52 0.52 0.04 0.15 0.40 0.26 0.00 0.96 1.00 0.58 0.80 0.81 0.89 0.23 0.86 0.75 0.23 0.00 0.91 0.69 0.75 0.30 0.70 0.76 0.02 0.40 0.48 0.45 0.44 1.00 0.40 0.40 0.99 0.98 0.24 0.27 1.00 0.27 0.92 0.51 0.56 ]
[ 0.41 0.39 0.55 0.72 0.73 0.76 0.75 0.23 0.92 0.98 0.55 0.98 0.35 0.61 0.49 0.44 0.42 0.00 0.00 0.83 0.42 0.60 0.58 1.00 0.86 0.19 0.99 0.69 0.84 0.66 0.03 0.45 0.16 0.96 0.93 0.94 0.49 0.69 0.58 0.98 0.43 0.29 0.06 0.30 0.87 0.65 0.59 0.45 0.96 0.73 0.75 1.00 0.46 0.39 0.87 ]
[ 0.50 0.94 0.28 0.70 0.82 0.53 0.89 0.65 0.86 0.29 0.92 0.00 0.27 0.74 0.36 0.31 0.62 1.00 0.85 0.71 0.97 0.00 0.80 0.86 1.00 0.68 0.23 0.74 0.99 0.13 0.16 0.40 0.67 0.34 0.80 0.95 0.93 0.25 0.46 0.16 0.10 0.21 0.66 0.37 0.85 0.10 0.71 0.60 0.73 0.00 0.96 0.63 0.93 0.64 0.72 ]
[ 0.59 0.94 0.85 0.92 0.00 0.50 0.51 0.76 0.46 0.20 0.19 0.94 0.80 0.92 0.66 0.00 0.07 0.21 0.94 0.87 0.82 0.33 0.81 0.19 0.68 1.00 0.51 0.76 0.48 0.00 0.84 0.43 0.40 0.15 0.19 0.31 0.93 0.84 0.93 0.57 0.15 0.46 0.71 0.71 0.84 0.61 0.49 0.88 0.92 0.31 0.66 0.49 0.92 0.50 0.84 ]
[ 0.87 0.55 0.60 0.92 0.87 0.66 0.40 0.79 0.32 0.76 0.86 0.33 0.89 0.28 0.90 0.00 0.68 0.60 0.23 0.96 1.00 0.90 0.89 0.99 0.23 0.51 1.00 0.35 0.52 0.50 0.19 0.94 0.24 0.00 0.37 0.46 0.42 0.36 0.25 0.42 0.33 0.94 0.85 0.88 0.00 0.67 0.64 0.45 0.27 0.68 1.00 0.30 0.39 0.19 0.00 ]
[ 0.46 0.04 0.88 0.79 0.58 0.70 0.56 0.96 0.69 0.94 0.00 0.42 0.49 0.88 0.56 0.57 0.97 0.40 0.94 0.90 0.86 0.28 0.23 0.69 0.74 0.76 0.35 1.00 0.98 0.22 0.32 0.65 0.94 0.12 0.20 0.40 0.32 0.27 0.37 0.82 0.99 0.91 0.96 0.72 0.20 0.36 0.33 0.48 0.33 0.87 0.97 0.73 0.18 0.16 0.26 ]
[ 0.75 0.94 0.10 0.24 0.84 0.53 0.67 0.92 0.85 0.87 0.95 0.91 0.61 0.92 0.70 0.83 0.00 0.95 0.48 0.16 0.38 0.89 0.86 0.84 0.99 0.48 0.52 0.98 1.00 0.76 0.33 0.18 0.11 0.94 0.68 0.23 0.77 0.74 0.75 0.48 0.49 0.95 0.36 0.76 0.59 0.08 0.85 0.98 0.91 0.54 0.39 0.29 0.33 0.41 0.16 ]
[ 0.06 0.86 0.89 0.32 0.94 0.00 0.92 0.48 0.20 0.19 0.79 0.67 0.91 0.66 0.40 0.82 0.85 0.06 0.65 0.97 0.61 0.05 0.75 0.66 0.13 0.00 0.50 0.22 0.76 1.00 0.67 0.24 0.17 0.86 0.77 0.59 0.94 0.83 0.45 0.99 0.55 0.95 0.08 0.71 0.85 0.66 0.38 0.26 0.04 0.31 0.78 0.57 0.93 0.99 1.00 ]
[ 0.82 0.99 0.85 0.27 0.56 0.74 0.20 0.82 0.00 0.29 0.72 0.47 0.53 0.65 0.40 0.53 0.42 0.30 0.86 0.47 0.60 0.99 0.23 0.03 0.16 0.84 0.19 0.32 0.33 0.67 1.00 0.14 0.29 0.37 0.50 0.58 0.99 0.35 0.00 0.46 0.93 0.98 0.93 0.36 0.32 0.85 0.74 0.24 0.22 0.63 0.31 0.45 0.67 0.85 0.83 ]
[ 0.23 0.90 0.82 0.99 0.98 0.03 0.95 0.37 0.65 0.59 0.25 0.55 0.70 0.42 0.32 0.44 0.96 0.91 0.24 0.81 0.69 0.08 0.00 0.45 0.40 0.43 0.94 0.65 0.18 0.24 0.14 1.00 0.94 0.23 0.27 0.26 0.64 0.39 0.94 0.57 0.54 0.92 0.93 0.86 0.44 0.95 0.00 0.62 0.91 0.17 0.38 0.16 0.44 0.25 0.85 ]
[ 0.38 0.68 0.19 0.43 0.60 0.03 0.93 0.76 0.41 0.96 0.93 0.29 0.49 0.87 0.26 0.64 0.83 0.06 0.82 0.32 0.16 0.39 0.91 0.16 0.67 0.40 0.24 0.94 0.11 0.17 0.29 0.94 1.00 0.65 0.77 0.87 0.99 0.88 0.32 0.53 0.12 0.58 0.41 0.86 0.39 0.93 0.48 0.98 0.83 0.28 0.85 1.00 0.26 0.67 0.03 ]
[ 0.80 0.93 0.12 0.57 0.53 0.71 0.76 0.34 0.25 0.00 0.39 0.54 0.31 0.38 0.57 0.39 0.61 0.29 0.44 0.74 0.63 0.47 0.69 0.96 0.34 0.15 0.00 0.12 0.94 0.86 0.37 0.23 0.65 1.00 0.22 0.50 0.88 0.39 0.56 0.89 0.47 0.66 0.04 0.80 0.54 0.68 0.72 0.96 0.38 0.98 0.98 0.87 0.30 0.35 0.88 ]
[ 0.18 0.96 0.68 0.58 0.00 0.00 0.91 0.73 0.26 0.00 0.76 0.86 0.35 0.49 0.22 0.25 0.70 0.24 0.92 0.20 0.17 0.03 0.75 0.93 0.80 0.19 0.37 0.20 0.68 0.77 0.50 0.27 0.77 0.22 1.00 0.98 0.40 1.00 0.38 0.17 0.97 0.91 0.96 0.88 0.01 0.47 0.42 1.00 0.19 0.44 0.75 0.76 0.14 0.73 0.66 ]
[ 0.29 0.26 0.89 0.08 0.48 0.38 0.32 0.10 0.52 0.97 0.87 0.66 0.36 0.31 0.96 0.31 0.17 0.64 0.99 0.28 0.66 0.56 0.30 0.94 0.95 0.31 0.46 0.40 0.23 0.59 0.58 0.26 0.87 0.50 0.98 1.00 0.87 0.61 0.03 0.61 0.44 0.44 0.60 0.47 0.91 0.98 0.68 0.23 0.84 0.47 0.89 0.63 0.65 0.79 0.11 ]
[ 0.57 0.62 0.60 0.74 0.69 0.28 0.54 0.79 0.40 0.95 0.45 0.46 0.76 0.86 0.21 0.90 0.27 0.24 0.96 0.77 0.10 0.51 0.70 0.49 0.93 0.93 0.42 0.32 0.77 0.94 0.99 0.64 0.99 0.88 0.40 0.87 1.00 0.89 0.35 0.16 0.48 0.53 0.85 0.64 0.29 0.41 0.75 0.16 0.16 0.52 0.18 0.09 0.00 0.76 0.36 ]
[ 0.86 0.71 0.92 0.17 0.88 0.19 0.72 0.31 0.48 0.02 0.00 0.32 0.87 0.75 0.85 0.16 0.07 0.46 0.05 0.16 0.49 0.92 0.76 0.69 0.25 0.84 0.36 0.27 0.74 0.83 0.35 0.39 0.88 0.39 1.00 0.61 0.89 1.00 0.78 0.85 0.69 0.41 0.56 0.44 0.50 0.34 0.59 0.38 0.80 0.40 0.95 0.91 0.15 0.87 0.80 ]
[ 0.40 0.21 0.45 0.37 0.94 1.00 0.93 0.27 0.78 0.83 0.72 0.71 0.85 0.29 0.81 0.53 0.30 0.65 0.28 0.36 0.95 0.93 0.02 0.58 0.46 0.93 0.25 0.37 0.75 0.45 0.00 0.94 0.32 0.56 0.38 0.03 0.35 0.78 1.00 0.34 1.00 0.79 0.00 0.90 0.34 0.34 0.54 0.79 0.58 0.31 0.61 0.42 0.90 0.37 0.85 ]
[ 0.31 0.48 0.82 0.49 0.67 0.26 0.88 0.99 0.47 0.12 0.23 0.50 0.87 0.95 0.50 0.00 0.93 0.95 0.92 0.39 0.97 0.85 0.40 0.98 0.16 0.57 0.42 0.82 0.48 0.99 0.46 0.57 0.53 0.89 0.17 0.61 0.16 0.85 0.34 1.00 0.51 0.45 0.58 0.80 0.85 0.76 0.70 0.99 0.37 0.62 0.55 0.77 0.93 0.85 0.07 ]
[ 0.68 0.52 0.88 0.60 0.60 0.64 0.56 0.78 0.73 0.54 0.66 0.97 0.03 0.50 0.12 0.51 0.42 0.95 0.63 0.72 0.03 0.34 0.48 0.43 0.10 0.15 0.33 0.99 0.49 0.55 0.93 0.54 0.12 0.47 0.97 0.44 0.48 0.69 1.00 0.51 1.00 0.89 0.67 0.87 0.11 0.35 0.33 0.85 0.94 0.66 0.54 0.47 0.67 0.20 0.54 ]
[ 0.79 0.32 0.45 0.39 0.46 0.61 0.86 0.34 0.19 0.70 0.71 0.95 0.95 0.49 0.61 0.48 0.76 0.77 0.34 0.58 0.43 0.88 0.45 0.29 0.21 0.46 0.94 0.91 0.95 0.95 0.98 0.92 0.58 0.66 0.91 0.44 0.53 0.41 0.79 0.45 0.89 1.00 0.27 0.25 0.84 0.88 0.88 0.28 0.59 0.00 0.61 0.89 0.29 0.29 0.09 ]
[ 0.59 0.89 0.30 0.95 0.98 0.58 0.36 0.47 0.14 0.76 0.15 0.18 0.93 0.56 0.86 0.60 0.08 0.35 0.51 0.86 0.59 0.48 0.44 0.06 0.66 0.71 0.85 0.96 0.36 0.08 0.93 0.93 0.41 0.04 0.96 0.60 0.85 0.56 0.00 0.58 0.67 0.27 1.00 0.40 0.91 0.93 0.73 0.62 0.53 0.47 0.97 0.74 0.15 0.83 0.67 ]
[ 0.00 0.26 0.91 0.96 0.83 0.52 0.46 0.53 0.36 0.69 0.62 0.00 0.15 0.54 0.77 0.23 0.84 0.14 0.25 0.22 0.90 0.13 1.00 0.30 0.37 0.71 0.88 0.72 0.76 0.71 0.36 0.86 0.86 0.80 0.88 0.47 0.64 0.44 0.90 0.80 0.87 0.25 0.40 1.00 0.35 0.91 0.54 0.97 0.15 0.55 0.96 0.21 0.63 0.83 0.34 ]
[ 0.49 0.95 0.10 0.93 0.50 0.64 0.74 0.13 0.86 0.83 0.93 0.92 0.24 0.85 0.43 0.48 0.81 0.16 0.74 0.60 0.58 0.98 0.40 0.87 0.85 0.84 0.00 0.20 0.59 0.85 0.32 0.44 0.39 0.54 0.01 0.91 0.29 0.50 0.34 0.85 0.11 0.84 0.91 0.35 1.00 0.50 0.18 0.42 0.23 0.32 0.19 0.98 0.63 0.52 0.82 ]
[ 0.19 0.27 0.89 0.78 0.42 0.33 0.74 0.86 0.30 0.75 0.66 0.81 0.75 0.57 0.87 0.32 0.52 0.40 0.65 0.25 0.17 0.68 0.40 0.65 0.10 0.61 0.67 0.36 0.08 0.66 0.85 0.95 0.93 0.68 0.47 0.98 0.41 0.34 0.34 0.76 0.35 0.88 0.93 0.91 0.50 1.00 0.31 0.51 0.25 0.80 0.39 0.76 0.37 0.38 0.80 ]
[ 0.86 0.96 0.29 0.55 0.33 0.80 0.47 0.62 0.83 0.88 0.85 0.52 0.37 0.99 0.33 0.79 0.88 0.21 0.47 0.92 0.86 0.62 0.99 0.59 0.71 0.49 0.64 0.33 0.85 0.38 0.74 0.00 0.48 0.72 0.42 0.68 0.75 0.59 0.54 0.70 0.33 0.88 0.73 0.54 0.18 0.31 1.00 0.12 0.74 0.72 0.50 0.47 0.29 0.02 0.24 ]
[ 0.20 0.77 0.54 0.28 0.21 0.86 0.45 0.04 0.16 0.14 0.98 0.53 0.12 0.31 0.46 0.73 0.92 0.97 0.97 0.55 0.48 0.98 0.98 0.45 0.60 0.88 0.45 0.48 0.98 0.26 0.24 0.62 0.98 0.96 1.00 0.23 0.16 0.38 0.79 0.99 0.85 0.28 0.62 0.97 0.42 0.51 0.12 1.00 0.00 0.34 0.62 0.29 0.34 0.88 0.90 ]
[ 0.25 0.67 0.66 0.97 0.65 0.93 0.94 0.47 0.57 0.33 0.84 0.34 0.65 0.40 0.89 0.02 0.85 0.31 0.37 0.07 0.47 0.89 0.24 0.96 0.73 0.92 0.27 0.33 0.91 0.04 0.22 0.91 0.83 0.38 0.19 0.84 0.16 0.80 0.58 0.37 0.94 0.59 0.53 0.15 0.23 0.25 0.74 0.00 1.00 0.22 0.96 0.61 0.21 0.23 0.75 ]
[ 0.68 0.24 0.53 0.40 0.66 0.55 0.41 1.00 0.60 0.67 0.44 0.73 0.80 0.71 0.40 0.56 0.44 0.42 0.15 0.64 0.80 0.15 0.27 0.73 0.00 0.31 0.68 0.87 0.54 0.31 0.63 0.17 0.28 0.98 0.44 0.47 0.52 0.40 0.31 0.62 0.66 0.00 0.47 0.55 0.32 0.80 0.72 0.34 0.22 1.00 0.97 0.34 0.91 0.15 0.68 ]
[ 0.71 0.75 0.69 0.47 0.84 0.74 0.73 0.48 0.57 0.93 0.63 0.86 0.38 0.02 0.56 0.63 0.70 0.34 0.75 0.81 0.40 0.97 1.00 0.75 0.96 0.66 1.00 0.97 0.39 0.78 0.31 0.38 0.85 0.98 0.75 0.89 0.18 0.95 0.61 0.55 0.54 0.61 0.97 0.96 0.19 0.39 0.50 0.62 0.96 0.97 1.00 0.86 0.93 0.84 0.08 ]
[ 0.51 0.24 0.00 0.79 0.94 0.89 0.40 0.88 0.98 0.98 0.55 0.92 0.56 0.22 0.81 0.88 0.34 0.78 0.18 0.48 0.30 0.41 0.27 1.00 0.63 0.49 0.30 0.73 0.29 0.57 0.45 0.16 1.00 0.87 0.76 0.63 0.09 0.91 0.42 0.77 0.47 0.89 0.74 0.21 0.98 0.76 0.47 0.29 0.61 0.34 0.86 1.00 0.60 0.26 0.79 ]
[ 0.98 0.13 0.45 0.94 0.90 0.94 0.29 0.63 0.26 0.16 0.44 0.39 0.83 0.91 0.89 0.39 0.06 0.97 0.92 0.41 0.56 0.91 0.92 0.46 0.93 0.92 0.39 0.18 0.33 0.93 0.67 0.44 0.26 0.30 0.14 0.65 0.00 0.15 0.90 0.93 0.67 0.29 0.15 0.63 0.63 0.37 0.29 0.34 0.21 0.91 0.93 0.60 1.00 0.84 0.88 ]
[ 0.91 0.31 0.76 0.89 0.68 0.92 0.56 0.79 0.99 0.98 0.00 0.50 0.63 0.93 0.35 0.26 0.22 0.05 0.96 0.76 0.85 0.95 0.51 0.39 0.64 0.50 0.19 0.16 0.41 0.99 0.85 0.25 0.67 0.35 0.73 0.79 0.76 0.87 0.37 0.85 0.20 0.29 0.83 0.83 0.52 0.38 0.02 0.88 0.23 0.15 0.84 0.26 0.84 1.00 0.56 ]
[ 0.97 0.20 0.59 0.70 0.99 0.59 0.74 0.72 0.21 0.78 0.32 0.37 0.28 0.48 0.48 0.68 0.46 0.95 0.63 0.49 0.54 0.21 0.56 0.87 0.72 0.84 0.00 0.26 0.16 1.00 0.83 0.85 0.03 0.88 0.66 0.11 0.36 0.80 0.85 0.07 0.54 0.09 0.67 0.34 0.82 0.80 0.24 0.90 0.75 0.68 0.08 0.79 0.88 0.56 1.00 ]
];
