[ 0.80 0.80 0.17 0.38 0.49 0.97 0.95 0.91 0.22 0.81 0.84 0.15 1.00 0.22 0.30 0.93 0.99 0.95 0.71 0.37 0.53 0.55 0.90 0.69 0.40 0.72 0.40 0.23 0.98 0.97 0.00 0.90 0.88 0.85 0.06 ]
[ 0.99 0.83 0.73 0.91 0.63 0.97 0.78 0.35 0.95 0.91 0.63 0.90 0.22 1.00 0.03 0.56 0.26 0.30 0.42 0.73 0.48 0.85 0.10 0.42 0.64 0.87 0.71 0.95 0.89 0.13 0.59 0.06 0.86 0.89 0.04 ]
[ 0.29 0.48 0.99 0.67 0.31 0.73 0.00 0.05 0.29 0.75 0.18 0.33 0.30 0.03 1.00 0.87 0.57 0.30 0.86 0.86 0.21 0.71 0.55 0.64 0.49 0.90 0.15 0.78 0.34 0.93 0.31 0.33 0.69 0.86 0.19 ]
[ 0.60 0.78 0.35 1.00 0.95 0.76 0.26 0.27 0.39 0.42 0.60 0.36 0.93 0.56 0.87 1.00 0.57 0.91 0.17 0.75 0.70 0.34 0.47 0.70 0.90 0.51 0.56 0.51 0.55 0.04 0.87 0.71 0.49 0.25 0.25 ]
[ 0.97 0.94 0.47 0.19 0.71 0.34 0.99 0.54 0.29 0.87 0.24 0.34 0.99 0.26 0.57 0.57 1.00 0.31 0.39 0.17 0.97 0.87 0.76 0.85 0.43 0.89 0.12 0.57 0.81 0.64 0.09 0.81 0.74 0.61 0.63 ]
[ 0.89 0.17 0.66 0.34 0.67 0.71 0.71 0.36 0.18 0.85 0.38 0.93 0.95 0.30 0.30 0.91 0.31 1.00 0.83 0.50 0.94 0.70 0.73 0.88 0.02 0.66 0.84 0.87 0.22 0.51 0.92 0.31 0.53 0.71 0.91 ]
[ 0.52 0.59 0.62 0.09 0.24 0.40 0.36 0.87 0.61 0.95 0.85 0.20 0.71 0.42 0.86 0.17 0.39 0.83 1.00 0.60 0.62 0.95 0.58 0.94 0.13 0.53 0.17 0.53 0.47 0.88 0.45 0.19 0.39 0.49 0.26 ]
[ 0.47 1.00 0.19 0.55 0.37 0.49 0.86 0.52 0.27 0.59 0.15 0.96 0.37 0.73 0.86 0.75 0.17 0.50 0.60 1.00 0.96 0.54 0.38 0.89 0.82 0.90 0.18 0.30 0.47 0.60 0.57 0.19 0.18 0.51 0.87 ]
[ 0.21 0.27 0.11 0.19 0.92 0.42 0.77 0.57 0.85 0.98 0.75 0.05 0.53 0.48 0.21 0.70 0.97 0.94 0.62 0.96 1.00 0.95 0.50 0.38 0.43 0.70 0.70 0.76 0.43 0.44 0.68 0.92 0.25 0.00 0.81 ]
[ 0.88 0.94 0.66 0.21 0.93 0.56 0.84 0.89 0.41 0.73 0.40 0.84 0.55 0.85 0.71 0.34 0.87 0.70 0.95 0.54 0.95 1.00 0.96 0.29 0.83 0.56 0.53 0.99 0.90 0.91 0.52 0.37 0.95 0.85 0.91 ]
[ 0.32 0.77 0.85 0.76 0.06 0.51 0.68 0.55 0.01 0.05 0.87 0.84 0.90 0.10 0.55 0.47 0.76 0.73 0.58 0.38 0.50 0.96 1.00 0.64 0.39 0.99 0.96 0.45 0.98 1.00 0.16 0.96 0.56 0.57 0.81 ]
[ 0.92 0.42 0.23 0.84 0.19 0.64 0.96 0.87 0.87 0.26 0.52 0.96 0.69 0.42 0.64 0.70 0.85 0.88 0.94 0.89 0.38 0.29 0.64 1.00 0.86 1.00 0.68 0.32 0.97 0.87 0.10 0.81 0.93 0.20 0.31 ]
[ 0.92 0.51 0.26 0.65 0.79 0.98 0.69 0.47 0.58 0.55 0.15 0.71 0.40 0.64 0.49 0.90 0.43 0.02 0.13 0.82 0.43 0.83 0.39 0.86 1.00 0.91 0.47 0.86 0.22 0.84 0.60 0.89 0.06 0.76 0.19 ]
[ 0.17 0.95 0.71 0.14 0.82 0.26 0.85 0.00 0.15 0.92 0.53 0.39 0.72 0.87 0.90 0.51 0.89 0.66 0.53 0.90 0.70 0.56 0.99 1.00 0.91 1.00 0.85 0.73 0.68 0.68 0.98 0.79 0.81 0.34 0.91 ]
[ 0.78 0.99 0.97 0.88 0.43 0.51 0.68 0.18 0.87 0.00 0.98 0.42 0.40 0.71 0.15 0.56 0.12 0.84 0.17 0.18 0.70 0.53 0.96 0.68 0.47 0.85 1.00 0.86 0.93 0.42 0.23 0.34 0.84 0.83 0.17 ]
[ 0.69 0.49 0.60 0.76 0.80 0.79 0.79 0.07 0.78 0.83 0.09 0.40 0.23 0.95 0.78 0.51 0.57 0.87 0.53 0.30 0.76 0.99 0.45 0.32 0.86 0.73 0.86 1.00 0.80 0.26 0.94 0.95 0.90 0.77 0.62 ]
[ 0.32 0.21 0.44 0.30 0.00 0.26 0.91 0.40 0.74 0.24 0.58 0.92 0.98 0.89 0.34 0.55 0.81 0.22 0.47 0.47 0.43 0.90 0.98 0.97 0.22 0.68 0.93 0.80 1.00 0.84 0.67 0.47 0.90 0.78 0.54 ]
[ 0.67 0.03 0.27 0.01 0.58 0.87 0.44 0.59 0.43 0.94 0.40 0.67 0.97 0.13 0.93 0.04 0.64 0.51 0.88 0.60 0.44 0.91 1.00 0.87 0.84 0.68 0.42 0.26 0.84 1.00 0.78 0.76 0.37 0.65 0.93 ]
[ 0.87 0.38 0.87 0.66 0.04 0.43 0.63 0.95 0.68 0.06 0.75 0.23 0.00 0.59 0.31 0.87 0.09 0.92 0.45 0.57 0.68 0.52 0.16 0.10 0.60 0.98 0.23 0.94 0.67 0.78 1.00 0.51 0.13 0.72 0.00 ]
[ 0.00 0.97 0.43 0.22 0.31 0.46 0.61 0.81 0.94 0.56 0.51 0.51 0.90 0.06 0.33 0.71 0.81 0.31 0.19 0.19 0.92 0.37 0.96 0.81 0.89 0.79 0.34 0.95 0.47 0.76 0.51 1.00 0.49 0.92 0.71 ]
[ 0.98 0.20 0.47 0.92 0.26 0.26 0.98 0.31 0.18 0.64 0.73 0.05 0.88 0.86 0.69 0.49 0.74 0.53 0.39 0.18 0.25 0.95 0.56 0.93 0.06 0.81 0.84 0.90 0.90 0.37 0.13 0.49 1.00 0.64 0.34 ]
[ 0.97 0.64 0.11 0.55 0.99 0.27 0.64 0.03 0.49 0.33 0.70 0.28 0.85 0.89 0.86 0.25 0.61 0.71 0.49 0.51 0.00 0.85 0.57 0.20 0.76 0.34 0.83 0.77 0.78 0.65 0.72 0.92 0.64 1.00 0.72 ]
[ 0.22 0.65 0.86 0.62 0.23 0.88 0.95 0.64 0.16 0.68 0.25 0.53 0.06 0.04 0.19 0.25 0.63 0.91 0.26 0.87 0.81 0.91 0.81 0.31 0.19 0.91 0.17 0.62 0.54 0.93 0.00 0.71 0.34 0.72 1.00 ]
];
