[ 0.98 0.92 0.00 0.07 0.70 0.59 0.19 0.86 0.22 0.12 0.36 0.31 0.58 1.00 0.87 0.81 0.91 0.11 0.17 0.10 0.82 0.49 0.41 0.96 0.76 0.89 0.75 0.29 0.75 0.39 0.03 0.35 0.74 0.30 0.26 0.94 0.67 0.49 0.54 0.94 0.51 0.33 0.00 0.47 0.66 0.41 0.24 0.15 0.50 0.81 0.27 0.83 0.56 0.69 0.94 0.37 0.92 0.04 0.20 0.76 0.61 0.93 0.79 0.51 0.93 0.70 0.00 0.68 0.76 0.96 0.43 0.00 0.45 0.86 0.85 ]
[ 0.33 0.94 0.86 0.23 0.65 0.21 0.97 0.91 0.36 0.83 0.67 0.71 0.56 0.87 1.00 0.92 0.99 0.02 0.98 0.82 0.48 0.76 0.28 0.15 0.18 0.81 0.88 0.93 0.97 0.90 0.69 0.67 0.80 0.28 0.80 0.31 0.58 0.61 0.04 0.84 0.48 0.99 0.55 0.37 0.19 0.89 0.50 0.54 0.98 0.31 0.77 0.29 0.54 0.37 0.51 0.24 0.88 0.61 0.92 0.03 0.61 0.41 0.92 0.55 0.63 0.87 0.34 0.86 0.00 0.42 0.95 0.69 0.78 0.36 0.37 ]
[ 0.92 0.93 0.42 0.72 0.59 0.98 0.18 0.14 0.00 0.88 0.93 0.00 0.56 0.81 0.92 1.00 0.77 0.14 0.31 0.96 0.61 0.74 0.87 0.66 0.49 0.59 0.88 0.54 0.82 0.72 0.25 0.52 1.00 0.39 0.54 0.40 0.27 0.62 0.59 0.97 0.82 0.85 0.66 0.26 0.00 0.83 0.26 0.48 0.20 0.93 0.49 0.59 0.71 0.41 0.47 0.99 0.67 0.94 0.86 0.86 0.25 0.10 0.26 0.49 0.86 0.92 0.60 0.34 0.99 0.93 0.46 0.83 0.73 0.22 0.10 ]
[ 0.27 0.97 0.55 0.53 0.52 0.93 0.66 0.94 0.25 0.71 0.51 0.66 0.56 0.91 0.99 0.77 1.00 0.61 0.89 0.23 0.50 0.94 0.58 0.26 0.29 0.95 0.86 0.52 0.96 0.96 0.18 0.46 0.15 0.52 0.92 0.60 0.89 0.93 0.39 0.23 0.25 0.62 0.18 0.68 0.95 0.37 0.89 0.92 0.75 0.53 0.58 0.34 0.06 0.67 0.08 0.90 0.62 0.13 0.87 0.48 0.23 0.55 0.93 0.00 0.06 0.32 0.57 0.00 0.92 0.70 0.94 0.86 0.81 0.98 0.92 ]
[ 0.18 0.31 0.46 0.69 0.98 0.86 0.69 0.64 0.33 0.74 0.51 0.64 0.68 0.11 0.02 0.14 0.61 1.00 0.47 0.78 0.11 0.84 0.92 0.62 0.79 0.86 0.91 0.27 0.71 0.92 0.65 0.60 0.30 0.61 0.19 0.89 0.18 0.18 0.80 0.85 0.22 0.27 0.63 0.94 0.25 0.91 0.07 0.92 0.25 0.42 0.95 0.84 0.98 0.89 0.67 0.61 0.45 0.36 0.28 0.94 0.16 0.28 0.00 0.29 0.96 0.90 0.30 0.03 0.40 0.79 0.97 0.99 0.91 0.39 0.03 ]
[ 0.41 0.40 0.76 0.12 0.70 0.04 0.84 0.87 0.76 0.75 0.49 0.54 0.64 0.17 0.98 0.31 0.89 0.47 1.00 0.79 0.81 0.10 0.67 0.22 0.47 0.82 0.69 0.69 0.58 0.31 0.33 0.94 0.91 0.33 0.78 0.97 0.89 0.12 0.39 0.52 0.38 0.92 0.60 0.31 0.80 0.62 0.59 0.13 0.31 0.60 0.04 0.83 0.77 0.94 0.61 0.18 0.58 0.86 0.96 0.93 0.97 0.77 0.49 0.48 0.13 0.74 0.93 0.64 0.56 0.62 0.44 0.88 0.30 0.35 0.95 ]
[ 0.55 0.73 0.29 0.57 0.96 0.52 0.84 0.25 0.57 0.49 0.92 0.99 0.91 0.10 0.82 0.96 0.23 0.78 0.79 1.00 0.95 0.17 0.98 0.36 0.30 0.46 0.90 0.77 0.91 0.04 0.65 0.12 0.66 0.89 0.83 0.74 0.90 0.28 0.41 0.51 0.60 0.60 0.80 0.00 0.38 0.04 0.11 0.88 0.00 0.28 0.63 0.70 0.97 0.43 0.04 0.48 0.90 0.96 0.20 0.51 0.84 0.33 0.88 0.55 0.98 0.67 0.99 0.86 0.60 0.63 0.31 0.65 0.89 0.94 0.24 ]
[ 0.90 0.64 0.34 0.96 0.76 0.62 0.25 0.25 0.50 0.36 0.39 0.90 0.69 0.82 0.48 0.61 0.50 0.11 0.81 0.95 1.00 0.41 0.57 0.51 0.73 0.95 0.13 0.32 0.81 0.47 0.71 0.51 0.00 0.88 0.94 0.28 0.72 0.37 0.13 0.46 0.69 0.39 0.41 0.66 0.64 0.55 0.75 0.70 0.17 0.50 0.64 0.94 0.81 0.92 0.98 0.48 0.44 0.86 0.54 0.78 0.00 0.48 0.66 0.38 0.88 0.23 0.01 0.91 0.96 0.00 0.24 0.15 0.90 0.75 0.41 ]
[ 0.76 0.97 0.20 0.87 0.64 0.73 0.59 0.30 0.98 0.70 0.95 0.71 0.26 0.49 0.76 0.74 0.94 0.84 0.10 0.17 0.41 1.00 0.17 0.53 0.27 0.62 0.98 0.98 0.64 0.69 0.48 0.42 0.18 0.45 0.34 0.98 0.13 0.97 0.76 0.44 0.57 0.53 0.82 0.47 0.90 0.67 0.96 0.89 0.09 0.74 0.48 0.16 0.99 0.34 0.87 0.75 0.69 0.29 0.71 0.91 0.77 0.00 0.94 0.87 0.75 0.89 0.90 0.69 0.14 0.82 0.64 0.57 0.44 0.58 0.71 ]
[ 0.88 0.24 0.61 0.28 0.43 0.80 0.10 0.43 0.99 0.21 0.86 0.99 0.83 0.41 0.28 0.87 0.58 0.92 0.67 0.98 0.57 0.17 1.00 0.51 0.25 0.97 0.75 0.88 0.72 0.48 0.92 0.73 0.71 0.87 0.45 0.79 0.65 0.84 0.71 0.45 0.23 0.96 0.28 0.62 0.91 0.26 0.41 0.89 0.69 0.62 0.22 0.86 0.23 0.39 0.93 0.98 0.85 0.56 0.51 0.88 0.42 0.72 0.39 0.80 0.92 0.36 0.88 0.41 0.40 0.30 0.49 0.49 0.60 0.95 0.90 ]
[ 0.83 0.38 0.34 0.95 0.99 0.79 0.53 0.44 0.83 0.63 0.94 0.79 0.97 0.96 0.15 0.66 0.26 0.62 0.22 0.36 0.51 0.53 0.51 1.00 0.86 0.34 0.47 0.83 0.66 0.15 0.85 0.41 0.07 0.21 0.57 0.67 0.00 0.42 0.97 0.48 0.60 0.81 0.59 0.08 0.35 0.15 0.81 0.63 0.59 0.44 0.16 0.18 0.86 0.89 0.83 0.52 0.79 0.87 0.17 0.08 0.59 0.94 0.66 0.77 0.96 0.61 0.89 0.74 0.02 0.30 0.74 0.65 0.30 0.89 0.53 ]
[ 0.77 0.13 0.35 0.84 0.38 0.00 0.33 0.97 0.04 0.86 0.96 0.25 0.35 0.76 0.18 0.49 0.29 0.79 0.47 0.30 0.73 0.27 0.25 0.86 1.00 0.54 0.91 0.67 0.48 0.49 0.80 0.79 0.74 0.09 0.98 0.21 0.93 0.92 0.62 0.15 0.94 0.42 0.96 0.24 0.68 0.42 0.69 0.79 0.18 0.57 0.37 0.94 0.07 0.58 0.69 0.40 0.27 0.39 0.77 0.86 0.22 0.38 0.69 0.92 0.67 0.65 0.68 0.78 0.90 0.41 0.87 0.49 0.49 0.29 0.36 ]
[ 0.29 0.22 0.80 0.00 0.95 0.99 1.00 0.94 0.90 0.28 0.39 0.80 0.59 0.89 0.81 0.59 0.95 0.86 0.82 0.46 0.95 0.62 0.97 0.34 0.54 1.00 0.85 0.97 0.33 0.93 0.40 0.73 0.05 0.91 0.72 0.69 0.13 0.14 0.29 0.03 0.68 0.64 0.76 0.86 0.16 0.77 0.99 0.07 0.36 0.54 0.09 0.89 0.89 0.74 0.00 0.17 0.39 0.00 0.86 0.85 0.51 0.72 0.43 0.02 0.19 0.61 0.52 0.82 0.65 0.85 0.60 0.56 0.14 0.19 0.48 ]
[ 0.43 0.50 0.68 0.49 0.47 0.32 0.91 0.55 0.72 0.51 0.53 0.30 0.76 0.75 0.88 0.88 0.86 0.91 0.69 0.90 0.13 0.98 0.75 0.47 0.91 0.85 1.00 0.30 0.23 0.91 0.70 0.39 0.79 0.48 0.33 0.32 0.60 0.08 0.76 0.70 0.30 0.98 0.79 0.62 0.23 0.93 0.93 0.68 0.13 0.78 0.62 0.02 0.43 0.09 0.68 0.86 0.00 0.82 0.87 0.38 0.25 0.61 0.99 0.70 0.91 0.36 0.63 0.59 0.98 0.55 0.16 0.00 0.84 0.26 0.89 ]
[ 0.00 0.21 0.70 0.48 0.90 0.01 0.45 0.28 0.03 0.00 0.00 0.70 0.31 0.29 0.93 0.54 0.52 0.27 0.69 0.77 0.32 0.98 0.88 0.83 0.67 0.97 0.30 1.00 0.82 0.90 0.85 0.89 0.26 0.81 1.00 0.98 0.87 0.89 0.44 0.91 0.94 0.49 0.16 0.80 0.86 0.37 0.59 0.95 0.36 0.81 0.00 0.71 0.88 0.85 0.18 0.82 1.00 0.98 0.39 0.95 0.95 0.59 0.53 0.48 0.52 0.34 0.88 0.53 0.64 0.99 0.79 0.25 0.89 0.58 0.59 ]
[ 0.29 0.52 0.40 0.30 0.40 0.43 0.95 0.17 0.34 0.32 0.16 0.79 0.18 0.75 0.97 0.82 0.96 0.71 0.58 0.91 0.81 0.64 0.72 0.66 0.48 0.33 0.23 0.82 1.00 0.98 0.03 0.25 0.67 0.86 0.96 0.22 0.00 0.95 0.86 0.31 0.21 0.82 0.90 0.56 0.57 0.97 0.86 0.86 0.21 0.97 0.91 0.48 0.92 0.55 0.34 0.41 0.14 0.39 0.90 0.31 0.97 0.73 0.42 0.56 0.57 0.74 0.51 0.35 0.00 0.75 0.63 0.81 0.08 0.06 0.93 ]
[ 0.89 0.93 0.89 0.70 0.95 0.50 0.95 0.70 0.96 0.37 0.92 0.37 0.68 0.39 0.90 0.72 0.96 0.92 0.31 0.04 0.47 0.69 0.48 0.15 0.49 0.93 0.91 0.90 0.98 1.00 0.20 0.21 0.36 0.93 0.93 0.72 0.98 0.45 0.01 0.54 0.85 0.57 0.35 0.29 0.85 0.83 0.32 0.30 0.83 0.68 0.66 0.42 0.41 0.64 0.04 0.45 0.50 0.28 0.88 0.92 0.87 0.38 0.49 0.99 0.89 0.81 0.89 0.93 0.87 0.22 0.51 0.61 0.55 0.71 0.00 ]
[ 0.17 0.86 0.99 0.34 0.83 0.44 0.77 0.33 0.42 0.19 0.78 0.16 0.79 0.03 0.69 0.25 0.18 0.65 0.33 0.65 0.71 0.48 0.92 0.85 0.80 0.40 0.70 0.85 0.03 0.20 1.00 0.89 0.41 0.40 0.28 0.64 0.28 0.57 0.10 0.68 0.21 0.06 0.53 0.02 0.50 0.41 0.30 0.90 0.90 0.40 0.93 0.02 0.47 0.14 0.62 0.42 0.64 0.33 0.63 0.97 0.43 0.48 0.70 0.30 0.91 0.94 0.60 0.66 0.48 0.28 0.39 0.79 0.39 0.35 0.94 ]
[ 0.60 0.72 0.48 0.43 0.09 0.94 0.09 0.85 0.95 0.10 0.69 0.71 0.45 0.35 0.67 0.52 0.46 0.60 0.94 0.12 0.51 0.42 0.73 0.41 0.79 0.73 0.39 0.89 0.25 0.21 0.89 1.00 0.30 0.89 0.57 0.47 0.87 0.42 0.76 0.49 0.23 0.04 0.23 0.76 0.61 0.28 0.89 0.17 0.67 0.25 0.39 0.25 0.48 0.03 0.54 0.80 0.62 1.00 0.70 0.71 0.01 0.91 0.68 0.12 0.65 0.73 0.50 0.52 0.00 0.68 0.19 0.32 0.02 0.11 0.30 ]
[ 0.76 0.57 0.89 0.28 0.89 0.58 0.00 0.22 0.56 0.52 0.48 0.70 0.67 0.74 0.80 1.00 0.15 0.30 0.91 0.66 0.00 0.18 0.71 0.07 0.74 0.05 0.79 0.26 0.67 0.36 0.41 0.30 1.00 0.67 0.59 0.17 0.92 0.96 0.87 0.71 0.23 0.67 0.34 0.42 0.84 0.86 0.18 0.21 0.37 0.13 0.55 0.77 0.41 0.18 0.30 0.67 0.09 0.00 0.13 0.70 0.82 0.89 0.46 0.03 0.40 0.56 0.00 0.93 0.59 0.70 0.45 0.93 0.37 0.95 0.15 ]
[ 0.11 0.94 0.93 0.26 0.46 0.24 0.57 1.00 0.35 0.92 0.04 0.96 0.43 0.30 0.28 0.39 0.52 0.61 0.33 0.89 0.88 0.45 0.87 0.21 0.09 0.91 0.48 0.81 0.86 0.93 0.40 0.89 0.67 1.00 0.49 0.55 0.49 0.39 0.74 0.75 0.59 0.45 0.40 0.18 0.67 0.87 0.59 0.41 0.25 0.76 0.56 0.52 0.22 0.55 0.78 0.71 0.09 0.63 0.89 0.86 0.28 0.89 0.59 0.86 0.16 0.43 0.43 0.62 0.70 0.47 0.95 0.03 0.49 0.32 0.94 ]
[ 0.25 0.19 0.55 0.85 1.00 0.48 0.53 0.29 0.58 0.16 0.36 0.89 0.91 0.26 0.80 0.54 0.92 0.19 0.78 0.83 0.94 0.34 0.45 0.57 0.98 0.72 0.33 1.00 0.96 0.93 0.28 0.57 0.59 0.49 1.00 0.12 0.53 0.59 0.66 0.81 0.61 0.39 0.33 0.93 0.34 0.67 0.34 0.32 0.76 0.52 0.72 0.38 0.91 0.52 0.95 0.77 0.72 0.42 0.33 0.87 1.00 0.92 0.97 0.84 0.30 0.88 0.73 0.91 0.92 0.42 0.91 0.49 0.50 0.04 0.73 ]
[ 0.70 0.85 0.45 0.00 0.50 0.97 0.36 0.28 0.64 0.21 0.46 0.37 0.27 0.94 0.31 0.40 0.60 0.89 0.97 0.74 0.28 0.98 0.79 0.67 0.21 0.69 0.32 0.98 0.22 0.72 0.64 0.47 0.17 0.55 0.12 1.00 0.34 0.04 0.00 0.23 0.85 0.62 0.16 0.40 0.21 0.85 0.84 0.91 0.61 0.67 0.76 0.05 0.70 0.55 0.03 0.85 0.49 0.66 0.91 0.18 0.95 0.47 0.32 0.99 0.46 0.07 0.27 0.94 1.00 0.49 0.75 0.42 0.25 0.74 0.29 ]
[ 0.61 0.67 0.86 0.64 0.28 0.95 0.56 0.31 0.00 0.27 0.50 0.57 0.28 0.67 0.58 0.27 0.89 0.18 0.89 0.90 0.72 0.13 0.65 0.00 0.93 0.13 0.60 0.87 0.00 0.98 0.28 0.87 0.92 0.49 0.53 0.34 1.00 0.84 0.14 0.55 0.89 0.22 0.26 0.01 0.40 0.34 0.98 0.92 0.31 0.18 0.84 0.78 0.68 0.01 0.38 0.78 0.25 0.40 0.54 0.94 0.22 0.88 0.60 0.62 0.57 0.33 0.57 0.70 0.18 0.86 0.52 0.84 1.00 0.14 0.69 ]
[ 0.28 0.91 0.93 0.51 0.33 0.35 0.29 0.67 0.55 0.99 0.18 0.01 0.35 0.49 0.61 0.62 0.93 0.18 0.12 0.28 0.37 0.97 0.84 0.42 0.92 0.14 0.08 0.89 0.95 0.45 0.57 0.42 0.96 0.39 0.59 0.04 0.84 1.00 0.92 0.47 0.73 0.43 0.84 0.30 0.00 0.72 0.40 0.92 0.89 0.69 0.71 0.88 0.44 0.79 0.28 0.47 0.94 0.32 0.08 0.38 0.97 0.28 0.90 0.44 0.91 0.70 0.59 0.41 0.66 0.85 0.86 0.68 0.17 0.72 0.32 ]
[ 0.27 0.92 0.90 0.86 0.83 0.95 0.08 0.46 0.96 0.44 0.99 0.77 0.90 0.54 0.04 0.59 0.39 0.80 0.39 0.41 0.13 0.76 0.71 0.97 0.62 0.29 0.76 0.44 0.86 0.01 0.10 0.76 0.87 0.74 0.66 0.00 0.14 0.92 1.00 0.40 0.89 0.31 0.26 0.27 0.98 0.71 0.81 0.51 0.46 0.55 0.16 0.31 0.90 0.59 0.29 0.00 0.50 0.98 0.62 0.34 0.40 0.19 0.26 0.39 0.00 0.76 0.28 0.66 0.82 0.47 0.60 0.54 0.25 0.87 0.68 ]
[ 0.47 0.36 0.54 0.29 0.85 0.99 0.52 0.66 0.30 0.57 0.36 0.50 0.88 0.94 0.84 0.97 0.23 0.85 0.52 0.51 0.46 0.44 0.45 0.48 0.15 0.03 0.70 0.91 0.31 0.54 0.68 0.49 0.71 0.75 0.81 0.23 0.55 0.47 0.40 1.00 0.93 1.00 0.19 0.79 0.26 0.81 0.87 0.80 0.54 0.80 0.47 0.61 0.74 0.23 0.19 0.59 0.76 0.38 0.46 0.29 0.83 0.00 0.22 0.55 0.98 0.78 0.79 0.51 0.90 0.19 0.42 0.99 0.97 0.36 0.85 ]
[ 0.94 0.38 0.38 0.77 0.95 0.94 0.89 0.24 0.35 0.69 0.70 0.11 0.36 0.51 0.48 0.82 0.25 0.22 0.38 0.60 0.69 0.57 0.23 0.60 0.94 0.68 0.30 0.94 0.21 0.85 0.21 0.23 0.23 0.59 0.61 0.85 0.89 0.73 0.89 0.93 1.00 0.00 0.59 0.19 0.58 0.74 0.88 0.92 0.30 0.53 0.89 0.30 0.33 0.93 0.99 0.51 0.23 0.93 0.54 0.16 0.81 0.67 0.26 0.25 0.26 0.53 0.54 0.85 0.98 0.17 0.10 0.46 0.57 0.51 0.56 ]
[ 0.32 0.55 0.96 0.83 0.51 0.89 0.53 0.25 0.98 0.33 0.90 1.00 0.40 0.33 0.99 0.85 0.62 0.27 0.92 0.60 0.39 0.53 0.96 0.81 0.42 0.64 0.98 0.49 0.82 0.57 0.06 0.04 0.67 0.45 0.39 0.62 0.22 0.43 0.31 1.00 0.00 1.00 0.37 0.41 0.95 0.33 0.78 0.49 0.75 0.28 0.75 0.92 0.78 0.92 0.75 0.39 0.28 0.77 0.92 0.53 0.70 0.76 0.88 0.87 0.06 0.82 0.42 0.26 0.92 0.95 0.59 0.64 0.99 0.37 0.73 ]
[ 0.94 0.81 0.90 0.61 0.52 0.89 0.42 0.47 0.56 0.38 0.55 0.89 0.51 0.00 0.55 0.66 0.18 0.63 0.60 0.80 0.41 0.82 0.28 0.59 0.96 0.76 0.79 0.16 0.90 0.35 0.53 0.23 0.34 0.40 0.33 0.16 0.26 0.84 0.26 0.19 0.59 0.37 1.00 0.47 0.95 0.35 0.63 0.14 0.64 0.90 0.37 0.41 0.23 0.24 1.00 0.55 0.91 0.35 0.66 0.75 0.19 0.32 0.08 0.75 0.23 0.37 0.67 0.31 0.95 0.58 0.28 0.58 0.19 0.73 0.58 ]
[ 0.88 0.54 0.94 0.39 0.19 0.67 0.26 0.41 0.24 0.47 0.34 0.85 0.26 0.47 0.37 0.26 0.68 0.94 0.31 0.00 0.66 0.47 0.62 0.08 0.24 0.86 0.62 0.80 0.56 0.29 0.02 0.76 0.42 0.18 0.93 0.40 0.01 0.30 0.27 0.79 0.19 0.41 0.47 1.00 0.87 0.97 0.92 0.57 0.57 0.50 0.87 0.94 0.23 0.11 1.00 0.78 0.49 0.49 0.00 0.22 0.98 0.71 0.31 0.78 0.96 0.16 0.67 0.04 0.42 0.72 0.54 0.16 0.28 0.60 0.65 ]
[ 0.50 0.29 0.12 0.63 0.99 0.61 0.46 0.57 0.40 0.15 0.79 0.84 0.45 0.66 0.19 0.00 0.95 0.25 0.80 0.38 0.64 0.90 0.91 0.35 0.68 0.16 0.23 0.86 0.57 0.85 0.50 0.61 0.84 0.67 0.34 0.21 0.40 0.00 0.98 0.26 0.58 0.95 0.95 0.87 1.00 0.48 0.52 0.78 0.45 0.89 0.43 0.75 0.54 0.33 0.10 0.86 0.12 0.43 0.16 0.48 0.70 0.39 0.31 0.20 0.86 0.75 0.58 0.94 0.13 0.22 0.80 0.97 0.88 0.00 0.88 ]
