[ 0.05 0.98 0.96 0.50 0.98 0.87 0.59 0.59 0.84 0.82 1.00 0.79 0.93 0.73 0.43 0.48 0.71 0.39 0.16 0.62 0.36 0.72 0.19 0.22 0.14 0.77 0.81 0.99 0.18 0.67 0.60 0.58 0.87 0.43 0.09 0.92 0.90 0.35 0.99 0.89 0.54 0.00 0.50 0.87 0.84 0.68 0.53 0.19 0.87 0.42 0.61 0.97 0.71 0.98 0.83 0.47 0.72 0.18 0.53 0.38 0.21 0.83 0.86 0.58 0.19 0.52 0.46 0.35 0.91 0.46 0.91 0.29 0.50 0.53 0.06 0.93 0.83 0.23 0.94 0.89 0.65 0.38 0.22 ]
[ 0.23 0.94 0.91 0.31 0.93 0.30 0.83 0.94 0.63 0.83 0.79 1.00 0.91 0.97 0.00 0.28 0.19 0.31 0.99 0.64 0.73 0.71 0.36 0.80 0.21 0.67 0.77 0.82 0.90 0.34 0.37 0.77 0.76 0.62 0.41 0.61 0.53 0.55 0.35 0.98 0.86 0.31 0.51 0.45 0.60 0.83 0.88 0.90 0.82 0.98 0.40 0.93 1.00 0.68 0.58 0.59 0.88 0.57 0.18 0.54 0.96 0.95 0.91 0.14 0.84 0.63 0.39 0.89 0.39 0.56 0.59 0.58 0.20 0.56 0.04 0.97 0.63 0.78 0.45 0.45 0.10 0.96 0.90 ]
[ 0.62 0.00 0.55 0.04 0.98 0.36 0.45 1.00 0.89 0.76 0.93 0.91 1.00 0.39 0.85 0.94 0.25 0.92 0.92 0.37 0.32 0.64 0.55 0.84 0.46 0.44 0.52 0.24 0.28 0.52 0.42 0.75 0.43 0.66 0.92 0.55 0.27 0.57 0.75 0.67 0.15 0.44 0.38 0.42 0.85 0.96 0.21 0.99 0.81 0.90 0.64 0.19 0.27 0.58 0.33 0.90 0.93 0.70 0.89 0.91 0.02 0.62 0.10 0.62 0.31 0.15 0.78 0.97 0.66 0.22 0.70 0.32 0.28 0.26 0.30 0.67 0.58 0.50 0.84 0.99 0.27 0.24 0.84 ]
[ 0.36 0.39 0.74 0.99 0.51 0.47 0.90 0.36 0.84 0.76 0.73 0.97 0.39 1.00 0.26 0.90 0.64 0.63 0.46 0.83 0.38 0.23 0.50 0.92 0.17 0.27 0.62 0.76 0.44 0.67 0.55 0.72 0.31 0.30 0.42 0.33 0.42 0.97 0.22 0.78 0.66 0.20 0.43 0.03 0.71 0.41 0.18 0.60 0.65 0.00 0.01 0.28 0.47 0.57 0.61 0.32 0.09 0.75 0.96 0.30 0.57 0.77 0.29 0.94 0.97 0.91 0.54 0.11 0.24 0.91 0.27 0.54 0.99 0.68 0.03 0.24 0.02 0.70 0.23 0.71 0.79 0.12 0.70 ]
[ 0.94 0.32 0.41 0.73 0.32 0.30 0.62 0.21 0.05 0.44 0.43 0.00 0.85 0.26 1.00 0.49 0.97 0.63 0.48 0.96 0.10 0.85 0.49 0.64 0.26 0.99 0.79 0.27 0.00 0.83 0.66 0.70 0.36 0.39 0.87 0.00 0.89 0.50 0.00 0.74 0.69 0.94 0.89 0.29 0.00 0.28 0.17 0.25 0.82 0.16 0.98 0.34 0.98 0.77 0.73 0.98 0.35 0.86 0.07 0.52 0.63 0.77 0.41 0.42 0.72 0.54 0.00 0.87 0.95 0.77 0.93 0.99 0.99 0.87 0.43 0.80 0.39 0.97 0.98 0.18 0.93 0.41 0.92 ]
[ 0.61 0.87 0.35 0.94 0.47 0.70 0.05 0.45 0.16 0.85 0.48 0.28 0.94 0.90 0.49 1.00 0.45 0.49 0.54 0.86 0.69 0.50 0.43 0.52 0.84 0.24 0.56 0.99 0.60 0.88 0.20 0.92 0.67 0.72 0.82 0.71 0.76 0.59 0.88 0.57 0.17 0.83 0.64 0.32 0.44 0.40 0.24 0.15 0.97 0.88 0.64 0.93 0.34 0.74 0.05 0.62 0.26 0.99 0.53 0.03 0.95 0.47 0.43 0.63 0.34 0.17 0.97 0.52 0.96 0.09 0.71 0.91 0.98 0.98 0.52 0.42 0.94 1.00 0.35 0.32 0.52 0.51 0.73 ]
[ 0.79 0.44 0.89 0.41 0.67 0.97 0.71 0.67 0.59 0.91 0.71 0.19 0.25 0.64 0.97 0.45 1.00 0.07 0.44 0.56 0.89 0.28 0.35 0.54 0.19 0.85 0.11 0.95 0.95 0.56 0.02 0.93 0.87 0.93 0.17 0.69 0.20 0.45 0.84 0.26 0.14 0.63 0.02 0.96 0.04 0.18 0.44 0.42 0.58 0.23 0.01 0.99 0.98 0.92 0.39 0.98 0.97 0.81 0.78 0.00 0.25 0.70 0.43 0.80 0.16 0.20 0.78 0.94 0.71 0.49 0.89 0.48 0.76 0.49 0.80 0.53 0.24 0.57 0.66 0.49 0.41 0.42 0.51 ]
[ 0.69 0.51 0.53 0.82 0.44 0.69 0.22 0.26 0.93 0.07 0.39 0.31 0.92 0.63 0.63 0.49 0.07 1.00 0.34 0.99 0.99 0.75 0.71 0.45 0.08 0.07 0.06 0.43 0.22 0.53 0.98 0.25 0.27 0.89 0.99 0.30 0.44 0.89 0.71 0.50 0.86 0.43 0.08 0.93 0.80 0.28 0.84 0.17 0.84 0.58 0.46 0.74 0.78 0.19 0.77 0.18 0.49 0.49 0.89 0.57 0.87 0.99 0.23 0.89 0.31 0.86 0.65 0.93 0.18 0.38 0.02 0.98 0.97 0.57 0.44 0.29 0.84 0.59 0.87 0.88 0.69 0.16 0.27 ]
[ 0.61 0.93 0.48 0.27 0.67 0.62 0.68 0.39 0.07 0.51 0.16 0.99 0.92 0.46 0.48 0.54 0.44 0.34 1.00 0.87 0.23 0.25 0.73 0.13 0.45 0.63 0.95 0.41 0.17 0.68 0.00 1.00 0.62 0.08 0.44 0.35 0.27 0.69 0.54 0.34 0.31 0.76 0.42 0.46 0.70 0.71 0.90 0.46 0.00 0.82 0.92 0.92 0.27 0.73 0.96 0.74 0.75 0.71 0.99 0.41 0.00 0.97 0.35 0.56 0.25 0.62 0.18 0.66 0.74 0.14 0.60 0.89 0.45 0.40 0.70 0.66 0.32 0.57 0.62 0.89 0.70 0.87 0.09 ]
[ 0.66 0.49 0.06 0.61 0.47 0.34 0.41 0.49 0.88 0.17 0.62 0.64 0.37 0.83 0.96 0.86 0.56 0.99 0.87 1.00 0.99 0.67 0.98 0.44 0.81 0.84 0.28 0.88 0.55 0.46 0.83 0.90 0.80 0.02 0.81 0.76 0.32 0.64 0.85 0.35 0.81 0.88 0.86 0.18 0.98 0.71 0.57 0.86 0.89 0.55 0.84 0.19 0.19 0.41 0.13 0.84 0.14 0.82 0.59 0.59 0.92 0.05 0.54 0.58 0.55 0.16 0.94 0.71 0.73 0.67 0.73 0.08 0.82 0.69 0.48 0.86 0.72 0.86 0.67 0.03 0.98 0.77 0.35 ]
[ 0.80 0.78 0.06 0.25 0.97 0.32 0.03 0.79 0.61 0.26 0.36 0.73 0.32 0.38 0.10 0.69 0.89 0.99 0.23 0.99 1.00 0.27 0.75 0.72 0.95 0.47 0.97 0.29 0.94 0.31 0.61 0.97 0.79 0.64 0.29 0.31 0.34 0.57 0.37 0.72 0.67 0.55 0.93 0.72 0.86 0.94 0.36 0.86 0.42 0.82 0.06 0.01 0.09 0.00 0.77 0.55 0.72 0.45 0.40 0.28 0.04 0.19 0.51 0.18 0.72 0.64 0.29 0.92 0.48 0.56 0.30 0.88 0.15 0.43 0.98 0.98 0.97 0.19 0.38 0.00 0.25 0.67 0.23 ]
[ 0.50 0.77 0.11 0.90 0.86 0.79 0.14 0.22 0.68 0.83 0.72 0.71 0.64 0.23 0.85 0.50 0.28 0.75 0.25 0.67 0.27 1.00 0.16 0.87 0.53 0.41 0.63 0.64 0.71 0.03 0.78 0.27 0.39 0.24 0.53 0.90 0.72 0.79 0.91 1.00 0.49 0.62 0.69 0.49 0.45 0.14 0.83 0.24 0.58 0.68 0.51 0.46 0.94 0.27 0.06 0.83 0.52 0.16 0.16 0.76 0.88 0.70 0.80 0.92 0.02 0.63 0.38 0.85 0.48 0.78 0.90 0.10 0.93 0.29 0.88 0.83 0.98 0.54 0.61 0.39 0.31 0.50 0.26 ]
[ 0.48 0.44 0.64 0.20 0.99 0.53 0.19 0.56 0.82 0.13 0.19 0.36 0.55 0.50 0.49 0.43 0.35 0.71 0.73 0.98 0.75 0.16 1.00 0.47 0.65 0.92 0.89 0.83 0.77 0.34 0.32 0.93 0.85 0.81 0.20 0.49 0.38 0.75 0.50 0.22 0.10 0.36 0.68 0.63 0.46 0.67 0.88 0.97 0.36 0.75 0.20 0.63 0.05 0.98 0.76 0.18 0.54 0.49 0.58 0.82 0.25 0.96 0.99 0.53 0.41 0.59 0.68 0.97 0.13 0.78 0.95 0.35 0.00 0.69 0.78 0.50 0.21 0.66 0.87 1.00 0.63 0.19 0.00 ]
[ 0.98 0.65 0.40 0.05 0.86 0.34 0.57 0.55 0.64 0.49 0.22 0.80 0.84 0.92 0.64 0.52 0.54 0.45 0.13 0.44 0.72 0.87 0.47 1.00 0.41 0.30 0.59 0.99 0.20 0.51 0.16 0.33 0.53 0.86 0.81 0.78 0.92 0.14 0.41 0.84 0.84 0.83 0.38 0.98 0.02 0.96 0.47 0.24 0.88 0.96 0.60 0.91 0.83 0.81 0.91 0.21 0.23 0.00 0.46 0.98 0.24 0.55 0.66 0.91 0.97 0.92 0.89 0.05 0.20 0.35 0.01 0.50 0.37 0.45 0.51 0.94 0.55 0.82 0.96 0.16 0.15 0.07 0.09 ]
[ 0.46 0.80 0.28 0.44 0.98 0.93 0.89 0.29 0.73 0.50 0.14 0.21 0.46 0.17 0.26 0.84 0.19 0.08 0.45 0.81 0.95 0.53 0.65 0.41 1.00 0.55 0.00 0.98 0.55 0.54 0.41 0.07 0.59 0.66 0.90 0.31 0.60 0.60 0.56 0.94 0.65 0.42 0.81 0.91 0.36 0.53 0.86 0.97 0.96 0.15 0.47 0.96 0.74 0.89 0.92 0.33 0.90 0.53 0.78 0.97 0.83 0.13 0.40 0.70 0.32 0.28 0.85 0.71 0.32 0.37 0.82 0.79 0.88 0.56 0.45 0.36 0.00 0.27 0.22 0.33 0.23 0.43 0.20 ]
[ 0.89 0.21 0.08 0.94 0.36 0.39 0.97 0.37 0.68 0.80 0.77 0.67 0.44 0.27 0.99 0.24 0.85 0.07 0.63 0.84 0.47 0.41 0.92 0.30 0.55 1.00 0.59 0.52 0.32 0.60 0.26 0.17 0.53 0.19 0.07 0.62 0.79 0.49 0.84 0.88 0.45 0.10 0.88 0.67 0.46 0.34 0.39 0.88 0.46 0.72 0.66 0.93 0.33 0.72 0.94 0.58 0.89 0.20 0.48 1.00 0.03 0.51 0.54 0.44 0.84 0.77 0.00 0.42 1.00 0.88 0.83 0.12 0.49 0.20 0.55 0.83 0.21 0.84 0.97 0.18 0.65 0.95 0.83 ]
[ 0.09 0.07 0.44 0.35 0.83 0.38 0.67 0.69 0.86 0.43 0.81 0.77 0.52 0.62 0.79 0.56 0.11 0.06 0.95 0.28 0.97 0.63 0.89 0.59 0.00 0.59 1.00 0.97 0.45 0.27 0.87 0.91 0.87 0.58 0.90 0.27 0.70 0.86 0.77 0.39 0.41 0.16 0.86 0.89 0.96 0.78 0.92 0.92 0.69 0.89 0.62 0.55 0.56 0.17 0.67 0.19 0.42 0.92 0.98 0.81 0.31 0.92 0.24 0.33 0.18 0.17 0.80 0.28 0.31 0.84 0.57 0.20 0.22 0.45 0.35 0.93 0.03 0.29 0.83 0.32 0.82 0.96 0.98 ]
[ 0.17 0.82 0.66 0.75 0.95 0.87 0.17 0.39 0.32 0.16 0.99 0.82 0.24 0.76 0.27 0.99 0.95 0.43 0.41 0.88 0.29 0.64 0.83 0.99 0.98 0.52 0.97 1.00 0.44 0.25 0.20 0.47 0.96 0.95 0.51 0.93 0.48 0.21 0.21 0.23 0.20 0.94 1.00 0.66 0.56 0.71 0.58 0.12 0.72 0.50 0.91 0.91 0.12 0.54 0.93 0.29 0.67 0.06 0.36 0.23 0.16 0.53 0.27 0.83 0.71 0.38 0.50 0.23 0.88 0.24 0.39 0.41 0.02 0.72 0.81 0.39 0.75 0.57 0.31 0.16 0.01 0.33 0.20 ]
[ 0.26 0.27 0.93 0.92 0.72 0.02 0.20 1.00 0.46 0.69 0.18 0.90 0.28 0.44 0.00 0.60 0.95 0.22 0.17 0.55 0.94 0.71 0.77 0.20 0.55 0.32 0.45 0.44 1.00 0.72 0.01 0.00 0.91 0.91 0.06 0.38 0.26 0.28 0.23 0.96 0.89 0.02 0.38 0.56 0.93 0.96 0.17 0.78 0.14 0.80 0.53 0.88 0.08 0.71 0.45 0.69 0.71 0.19 0.45 0.16 0.57 0.98 0.90 0.19 0.18 0.57 0.89 0.34 0.24 0.91 0.57 0.35 0.23 0.52 0.84 0.53 0.89 0.88 0.23 0.78 0.34 0.11 0.04 ]
[ 0.00 0.41 0.99 0.92 0.98 0.92 0.63 0.97 0.54 0.83 0.67 0.34 0.52 0.67 0.83 0.88 0.56 0.53 0.68 0.46 0.31 0.03 0.34 0.51 0.54 0.60 0.27 0.25 0.72 1.00 0.36 0.87 0.82 0.78 0.86 0.57 0.54 0.27 0.27 0.49 0.19 0.63 0.68 0.46 0.49 0.51 0.23 0.50 0.90 0.37 0.91 0.86 0.49 0.21 0.95 0.19 0.87 0.62 0.96 0.44 0.73 1.00 0.53 0.15 0.98 0.35 0.88 0.89 0.93 0.42 0.99 0.00 0.22 0.94 0.14 0.91 0.53 0.01 0.78 0.92 0.92 0.18 0.17 ]
[ 0.97 0.95 0.72 0.87 0.18 0.14 0.56 0.68 0.93 0.92 0.60 0.37 0.42 0.55 0.66 0.20 0.02 0.98 0.00 0.83 0.61 0.78 0.32 0.16 0.41 0.26 0.87 0.20 0.01 0.36 1.00 0.20 0.80 0.87 0.41 0.86 0.70 0.07 0.39 0.97 0.04 0.40 0.47 0.78 0.10 0.96 0.38 0.45 0.89 0.43 0.26 0.22 0.00 0.56 0.46 0.91 0.66 0.10 0.68 0.69 0.87 0.46 0.19 0.34 0.50 0.65 0.16 0.32 0.89 0.56 0.89 0.85 0.89 0.78 0.30 0.68 0.91 0.30 0.92 0.69 0.39 0.21 0.60 ]
[ 0.33 0.84 0.27 0.10 0.89 0.24 0.61 0.46 0.90 0.49 0.58 0.77 0.75 0.72 0.70 0.92 0.93 0.25 1.00 0.90 0.97 0.27 0.93 0.33 0.07 0.17 0.91 0.47 0.00 0.87 0.20 1.00 0.36 0.87 0.57 0.78 0.48 0.36 0.89 0.17 0.77 0.29 0.76 0.57 0.56 0.24 0.35 0.84 0.10 0.49 0.08 0.77 0.56 0.42 0.95 0.98 0.74 0.63 0.62 0.40 0.30 0.99 0.33 0.21 0.86 0.29 0.82 0.58 0.89 0.42 0.91 0.54 0.89 1.00 0.51 0.29 0.73 0.32 0.17 0.85 0.78 0.95 0.37 ]
[ 0.45 0.29 0.29 0.83 0.55 0.91 0.60 0.50 0.69 0.15 0.87 0.76 0.43 0.31 0.36 0.67 0.87 0.27 0.62 0.80 0.79 0.39 0.85 0.53 0.59 0.53 0.87 0.96 0.91 0.82 0.80 0.36 1.00 0.44 0.00 0.71 0.64 0.87 0.35 0.81 0.76 0.44 0.23 0.98 0.54 0.88 0.20 0.89 0.96 0.39 0.12 0.78 0.26 0.49 0.90 0.62 0.96 0.98 0.58 0.17 0.76 0.72 0.95 0.76 0.95 0.69 0.40 0.15 0.63 0.83 0.79 0.35 0.65 0.46 0.73 0.51 0.96 0.95 0.44 0.74 0.67 0.93 0.36 ]
[ 0.88 0.84 0.08 0.72 0.95 0.99 0.86 0.08 0.89 0.32 0.43 0.62 0.66 0.30 0.39 0.72 0.93 0.89 0.08 0.02 0.64 0.24 0.81 0.86 0.66 0.19 0.58 0.95 0.91 0.78 0.87 0.87 0.44 1.00 0.59 0.85 0.01 0.31 0.54 0.07 0.35 0.49 0.85 0.24 0.59 0.26 0.94 0.22 0.15 0.95 0.42 0.30 0.10 0.96 0.43 0.32 0.93 0.92 0.99 0.27 0.27 0.18 0.31 0.99 0.93 0.75 0.05 0.90 0.93 0.89 0.37 0.59 0.31 0.41 0.68 0.68 0.77 0.96 0.81 0.39 0.89 0.91 0.35 ]
[ 0.23 0.21 0.24 0.38 0.51 0.43 0.73 0.65 0.07 0.28 0.09 0.41 0.92 0.42 0.87 0.82 0.17 0.99 0.44 0.81 0.29 0.53 0.20 0.81 0.90 0.07 0.90 0.51 0.06 0.86 0.41 0.57 0.00 0.59 1.00 0.59 0.75 0.67 0.43 0.16 0.08 0.72 0.14 0.88 0.41 0.80 0.51 0.97 0.92 0.42 0.84 0.93 0.14 0.16 0.63 0.80 0.44 0.46 0.90 0.27 0.93 0.16 0.90 0.72 0.19 0.56 0.88 0.77 0.46 0.44 0.81 0.00 0.40 0.11 0.44 0.77 0.80 0.23 0.39 0.70 0.15 0.68 0.29 ]
[ 0.68 0.89 0.65 0.90 0.28 0.07 0.37 0.16 0.90 0.44 0.92 0.61 0.55 0.33 0.00 0.71 0.69 0.30 0.35 0.76 0.31 0.90 0.49 0.78 0.31 0.62 0.27 0.93 0.38 0.57 0.86 0.78 0.71 0.85 0.59 1.00 0.79 0.39 0.11 0.68 0.69 0.28 0.97 0.80 0.96 0.95 0.73 0.96 0.29 0.94 0.68 0.98 0.25 0.92 0.62 0.83 0.39 0.84 0.96 0.98 0.69 0.00 0.58 0.86 0.97 0.13 0.53 0.58 0.71 0.64 0.48 0.95 0.04 0.78 0.00 0.72 0.17 0.79 0.29 0.40 0.36 0.35 0.62 ]
[ 0.82 0.80 0.33 0.38 0.84 0.98 0.86 1.00 0.16 0.72 0.90 0.53 0.27 0.42 0.89 0.76 0.20 0.44 0.27 0.32 0.34 0.72 0.38 0.92 0.60 0.79 0.70 0.48 0.26 0.54 0.70 0.48 0.64 0.01 0.75 0.79 1.00 0.61 0.68 0.55 0.81 0.21 0.71 0.69 0.92 0.09 0.27 0.70 0.16 0.97 0.34 0.40 0.17 0.71 0.50 0.31 0.77 0.37 0.28 0.81 0.61 0.87 0.19 0.30 0.85 0.91 0.00 0.66 0.87 0.17 0.32 0.87 0.89 0.85 0.60 0.14 0.67 0.42 0.51 0.70 0.90 0.99 0.98 ]
[ 1.00 0.84 0.41 0.83 0.17 0.19 0.41 0.37 0.39 0.52 0.35 0.55 0.57 0.97 0.50 0.59 0.45 0.89 0.69 0.64 0.57 0.79 0.75 0.14 0.60 0.49 0.86 0.21 0.28 0.27 0.07 0.36 0.87 0.31 0.67 0.39 0.61 1.00 0.74 0.44 0.82 0.35 0.39 0.54 0.54 0.91 0.92 0.14 0.67 0.26 0.85 0.05 0.21 0.60 0.89 0.71 0.65 0.36 0.61 0.43 0.19 0.95 0.83 0.44 0.20 0.32 0.19 0.19 0.97 0.21 0.96 0.32 0.83 0.93 0.43 0.73 0.96 0.15 0.87 0.44 0.15 0.35 0.03 ]
[ 0.60 0.07 0.51 0.30 0.26 0.24 0.25 0.95 0.86 0.74 0.99 0.35 0.75 0.22 0.00 0.88 0.84 0.71 0.54 0.85 0.37 0.91 0.50 0.41 0.56 0.84 0.77 0.21 0.23 0.27 0.39 0.89 0.35 0.54 0.43 0.11 0.68 0.74 1.00 0.30 0.18 0.86 0.28 0.33 0.13 0.70 0.63 0.64 0.87 0.23 0.24 0.92 0.28 0.00 0.06 0.44 0.23 0.47 0.99 0.26 0.94 0.75 0.57 0.51 0.58 0.24 0.90 0.37 0.75 0.64 0.23 0.62 0.74 0.24 0.98 0.72 0.29 0.35 0.26 0.72 0.85 0.60 0.57 ]
[ 0.46 0.99 0.67 0.28 0.00 0.45 0.96 0.43 0.19 0.71 0.89 0.98 0.67 0.78 0.74 0.57 0.26 0.50 0.34 0.35 0.72 1.00 0.22 0.84 0.94 0.88 0.39 0.23 0.96 0.49 0.97 0.17 0.81 0.07 0.16 0.68 0.55 0.44 0.30 1.00 0.76 1.00 0.96 0.95 0.39 0.52 0.04 0.67 0.98 0.69 0.96 0.83 0.64 0.08 0.43 0.35 0.55 0.98 0.00 0.52 0.66 0.29 0.37 0.81 0.93 0.27 0.95 0.60 0.71 0.67 0.00 0.75 0.38 0.63 0.96 0.95 0.72 0.94 0.18 0.81 0.65 0.94 0.92 ]
