[ 0.77 0.97 0.47 0.76 0.19 0.95 0.73 0.45 0.41 0.53 1.00 0.43 0.45 0.21 0.96 0.53 0.69 0.30 0.25 0.79 0.34 0.77 0.95 0.64 0.79 0.35 0.72 0.08 0.81 0.67 0.38 0.81 0.35 0.32 0.97 0.45 0.14 0.95 0.23 0.27 0.17 0.34 0.02 0.21 0.42 0.67 0.24 0.97 0.98 0.98 0.32 0.96 0.57 0.98 0.97 0.96 ]
[ 0.50 0.66 0.31 0.13 0.54 0.87 0.54 0.42 0.85 0.64 0.43 1.00 0.49 0.95 0.71 0.95 0.56 0.99 0.02 0.23 0.12 0.95 0.04 0.34 0.70 0.54 0.26 0.91 0.37 0.32 0.69 0.05 0.41 0.19 0.82 0.49 0.24 0.74 0.92 0.88 0.04 0.13 0.20 0.00 0.89 0.93 0.30 0.90 0.18 0.01 0.55 0.70 0.63 0.20 0.67 0.48 ]
[ 0.78 0.93 0.91 0.00 0.25 0.94 0.29 0.99 0.51 0.00 0.45 0.49 1.00 0.86 0.42 0.51 0.51 0.63 0.96 0.74 0.49 0.50 0.98 0.87 0.12 0.89 0.17 0.02 0.17 0.71 0.37 0.97 0.20 0.74 0.41 0.80 0.54 0.46 0.93 0.21 0.45 0.25 0.43 0.99 0.48 0.97 0.19 0.09 0.23 0.82 0.87 0.40 0.05 0.23 0.91 0.24 ]
[ 0.52 0.94 0.82 0.40 0.18 0.02 0.60 0.83 0.36 0.93 0.21 0.95 0.86 1.00 0.55 0.34 0.08 0.43 0.83 0.73 0.75 0.26 0.77 0.48 0.16 0.96 0.94 0.29 0.17 0.98 0.57 0.08 0.38 0.28 0.88 0.38 0.47 0.15 0.94 0.41 0.89 1.00 0.79 0.14 0.93 0.08 0.77 0.89 0.19 0.52 0.92 0.34 0.39 0.34 0.96 0.58 ]
[ 0.32 0.42 0.98 0.40 0.79 0.28 0.89 0.51 0.26 0.92 0.96 0.71 0.42 0.55 1.00 0.66 1.00 0.70 0.56 0.63 0.44 0.31 0.70 0.87 0.93 0.87 0.93 0.86 0.49 0.92 0.76 0.64 0.73 0.96 0.70 0.08 0.15 0.76 0.86 0.22 0.58 0.91 0.69 0.99 0.35 0.90 0.94 0.00 0.52 0.74 0.29 0.51 0.27 1.00 0.42 0.97 ]
[ 0.12 0.34 0.49 0.31 0.90 0.33 0.37 0.81 0.73 0.79 0.53 0.95 0.51 0.34 0.66 1.00 0.90 0.25 0.95 0.41 0.50 0.22 0.68 0.51 0.77 0.57 0.68 0.36 0.50 0.27 0.91 0.98 0.27 0.76 0.87 0.69 0.14 0.64 0.84 0.16 0.55 0.82 0.67 0.34 0.54 0.23 0.45 0.64 0.85 0.45 0.97 0.64 0.20 0.49 0.58 0.80 ]
[ 0.83 0.38 0.38 0.21 0.38 0.27 0.85 0.44 0.94 0.26 0.69 0.56 0.51 0.08 1.00 0.90 1.00 0.87 0.93 0.26 0.22 0.33 0.62 0.88 0.35 0.80 0.35 0.80 0.50 0.43 0.19 0.49 0.29 0.76 0.49 0.53 0.68 0.12 0.49 0.97 0.26 0.93 0.47 0.46 0.45 0.81 0.75 0.00 0.19 0.05 0.52 0.38 0.87 0.13 0.58 0.40 ]
[ 0.19 0.32 0.52 0.32 0.35 1.00 0.95 0.89 0.53 0.20 0.30 0.99 0.63 0.43 0.70 0.25 0.87 1.00 0.85 0.13 0.53 0.76 0.68 0.91 0.55 0.11 0.99 0.91 0.46 0.08 0.76 0.24 0.31 0.98 0.54 0.61 0.23 0.00 0.76 0.17 0.97 0.97 0.70 0.74 0.38 0.66 0.07 0.85 0.40 0.71 0.18 0.32 0.95 0.67 0.18 0.62 ]
[ 0.11 0.02 0.61 0.35 0.39 0.63 0.90 0.94 0.94 0.63 0.25 0.02 0.96 0.83 0.56 0.95 0.93 0.85 1.00 0.61 0.35 0.42 0.61 0.64 0.57 0.51 0.19 0.23 0.07 0.46 0.36 0.49 0.64 0.97 0.42 0.76 0.80 0.71 0.00 0.50 0.56 0.92 0.64 0.37 0.12 0.16 0.69 0.85 0.75 0.60 0.78 0.22 0.86 0.91 0.39 0.58 ]
[ 0.27 0.17 0.65 0.55 0.19 0.28 0.98 0.26 0.00 0.48 0.79 0.23 0.74 0.73 0.63 0.41 0.26 0.13 0.61 1.00 0.50 0.24 0.47 0.68 0.79 0.69 0.79 0.92 0.35 1.00 0.34 0.68 0.48 0.83 0.85 0.96 0.63 0.96 0.90 0.44 0.31 0.99 0.82 0.79 0.54 0.45 0.16 0.02 0.37 0.90 0.64 0.72 0.80 0.53 0.84 0.50 ]
[ 0.73 0.78 0.99 0.72 0.84 0.12 0.58 0.41 0.63 0.18 0.34 0.12 0.49 0.75 0.44 0.50 0.22 0.53 0.35 0.50 1.00 0.87 0.90 0.72 0.38 0.88 0.28 0.81 0.96 0.46 0.55 0.19 0.53 0.79 0.32 0.17 0.23 0.26 0.34 0.96 0.39 0.90 0.88 0.98 0.54 0.77 0.92 0.93 0.00 0.92 0.03 0.22 0.47 0.20 0.93 0.64 ]
[ 0.45 0.27 0.29 0.77 0.31 0.40 0.53 0.95 0.68 0.77 0.77 0.95 0.50 0.26 0.31 0.22 0.33 0.76 0.42 0.24 0.87 1.00 0.42 0.50 0.74 0.69 0.41 0.94 0.93 0.17 0.49 0.55 0.72 0.56 0.99 0.29 0.65 0.09 0.93 0.85 0.81 0.25 0.98 0.72 0.38 0.00 0.72 0.45 0.87 0.86 0.01 0.57 0.46 0.25 0.00 0.35 ]
[ 0.86 0.62 0.55 0.65 0.78 0.95 0.47 0.40 0.48 0.01 0.95 0.04 0.98 0.77 0.70 0.68 0.62 0.68 0.61 0.47 0.90 0.42 1.00 0.47 0.37 0.51 0.40 0.93 0.03 0.51 0.70 0.59 0.20 0.99 0.10 0.33 0.55 0.28 0.39 0.86 0.33 0.71 0.79 0.36 0.61 0.55 0.72 0.90 0.31 0.10 0.62 0.85 0.97 0.86 0.74 0.00 ]
[ 0.39 0.53 0.57 0.98 0.00 0.93 0.54 0.12 0.20 0.00 0.64 0.34 0.87 0.48 0.87 0.51 0.88 0.91 0.64 0.68 0.72 0.50 0.47 1.00 0.21 0.55 0.62 0.15 0.08 0.90 0.59 0.36 0.67 0.30 0.30 0.57 0.81 0.53 0.94 0.72 0.92 0.44 0.33 0.77 0.32 0.69 0.67 0.06 0.58 0.01 0.96 0.34 0.92 0.68 0.08 0.70 ]
[ 0.65 0.85 0.34 0.43 0.56 0.35 0.98 0.71 0.19 0.39 0.79 0.70 0.12 0.16 0.93 0.77 0.35 0.55 0.57 0.79 0.38 0.74 0.37 0.21 1.00 0.82 0.87 0.94 0.15 0.32 0.96 0.75 0.47 0.64 0.89 0.30 0.26 0.43 0.68 0.49 0.79 0.96 0.00 0.41 0.62 0.36 0.83 0.36 0.67 0.70 0.20 0.50 0.43 0.18 0.80 0.72 ]
[ 0.14 0.75 0.17 0.77 0.49 0.59 0.72 0.82 0.42 0.67 0.35 0.54 0.89 0.96 0.87 0.57 0.80 0.11 0.51 0.69 0.88 0.69 0.51 0.55 0.82 1.00 0.98 0.30 0.81 0.85 0.98 0.01 0.56 0.78 0.26 0.57 0.80 0.76 0.33 0.60 0.76 0.61 0.96 0.62 0.48 0.35 0.15 0.24 0.66 0.13 0.96 0.22 0.54 0.82 0.77 0.16 ]
[ 0.93 0.55 0.00 0.84 0.83 0.20 0.01 0.62 0.49 0.31 0.72 0.26 0.17 0.94 0.93 0.68 0.35 0.99 0.19 0.79 0.28 0.41 0.40 0.62 0.87 0.98 1.00 0.20 0.93 0.53 0.92 0.75 0.05 0.86 0.41 0.49 0.63 0.65 0.74 0.68 0.22 0.44 0.91 0.97 0.34 0.21 0.39 0.48 0.69 0.24 0.41 0.43 0.73 0.75 0.43 0.48 ]
[ 0.68 0.96 0.33 0.43 0.17 0.60 0.98 0.93 0.52 0.70 0.08 0.91 0.02 0.29 0.86 0.36 0.80 0.91 0.23 0.92 0.81 0.94 0.93 0.15 0.94 0.30 0.20 1.00 0.33 0.58 0.40 0.55 0.66 0.41 0.09 0.11 0.44 0.53 0.49 0.98 0.19 0.84 0.38 0.81 0.38 0.32 0.83 0.38 0.48 0.69 0.54 0.47 0.42 0.68 0.99 0.28 ]
[ 0.87 0.85 0.54 0.93 0.68 0.56 0.51 0.94 0.44 0.74 0.81 0.37 0.17 0.17 0.49 0.50 0.50 0.46 0.07 0.35 0.96 0.93 0.03 0.08 0.15 0.81 0.93 0.33 1.00 0.37 0.07 0.59 0.03 0.82 0.61 0.34 0.09 0.64 0.73 0.79 0.30 0.35 0.27 0.55 0.30 0.52 0.52 0.00 0.67 0.84 0.69 0.49 0.53 0.92 0.86 0.74 ]
[ 0.24 0.50 0.63 0.66 0.91 0.83 0.19 0.79 0.72 0.24 0.67 0.32 0.71 0.98 0.92 0.27 0.43 0.08 0.46 1.00 0.46 0.17 0.51 0.90 0.32 0.85 0.53 0.58 0.37 1.00 0.80 0.59 0.37 0.48 0.20 0.88 0.00 0.41 0.59 0.67 0.33 0.38 0.29 0.07 0.58 1.00 0.23 0.57 0.45 0.49 0.52 0.37 0.67 0.16 0.87 0.03 ]
[ 0.67 0.28 0.93 0.19 0.97 0.42 0.00 0.36 0.71 0.45 0.38 0.69 0.37 0.57 0.76 0.91 0.19 0.76 0.36 0.34 0.55 0.49 0.70 0.59 0.96 0.98 0.92 0.40 0.07 0.80 1.00 0.44 0.92 0.22 0.68 0.24 0.95 0.76 0.89 0.67 0.43 0.56 0.93 0.42 0.64 0.36 1.00 0.47 0.38 0.39 0.35 0.73 0.11 0.34 0.85 0.65 ]
[ 0.54 0.40 0.71 0.44 0.94 0.16 0.42 0.00 0.04 0.37 0.81 0.05 0.97 0.08 0.64 0.98 0.49 0.24 0.49 0.68 0.19 0.55 0.59 0.36 0.75 0.01 0.75 0.55 0.59 0.59 0.44 1.00 0.00 0.36 0.73 0.51 0.90 0.62 0.17 0.10 0.96 0.70 0.53 0.59 1.00 0.70 0.37 0.61 0.22 0.98 0.94 0.00 0.79 0.83 0.45 0.75 ]
[ 0.99 0.67 0.29 0.22 0.45 0.53 0.32 0.65 0.20 0.50 0.35 0.41 0.20 0.38 0.73 0.27 0.29 0.31 0.64 0.48 0.53 0.72 0.20 0.67 0.47 0.56 0.05 0.66 0.03 0.37 0.92 0.00 1.00 0.86 0.10 0.61 0.92 0.78 0.83 0.23 0.51 0.77 0.62 0.01 0.24 0.06 0.25 0.00 1.00 0.52 0.40 0.97 0.98 0.88 0.81 0.97 ]
[ 0.17 0.44 0.07 0.44 0.10 0.83 0.71 0.71 0.42 0.11 0.32 0.19 0.74 0.28 0.96 0.76 0.76 0.98 0.97 0.83 0.79 0.56 0.99 0.30 0.64 0.78 0.86 0.41 0.82 0.48 0.22 0.36 0.86 1.00 0.53 0.00 0.17 0.45 0.89 0.21 0.62 0.52 0.30 0.95 0.57 0.22 0.78 0.19 0.85 0.38 0.94 0.38 0.29 0.67 0.38 0.88 ]
[ 0.97 0.90 0.32 0.67 0.34 0.42 0.15 0.89 0.88 0.86 0.97 0.82 0.41 0.88 0.70 0.87 0.49 0.54 0.42 0.85 0.32 0.99 0.10 0.30 0.89 0.26 0.41 0.09 0.61 0.20 0.68 0.73 0.10 0.53 1.00 0.86 0.23 0.82 0.56 0.97 0.45 0.68 0.33 0.54 0.48 0.00 0.71 0.66 0.94 0.77 0.91 0.48 0.15 0.22 0.38 0.94 ]
[ 0.50 0.33 0.47 0.90 0.01 0.58 0.86 0.75 0.09 0.95 0.45 0.49 0.80 0.38 0.08 0.69 0.53 0.61 0.76 0.96 0.17 0.29 0.33 0.57 0.30 0.57 0.49 0.11 0.34 0.88 0.24 0.51 0.61 0.00 0.86 1.00 0.20 0.97 0.53 0.02 0.85 0.95 0.26 0.91 0.57 0.03 0.25 0.87 0.43 0.99 0.78 0.96 0.70 0.52 0.86 0.46 ]
[ 0.53 0.89 0.57 0.81 0.63 0.00 0.94 0.57 0.65 0.86 0.14 0.24 0.54 0.47 0.15 0.14 0.68 0.23 0.80 0.63 0.23 0.65 0.55 0.81 0.26 0.80 0.63 0.44 0.09 0.00 0.95 0.90 0.92 0.17 0.23 0.20 1.00 0.82 0.75 0.49 0.75 0.92 0.22 0.64 0.71 0.50 0.72 0.88 0.41 0.22 0.00 0.26 0.70 0.93 0.20 0.41 ]
[ 0.89 0.22 0.36 0.24 0.37 0.83 0.72 0.00 0.35 0.79 0.95 0.74 0.46 0.15 0.76 0.64 0.12 0.00 0.71 0.96 0.26 0.09 0.28 0.53 0.43 0.76 0.65 0.53 0.64 0.41 0.76 0.62 0.78 0.45 0.82 0.97 0.82 1.00 0.48 0.12 0.55 0.30 0.32 0.38 0.24 0.29 0.22 0.97 0.53 0.54 0.26 0.30 0.61 0.53 0.18 0.60 ]
[ 0.22 0.93 0.06 0.86 0.54 0.99 0.67 0.25 0.69 0.75 0.23 0.92 0.93 0.94 0.86 0.84 0.49 0.76 0.00 0.90 0.34 0.93 0.39 0.94 0.68 0.33 0.74 0.49 0.73 0.59 0.89 0.17 0.83 0.89 0.56 0.53 0.75 0.48 1.00 0.71 0.06 0.27 0.00 0.48 1.00 0.44 0.94 0.96 0.00 0.13 0.50 0.74 0.94 0.24 0.59 0.69 ]
[ 0.29 0.21 0.24 0.27 0.82 0.90 0.15 0.44 0.93 0.30 0.27 0.88 0.21 0.41 0.22 0.16 0.97 0.17 0.50 0.44 0.96 0.85 0.86 0.72 0.49 0.60 0.68 0.98 0.79 0.67 0.67 0.10 0.23 0.21 0.97 0.02 0.49 0.12 0.71 1.00 0.27 0.95 0.97 0.91 0.79 0.92 0.54 0.43 0.65 0.76 0.40 0.37 0.63 1.00 0.03 0.71 ]
[ 0.62 0.93 0.93 0.87 0.33 0.71 0.22 0.41 0.48 0.59 0.17 0.04 0.45 0.89 0.58 0.55 0.26 0.97 0.56 0.31 0.39 0.81 0.33 0.92 0.79 0.76 0.22 0.19 0.30 0.33 0.43 0.96 0.51 0.62 0.45 0.85 0.75 0.55 0.06 0.27 1.00 0.54 0.89 0.41 0.45 0.59 0.84 0.37 0.76 0.61 0.32 0.48 0.16 0.85 0.48 0.65 ]
[ 0.44 0.40 0.87 0.82 0.59 0.91 1.00 0.75 0.41 0.00 0.34 0.13 0.25 1.00 0.91 0.82 0.93 0.97 0.92 0.99 0.90 0.25 0.71 0.44 0.96 0.61 0.44 0.84 0.35 0.38 0.56 0.70 0.77 0.52 0.68 0.95 0.92 0.30 0.27 0.95 0.54 1.00 0.51 0.65 0.61 0.45 0.42 0.00 0.00 0.32 0.96 0.36 0.13 0.45 0.22 0.49 ]
[ 0.93 0.51 0.16 0.72 0.86 0.61 0.52 0.47 0.71 0.76 0.02 0.20 0.43 0.79 0.69 0.67 0.47 0.70 0.64 0.82 0.88 0.98 0.79 0.33 0.00 0.96 0.91 0.38 0.27 0.29 0.93 0.53 0.62 0.30 0.33 0.26 0.22 0.32 0.00 0.97 0.89 0.51 1.00 0.91 0.34 0.89 0.43 0.00 0.19 0.15 0.91 0.87 0.04 0.53 0.62 0.35 ]
[ 0.63 0.30 1.00 0.03 0.54 0.43 0.10 0.61 0.92 0.01 0.21 0.00 0.99 0.14 0.99 0.34 0.46 0.74 0.37 0.79 0.98 0.72 0.36 0.77 0.41 0.62 0.97 0.81 0.55 0.07 0.42 0.59 0.01 0.95 0.54 0.91 0.64 0.38 0.48 0.91 0.41 0.65 0.91 1.00 0.91 0.38 0.87 0.30 0.64 0.05 0.67 0.18 0.89 0.81 0.86 0.50 ]
[ 0.47 0.44 0.18 0.23 0.08 0.69 0.76 0.23 0.54 0.60 0.42 0.89 0.48 0.93 0.35 0.54 0.45 0.38 0.12 0.54 0.54 0.38 0.61 0.32 0.62 0.48 0.34 0.38 0.30 0.58 0.64 1.00 0.24 0.57 0.48 0.57 0.71 0.24 1.00 0.79 0.45 0.61 0.34 0.91 1.00 0.06 0.69 0.85 0.90 0.95 0.27 0.86 0.75 0.11 0.32 0.91 ]
[ 0.01 0.99 0.98 0.88 0.24 0.04 0.98 0.93 0.61 0.55 0.67 0.93 0.97 0.08 0.90 0.23 0.81 0.66 0.16 0.45 0.77 0.00 0.55 0.69 0.36 0.35 0.21 0.32 0.52 1.00 0.36 0.70 0.06 0.22 0.00 0.03 0.50 0.29 0.44 0.92 0.59 0.45 0.89 0.38 0.06 1.00 0.35 0.38 0.45 0.35 0.97 0.84 0.71 0.58 0.40 0.11 ]
[ 0.64 0.48 0.53 0.99 0.16 0.94 0.42 0.42 0.69 0.48 0.24 0.30 0.19 0.77 0.94 0.45 0.75 0.07 0.69 0.16 0.92 0.72 0.72 0.67 0.83 0.15 0.39 0.83 0.52 0.23 1.00 0.37 0.25 0.78 0.71 0.25 0.72 0.22 0.94 0.54 0.84 0.42 0.43 0.87 0.69 0.35 1.00 0.86 0.99 0.55 0.20 0.00 0.50 0.44 0.46 0.95 ]
[ 0.78 0.00 0.49 0.35 0.96 0.55 0.73 0.77 0.03 0.40 0.97 0.90 0.09 0.89 0.00 0.64 0.00 0.85 0.85 0.02 0.93 0.45 0.90 0.06 0.36 0.24 0.48 0.38 0.00 0.57 0.47 0.61 0.00 0.19 0.66 0.87 0.88 0.97 0.96 0.43 0.37 0.00 0.00 0.30 0.85 0.38 0.86 1.00 0.00 0.56 0.60 0.88 0.54 0.54 0.20 0.46 ]
[ 0.30 0.88 0.33 0.37 0.64 0.20 0.77 0.52 0.54 0.45 0.98 0.18 0.23 0.19 0.52 0.85 0.19 0.40 0.75 0.37 0.00 0.87 0.31 0.58 0.67 0.66 0.69 0.48 0.67 0.45 0.38 0.22 1.00 0.85 0.94 0.43 0.41 0.53 0.00 0.65 0.76 0.00 0.19 0.64 0.90 0.45 0.99 0.00 1.00 0.24 0.86 0.15 0.52 0.58 0.93 0.87 ]
[ 0.40 0.52 0.49 0.43 0.92 0.22 0.73 0.65 0.88 0.76 0.98 0.01 0.82 0.52 0.74 0.45 0.05 0.71 0.60 0.90 0.92 0.86 0.10 0.01 0.70 0.13 0.24 0.69 0.84 0.49 0.39 0.98 0.52 0.38 0.77 0.99 0.22 0.54 0.13 0.76 0.61 0.32 0.15 0.05 0.95 0.35 0.55 0.56 0.24 1.00 0.48 0.02 0.56 0.59 0.32 0.53 ]
[ 0.24 0.88 0.55 0.95 0.19 0.80 0.56 0.67 0.89 0.76 0.32 0.55 0.87 0.92 0.29 0.97 0.52 0.18 0.78 0.64 0.03 0.01 0.62 0.96 0.20 0.96 0.41 0.54 0.69 0.52 0.35 0.94 0.40 0.94 0.91 0.78 0.00 0.26 0.50 0.40 0.32 0.96 0.91 0.67 0.27 0.97 0.20 0.60 0.86 0.48 1.00 0.87 0.24 0.96 0.78 0.82 ]
[ 0.63 0.05 0.57 0.58 0.19 0.80 0.25 0.22 0.95 0.37 0.96 0.70 0.40 0.34 0.51 0.64 0.38 0.32 0.22 0.72 0.22 0.57 0.85 0.34 0.50 0.22 0.43 0.47 0.49 0.37 0.73 0.00 0.97 0.38 0.48 0.96 0.26 0.30 0.74 0.37 0.48 0.36 0.87 0.18 0.86 0.84 0.00 0.88 0.15 0.02 0.87 1.00 0.77 0.18 0.87 0.38 ]
[ 0.71 0.30 0.70 0.85 0.31 0.52 0.25 0.93 0.22 0.99 0.57 0.63 0.05 0.39 0.27 0.20 0.87 0.95 0.86 0.80 0.47 0.46 0.97 0.92 0.43 0.54 0.73 0.42 0.53 0.67 0.11 0.79 0.98 0.29 0.15 0.70 0.70 0.61 0.94 0.63 0.16 0.13 0.04 0.89 0.75 0.71 0.50 0.54 0.52 0.56 0.24 0.77 1.00 0.72 0.03 0.98 ]
[ 0.33 0.52 0.64 0.34 0.45 0.80 0.57 0.91 0.25 0.72 0.98 0.20 0.23 0.34 1.00 0.49 0.13 0.67 0.91 0.53 0.20 0.25 0.86 0.68 0.18 0.82 0.75 0.68 0.92 0.16 0.34 0.83 0.88 0.67 0.22 0.52 0.93 0.53 0.24 1.00 0.85 0.45 0.53 0.81 0.11 0.58 0.44 0.54 0.58 0.59 0.96 0.18 0.72 1.00 0.11 0.53 ]
[ 0.57 0.05 0.87 0.70 0.64 0.43 0.26 0.63 0.04 0.14 0.97 0.67 0.91 0.96 0.42 0.58 0.58 0.18 0.39 0.84 0.93 0.00 0.74 0.08 0.80 0.77 0.43 0.99 0.86 0.87 0.85 0.45 0.81 0.38 0.38 0.86 0.20 0.18 0.59 0.03 0.48 0.22 0.62 0.86 0.32 0.40 0.46 0.20 0.93 0.32 0.78 0.87 0.03 0.11 1.00 0.61 ]
[ 0.65 0.88 0.35 0.48 0.80 0.89 0.20 0.59 0.65 0.38 0.96 0.48 0.24 0.58 0.97 0.80 0.40 0.62 0.58 0.50 0.64 0.35 0.00 0.70 0.72 0.16 0.48 0.28 0.74 0.03 0.65 0.75 0.97 0.88 0.94 0.46 0.41 0.60 0.69 0.71 0.65 0.49 0.35 0.50 0.91 0.11 0.95 0.46 0.87 0.53 0.82 0.38 0.98 0.53 0.61 1.00 ]
];
