[ 0.54 1.00 0.15 0.97 0.43 0.51 0.62 0.56 0.58 0.86 0.70 1.00 0.65 0.22 0.52 0.53 0.91 0.51 0.20 0.46 0.01 0.43 0.38 0.45 0.56 0.35 0.65 0.98 0.06 0.93 0.79 0.05 0.86 0.90 0.75 0.96 0.82 0.71 0.80 0.19 0.58 0.88 0.97 0.96 0.83 0.88 ]
[ 0.31 0.56 0.26 0.03 0.57 0.99 0.12 0.66 0.69 0.66 0.93 0.65 1.00 0.37 0.29 0.44 0.92 0.90 0.30 0.91 0.57 0.89 0.73 0.84 0.29 0.86 0.18 0.31 0.79 0.70 0.78 0.95 0.47 0.94 0.37 0.62 0.33 0.55 0.70 0.22 0.40 0.99 0.28 0.59 0.65 0.30 ]
[ 0.01 0.00 0.92 0.32 0.47 0.43 0.37 0.99 0.91 0.60 0.73 0.22 0.37 1.00 0.94 1.00 0.77 0.65 0.53 0.02 0.05 0.98 0.32 0.19 0.26 0.15 0.28 0.07 0.85 0.52 0.52 0.95 0.87 0.58 0.68 0.48 0.91 0.25 0.90 0.89 0.30 0.77 0.74 0.89 0.15 0.47 ]
[ 0.60 0.78 0.32 0.76 0.94 0.88 0.41 0.92 0.22 0.42 0.57 0.52 0.29 0.94 1.00 0.38 0.99 0.92 0.21 0.37 0.89 0.79 0.42 0.60 0.72 0.00 0.63 0.95 0.53 0.17 0.85 0.63 0.52 0.56 0.88 0.91 0.24 0.95 0.08 0.30 0.70 0.15 0.37 0.50 0.32 0.30 ]
[ 0.68 0.58 0.48 0.86 0.21 0.47 0.58 0.62 0.23 0.72 0.16 0.53 0.44 1.00 0.38 1.00 0.22 0.90 0.85 0.66 0.69 0.16 0.33 0.47 0.64 0.78 0.96 0.82 0.09 0.79 0.00 0.02 0.87 0.47 0.20 0.47 0.27 0.90 0.00 0.18 0.57 0.28 0.30 0.91 1.00 0.60 ]
[ 0.00 0.70 0.27 0.51 0.59 0.78 0.50 0.74 0.95 0.43 0.98 0.91 0.92 0.77 0.99 0.22 1.00 0.76 0.16 0.97 0.91 0.00 0.12 0.91 0.54 0.86 0.71 0.16 0.96 0.96 0.80 0.59 0.55 0.72 0.53 0.85 0.30 0.65 0.92 0.00 0.78 0.92 0.61 0.31 0.83 0.19 ]
[ 0.00 0.87 0.22 0.90 0.26 0.07 0.22 0.39 0.19 0.85 0.70 0.51 0.90 0.65 0.92 0.90 0.76 1.00 0.78 0.74 0.30 0.64 0.46 0.40 0.00 0.20 0.95 0.65 0.24 0.29 0.47 0.18 0.60 0.79 0.99 0.42 0.73 0.86 0.48 0.81 0.83 0.71 0.32 0.00 0.41 0.94 ]
[ 0.95 0.65 0.95 0.82 0.87 0.65 0.73 0.54 0.62 0.83 0.01 0.20 0.30 0.53 0.21 0.85 0.16 0.78 1.00 0.97 0.31 0.99 0.93 0.25 0.73 0.00 0.75 0.56 0.40 0.92 0.08 0.15 0.68 0.26 0.17 0.75 0.55 0.29 0.00 0.95 0.88 0.49 0.38 0.67 0.07 0.86 ]
[ 0.38 0.40 0.09 0.78 0.38 0.00 0.33 0.25 0.97 0.64 0.55 0.46 0.91 0.02 0.37 0.66 0.97 0.74 0.97 1.00 0.72 0.70 0.86 0.69 0.31 0.18 0.62 0.65 0.53 0.92 0.73 0.78 0.16 0.72 0.79 0.88 0.32 0.39 0.29 0.51 0.88 0.80 0.86 0.42 0.85 0.90 ]
[ 0.89 0.78 0.98 0.22 0.36 0.42 0.82 0.51 0.17 0.83 0.33 0.01 0.57 0.05 0.89 0.69 0.91 0.30 0.31 0.72 1.00 0.68 0.16 0.78 0.03 0.11 0.53 0.46 0.37 0.84 0.86 0.42 0.21 0.59 0.22 0.36 0.49 0.96 0.73 0.90 0.44 0.49 0.18 0.73 0.93 0.28 ]
[ 0.89 0.42 0.94 0.49 0.53 0.24 0.55 0.14 0.61 0.17 0.60 0.43 0.89 0.98 0.79 0.16 0.00 0.64 0.99 0.70 0.68 1.00 0.85 0.94 0.86 0.56 0.13 0.09 0.99 0.97 0.79 0.73 0.30 0.35 0.32 0.94 0.99 0.43 0.42 0.20 0.88 0.57 0.52 0.42 0.51 0.89 ]
[ 0.25 0.91 0.87 0.93 0.96 0.63 0.48 0.92 1.00 0.98 0.96 0.38 0.73 0.32 0.42 0.33 0.12 0.46 0.93 0.86 0.16 0.85 1.00 0.91 0.96 0.42 0.75 0.87 0.46 0.04 0.19 0.98 0.00 0.17 0.65 0.37 0.48 0.45 0.17 0.20 0.58 0.49 0.51 0.97 0.54 0.35 ]
[ 0.37 0.10 0.50 0.44 0.24 0.25 0.70 0.68 0.97 0.97 0.59 0.45 0.84 0.19 0.60 0.47 0.91 0.40 0.25 0.69 0.78 0.94 0.91 1.00 0.82 0.32 0.20 0.13 0.05 0.95 0.99 0.93 0.83 0.22 0.33 0.88 0.65 0.69 0.80 0.95 0.85 0.82 0.28 0.75 0.16 0.42 ]
[ 0.46 0.28 0.55 0.92 0.43 0.35 0.28 0.56 0.95 0.15 0.88 0.56 0.29 0.26 0.72 0.64 0.54 0.00 0.73 0.31 0.03 0.86 0.96 0.82 1.00 0.61 0.83 0.49 0.29 0.61 0.93 0.92 0.61 0.37 0.35 0.33 0.06 0.20 0.85 0.97 0.86 0.34 0.20 0.86 0.50 0.64 ]
[ 0.07 0.52 0.70 0.09 0.98 0.41 0.58 0.59 0.53 0.87 0.48 0.35 0.86 0.15 0.00 0.78 0.86 0.20 0.00 0.18 0.11 0.56 0.42 0.32 0.61 1.00 0.87 0.36 0.94 0.24 0.80 0.01 0.73 0.54 0.33 0.29 0.97 0.38 0.32 0.24 0.27 0.68 0.15 0.22 0.62 0.91 ]
[ 0.94 0.17 0.42 0.49 0.28 0.24 0.26 0.00 0.68 0.27 0.72 0.65 0.18 0.28 0.63 0.96 0.71 0.95 0.75 0.62 0.53 0.13 0.75 0.20 0.83 0.87 1.00 0.56 0.80 0.63 0.31 0.72 0.32 0.00 0.94 0.87 0.56 0.27 0.60 0.00 0.96 0.84 0.70 0.83 0.80 0.97 ]
[ 0.46 0.88 0.27 0.98 0.65 0.63 0.95 0.30 0.55 0.83 0.07 0.98 0.31 0.07 0.95 0.82 0.16 0.65 0.56 0.65 0.46 0.09 0.87 0.13 0.49 0.36 0.56 1.00 0.06 0.54 0.47 0.71 0.42 0.49 0.74 0.53 0.16 0.00 0.66 0.60 0.91 0.86 0.84 0.93 0.40 0.88 ]
[ 0.28 0.44 0.41 0.28 0.94 0.57 0.37 0.64 0.99 0.67 0.86 0.06 0.79 0.85 0.53 0.09 0.96 0.24 0.40 0.53 0.37 0.99 0.46 0.05 0.29 0.94 0.80 0.06 1.00 0.85 0.40 0.40 0.76 0.47 0.34 0.89 0.41 0.13 0.21 0.20 0.85 0.24 0.95 0.22 0.01 0.97 ]
[ 0.46 0.31 0.69 0.71 0.91 0.53 0.75 0.86 0.36 0.60 0.41 0.93 0.70 0.52 0.17 0.79 0.96 0.29 0.92 0.92 0.84 0.97 0.04 0.95 0.61 0.24 0.63 0.54 0.85 1.00 0.08 0.16 0.99 0.58 0.27 0.50 0.75 0.55 0.59 0.00 0.59 0.31 0.42 0.89 0.96 0.20 ]
[ 0.41 0.75 0.04 0.24 0.80 0.30 0.90 0.99 0.92 0.59 0.20 0.79 0.78 0.52 0.85 0.00 0.80 0.47 0.08 0.73 0.86 0.79 0.19 0.99 0.93 0.80 0.31 0.47 0.40 0.08 1.00 0.78 0.87 0.03 0.77 0.70 0.99 0.58 0.78 0.80 0.61 0.33 0.00 0.95 0.16 0.90 ]
[ 0.81 0.64 0.27 0.43 0.74 0.18 0.53 0.39 0.91 0.91 0.69 0.05 0.95 0.95 0.63 0.02 0.59 0.18 0.15 0.78 0.42 0.73 0.98 0.93 0.92 0.01 0.72 0.71 0.40 0.16 0.78 1.00 0.82 0.37 0.59 0.44 0.92 0.17 0.67 0.98 0.34 0.82 0.18 0.01 0.89 0.51 ]
[ 0.57 0.83 0.77 0.21 0.09 0.60 0.87 0.79 0.38 0.85 0.41 0.86 0.47 0.87 0.52 0.87 0.55 0.60 0.68 0.16 0.21 0.30 0.00 0.83 0.61 0.73 0.32 0.42 0.76 0.99 0.87 0.82 1.00 0.58 0.62 0.38 0.70 0.00 0.88 0.19 0.88 0.69 0.24 0.75 0.96 0.94 ]
[ 0.61 0.60 0.92 0.18 0.46 0.83 0.78 0.54 0.57 0.70 0.76 0.90 0.94 0.58 0.56 0.47 0.72 0.79 0.26 0.72 0.59 0.35 0.17 0.22 0.37 0.54 0.00 0.49 0.47 0.58 0.03 0.37 0.58 1.00 0.68 0.93 0.17 0.22 0.49 0.30 0.46 0.19 0.40 0.00 0.55 0.46 ]
[ 0.97 0.63 0.69 0.00 0.37 0.83 0.22 0.88 0.74 0.16 0.75 0.75 0.37 0.68 0.88 0.20 0.53 0.99 0.17 0.79 0.22 0.32 0.65 0.33 0.35 0.33 0.94 0.74 0.34 0.27 0.77 0.59 0.62 0.68 1.00 0.51 0.16 0.85 0.94 0.47 0.72 0.02 0.17 0.01 0.32 0.25 ]
[ 0.74 0.56 0.98 0.81 0.20 0.13 0.60 1.00 0.20 0.19 0.46 0.96 0.62 0.48 0.91 0.47 0.85 0.42 0.75 0.88 0.36 0.94 0.37 0.88 0.33 0.29 0.87 0.53 0.89 0.50 0.70 0.44 0.38 0.93 0.51 1.00 0.59 0.96 0.48 0.24 0.49 0.25 0.63 0.29 0.06 0.45 ]
[ 0.95 0.41 0.20 0.80 0.59 0.90 0.89 0.87 0.42 0.95 0.59 0.82 0.33 0.91 0.24 0.27 0.30 0.73 0.55 0.32 0.49 0.99 0.48 0.65 0.06 0.97 0.56 0.16 0.41 0.75 0.99 0.92 0.70 0.17 0.16 0.59 1.00 0.94 0.74 0.09 0.05 0.51 0.33 0.31 0.76 0.39 ]
[ 0.21 0.38 0.49 0.53 0.97 0.39 0.20 0.31 0.68 0.22 0.48 0.71 0.55 0.25 0.95 0.90 0.65 0.86 0.29 0.39 0.96 0.43 0.45 0.69 0.20 0.38 0.27 0.00 0.13 0.55 0.58 0.17 0.00 0.22 0.85 0.96 0.94 1.00 0.58 0.60 0.38 0.78 0.60 0.27 0.93 0.60 ]
[ 0.53 0.63 0.42 0.00 0.20 0.67 0.75 0.70 0.46 0.59 0.93 0.80 0.70 0.90 0.08 0.00 0.92 0.48 0.00 0.29 0.73 0.42 0.17 0.80 0.85 0.32 0.60 0.66 0.21 0.59 0.78 0.67 0.88 0.49 0.94 0.48 0.74 0.58 1.00 0.41 0.40 0.87 0.24 0.85 0.41 0.19 ]
[ 0.73 0.70 0.82 1.00 0.71 0.87 0.94 0.75 0.99 0.82 0.65 0.19 0.22 0.89 0.30 0.18 0.00 0.81 0.95 0.51 0.90 0.20 0.20 0.95 0.97 0.24 0.00 0.60 0.20 0.00 0.80 0.98 0.19 0.30 0.47 0.24 0.09 0.60 0.41 1.00 0.98 0.53 0.45 0.72 0.91 0.61 ]
[ 0.34 0.58 0.20 0.04 0.18 0.89 0.20 0.37 0.42 0.61 0.68 0.58 0.40 0.30 0.70 0.57 0.78 0.83 0.88 0.88 0.44 0.88 0.58 0.85 0.86 0.27 0.96 0.91 0.85 0.59 0.61 0.34 0.88 0.46 0.72 0.49 0.05 0.38 0.40 0.98 1.00 0.51 0.37 0.94 0.45 0.40 ]
[ 0.68 0.86 0.99 0.17 0.69 0.29 0.67 0.42 0.81 0.55 0.91 0.88 0.99 0.77 0.15 0.28 0.92 0.71 0.49 0.80 0.49 0.57 0.49 0.82 0.34 0.68 0.84 0.86 0.24 0.31 0.33 0.82 0.69 0.19 0.02 0.25 0.51 0.78 0.87 0.53 0.51 1.00 0.74 0.77 0.75 0.95 ]
[ 0.90 0.25 0.93 0.01 0.99 0.30 0.93 0.32 0.00 0.00 0.46 0.97 0.28 0.74 0.37 0.30 0.61 0.32 0.38 0.86 0.18 0.52 0.51 0.28 0.20 0.15 0.70 0.84 0.95 0.42 0.00 0.18 0.24 0.40 0.17 0.63 0.33 0.60 0.24 0.45 0.37 0.74 1.00 0.82 0.94 0.17 ]
[ 0.20 0.37 0.85 0.89 0.15 0.93 0.30 0.74 0.08 0.53 0.99 0.96 0.59 0.89 0.50 0.91 0.31 0.00 0.67 0.42 0.73 0.42 0.97 0.75 0.86 0.22 0.83 0.93 0.22 0.89 0.95 0.01 0.75 0.00 0.01 0.29 0.31 0.27 0.85 0.72 0.94 0.77 0.82 1.00 0.41 0.40 ]
[ 0.75 0.88 0.68 0.27 0.62 0.75 0.46 0.18 0.94 0.00 0.21 0.83 0.65 0.15 0.32 1.00 0.83 0.41 0.07 0.85 0.93 0.51 0.54 0.16 0.50 0.62 0.80 0.40 0.01 0.96 0.16 0.89 0.96 0.55 0.32 0.06 0.76 0.93 0.41 0.91 0.45 0.75 0.94 0.41 1.00 0.89 ]
[ 0.67 0.98 0.50 0.87 0.67 0.43 0.53 0.58 1.00 0.91 0.88 0.88 0.30 0.47 0.30 0.60 0.19 0.94 0.86 0.90 0.28 0.89 0.35 0.42 0.64 0.91 0.97 0.88 0.97 0.20 0.90 0.51 0.94 0.46 0.25 0.45 0.39 0.60 0.19 0.61 0.40 0.95 0.17 0.40 0.89 1.00 ]
];
