[ 0.73 0.54 0.79 0.78 0.63 0.75 0.65 0.88 0.70 0.35 0.20 0.46 0.49 0.53 0.10 0.49 0.50 0.85 0.56 0.44 0.48 0.95 0.92 0.64 0.42 0.93 0.87 0.54 0.38 1.00 0.95 0.96 0.08 0.66 0.00 0.43 0.79 0.64 0.71 0.87 0.08 0.00 0.32 0.47 0.63 0.29 0.95 0.49 0.88 0.12 0.89 0.38 0.54 0.07 0.48 0.64 0.16 0.99 0.41 ]
[ 0.99 0.27 0.21 0.34 0.38 0.97 0.72 0.23 0.48 0.89 0.86 0.77 0.36 0.88 0.34 0.92 0.72 0.43 0.59 0.64 0.93 0.25 0.87 0.84 0.72 0.48 0.00 0.91 0.71 0.95 1.00 0.18 0.86 0.70 0.24 0.02 0.90 0.33 0.93 0.39 0.33 0.62 0.36 0.36 0.62 0.94 0.54 0.23 0.75 0.40 0.27 0.38 0.40 0.18 0.28 0.85 0.30 0.25 0.21 ]
[ 0.14 0.32 0.58 0.53 0.78 0.98 0.16 0.44 0.32 0.02 0.92 0.60 0.44 0.00 0.49 0.62 0.83 0.22 0.86 0.69 0.68 0.00 0.88 0.53 0.88 0.88 0.68 0.98 0.78 0.96 0.18 1.00 0.13 0.61 0.71 0.18 0.75 0.72 0.78 0.62 0.47 0.73 0.99 0.98 0.45 0.63 0.59 0.85 0.52 0.78 0.78 0.32 0.74 0.82 0.18 1.00 0.61 0.84 0.71 ]
[ 0.48 0.16 0.93 0.75 0.62 0.97 0.37 0.48 0.78 0.83 0.66 0.72 0.24 0.52 0.85 0.97 0.71 0.44 0.19 0.98 0.89 0.70 0.07 0.83 0.92 0.52 0.30 0.56 0.00 0.08 0.86 0.13 1.00 0.57 0.85 0.97 0.01 0.86 0.53 0.79 0.80 0.28 0.30 0.93 0.97 0.67 0.36 0.86 0.59 0.90 0.99 0.89 0.00 0.54 0.39 0.15 0.59 0.19 0.39 ]
[ 0.23 0.76 0.39 0.15 0.66 0.93 0.69 0.65 0.79 0.94 0.57 0.28 0.96 0.24 0.27 0.35 0.31 0.10 0.96 0.16 0.60 0.46 0.63 0.91 0.56 0.95 0.66 0.65 0.53 0.66 0.70 0.61 0.57 1.00 0.01 0.21 0.55 0.55 0.50 0.89 0.73 0.16 0.29 0.91 0.57 0.31 0.19 0.71 0.63 0.95 0.34 0.00 0.74 0.28 0.63 0.96 0.03 0.53 0.26 ]
[ 0.88 0.62 0.81 0.85 0.29 0.40 0.06 0.63 0.52 0.01 0.78 0.22 0.33 0.57 0.22 0.50 0.99 0.22 0.31 0.60 0.53 0.51 0.29 0.75 0.20 0.82 0.99 0.62 0.89 0.00 0.24 0.71 0.85 0.01 1.00 0.65 0.28 0.25 0.52 0.09 0.63 0.90 0.15 0.21 0.37 0.38 0.95 0.51 0.18 0.26 0.60 0.23 0.90 0.94 0.89 0.52 0.99 0.44 0.15 ]
[ 0.50 0.81 0.65 0.20 0.19 0.80 0.20 0.63 0.55 0.00 0.95 0.97 0.34 0.33 0.75 0.68 0.19 1.00 0.29 0.06 0.86 0.90 0.86 0.91 0.09 0.26 0.39 0.24 0.18 0.43 0.02 0.18 0.97 0.21 0.65 1.00 0.71 0.69 0.37 0.88 0.36 0.78 0.46 0.36 0.41 0.73 0.52 0.28 0.18 0.80 0.20 0.83 0.33 0.85 0.26 0.06 0.46 0.78 0.75 ]
[ 0.98 0.16 0.41 0.29 0.97 0.84 0.44 0.22 0.62 0.74 0.90 0.91 0.69 0.93 0.55 0.31 0.82 0.71 0.35 0.50 0.57 0.84 0.93 0.42 0.66 0.65 0.85 0.38 0.21 0.79 0.90 0.75 0.01 0.55 0.28 0.71 1.00 0.07 0.75 0.88 0.42 0.46 0.52 0.78 0.89 0.48 0.57 0.87 0.95 0.31 0.98 0.85 0.39 0.99 0.96 0.56 0.53 0.94 0.42 ]
[ 0.23 0.13 0.95 0.44 0.48 0.10 0.60 0.98 0.84 0.96 0.90 0.20 0.55 0.29 0.83 0.12 0.62 0.87 0.42 0.86 0.82 0.62 0.93 0.59 0.74 0.79 0.55 0.99 0.13 0.64 0.33 0.72 0.86 0.55 0.25 0.69 0.07 1.00 0.95 0.40 0.03 0.57 0.66 0.98 0.90 0.21 0.45 0.72 0.59 0.50 0.65 0.32 0.87 0.12 0.37 0.78 0.23 0.77 0.68 ]
[ 0.55 0.47 0.97 0.77 0.16 0.75 0.49 0.90 0.43 0.49 0.00 0.48 0.52 0.91 0.21 0.96 0.72 0.55 0.54 0.18 0.88 0.47 0.33 0.83 0.41 0.16 0.10 0.15 0.39 0.71 0.93 0.78 0.53 0.50 0.52 0.37 0.75 0.95 1.00 0.71 0.50 0.49 0.36 0.35 0.76 0.25 0.73 0.77 0.15 0.64 0.73 0.74 0.22 0.69 0.50 0.15 0.92 0.99 0.97 ]
[ 0.00 0.64 0.97 0.98 0.16 0.81 0.05 0.77 0.86 0.89 0.16 0.29 0.65 0.86 0.91 0.10 0.40 0.54 0.91 0.52 0.55 0.81 1.00 0.03 0.59 0.23 0.29 0.52 0.30 0.87 0.39 0.62 0.79 0.89 0.09 0.88 0.88 0.40 0.71 1.00 0.63 0.85 0.33 0.29 0.00 0.29 0.47 0.10 0.90 0.27 0.39 0.57 0.85 0.40 0.52 0.04 0.71 0.67 0.30 ]
[ 0.34 0.94 0.44 0.87 0.96 0.56 0.50 0.44 0.79 0.65 0.92 0.08 0.88 0.87 0.83 0.67 0.94 0.51 0.54 0.34 0.64 0.81 0.37 0.31 0.13 0.88 0.24 0.45 0.79 0.08 0.33 0.47 0.80 0.73 0.63 0.36 0.42 0.03 0.50 0.63 1.00 0.72 0.90 0.88 0.52 0.74 0.44 0.15 0.18 0.62 0.88 0.94 0.25 0.48 0.74 0.00 0.19 0.42 0.21 ]
[ 0.81 0.95 0.30 0.96 0.21 0.62 0.89 0.78 0.34 0.43 0.34 0.25 0.98 0.33 0.77 0.87 0.72 0.00 0.90 0.36 0.98 0.93 0.22 0.26 0.63 0.29 0.75 0.00 0.25 0.00 0.62 0.73 0.28 0.16 0.90 0.78 0.46 0.57 0.49 0.85 0.72 1.00 0.58 0.81 0.64 0.77 0.73 0.96 0.38 0.59 0.43 0.51 0.73 0.87 0.16 0.71 0.57 0.72 0.11 ]
[ 0.76 0.85 0.13 0.88 0.34 0.44 0.54 0.57 0.87 0.67 0.26 0.22 0.43 0.74 0.84 0.41 0.36 0.21 0.28 0.84 0.27 0.92 0.00 0.92 0.52 0.60 0.33 0.05 0.98 0.32 0.36 0.99 0.30 0.29 0.15 0.46 0.52 0.66 0.36 0.33 0.90 0.58 1.00 0.95 0.57 0.25 0.30 0.75 0.65 0.78 0.74 0.43 0.76 0.64 0.64 0.89 0.91 0.51 0.98 ]
[ 0.59 0.54 0.53 0.42 0.00 0.56 0.95 0.94 0.97 0.55 0.33 0.81 0.89 0.37 0.87 0.29 0.09 0.57 0.19 0.89 0.92 0.99 0.70 0.31 0.95 0.49 0.59 0.61 0.61 0.47 0.36 0.98 0.93 0.91 0.21 0.36 0.78 0.98 0.35 0.29 0.88 0.81 0.95 1.00 0.93 0.97 0.79 0.58 0.52 0.33 0.92 0.74 0.12 0.41 0.94 1.00 0.90 0.85 0.48 ]
[ 0.35 0.25 0.10 0.70 0.17 0.49 0.51 0.79 0.37 0.96 0.65 0.91 0.21 0.41 0.30 0.86 0.00 0.16 0.28 0.88 0.91 0.36 0.70 0.11 0.53 0.77 0.58 0.97 0.96 0.63 0.62 0.45 0.97 0.57 0.37 0.41 0.89 0.90 0.76 0.00 0.52 0.64 0.57 0.93 1.00 0.01 0.41 0.67 0.73 0.19 0.63 0.00 0.24 0.59 0.29 0.90 0.99 0.61 0.12 ]
[ 0.50 0.94 0.19 0.00 0.74 0.76 0.27 0.40 0.65 0.27 0.36 0.31 0.72 0.34 0.12 0.22 0.23 1.00 0.98 0.47 0.73 0.78 0.59 0.84 0.45 0.73 0.23 0.92 0.58 0.29 0.94 0.63 0.67 0.31 0.38 0.73 0.48 0.21 0.25 0.29 0.74 0.77 0.25 0.97 0.01 1.00 0.76 0.48 0.67 0.25 0.89 0.45 0.49 0.35 0.55 0.89 0.43 0.54 0.87 ]
[ 0.50 0.98 0.98 0.86 0.20 0.74 0.86 0.80 0.50 0.00 0.72 0.85 0.60 0.29 0.92 0.43 0.01 0.16 0.96 0.15 0.96 0.95 0.94 0.95 0.69 0.07 0.44 0.01 0.59 0.95 0.54 0.59 0.36 0.19 0.95 0.52 0.57 0.45 0.73 0.47 0.44 0.73 0.30 0.79 0.41 0.76 1.00 0.27 0.41 0.70 0.94 0.16 0.97 0.00 0.16 0.43 0.21 0.14 0.68 ]
[ 0.40 0.95 0.72 0.47 0.23 0.99 0.94 0.96 0.82 0.48 0.06 0.66 0.15 0.45 0.94 0.20 0.91 0.64 0.63 0.32 0.68 0.82 0.61 0.38 0.91 0.60 0.35 0.10 0.64 0.49 0.23 0.85 0.86 0.71 0.51 0.28 0.87 0.72 0.77 0.10 0.15 0.96 0.75 0.58 0.67 0.48 0.27 1.00 0.25 0.66 0.00 0.49 0.86 0.50 0.94 0.62 0.93 0.58 0.75 ]
[ 0.25 0.30 0.90 0.31 0.56 0.79 0.66 0.12 0.67 0.94 0.61 0.28 0.57 0.86 0.76 0.87 1.00 0.95 0.91 0.86 0.52 0.05 0.33 0.80 0.83 0.97 0.99 0.17 0.62 0.88 0.75 0.52 0.59 0.63 0.18 0.18 0.95 0.59 0.15 0.90 0.18 0.38 0.65 0.52 0.73 0.67 0.41 0.25 1.00 0.38 0.84 0.53 0.76 0.99 0.56 0.79 0.92 0.98 0.19 ]
[ 0.80 0.49 0.42 0.48 0.79 0.57 0.73 0.87 0.66 0.54 0.93 0.90 0.38 0.97 0.42 0.97 0.70 0.94 0.80 0.00 0.19 0.18 0.84 0.39 0.71 0.99 0.57 0.48 0.18 0.12 0.40 0.78 0.90 0.95 0.26 0.80 0.31 0.50 0.64 0.27 0.62 0.59 0.78 0.33 0.19 0.25 0.70 0.66 0.38 1.00 0.99 0.62 0.79 0.35 0.52 0.23 0.57 0.97 0.35 ]
[ 0.61 0.11 0.26 0.66 0.86 0.63 0.37 0.80 0.61 0.46 0.87 0.18 0.99 0.66 0.67 0.77 0.90 0.22 0.60 0.96 0.87 0.51 0.20 0.28 0.50 0.73 0.97 0.02 0.88 0.89 0.27 0.78 0.99 0.34 0.60 0.20 0.98 0.65 0.73 0.39 0.88 0.43 0.74 0.92 0.63 0.89 0.94 0.00 0.84 0.99 1.00 0.94 0.98 0.02 0.90 0.29 0.86 0.56 0.79 ]
[ 0.60 0.45 0.36 0.91 0.89 0.67 0.47 0.06 0.20 0.94 0.11 0.79 0.19 0.21 0.26 0.76 0.34 0.68 0.95 0.82 0.88 0.63 0.58 0.23 0.43 0.41 0.90 0.90 0.47 0.38 0.38 0.32 0.89 0.00 0.23 0.83 0.85 0.32 0.74 0.57 0.94 0.51 0.43 0.74 0.00 0.45 0.16 0.49 0.53 0.62 0.94 1.00 0.09 0.92 0.40 0.17 0.13 0.56 0.69 ]
[ 0.20 0.74 0.97 0.20 0.62 0.43 0.44 0.47 0.89 0.48 0.79 0.23 0.50 0.42 0.61 0.38 0.36 0.44 0.41 0.57 0.47 0.93 0.74 0.01 0.73 0.29 0.94 0.37 0.24 0.54 0.40 0.74 0.00 0.74 0.90 0.33 0.39 0.87 0.22 0.85 0.25 0.73 0.76 0.12 0.24 0.49 0.97 0.86 0.76 0.79 0.98 0.09 1.00 0.91 0.21 0.52 0.01 0.70 0.19 ]
[ 0.91 0.88 0.61 0.95 0.85 0.58 0.46 0.24 0.54 0.96 0.66 0.77 0.87 0.74 0.58 0.45 0.67 0.33 0.04 0.34 0.40 0.18 0.96 0.83 0.61 0.23 0.15 0.16 0.51 0.07 0.18 0.82 0.54 0.28 0.94 0.85 0.99 0.12 0.69 0.40 0.48 0.87 0.64 0.41 0.59 0.35 0.00 0.50 0.99 0.35 0.02 0.92 0.91 1.00 0.49 0.13 0.79 0.31 0.05 ]
[ 0.29 0.96 0.28 0.86 0.63 0.21 0.18 0.50 0.54 0.70 0.00 0.93 0.46 0.78 0.02 0.97 0.00 0.05 0.51 0.38 0.43 0.12 0.19 0.34 0.84 0.20 0.64 0.16 0.30 0.48 0.28 0.18 0.39 0.63 0.89 0.26 0.96 0.37 0.50 0.52 0.74 0.16 0.64 0.94 0.29 0.55 0.16 0.94 0.56 0.52 0.90 0.40 0.21 0.49 1.00 0.43 0.86 0.15 0.83 ]
[ 0.78 0.21 0.17 0.24 0.98 0.90 0.66 0.25 0.30 0.52 0.96 0.62 0.66 0.75 0.70 0.83 0.80 0.84 0.50 0.88 0.73 0.10 0.48 0.71 0.75 0.85 0.04 0.87 0.47 0.64 0.85 1.00 0.15 0.96 0.52 0.06 0.56 0.78 0.15 0.04 0.00 0.71 0.89 1.00 0.90 0.89 0.43 0.62 0.79 0.23 0.29 0.17 0.52 0.13 0.43 1.00 0.52 0.02 0.57 ]
[ 0.69 0.33 0.94 0.38 0.74 0.46 0.72 0.61 0.02 0.93 0.51 0.92 0.48 0.49 0.89 0.63 0.35 0.85 0.10 0.71 0.63 0.80 0.15 0.64 0.13 0.90 0.57 0.18 0.53 0.16 0.30 0.61 0.59 0.03 0.99 0.46 0.53 0.23 0.92 0.71 0.19 0.57 0.91 0.90 0.99 0.43 0.21 0.93 0.92 0.57 0.86 0.13 0.01 0.79 0.86 0.52 1.00 0.97 0.51 ]
