[ 0.79 0.10 0.89 0.26 0.84 0.45 0.15 0.42 0.56 0.16 0.24 0.67 1.00 0.98 0.30 0.09 0.92 0.04 0.56 0.62 0.70 0.94 0.76 0.89 0.46 0.25 0.97 0.34 0.99 0.91 0.60 0.05 0.66 0.96 0.72 0.62 0.93 0.85 ]
[ 0.62 0.67 0.12 0.88 0.99 0.88 0.55 0.92 0.64 0.82 0.91 0.78 0.98 1.00 0.81 0.35 0.74 0.57 0.27 0.66 0.15 0.32 0.22 0.69 0.34 0.87 0.99 0.63 0.20 0.78 0.82 0.43 0.57 0.43 0.98 0.77 0.31 0.51 ]
[ 0.33 0.66 0.44 0.88 0.46 0.73 0.55 0.39 0.71 0.93 0.23 0.69 0.30 0.81 1.00 0.67 0.26 0.71 0.22 0.24 0.88 0.00 0.22 0.45 0.59 0.77 0.57 0.50 0.53 0.81 0.77 0.44 0.45 0.83 0.93 0.98 0.78 0.69 ]
[ 0.74 0.22 0.82 0.99 0.11 0.42 0.00 0.39 0.97 0.23 0.36 0.49 0.09 0.35 0.67 1.00 0.89 0.00 0.80 0.00 0.08 0.72 0.67 0.92 0.16 0.82 0.50 0.74 0.23 0.27 0.61 0.18 0.20 0.59 0.89 0.92 0.18 0.77 ]
[ 0.06 0.20 0.94 0.47 0.62 0.10 0.84 0.00 0.00 0.53 0.78 0.35 0.92 0.74 0.26 0.89 1.00 0.95 0.48 0.95 0.22 0.97 0.59 0.36 0.77 0.76 0.06 0.00 0.85 0.52 0.69 0.21 0.89 0.65 0.90 0.29 0.49 0.54 ]
[ 0.00 0.30 0.61 0.98 0.97 0.17 0.71 0.98 0.37 0.19 0.26 0.34 0.04 0.57 0.71 0.00 0.95 1.00 0.83 0.67 0.90 0.61 0.20 0.52 0.76 0.87 0.43 0.96 0.20 0.28 0.72 0.25 0.66 0.96 0.27 0.49 0.03 0.97 ]
[ 0.69 0.52 0.91 0.24 0.19 0.85 0.04 0.64 0.23 0.91 0.50 0.61 0.56 0.27 0.22 0.80 0.48 0.83 1.00 0.67 0.39 0.40 0.89 0.95 0.42 0.42 0.02 0.81 0.51 1.00 0.06 0.96 0.95 0.17 0.26 0.68 0.91 0.99 ]
[ 0.07 0.33 0.64 0.24 0.36 0.81 0.21 0.52 0.81 0.68 0.37 0.89 0.62 0.66 0.24 0.00 0.95 0.67 0.67 1.00 0.76 0.56 0.39 0.12 0.87 0.67 0.92 0.80 0.75 0.96 0.54 0.83 0.00 0.96 0.77 0.88 0.65 0.22 ]
[ 0.94 0.99 0.81 0.91 0.47 0.18 0.30 0.95 0.30 0.33 0.92 0.98 0.70 0.15 0.88 0.08 0.22 0.90 0.39 0.76 1.00 0.24 0.68 0.88 0.39 0.99 0.72 0.78 0.51 0.85 0.91 0.69 0.82 0.99 0.88 0.79 0.58 0.38 ]
[ 0.50 0.78 0.57 0.93 0.84 0.55 0.35 0.83 0.90 0.58 0.37 0.35 0.94 0.32 0.00 0.72 0.97 0.61 0.40 0.56 0.24 1.00 0.60 0.98 0.46 0.17 0.60 0.66 0.40 0.43 0.49 0.75 0.73 0.55 0.92 0.35 0.52 0.07 ]
[ 0.39 0.53 0.16 0.57 0.91 0.74 0.96 0.44 0.83 0.81 0.77 0.53 0.76 0.22 0.22 0.67 0.59 0.20 0.89 0.39 0.68 0.60 1.00 0.27 0.26 0.31 0.76 0.24 0.16 0.39 0.04 0.57 0.34 0.79 0.46 0.38 0.50 0.90 ]
[ 0.58 0.34 0.99 0.86 0.68 0.17 0.95 0.74 0.96 0.61 0.63 0.79 0.89 0.69 0.45 0.92 0.36 0.52 0.95 0.12 0.88 0.98 0.27 1.00 0.18 0.90 0.24 0.42 0.46 0.09 0.85 0.77 0.67 0.90 0.79 0.75 0.61 0.00 ]
[ 0.95 0.05 0.92 0.95 0.18 0.32 0.69 0.30 0.92 0.19 0.26 0.60 0.46 0.34 0.59 0.16 0.77 0.76 0.42 0.87 0.39 0.46 0.26 0.18 1.00 0.26 0.45 0.22 0.92 0.19 0.64 0.50 0.59 0.31 0.13 0.89 0.71 0.32 ]
[ 0.42 0.54 0.17 0.39 0.41 0.97 0.80 0.38 0.21 0.47 0.92 1.00 0.25 0.87 0.77 0.82 0.76 0.87 0.42 0.67 0.99 0.17 0.31 0.90 0.26 1.00 0.26 0.11 0.62 0.44 0.15 0.85 0.73 0.53 0.25 0.11 0.85 0.00 ]
[ 0.83 0.15 0.84 0.23 0.89 0.29 0.39 0.80 0.95 0.90 0.88 0.23 0.97 0.99 0.57 0.50 0.06 0.43 0.02 0.92 0.72 0.60 0.76 0.24 0.45 0.26 1.00 0.76 0.56 0.32 0.45 0.86 0.17 0.63 0.73 0.78 0.97 0.28 ]
[ 0.72 0.78 0.94 0.75 0.71 0.16 0.30 0.90 0.18 0.27 0.41 0.25 0.34 0.63 0.50 0.74 0.00 0.96 0.81 0.80 0.78 0.66 0.24 0.42 0.22 0.11 0.76 1.00 0.81 0.17 0.47 0.85 0.87 0.77 0.20 0.09 0.45 0.51 ]
[ 0.18 0.73 0.86 0.64 0.06 0.46 0.89 0.00 0.80 0.95 0.81 0.75 0.99 0.20 0.53 0.23 0.85 0.20 0.51 0.75 0.51 0.40 0.16 0.46 0.92 0.62 0.56 0.81 1.00 0.17 0.40 1.00 0.88 0.95 0.64 0.86 0.94 0.52 ]
[ 0.50 0.36 0.70 0.86 0.88 0.78 0.89 0.96 0.25 0.18 0.26 0.68 0.91 0.78 0.81 0.27 0.52 0.28 1.00 0.96 0.85 0.43 0.39 0.09 0.19 0.44 0.32 0.17 0.17 1.00 1.00 0.47 0.05 0.85 0.17 0.51 0.77 0.68 ]
[ 0.92 0.97 0.62 0.00 0.60 0.40 0.86 0.49 0.38 0.25 0.40 0.47 0.60 0.82 0.77 0.61 0.69 0.72 0.06 0.54 0.91 0.49 0.04 0.85 0.64 0.15 0.45 0.47 0.40 1.00 1.00 0.41 0.07 0.93 0.14 0.65 0.83 0.57 ]
[ 0.38 0.40 0.94 0.16 0.24 0.44 0.90 0.11 0.07 0.00 0.18 0.57 0.05 0.43 0.44 0.18 0.21 0.25 0.96 0.83 0.69 0.75 0.57 0.77 0.50 0.85 0.86 0.85 1.00 0.47 0.41 1.00 0.13 0.87 0.47 0.75 0.38 0.77 ]
[ 0.97 0.79 0.62 0.84 0.51 0.58 0.27 0.64 0.53 0.63 0.89 0.86 0.66 0.57 0.45 0.20 0.89 0.66 0.95 0.00 0.82 0.73 0.34 0.67 0.59 0.73 0.17 0.87 0.88 0.05 0.07 0.13 1.00 0.91 0.06 0.85 0.99 0.37 ]
[ 0.22 0.30 0.35 0.74 0.98 0.89 0.48 0.98 0.24 0.62 0.52 0.84 0.96 0.43 0.83 0.59 0.65 0.96 0.17 0.96 0.99 0.55 0.79 0.90 0.31 0.53 0.63 0.77 0.95 0.85 0.93 0.87 0.91 1.00 0.58 0.63 0.37 0.59 ]
[ 0.99 0.46 0.75 0.75 0.00 0.61 0.56 1.00 0.21 0.73 0.50 0.37 0.72 0.98 0.93 0.89 0.90 0.27 0.26 0.77 0.88 0.92 0.46 0.79 0.13 0.25 0.73 0.20 0.64 0.17 0.14 0.47 0.06 0.58 1.00 0.26 0.93 0.13 ]
[ 0.44 0.62 0.72 0.77 0.28 0.70 0.13 0.34 0.18 0.37 0.07 0.69 0.62 0.77 0.98 0.92 0.29 0.49 0.68 0.88 0.79 0.35 0.38 0.75 0.89 0.11 0.78 0.09 0.86 0.51 0.65 0.75 0.85 0.63 0.26 1.00 0.65 0.45 ]
[ 0.86 0.82 0.05 0.81 0.25 0.73 0.00 0.94 0.96 0.45 0.36 0.59 0.93 0.31 0.78 0.18 0.49 0.03 0.91 0.65 0.58 0.52 0.50 0.61 0.71 0.85 0.97 0.45 0.94 0.77 0.83 0.38 0.99 0.37 0.93 0.65 1.00 0.56 ]
[ 0.43 0.91 0.97 0.18 0.63 0.83 0.25 0.19 0.48 0.00 0.86 0.90 0.85 0.51 0.69 0.77 0.54 0.97 0.99 0.22 0.38 0.07 0.90 0.00 0.32 0.00 0.28 0.51 0.52 0.68 0.57 0.77 0.37 0.59 0.13 0.45 0.56 1.00 ]
];
