[ 0.42 0.66 0.45 0.04 0.89 0.76 0.93 0.31 0.40 0.30 1.00 0.90 0.48 0.94 0.24 0.87 0.27 0.15 0.00 0.83 0.31 0.53 0.90 0.92 0.59 0.02 0.29 0.45 0.78 0.64 0.38 0.91 0.10 0.20 1.00 0.59 0.53 0.76 0.64 0.41 0.78 0.45 0.79 0.28 0.86 0.21 0.41 0.46 0.58 0.49 0.54 0.12 0.35 0.82 0.85 0.38 0.97 ]
[ 0.20 0.46 0.16 0.52 0.22 0.36 0.61 0.94 0.37 0.44 0.90 1.00 0.85 0.59 0.55 0.20 0.19 0.02 0.48 0.85 0.39 0.20 0.95 0.71 0.40 0.83 0.11 0.46 0.53 0.78 0.96 0.68 0.91 0.38 0.00 0.39 0.84 0.78 0.57 0.99 0.58 0.30 0.92 0.68 0.93 0.86 0.09 0.91 0.45 0.67 0.14 0.87 0.15 0.00 0.57 0.99 0.99 ]
[ 0.00 0.96 0.44 0.24 0.53 0.14 0.98 0.91 0.18 0.86 0.48 0.85 1.00 0.01 0.24 0.84 0.00 0.73 0.35 0.41 0.73 0.18 0.23 0.60 0.81 0.36 0.33 0.82 0.52 0.00 0.96 0.31 0.18 0.55 0.87 0.68 0.71 0.77 0.95 0.16 0.73 0.30 0.79 0.96 0.39 0.88 0.87 0.74 0.32 0.00 0.41 0.40 0.28 0.23 0.56 0.54 0.73 ]
[ 0.50 0.73 0.65 0.67 0.98 0.18 0.29 0.32 1.00 0.32 0.94 0.59 0.01 1.00 0.11 0.25 0.91 0.76 0.90 0.15 0.71 0.81 0.69 0.56 0.53 0.19 0.90 0.95 0.87 0.87 0.02 0.43 0.43 0.05 0.31 0.91 0.50 0.88 0.00 0.71 0.31 0.92 0.98 0.55 0.04 0.77 0.31 0.93 0.52 0.25 0.19 0.95 1.00 0.37 0.62 0.63 0.10 ]
[ 0.39 0.49 0.62 0.50 0.69 0.46 0.48 0.78 0.01 0.01 0.24 0.55 0.24 0.11 1.00 0.71 0.35 0.05 0.46 0.65 0.91 0.46 0.00 0.56 0.87 0.69 0.18 0.54 0.47 1.00 0.41 0.02 0.46 0.37 0.99 0.11 0.14 0.19 0.86 0.82 0.96 0.48 0.92 0.19 0.64 0.90 0.03 0.16 0.82 0.95 0.77 0.51 0.42 0.60 0.30 0.65 0.90 ]
[ 0.42 0.87 0.28 0.95 0.99 0.52 0.29 0.35 0.73 0.89 0.87 0.20 0.84 0.25 0.71 1.00 0.61 0.29 0.69 0.69 0.82 0.52 0.60 0.36 0.06 0.65 1.00 0.49 0.56 0.31 0.94 0.48 0.42 0.84 0.94 0.89 0.67 0.93 0.00 0.72 0.95 0.45 0.84 0.86 0.87 0.75 0.91 0.78 0.71 0.60 0.27 0.88 0.87 0.32 0.30 0.33 0.19 ]
[ 0.87 0.46 0.00 0.32 0.81 0.58 0.74 0.30 0.39 0.84 0.27 0.19 0.00 0.91 0.35 0.61 1.00 0.47 0.31 0.62 0.35 0.69 0.99 0.37 0.32 0.95 0.40 0.23 0.73 0.01 0.91 0.79 1.00 0.52 0.13 0.93 0.65 0.73 0.84 0.42 0.21 0.59 0.81 0.82 0.87 0.72 0.38 0.85 0.21 0.52 0.66 0.24 0.44 0.87 0.21 0.09 0.93 ]
[ 0.00 0.32 0.33 0.93 0.99 0.83 0.87 0.16 0.57 0.22 0.15 0.02 0.73 0.76 0.05 0.29 0.47 1.00 0.58 0.16 0.89 0.57 0.61 0.97 0.31 0.28 0.75 0.74 0.90 0.99 0.60 0.99 0.29 0.52 0.85 0.43 0.61 0.42 0.79 0.99 0.21 0.13 0.86 0.81 0.84 0.77 0.78 0.77 0.40 0.79 0.81 0.95 0.35 0.14 0.34 0.39 0.16 ]
[ 0.91 0.19 0.16 0.33 0.16 0.99 0.09 0.46 0.98 0.01 0.00 0.48 0.35 0.90 0.46 0.69 0.31 0.58 1.00 0.37 0.83 0.50 0.25 0.55 0.88 0.25 0.77 1.00 0.00 0.61 0.95 0.90 0.16 0.88 0.29 0.64 0.42 0.69 0.23 0.99 0.00 0.91 0.82 0.40 0.22 0.56 0.42 0.00 0.31 0.86 0.96 0.13 0.51 0.91 0.94 0.46 0.62 ]
[ 0.83 0.58 0.58 0.65 0.72 0.69 0.97 0.53 0.24 0.72 0.83 0.85 0.41 0.15 0.65 0.69 0.62 0.16 0.37 1.00 0.77 0.68 0.39 0.04 0.33 0.46 0.60 0.79 0.22 0.81 0.86 0.28 0.68 0.83 0.34 0.15 0.57 0.38 0.06 0.15 0.91 0.34 0.23 0.11 0.73 0.26 0.87 0.40 0.02 0.20 0.82 0.54 0.97 0.50 0.49 0.81 0.81 ]
[ 0.20 0.97 0.32 0.51 0.16 0.75 0.21 0.99 0.55 0.89 0.31 0.39 0.73 0.71 0.91 0.82 0.35 0.89 0.83 0.77 1.00 0.79 0.91 0.34 0.37 0.87 0.70 0.39 0.97 0.35 0.50 0.38 0.96 0.55 0.39 0.22 0.67 0.39 0.95 0.43 0.19 0.45 0.17 0.66 0.29 0.94 0.98 0.15 0.71 0.73 0.22 0.44 0.81 0.00 0.91 0.54 0.81 ]
[ 0.00 0.79 0.37 0.97 0.06 0.41 0.61 0.61 0.89 0.66 0.53 0.20 0.18 0.81 0.46 0.52 0.69 0.57 0.50 0.68 0.79 1.00 0.33 0.96 0.74 0.85 0.10 0.45 0.47 0.31 0.41 0.30 0.28 0.53 0.96 0.94 0.40 0.36 0.51 0.57 0.85 0.73 0.47 0.36 0.92 0.88 0.76 0.60 0.09 0.31 0.87 0.94 0.41 0.86 0.84 0.32 0.89 ]
[ 0.65 0.17 0.93 0.45 0.38 0.66 0.53 0.37 0.87 0.37 0.90 0.95 0.23 0.69 0.00 0.60 0.99 0.61 0.25 0.39 0.91 0.33 1.00 0.95 0.38 0.62 0.50 0.62 0.05 0.91 0.51 0.31 0.92 0.22 0.70 0.67 0.13 0.69 0.19 0.77 0.44 0.29 0.46 0.35 0.29 0.61 0.90 0.38 0.66 0.95 0.57 0.35 0.45 0.94 0.92 0.98 0.86 ]
[ 0.04 0.96 0.35 0.21 0.73 0.27 0.80 0.63 0.43 0.50 0.92 0.71 0.60 0.56 0.56 0.36 0.37 0.97 0.55 0.04 0.34 0.96 0.95 1.00 0.71 0.81 0.34 0.71 0.98 0.97 0.15 0.56 0.01 0.25 0.60 0.42 0.19 0.68 0.69 0.15 0.90 0.62 0.22 0.51 0.58 0.23 0.76 0.38 0.98 0.33 0.18 0.70 0.51 0.17 0.40 0.13 1.00 ]
[ 0.23 0.95 0.12 0.33 1.00 0.94 0.77 0.92 0.90 0.18 0.59 0.40 0.81 0.53 0.87 0.06 0.32 0.31 0.88 0.33 0.37 0.74 0.38 0.71 1.00 0.89 0.84 0.85 0.87 0.88 0.98 0.99 0.17 0.34 0.72 0.27 0.09 0.58 0.32 0.10 1.00 0.38 0.65 0.54 0.50 0.71 0.39 0.21 0.76 0.45 0.46 0.16 0.72 0.17 0.21 0.35 0.94 ]
[ 0.98 0.37 0.28 0.86 0.23 0.75 0.37 0.66 0.36 0.89 0.02 0.83 0.36 0.19 0.69 0.65 0.95 0.28 0.25 0.46 0.87 0.85 0.62 0.81 0.89 1.00 0.00 0.15 0.24 0.41 0.72 0.60 0.20 0.04 0.30 0.87 0.96 0.75 0.00 0.14 0.89 0.20 0.17 0.74 0.51 1.00 0.87 0.22 0.69 0.37 0.73 0.42 0.70 0.79 0.34 0.18 0.75 ]
[ 0.54 0.02 0.32 0.93 0.23 0.00 0.78 0.89 0.95 0.92 0.29 0.11 0.33 0.90 0.18 1.00 0.40 0.75 0.77 0.60 0.70 0.10 0.50 0.34 0.84 0.00 1.00 0.91 0.51 0.50 0.54 0.92 0.28 0.66 0.88 0.32 0.19 0.23 0.14 0.44 0.77 0.67 0.56 0.59 0.91 0.87 0.94 0.60 0.30 0.11 0.43 0.48 0.60 0.35 0.58 0.70 0.26 ]
[ 0.15 0.61 0.88 0.71 0.73 0.26 0.45 0.22 0.37 0.92 0.45 0.46 0.82 0.95 0.54 0.49 0.23 0.74 1.00 0.79 0.39 0.45 0.62 0.71 0.85 0.15 0.91 1.00 0.31 0.62 0.74 0.84 0.15 0.58 0.43 0.15 0.33 0.27 0.75 0.05 0.00 0.00 0.98 0.44 0.96 0.96 0.51 0.47 0.94 0.21 0.23 0.00 0.23 0.34 0.73 0.91 0.37 ]
[ 0.98 0.87 0.34 0.77 0.60 0.76 0.91 0.53 0.42 0.46 0.78 0.53 0.52 0.87 0.47 0.56 0.73 0.90 0.00 0.22 0.97 0.47 0.05 0.98 0.87 0.24 0.51 0.31 1.00 0.19 0.40 0.61 0.83 0.22 0.72 0.00 0.90 0.36 0.49 0.77 0.52 0.70 0.41 0.91 0.22 0.20 0.34 0.85 0.89 0.96 0.02 0.50 0.65 0.73 0.03 0.96 0.33 ]
[ 0.95 0.27 0.90 0.39 0.86 0.90 0.73 0.51 0.17 0.81 0.64 0.78 0.00 0.87 1.00 0.31 0.01 0.99 0.61 0.81 0.35 0.31 0.91 0.97 0.88 0.41 0.50 0.62 0.19 1.00 0.70 0.35 0.60 0.87 0.96 0.16 1.00 0.18 0.83 0.02 0.57 0.34 0.20 0.25 0.31 0.35 0.85 0.29 1.00 0.42 0.95 0.92 0.11 0.42 0.60 0.25 0.44 ]
[ 0.31 0.22 0.93 0.69 0.33 0.69 0.10 0.24 0.82 0.75 0.38 0.96 0.96 0.02 0.41 0.94 0.91 0.60 0.95 0.86 0.50 0.41 0.51 0.15 0.98 0.72 0.54 0.74 0.40 0.70 1.00 0.95 0.79 0.34 0.30 0.25 0.02 0.80 0.59 0.72 0.96 1.00 0.67 0.21 0.78 0.95 0.61 0.97 0.23 0.64 0.59 0.56 0.28 0.98 0.97 0.24 0.82 ]
[ 0.88 0.52 0.78 0.76 0.90 0.20 0.56 0.97 0.57 0.88 0.91 0.68 0.31 0.43 0.02 0.48 0.79 0.99 0.90 0.28 0.38 0.30 0.31 0.56 0.99 0.60 0.92 0.84 0.61 0.35 0.95 1.00 0.81 0.47 0.22 0.89 0.95 0.86 0.92 0.93 0.50 0.01 0.81 0.94 0.01 0.52 0.82 0.89 0.88 0.80 0.86 0.85 0.24 0.30 0.32 0.97 0.80 ]
[ 0.29 0.47 0.31 0.99 0.06 0.94 0.24 0.36 0.82 0.60 0.10 0.91 0.18 0.43 0.46 0.42 1.00 0.29 0.16 0.68 0.96 0.28 0.92 0.01 0.17 0.20 0.28 0.15 0.83 0.60 0.79 0.81 1.00 0.73 0.22 0.95 0.75 0.39 0.64 0.96 0.39 0.28 0.73 0.27 0.89 0.55 0.25 0.34 0.33 0.81 0.93 0.52 0.75 0.31 0.92 0.47 0.56 ]
[ 0.78 0.44 0.76 0.62 0.90 0.95 1.00 0.99 0.73 0.49 0.20 0.38 0.55 0.05 0.37 0.84 0.52 0.52 0.88 0.83 0.55 0.53 0.22 0.25 0.34 0.04 0.66 0.58 0.22 0.87 0.34 0.47 0.73 1.00 0.89 0.75 0.41 0.97 0.63 0.90 0.85 0.19 0.82 0.57 0.16 0.39 0.17 0.27 0.95 0.24 0.00 0.85 0.08 0.21 0.73 0.72 0.18 ]
[ 0.11 0.33 0.31 0.79 0.41 0.30 0.78 0.90 0.93 0.67 1.00 0.00 0.87 0.31 0.99 0.94 0.13 0.85 0.29 0.34 0.39 0.96 0.70 0.60 0.72 0.30 0.88 0.43 0.72 0.96 0.30 0.22 0.22 0.89 1.00 0.98 0.40 0.57 0.48 0.27 0.21 0.77 0.94 0.64 0.97 0.71 0.74 0.97 0.99 0.47 0.18 0.82 0.68 0.32 0.57 0.99 0.91 ]
[ 0.43 0.41 0.88 0.16 0.29 0.11 0.29 0.92 0.51 0.54 0.59 0.39 0.68 0.91 0.11 0.89 0.93 0.43 0.64 0.15 0.22 0.94 0.67 0.42 0.27 0.87 0.32 0.15 0.00 0.16 0.25 0.89 0.95 0.75 0.98 1.00 0.33 0.48 0.93 0.61 0.60 0.32 0.26 0.87 0.23 0.80 0.09 0.58 0.79 0.89 0.78 0.95 0.65 0.23 0.47 0.10 0.33 ]
[ 0.42 0.91 0.85 0.57 0.00 0.73 0.96 0.44 0.06 0.18 0.53 0.84 0.71 0.50 0.14 0.67 0.65 0.61 0.42 0.57 0.67 0.40 0.13 0.19 0.09 0.96 0.19 0.33 0.90 1.00 0.02 0.95 0.75 0.41 0.40 0.33 1.00 0.55 0.19 0.86 0.75 0.04 0.60 0.33 0.21 0.44 0.27 0.00 0.98 0.32 0.96 0.97 0.04 0.42 0.68 0.65 0.80 ]
[ 0.15 0.39 0.97 0.63 0.57 0.54 0.50 0.50 0.86 0.09 0.76 0.78 0.77 0.88 0.19 0.93 0.73 0.42 0.69 0.38 0.39 0.36 0.69 0.68 0.58 0.75 0.23 0.27 0.36 0.18 0.80 0.86 0.39 0.97 0.57 0.48 0.55 1.00 0.87 0.38 0.58 0.23 0.36 0.89 0.31 0.64 0.39 0.49 0.32 0.75 0.46 0.65 0.93 0.98 0.16 0.96 0.18 ]
[ 0.88 0.95 0.32 0.78 0.23 0.38 0.80 0.63 0.95 0.41 0.64 0.57 0.95 0.00 0.86 0.00 0.84 0.79 0.23 0.06 0.95 0.51 0.19 0.69 0.32 0.00 0.14 0.75 0.49 0.83 0.59 0.92 0.64 0.63 0.48 0.93 0.19 0.87 1.00 0.67 0.99 0.97 0.30 0.60 0.13 0.66 0.77 0.69 0.29 0.92 0.87 0.46 0.48 0.69 0.85 0.98 0.54 ]
[ 0.33 0.34 0.45 0.22 0.59 0.77 0.62 0.06 0.54 0.35 0.41 0.99 0.16 0.71 0.82 0.72 0.42 0.99 0.99 0.15 0.43 0.57 0.77 0.15 0.10 0.14 0.44 0.05 0.77 0.02 0.72 0.93 0.96 0.90 0.27 0.61 0.86 0.38 0.67 1.00 0.86 0.23 0.39 0.98 0.24 0.61 0.21 0.42 0.09 0.13 0.61 0.88 0.78 0.81 0.24 0.91 0.34 ]
[ 0.17 0.79 0.76 0.54 0.89 0.93 0.86 0.15 0.55 0.41 0.78 0.58 0.73 0.31 0.96 0.95 0.21 0.21 0.00 0.91 0.19 0.85 0.44 0.90 1.00 0.89 0.77 0.00 0.52 0.57 0.96 0.50 0.39 0.85 0.21 0.60 0.75 0.58 0.99 0.86 1.00 0.82 0.93 0.95 0.57 0.54 0.30 0.33 0.48 0.75 0.00 0.19 0.45 0.51 0.91 0.94 0.35 ]
[ 0.99 0.66 0.31 0.95 0.91 0.88 0.31 0.97 0.96 0.63 0.45 0.30 0.30 0.92 0.48 0.45 0.59 0.13 0.91 0.34 0.45 0.73 0.29 0.62 0.38 0.20 0.67 0.00 0.70 0.34 1.00 0.01 0.28 0.19 0.77 0.32 0.04 0.23 0.97 0.23 0.82 1.00 0.53 0.61 0.57 1.00 0.76 0.26 0.80 0.36 0.73 0.58 0.85 0.87 0.00 0.93 0.73 ]
[ 0.82 0.90 0.92 0.71 0.97 0.89 0.82 0.92 0.07 0.33 0.79 0.92 0.79 0.98 0.92 0.84 0.81 0.86 0.82 0.23 0.17 0.47 0.46 0.22 0.65 0.17 0.56 0.98 0.41 0.20 0.67 0.81 0.73 0.82 0.94 0.26 0.60 0.36 0.30 0.39 0.93 0.53 1.00 0.72 0.60 0.58 0.37 1.00 0.70 0.45 0.94 0.99 0.04 0.33 0.38 0.89 0.93 ]
[ 0.38 0.79 0.66 0.97 0.35 0.89 0.65 0.80 0.15 0.45 0.28 0.68 0.96 0.55 0.19 0.86 0.82 0.81 0.40 0.11 0.66 0.36 0.35 0.51 0.54 0.74 0.59 0.44 0.91 0.25 0.21 0.94 0.27 0.57 0.64 0.87 0.33 0.89 0.60 0.98 0.95 0.61 0.72 1.00 0.90 0.74 0.89 0.76 0.50 0.73 0.47 0.24 0.31 0.05 0.05 0.47 0.61 ]
[ 0.17 0.75 0.37 0.01 0.32 0.96 0.04 0.04 0.39 0.78 0.86 0.93 0.39 0.04 0.64 0.87 0.87 0.84 0.22 0.73 0.29 0.92 0.29 0.58 0.50 0.51 0.91 0.96 0.22 0.31 0.78 0.01 0.89 0.16 0.97 0.23 0.21 0.31 0.13 0.24 0.57 0.57 0.60 0.90 1.00 0.77 0.58 0.62 0.66 0.23 0.84 0.80 0.88 0.83 0.41 0.52 0.71 ]
[ 0.33 0.20 0.46 0.86 0.51 0.64 0.30 0.47 0.36 0.29 0.21 0.86 0.88 0.77 0.90 0.75 0.72 0.77 0.56 0.26 0.94 0.88 0.61 0.23 0.71 1.00 0.87 0.96 0.20 0.35 0.95 0.52 0.55 0.39 0.71 0.80 0.44 0.64 0.66 0.61 0.54 1.00 0.58 0.74 0.77 1.00 0.96 0.41 0.96 0.82 0.82 0.86 0.52 0.24 0.71 0.59 0.94 ]
[ 0.99 0.44 0.75 0.27 0.31 0.56 0.55 0.32 0.77 0.58 0.41 0.09 0.87 0.31 0.03 0.91 0.38 0.78 0.42 0.87 0.98 0.76 0.90 0.76 0.39 0.87 0.94 0.51 0.34 0.85 0.61 0.82 0.25 0.17 0.74 0.09 0.27 0.39 0.77 0.21 0.30 0.76 0.37 0.89 0.58 0.96 1.00 0.07 0.92 0.61 0.47 0.72 0.57 0.40 0.31 0.15 0.77 ]
[ 0.13 0.51 0.87 0.72 0.82 0.28 0.92 0.64 0.57 0.58 0.46 0.91 0.74 0.93 0.16 0.78 0.85 0.77 0.00 0.40 0.15 0.60 0.38 0.38 0.21 0.22 0.60 0.47 0.85 0.29 0.97 0.89 0.34 0.27 0.97 0.58 0.00 0.49 0.69 0.42 0.33 0.26 1.00 0.76 0.62 0.41 0.07 1.00 0.97 0.97 0.19 0.19 0.39 0.07 0.30 0.64 0.79 ]
[ 0.67 0.40 0.51 0.40 0.98 0.01 0.53 0.87 0.87 0.59 0.58 0.45 0.32 0.52 0.82 0.71 0.21 0.40 0.31 0.02 0.71 0.09 0.66 0.98 0.76 0.69 0.30 0.94 0.89 1.00 0.23 0.88 0.33 0.95 0.99 0.79 0.98 0.32 0.29 0.09 0.48 0.80 0.70 0.50 0.66 0.96 0.92 0.97 1.00 0.38 0.90 0.99 0.89 0.17 0.90 0.36 0.38 ]
[ 0.57 0.42 0.39 0.38 0.67 0.25 0.47 0.89 0.95 0.15 0.49 0.67 0.00 0.25 0.95 0.60 0.52 0.79 0.86 0.20 0.73 0.31 0.95 0.33 0.45 0.37 0.11 0.21 0.96 0.42 0.64 0.80 0.81 0.24 0.47 0.89 0.32 0.75 0.92 0.13 0.75 0.36 0.45 0.73 0.23 0.82 0.61 0.97 0.38 1.00 0.22 0.66 0.21 0.12 0.79 0.93 0.13 ]
[ 0.21 0.99 0.48 0.13 0.56 0.71 0.29 0.28 0.42 0.43 0.54 0.14 0.41 0.19 0.77 0.27 0.66 0.81 0.96 0.82 0.22 0.87 0.57 0.18 0.46 0.73 0.43 0.23 0.02 0.95 0.59 0.86 0.93 0.00 0.18 0.78 0.96 0.46 0.87 0.61 0.00 0.73 0.94 0.47 0.84 0.82 0.47 0.19 0.90 0.22 1.00 0.70 0.87 0.24 0.98 0.89 0.63 ]
[ 0.54 0.10 0.88 0.64 0.48 0.00 0.91 0.67 0.69 0.41 0.12 0.87 0.40 0.95 0.51 0.88 0.24 0.95 0.13 0.54 0.44 0.94 0.35 0.70 0.16 0.42 0.48 0.00 0.50 0.92 0.56 0.85 0.52 0.85 0.82 0.95 0.97 0.65 0.46 0.88 0.19 0.58 0.99 0.24 0.80 0.86 0.72 0.19 0.99 0.66 0.70 1.00 0.69 0.67 0.23 0.50 0.84 ]
[ 0.99 0.86 0.16 0.25 0.61 0.94 0.93 0.75 0.99 0.72 0.35 0.15 0.28 1.00 0.42 0.87 0.44 0.35 0.51 0.97 0.81 0.41 0.45 0.51 0.72 0.70 0.60 0.23 0.65 0.11 0.28 0.24 0.75 0.08 0.68 0.65 0.04 0.93 0.48 0.78 0.45 0.85 0.04 0.31 0.88 0.52 0.57 0.39 0.89 0.21 0.87 0.69 1.00 0.98 0.25 0.70 0.44 ]
[ 0.55 0.96 0.16 0.50 0.69 0.15 0.34 0.90 0.90 0.97 0.82 0.00 0.23 0.37 0.60 0.32 0.87 0.14 0.91 0.50 0.00 0.86 0.94 0.17 0.17 0.79 0.35 0.34 0.73 0.42 0.98 0.30 0.31 0.21 0.32 0.23 0.42 0.98 0.69 0.81 0.51 0.87 0.33 0.05 0.83 0.24 0.40 0.07 0.17 0.12 0.24 0.67 0.98 1.00 0.21 0.76 0.38 ]
[ 0.71 0.85 0.19 0.26 0.38 0.74 0.40 0.44 0.41 0.01 0.85 0.57 0.56 0.62 0.30 0.30 0.21 0.34 0.94 0.49 0.91 0.84 0.92 0.40 0.21 0.34 0.58 0.73 0.03 0.60 0.97 0.32 0.92 0.73 0.57 0.47 0.68 0.16 0.85 0.24 0.91 0.00 0.38 0.05 0.41 0.71 0.31 0.30 0.90 0.79 0.98 0.23 0.25 0.21 1.00 0.38 0.44 ]
[ 0.91 0.86 0.37 0.28 0.17 0.03 0.33 0.62 0.58 0.94 0.38 0.99 0.54 0.63 0.65 0.33 0.09 0.39 0.46 0.81 0.54 0.32 0.98 0.13 0.35 0.18 0.70 0.91 0.96 0.25 0.24 0.97 0.47 0.72 0.99 0.10 0.65 0.96 0.98 0.91 0.94 0.93 0.89 0.47 0.52 0.59 0.15 0.64 0.36 0.93 0.89 0.50 0.70 0.76 0.38 1.00 0.85 ]
[ 1.00 0.56 0.00 0.97 0.20 0.92 0.79 0.73 0.96 0.95 0.97 0.99 0.73 0.10 0.90 0.19 0.93 0.16 0.62 0.81 0.81 0.89 0.86 1.00 0.94 0.75 0.26 0.37 0.33 0.44 0.82 0.80 0.56 0.18 0.91 0.33 0.80 0.18 0.54 0.34 0.35 0.73 0.93 0.61 0.71 0.94 0.77 0.79 0.38 0.13 0.63 0.84 0.44 0.38 0.44 0.85 1.00 ]
];
