[ 0.88 0.66 0.96 0.85 0.76 0.97 0.99 0.93 0.93 0.27 1.00 0.95 0.72 0.99 0.98 0.41 0.77 0.79 0.27 0.28 0.25 0.64 0.40 0.38 0.67 0.19 0.98 0.84 0.41 0.89 0.89 0.34 0.53 0.16 0.32 0.43 0.96 0.48 0.41 0.29 0.61 0.45 0.83 ]
[ 0.90 0.37 0.95 0.91 0.39 0.96 0.89 0.00 0.79 0.57 0.95 1.00 0.31 0.41 0.09 0.23 0.97 0.86 0.41 0.16 0.63 0.76 0.70 0.83 0.40 0.32 0.88 0.29 0.54 0.77 0.30 0.85 0.61 0.72 0.91 0.71 0.53 0.89 0.99 0.38 0.74 0.18 0.70 ]
[ 0.96 0.00 0.51 0.40 0.85 0.83 0.95 0.66 0.66 0.89 0.72 0.31 1.00 0.45 0.73 0.93 0.05 0.17 0.00 0.74 0.85 0.97 0.30 0.90 0.41 0.98 0.40 0.63 0.89 0.71 0.96 0.22 0.91 0.73 0.32 0.44 0.38 0.90 0.95 0.21 0.25 0.64 0.44 ]
[ 0.44 0.56 0.51 0.87 0.40 0.82 0.06 0.58 0.18 0.26 0.99 0.41 0.45 1.00 0.76 0.90 0.89 0.69 0.00 0.29 0.65 0.88 0.18 0.96 0.97 0.81 0.40 0.52 0.00 0.00 0.23 0.42 0.54 0.93 0.82 0.53 0.25 0.24 0.29 0.32 0.40 0.91 0.98 ]
[ 0.34 0.89 0.53 0.77 0.31 0.97 0.69 0.82 0.89 0.04 0.98 0.09 0.73 0.76 1.00 0.35 0.24 0.79 0.30 0.62 0.79 0.02 0.59 0.71 0.73 0.89 0.51 0.07 0.86 0.94 0.90 0.23 0.31 0.62 0.38 0.31 0.54 0.23 0.16 0.82 0.73 0.98 0.72 ]
[ 0.63 0.29 0.21 0.97 0.55 0.17 0.39 0.20 0.56 0.20 0.41 0.23 0.93 0.90 0.35 1.00 0.30 0.89 0.97 0.67 0.83 0.81 0.91 0.84 0.51 0.84 0.96 0.53 0.73 0.81 0.66 0.18 0.94 0.70 0.73 0.39 0.50 0.47 0.93 0.55 0.84 0.64 0.93 ]
[ 0.30 0.33 0.27 0.96 0.78 0.23 0.93 0.59 0.70 0.29 0.77 0.97 0.05 0.89 0.24 0.30 1.00 0.43 0.58 0.20 0.22 0.04 0.91 0.27 0.09 0.19 0.71 0.85 0.00 0.56 0.80 0.25 0.62 0.18 0.15 0.02 0.50 0.58 0.95 0.06 0.33 0.99 0.96 ]
[ 0.26 0.91 0.26 0.90 0.85 0.97 0.47 0.83 0.57 0.67 0.79 0.86 0.17 0.69 0.79 0.89 0.43 1.00 0.41 0.44 0.51 0.86 0.84 0.17 0.71 0.91 0.91 0.26 0.25 0.95 0.65 0.92 0.35 0.87 0.31 0.57 0.99 0.91 0.46 0.14 0.92 0.87 0.33 ]
[ 0.28 0.44 0.85 0.77 0.72 0.00 0.24 0.61 0.52 0.96 0.27 0.41 0.00 0.00 0.30 0.97 0.58 0.41 1.00 0.72 0.25 0.81 0.44 0.52 0.93 0.40 0.88 0.93 0.60 0.00 0.39 0.38 0.36 0.59 0.12 0.83 0.81 0.97 0.36 0.19 0.16 0.10 0.42 ]
[ 0.97 0.20 0.50 0.43 0.43 0.20 0.96 0.32 0.24 0.39 0.28 0.16 0.74 0.29 0.62 0.67 0.20 0.44 0.72 1.00 0.41 0.86 0.87 0.41 0.31 0.99 0.32 0.90 0.65 0.22 0.00 0.91 0.62 0.78 0.98 0.48 0.93 0.02 0.57 0.89 0.71 0.82 0.88 ]
[ 0.69 0.56 0.99 0.70 0.24 0.37 0.58 0.17 0.62 0.81 0.25 0.63 0.85 0.65 0.79 0.83 0.22 0.51 0.25 0.41 1.00 0.83 0.44 0.50 0.74 0.98 0.87 0.58 0.77 0.22 0.56 0.90 0.97 0.03 0.94 0.89 0.77 0.28 0.92 0.89 0.57 0.72 0.73 ]
[ 0.36 0.69 0.00 0.75 0.58 0.84 0.98 0.29 0.00 0.50 0.64 0.76 0.97 0.88 0.02 0.81 0.04 0.86 0.81 0.86 0.83 1.00 0.71 0.50 0.23 0.02 0.33 0.20 0.51 0.62 0.46 0.85 0.98 0.37 0.67 0.03 0.10 0.83 0.68 0.06 0.93 0.90 0.91 ]
[ 0.64 0.58 0.53 0.92 0.82 0.57 0.41 0.93 0.27 0.51 0.40 0.70 0.30 0.18 0.59 0.91 0.91 0.84 0.44 0.87 0.44 0.71 1.00 0.89 0.19 0.65 0.52 0.87 0.26 0.51 0.06 0.92 0.68 0.00 0.51 0.13 0.48 0.65 0.72 0.56 0.88 0.92 0.00 ]
[ 0.27 0.56 0.86 0.11 0.61 0.94 0.26 0.77 0.66 0.00 0.38 0.83 0.90 0.96 0.71 0.84 0.27 0.17 0.52 0.41 0.50 0.50 0.89 1.00 0.88 0.47 0.34 0.32 0.95 0.63 0.02 0.15 0.21 0.52 0.21 0.04 0.91 0.41 0.51 0.16 0.77 0.17 0.46 ]
[ 0.20 0.77 0.82 0.38 0.54 0.93 0.21 0.91 0.13 0.80 0.67 0.40 0.41 0.97 0.73 0.51 0.09 0.71 0.93 0.31 0.74 0.23 0.19 0.88 1.00 0.70 1.00 0.56 0.62 0.03 0.79 0.89 0.93 0.29 0.56 0.13 0.95 0.97 0.42 0.95 0.01 0.83 0.14 ]
[ 0.28 0.52 0.54 0.90 0.15 0.17 0.75 0.92 0.53 0.89 0.19 0.32 0.98 0.81 0.89 0.84 0.19 0.91 0.40 0.99 0.98 0.02 0.65 0.47 0.70 1.00 0.00 0.57 0.44 0.18 0.94 0.65 0.31 0.11 0.53 0.46 0.94 0.74 0.59 0.08 0.61 0.85 0.74 ]
[ 0.94 0.27 0.62 0.31 0.42 0.39 0.92 0.53 0.38 0.21 0.98 0.88 0.40 0.40 0.51 0.96 0.71 0.91 0.88 0.32 0.87 0.33 0.52 0.34 1.00 0.00 1.00 0.05 0.85 0.44 0.91 0.66 0.70 0.92 0.33 0.97 0.76 0.37 0.90 0.57 0.07 0.28 0.34 ]
[ 0.92 0.00 0.75 0.90 0.25 0.92 0.43 0.98 0.71 0.96 0.84 0.29 0.63 0.52 0.07 0.53 0.85 0.26 0.93 0.90 0.58 0.20 0.87 0.32 0.56 0.57 0.05 1.00 0.56 0.79 0.98 0.24 0.15 0.16 0.89 0.91 0.25 0.61 0.97 0.37 0.80 0.16 0.23 ]
[ 0.68 0.03 0.98 0.95 0.00 0.68 0.59 0.79 0.32 0.71 0.41 0.54 0.89 0.00 0.86 0.73 0.00 0.25 0.60 0.65 0.77 0.51 0.26 0.95 0.62 0.44 0.85 0.56 1.00 0.60 0.53 0.64 0.79 0.84 0.68 0.42 0.34 0.86 0.18 0.75 0.62 0.29 0.82 ]
[ 0.18 0.26 0.44 0.60 0.92 1.00 0.81 0.62 0.13 0.34 0.89 0.77 0.71 0.00 0.94 0.81 0.56 0.95 0.00 0.22 0.22 0.62 0.51 0.63 0.03 0.18 0.44 0.79 0.60 1.00 0.66 0.50 0.69 0.81 0.46 0.37 0.68 0.91 0.19 0.79 0.86 0.71 0.97 ]
[ 0.03 0.31 0.30 0.84 0.81 0.90 0.96 0.99 0.59 0.32 0.89 0.30 0.96 0.23 0.90 0.66 0.80 0.65 0.39 0.00 0.56 0.46 0.06 0.02 0.79 0.94 0.91 0.98 0.53 0.66 1.00 0.24 0.20 0.28 0.26 0.27 0.96 0.91 0.82 0.09 0.12 0.75 0.65 ]
[ 0.08 0.32 0.80 0.91 0.50 0.40 0.29 0.63 0.61 0.72 0.34 0.85 0.22 0.42 0.23 0.18 0.25 0.92 0.38 0.91 0.90 0.85 0.92 0.15 0.89 0.65 0.66 0.24 0.64 0.50 0.24 1.00 0.80 0.66 0.96 0.29 0.48 0.82 0.19 0.40 0.17 0.39 0.33 ]
[ 0.04 0.65 0.49 0.82 0.62 0.47 0.65 0.22 0.80 0.54 0.53 0.61 0.91 0.54 0.31 0.94 0.62 0.35 0.36 0.62 0.97 0.98 0.68 0.21 0.93 0.31 0.70 0.15 0.79 0.69 0.20 0.80 1.00 0.87 0.17 0.77 0.66 0.62 0.43 0.43 0.78 0.17 0.75 ]
[ 0.64 0.29 0.82 0.73 0.77 0.29 0.87 0.33 0.60 0.77 0.16 0.72 0.73 0.93 0.62 0.70 0.18 0.87 0.59 0.78 0.03 0.37 0.00 0.52 0.29 0.11 0.92 0.16 0.84 0.81 0.28 0.66 0.87 1.00 0.18 0.21 0.87 0.49 0.93 0.70 0.58 0.55 0.95 ]
[ 0.41 0.71 0.78 0.74 0.38 0.28 0.63 0.27 0.95 0.89 0.32 0.91 0.32 0.82 0.38 0.73 0.15 0.31 0.12 0.98 0.94 0.67 0.51 0.21 0.56 0.53 0.33 0.89 0.68 0.46 0.26 0.96 0.17 0.18 1.00 0.87 0.83 0.68 0.60 0.82 0.18 0.60 0.65 ]
[ 0.80 0.49 0.17 0.16 0.94 0.55 0.27 0.76 0.31 0.38 0.43 0.71 0.44 0.53 0.31 0.39 0.02 0.57 0.83 0.48 0.89 0.03 0.13 0.04 0.13 0.46 0.97 0.91 0.42 0.37 0.27 0.29 0.77 0.21 0.87 1.00 0.49 0.74 0.40 0.65 0.18 0.82 0.72 ]
[ 0.23 0.68 0.47 0.53 0.42 0.18 0.88 0.06 0.51 0.21 0.96 0.53 0.38 0.25 0.54 0.50 0.50 0.99 0.81 0.93 0.77 0.10 0.48 0.91 0.95 0.94 0.76 0.25 0.34 0.68 0.96 0.48 0.66 0.87 0.83 0.49 1.00 0.80 0.17 0.06 0.34 0.47 0.67 ]
[ 0.95 0.89 0.63 0.79 0.37 0.86 0.04 0.94 0.52 0.85 0.48 0.89 0.90 0.24 0.23 0.47 0.58 0.91 0.97 0.02 0.28 0.83 0.65 0.41 0.97 0.74 0.37 0.61 0.86 0.91 0.91 0.82 0.62 0.49 0.68 0.74 0.80 1.00 0.18 0.57 0.23 0.58 0.19 ]
[ 0.94 0.00 0.36 0.65 0.45 0.40 0.93 0.71 0.61 0.00 0.41 0.99 0.95 0.29 0.16 0.93 0.95 0.46 0.36 0.57 0.92 0.68 0.72 0.51 0.42 0.59 0.90 0.97 0.18 0.19 0.82 0.19 0.43 0.93 0.60 0.40 0.17 0.18 1.00 0.38 0.87 0.21 0.15 ]
[ 0.24 0.42 0.81 0.47 0.91 0.55 0.51 0.55 0.99 0.93 0.29 0.38 0.21 0.32 0.82 0.55 0.06 0.14 0.19 0.89 0.89 0.06 0.56 0.16 0.95 0.08 0.57 0.37 0.75 0.79 0.09 0.40 0.43 0.70 0.82 0.65 0.06 0.57 0.38 1.00 0.96 0.73 0.73 ]
[ 0.39 0.01 0.65 0.60 0.89 0.30 0.21 0.50 0.01 0.69 0.61 0.74 0.25 0.40 0.73 0.84 0.33 0.92 0.16 0.71 0.57 0.93 0.88 0.77 0.01 0.61 0.07 0.80 0.62 0.86 0.12 0.17 0.78 0.58 0.18 0.18 0.34 0.23 0.87 0.96 1.00 0.53 0.37 ]
[ 0.99 0.77 0.06 0.42 0.80 0.56 0.62 0.28 0.44 0.52 0.45 0.18 0.64 0.91 0.98 0.64 0.99 0.87 0.10 0.82 0.72 0.90 0.92 0.17 0.83 0.85 0.28 0.16 0.29 0.71 0.75 0.39 0.17 0.55 0.60 0.82 0.47 0.58 0.21 0.73 0.53 1.00 0.90 ]
[ 0.72 0.77 0.72 0.55 0.06 0.91 0.50 0.23 1.00 0.55 0.83 0.70 0.44 0.98 0.72 0.93 0.96 0.33 0.42 0.88 0.73 0.91 0.00 0.46 0.14 0.74 0.34 0.23 0.82 0.97 0.65 0.33 0.75 0.95 0.65 0.72 0.67 0.19 0.15 0.73 0.37 0.90 1.00 ]
];
