[ 0.98 0.37 0.81 0.62 0.98 0.89 0.39 0.83 0.54 0.86 0.32 1.00 0.92 0.86 0.96 0.00 0.23 0.88 0.13 0.88 0.98 0.66 0.68 0.83 0.50 0.20 0.00 0.01 0.34 0.89 0.26 0.27 0.54 0.96 0.46 0.88 0.59 0.93 0.23 0.70 0.92 0.82 0.61 0.62 0.49 0.96 0.57 0.99 0.39 0.56 0.60 0.20 0.96 0.62 0.24 0.47 0.37 0.19 0.92 0.78 0.64 0.09 ]
[ 1.00 0.54 0.37 0.26 0.62 0.55 0.67 0.95 0.00 0.00 0.41 0.92 1.00 0.09 0.07 0.26 0.00 0.70 0.71 0.54 0.66 0.53 0.74 0.49 0.27 0.96 0.40 0.58 0.31 0.59 0.43 0.76 0.37 0.36 0.66 0.93 0.89 0.59 0.03 0.40 0.54 0.89 0.64 0.80 0.97 0.10 0.25 0.95 0.29 0.55 0.73 0.91 0.26 0.88 0.22 0.64 0.56 0.55 0.74 0.88 0.20 0.75 ]
[ 0.59 0.52 0.20 0.50 0.87 0.96 0.60 0.34 0.53 0.96 0.47 0.86 0.09 1.00 0.91 0.63 0.00 0.33 0.90 0.78 0.08 0.54 0.85 0.00 0.61 0.08 0.83 0.66 0.16 0.21 0.16 0.43 0.02 0.82 0.28 0.55 0.12 0.23 0.48 0.89 0.77 0.90 0.87 0.18 0.98 0.18 0.95 0.55 0.90 0.00 0.50 0.84 0.62 0.27 0.79 0.58 0.34 0.42 0.93 0.87 0.38 0.67 ]
[ 0.54 0.24 0.45 0.35 0.83 0.00 0.96 0.45 0.41 0.77 0.84 0.96 0.07 0.91 1.00 0.80 0.70 0.93 0.02 0.25 0.86 0.53 0.27 0.58 0.93 0.00 0.78 0.96 0.26 0.63 0.88 0.41 0.63 0.13 0.26 0.24 0.79 0.71 0.87 0.68 0.69 0.01 0.95 0.17 0.89 0.89 0.94 0.97 0.95 0.34 0.55 0.22 0.90 0.95 0.26 0.40 0.18 0.94 0.35 0.92 0.38 0.17 ]
[ 0.82 0.69 0.02 0.65 0.63 0.95 0.63 0.72 0.34 0.87 0.38 0.00 0.26 0.63 0.80 1.00 0.91 0.88 0.93 0.79 0.98 0.94 0.78 0.63 0.62 1.00 0.51 0.43 0.31 0.90 0.94 0.50 0.33 0.18 0.30 0.81 0.00 0.55 0.76 0.86 0.50 0.99 0.57 0.58 0.68 0.96 0.87 0.73 0.44 0.25 0.97 0.27 0.20 0.31 0.56 0.76 0.40 0.36 0.39 0.40 0.43 0.45 ]
[ 0.82 0.92 0.75 0.67 0.33 0.92 0.92 0.48 0.30 1.00 0.62 0.23 0.00 0.00 0.70 0.91 1.00 0.35 0.57 0.72 0.79 0.98 0.92 0.74 0.75 0.82 0.51 0.93 0.34 0.65 0.15 0.68 0.58 0.64 0.66 0.82 0.21 0.67 0.66 0.88 0.85 0.38 0.92 0.37 0.69 0.43 0.02 0.30 0.88 1.00 0.44 0.94 0.67 0.01 0.78 0.20 0.47 0.43 0.35 0.66 0.67 0.74 ]
[ 0.53 0.61 0.83 0.72 0.89 0.57 0.78 0.41 0.98 0.96 0.46 0.88 0.70 0.33 0.93 0.88 0.35 1.00 0.35 0.60 0.82 0.91 0.53 0.76 0.90 0.69 0.28 0.23 0.32 0.58 0.30 0.94 0.49 0.73 0.49 0.89 0.21 0.71 0.63 0.80 0.09 0.30 0.53 0.45 0.73 0.38 0.43 0.15 0.39 0.95 0.37 0.33 0.58 0.17 0.96 0.89 0.61 0.22 0.73 0.84 0.56 0.64 ]
[ 0.49 0.38 0.24 0.47 0.96 0.99 0.76 0.90 0.37 0.93 0.37 0.13 0.71 0.90 0.02 0.93 0.57 0.35 1.00 0.31 0.76 0.53 0.91 0.92 0.89 0.65 0.40 0.31 0.70 0.00 0.00 0.86 0.44 0.59 0.41 1.00 0.17 0.26 0.43 0.44 0.88 0.80 0.80 0.42 0.99 0.18 0.18 0.18 0.28 0.48 0.85 0.25 0.38 0.57 0.76 0.56 0.62 0.15 0.97 0.11 0.53 0.72 ]
[ 0.15 0.42 0.00 0.22 0.20 0.79 0.79 0.26 0.37 0.31 0.44 0.88 0.54 0.78 0.25 0.79 0.72 0.60 0.31 1.00 0.78 0.19 0.52 0.60 0.83 0.53 0.22 0.00 0.26 0.18 0.87 0.45 0.45 0.62 0.83 0.54 0.38 0.99 0.24 0.91 0.42 0.44 0.18 0.46 0.18 0.17 0.52 0.22 0.59 0.79 0.32 0.48 0.21 0.45 0.18 0.38 0.64 0.78 0.27 0.82 0.97 0.00 ]
[ 0.66 0.97 0.66 0.06 0.19 0.22 0.85 0.44 0.45 0.49 0.00 0.98 0.66 0.08 0.86 0.98 0.79 0.82 0.76 0.78 1.00 0.40 0.49 0.18 0.30 0.93 0.22 0.69 0.93 0.55 0.90 0.15 0.78 0.88 0.65 0.21 0.72 0.86 0.66 0.54 0.69 0.60 0.26 0.91 0.44 0.83 0.15 0.12 0.96 0.87 0.44 0.24 0.63 0.52 0.40 0.40 0.27 0.16 0.45 0.85 0.46 0.94 ]
[ 0.10 0.33 0.62 0.27 0.84 0.32 0.15 0.90 0.24 0.50 0.44 0.66 0.53 0.54 0.53 0.94 0.98 0.91 0.53 0.19 0.40 1.00 0.82 0.90 0.90 0.02 0.67 0.84 0.49 0.98 0.57 0.84 0.29 0.86 0.46 0.48 0.19 0.37 0.06 0.96 0.26 0.92 0.21 0.05 1.00 0.44 0.40 0.38 0.91 0.28 0.51 0.65 0.63 0.56 0.62 0.97 0.24 0.96 0.66 0.70 0.03 0.04 ]
[ 0.74 0.01 0.95 0.02 0.90 0.55 0.24 0.29 0.22 0.66 0.16 0.68 0.74 0.85 0.27 0.78 0.92 0.53 0.91 0.52 0.49 0.82 1.00 0.09 0.24 0.16 0.74 0.83 0.23 0.93 0.67 0.15 0.20 0.97 0.00 0.51 0.24 0.18 0.47 0.81 0.66 0.20 0.97 0.17 0.66 0.78 0.07 0.46 0.88 0.68 0.79 0.73 0.07 0.41 0.92 0.15 0.89 0.34 0.95 0.91 1.00 0.74 ]
[ 0.89 0.55 0.71 0.49 0.24 0.83 0.98 0.40 0.38 0.37 0.24 0.83 0.49 0.00 0.58 0.63 0.74 0.76 0.92 0.60 0.18 0.90 0.09 1.00 0.91 0.42 0.75 0.57 0.06 0.72 0.36 0.13 0.50 0.15 0.79 0.12 0.55 1.00 0.07 0.84 0.24 0.47 0.52 0.68 0.49 0.98 0.96 0.09 0.53 0.15 0.75 0.18 0.84 0.84 0.77 0.35 0.40 0.15 0.71 0.74 0.37 0.20 ]
[ 0.79 0.40 0.98 0.89 0.49 0.41 0.48 0.07 0.46 0.57 0.17 0.50 0.27 0.61 0.93 0.62 0.75 0.90 0.89 0.83 0.30 0.90 0.24 0.91 1.00 0.91 0.36 0.31 0.06 0.23 0.51 0.93 0.93 0.92 0.44 0.53 0.64 0.27 0.94 0.32 0.53 0.05 0.58 0.02 0.62 0.50 0.90 0.63 0.44 0.62 0.83 0.33 0.54 0.03 0.99 0.13 0.24 0.35 0.71 0.69 0.62 0.61 ]
[ 0.68 0.87 0.98 0.49 0.82 0.26 0.19 0.15 0.95 0.39 0.95 0.20 0.96 0.08 0.00 1.00 0.82 0.69 0.65 0.53 0.93 0.02 0.16 0.42 0.91 1.00 0.89 0.98 0.49 0.53 0.68 0.25 0.31 0.50 0.73 0.57 0.94 0.63 0.00 0.92 0.84 0.53 0.15 0.76 0.91 0.32 0.88 1.00 0.34 1.00 0.27 0.17 1.00 0.97 0.31 0.35 0.84 0.30 0.65 0.64 0.49 0.99 ]
[ 0.61 0.58 0.19 0.53 0.96 0.07 0.92 0.90 0.14 0.92 0.90 0.00 0.40 0.83 0.78 0.51 0.51 0.28 0.40 0.22 0.22 0.67 0.74 0.75 0.36 0.89 1.00 0.84 0.25 0.32 0.62 0.52 0.52 0.58 0.79 0.56 0.01 0.17 0.93 0.90 0.73 0.28 0.51 0.95 0.44 0.97 0.36 0.70 0.74 0.25 0.31 0.82 0.04 0.94 0.65 0.22 0.71 0.35 0.92 0.83 0.73 0.81 ]
[ 0.62 0.54 0.37 0.49 0.26 0.04 0.92 0.78 0.76 0.92 0.93 0.01 0.58 0.66 0.96 0.43 0.93 0.23 0.31 0.00 0.69 0.84 0.83 0.57 0.31 0.98 0.84 1.00 0.22 0.81 0.23 0.10 0.72 0.95 0.60 0.83 0.27 0.78 0.39 0.89 0.24 0.60 0.16 0.01 0.36 0.18 0.22 0.67 0.43 0.17 0.00 0.15 0.69 0.00 0.96 0.49 0.28 0.33 0.54 0.42 0.90 0.59 ]
[ 0.29 0.84 0.07 0.76 0.13 0.38 0.54 0.00 0.27 0.00 0.80 0.34 0.31 0.16 0.26 0.31 0.34 0.32 0.70 0.26 0.93 0.49 0.23 0.06 0.06 0.49 0.25 0.22 1.00 0.21 0.87 0.60 0.88 0.55 0.62 0.56 0.89 0.87 0.39 0.90 0.87 0.74 0.93 0.88 0.58 0.77 0.23 0.00 0.05 0.75 0.76 0.67 0.86 0.11 0.44 0.88 0.26 0.98 0.57 0.98 0.95 0.61 ]
[ 0.23 0.94 0.34 0.48 0.14 0.91 0.31 0.27 0.23 0.29 0.06 0.89 0.59 0.21 0.63 0.90 0.65 0.58 0.00 0.18 0.55 0.98 0.93 0.72 0.23 0.53 0.32 0.81 0.21 1.00 0.34 0.66 0.43 0.67 0.91 0.77 0.55 0.36 0.60 1.00 0.53 0.07 0.99 0.79 0.49 0.17 0.69 0.39 0.00 0.22 0.96 0.90 0.26 0.52 0.56 0.23 0.93 0.75 0.13 0.94 0.62 0.49 ]
[ 0.30 0.79 0.27 0.69 0.32 0.17 1.00 0.86 0.95 0.72 0.63 0.26 0.43 0.16 0.88 0.94 0.15 0.30 0.00 0.87 0.90 0.57 0.67 0.36 0.51 0.68 0.62 0.23 0.87 0.34 1.00 0.83 0.69 0.54 0.56 0.92 0.52 0.74 0.96 0.21 0.12 0.72 0.40 0.98 0.87 0.88 0.99 0.75 0.37 0.54 0.66 0.71 0.57 0.90 0.20 0.27 0.86 0.51 0.95 0.42 0.13 0.46 ]
[ 0.52 0.89 0.68 0.61 0.84 0.79 0.55 0.39 0.92 0.81 0.98 0.27 0.76 0.43 0.41 0.50 0.68 0.94 0.86 0.45 0.15 0.84 0.15 0.13 0.93 0.25 0.52 0.10 0.60 0.66 0.83 1.00 0.11 0.50 0.96 0.00 0.46 0.69 0.10 0.17 0.49 0.27 0.49 0.76 0.73 0.34 0.23 0.21 0.94 0.44 0.21 0.61 0.54 0.88 0.74 0.31 0.62 0.95 0.93 0.86 0.71 0.86 ]
[ 0.16 0.86 0.20 0.90 0.90 0.40 0.96 0.09 0.28 0.72 0.96 0.54 0.37 0.02 0.63 0.33 0.58 0.49 0.44 0.45 0.78 0.29 0.20 0.50 0.93 0.31 0.52 0.72 0.88 0.43 0.69 0.11 1.00 0.88 0.97 0.92 0.92 0.96 0.21 0.93 0.50 0.54 0.65 0.02 0.42 0.83 0.21 0.96 0.95 0.33 0.95 0.66 0.37 0.89 0.67 0.11 0.02 0.83 0.49 0.89 0.97 0.36 ]
[ 0.38 0.38 0.86 0.95 0.43 0.20 0.72 0.89 0.63 0.32 0.63 0.96 0.36 0.82 0.13 0.18 0.64 0.73 0.59 0.62 0.88 0.86 0.97 0.15 0.92 0.50 0.58 0.95 0.55 0.67 0.54 0.50 0.88 1.00 0.15 0.85 0.00 0.89 0.59 0.78 0.90 0.00 0.11 0.71 0.05 0.96 0.12 0.91 0.20 0.39 0.86 0.45 0.17 0.90 0.16 0.21 0.60 0.71 0.51 0.12 0.53 0.25 ]
[ 0.20 0.94 0.92 0.39 0.25 0.39 0.73 0.40 0.78 0.38 0.39 0.46 0.66 0.28 0.26 0.30 0.66 0.49 0.41 0.83 0.65 0.46 0.00 0.79 0.44 0.73 0.79 0.60 0.62 0.91 0.56 0.96 0.97 0.15 1.00 0.96 0.92 0.63 0.88 0.28 0.71 0.84 0.42 0.47 0.70 0.78 0.92 0.88 0.33 0.72 0.22 0.79 0.05 0.44 0.40 0.24 0.71 0.35 0.23 0.61 0.73 0.48 ]
[ 0.92 0.48 0.95 0.55 0.39 0.87 0.21 0.25 0.33 0.66 0.99 0.88 0.93 0.55 0.24 0.81 0.82 0.89 1.00 0.54 0.21 0.48 0.51 0.12 0.53 0.57 0.56 0.83 0.56 0.77 0.92 0.00 0.92 0.85 0.96 1.00 1.00 0.56 0.91 0.59 0.81 0.19 0.87 0.71 0.86 0.62 0.18 0.86 0.63 0.17 0.33 0.72 0.87 0.47 0.00 0.21 0.67 0.19 0.72 0.97 0.56 0.15 ]
[ 0.61 0.93 0.52 0.92 0.98 0.31 0.30 0.96 0.21 0.49 0.82 0.59 0.89 0.12 0.79 0.00 0.21 0.21 0.17 0.38 0.72 0.19 0.24 0.55 0.64 0.94 0.01 0.27 0.89 0.55 0.52 0.46 0.92 0.00 0.92 1.00 1.00 0.70 0.93 0.10 0.15 0.47 0.84 0.94 0.25 0.29 0.25 0.77 0.84 0.66 0.17 0.54 0.69 0.84 0.89 0.48 0.71 0.96 0.59 0.28 0.52 0.16 ]
[ 0.03 0.96 0.85 0.50 0.91 0.92 0.16 0.64 0.94 0.94 0.00 0.93 0.59 0.23 0.71 0.55 0.67 0.71 0.26 0.99 0.86 0.37 0.18 1.00 0.27 0.63 0.17 0.78 0.87 0.36 0.74 0.69 0.96 0.89 0.63 0.56 0.70 1.00 0.39 0.77 0.56 0.24 0.99 0.60 0.18 0.15 0.34 0.94 0.91 0.98 0.11 0.97 0.45 0.81 0.10 0.86 0.46 0.77 0.77 0.20 0.26 0.33 ]
[ 0.91 0.89 0.24 0.30 0.72 0.15 0.95 0.41 0.91 0.44 0.83 0.23 0.03 0.48 0.87 0.76 0.66 0.63 0.43 0.24 0.66 0.06 0.47 0.07 0.94 0.00 0.93 0.39 0.39 0.60 0.96 0.10 0.21 0.59 0.88 0.91 0.93 0.39 1.00 0.49 0.08 0.29 0.98 0.44 0.28 0.46 0.58 0.81 0.44 0.79 0.11 0.98 0.66 0.75 0.45 0.98 0.30 0.37 1.00 0.67 0.56 0.35 ]
[ 0.17 0.81 0.95 0.74 0.50 0.81 0.60 0.57 0.17 0.45 0.20 0.70 0.40 0.89 0.68 0.86 0.88 0.80 0.44 0.91 0.54 0.96 0.81 0.84 0.32 0.92 0.90 0.89 0.90 1.00 0.21 0.17 0.93 0.78 0.28 0.59 0.10 0.77 0.49 1.00 0.38 0.99 0.94 0.19 0.59 0.29 0.98 0.40 0.44 0.89 0.32 0.65 0.37 0.43 0.62 0.23 0.99 0.96 0.13 0.80 0.63 0.74 ]
[ 0.01 0.30 0.89 0.65 0.14 0.92 0.41 0.73 0.57 0.99 0.64 0.92 0.54 0.77 0.69 0.50 0.85 0.09 0.88 0.42 0.69 0.26 0.66 0.24 0.53 0.84 0.73 0.24 0.87 0.53 0.12 0.49 0.50 0.90 0.71 0.81 0.15 0.56 0.08 0.38 1.00 0.29 0.77 0.91 0.04 0.65 0.77 0.45 0.80 0.82 0.22 0.20 0.46 0.59 0.43 0.51 0.77 0.07 0.37 0.14 0.50 0.51 ]
[ 0.44 0.42 0.40 0.43 0.97 0.90 0.27 0.82 0.88 0.00 0.00 0.82 0.89 0.90 0.01 0.99 0.38 0.30 0.80 0.44 0.60 0.92 0.20 0.47 0.05 0.53 0.28 0.60 0.74 0.07 0.72 0.27 0.54 0.00 0.84 0.19 0.47 0.24 0.29 0.99 0.29 1.00 0.62 0.60 0.17 0.60 0.50 0.82 0.60 0.37 0.79 0.89 0.53 0.55 0.55 0.44 0.24 0.47 0.98 0.91 0.65 0.16 ]
[ 0.41 0.50 0.60 0.92 0.35 0.74 0.22 0.33 0.42 0.91 0.93 0.61 0.64 0.87 0.95 0.57 0.92 0.53 0.80 0.18 0.26 0.21 0.97 0.52 0.58 0.15 0.51 0.16 0.93 0.99 0.40 0.49 0.65 0.11 0.42 0.87 0.84 0.99 0.98 0.94 0.77 0.62 1.00 0.96 0.87 0.56 0.91 0.35 0.90 0.46 0.10 0.41 0.87 0.17 0.36 0.61 0.70 0.11 0.55 0.70 0.77 0.26 ]
[ 0.38 0.84 0.93 0.83 0.02 0.53 0.21 0.16 0.50 0.48 0.88 0.62 0.80 0.18 0.17 0.58 0.37 0.45 0.42 0.46 0.91 0.05 0.17 0.68 0.02 0.76 0.95 0.01 0.88 0.79 0.98 0.76 0.02 0.71 0.47 0.71 0.94 0.60 0.44 0.19 0.91 0.60 0.96 1.00 0.75 0.17 0.34 0.18 0.08 0.19 0.14 0.27 1.00 0.13 0.29 0.54 0.23 0.48 0.64 0.37 0.86 0.66 ]
[ 0.42 0.85 0.91 0.75 0.33 0.18 0.11 0.51 0.48 0.96 0.52 0.49 0.97 0.98 0.89 0.68 0.69 0.73 0.99 0.18 0.44 1.00 0.66 0.49 0.62 0.91 0.44 0.36 0.58 0.49 0.87 0.73 0.42 0.05 0.70 0.86 0.25 0.18 0.28 0.59 0.04 0.17 0.87 0.75 1.00 0.74 0.36 0.88 0.83 0.45 0.05 1.00 0.26 0.98 0.80 0.86 0.82 0.17 0.36 0.59 0.92 0.71 ]
[ 0.38 0.94 0.66 0.08 0.00 0.55 0.82 0.67 0.87 0.20 0.18 0.96 0.10 0.18 0.89 0.96 0.43 0.38 0.18 0.17 0.83 0.44 0.78 0.98 0.50 0.32 0.97 0.18 0.77 0.17 0.88 0.34 0.83 0.96 0.78 0.62 0.29 0.15 0.46 0.29 0.65 0.60 0.56 0.17 0.74 1.00 0.97 0.23 0.20 0.80 0.99 0.56 0.00 0.91 0.84 0.74 0.39 0.44 0.78 0.89 0.15 0.96 ]
[ 0.51 0.16 0.17 0.09 0.61 0.85 0.88 0.90 0.85 0.30 0.19 0.57 0.25 0.95 0.94 0.87 0.02 0.43 0.18 0.52 0.15 0.40 0.07 0.96 0.90 0.88 0.36 0.22 0.23 0.69 0.99 0.23 0.21 0.12 0.92 0.18 0.25 0.34 0.58 0.98 0.77 0.50 0.91 0.34 0.36 0.97 1.00 0.00 0.65 0.38 0.43 0.88 0.26 0.07 0.28 0.88 0.23 0.99 0.85 0.57 0.69 0.08 ]
[ 0.68 0.90 0.62 0.87 0.84 0.93 0.26 0.45 0.18 0.00 0.94 0.99 0.95 0.55 0.97 0.73 0.30 0.15 0.18 0.22 0.12 0.38 0.46 0.09 0.63 1.00 0.70 0.67 0.00 0.39 0.75 0.21 0.96 0.91 0.88 0.86 0.77 0.94 0.81 0.40 0.45 0.82 0.35 0.18 0.88 0.23 0.00 1.00 0.33 0.01 0.22 0.96 0.95 0.76 0.63 0.17 0.56 0.00 0.64 0.90 0.73 0.00 ]
[ 0.81 0.96 0.74 0.95 0.34 0.84 0.84 0.26 0.77 0.67 0.22 0.39 0.29 0.90 0.95 0.44 0.88 0.39 0.28 0.59 0.96 0.91 0.88 0.53 0.44 0.34 0.74 0.43 0.05 0.00 0.37 0.94 0.95 0.20 0.33 0.63 0.84 0.91 0.44 0.44 0.80 0.60 0.90 0.08 0.83 0.20 0.65 0.33 1.00 0.60 0.76 0.00 0.23 0.96 0.93 0.66 0.91 0.85 0.80 0.83 0.34 0.88 ]
[ 0.16 0.07 0.98 0.69 0.21 0.62 0.94 0.76 0.62 0.37 0.32 0.56 0.55 0.00 0.34 0.25 1.00 0.95 0.48 0.79 0.87 0.28 0.68 0.15 0.62 1.00 0.25 0.17 0.75 0.22 0.54 0.44 0.33 0.39 0.72 0.17 0.66 0.98 0.79 0.89 0.82 0.37 0.46 0.19 0.45 0.80 0.38 0.01 0.60 1.00 0.67 0.81 0.58 0.32 0.27 0.80 0.55 0.93 0.27 0.39 0.74 0.96 ]
[ 0.45 0.40 0.63 0.51 0.74 0.94 0.64 0.84 0.96 0.04 0.43 0.60 0.73 0.50 0.55 0.97 0.44 0.37 0.85 0.32 0.44 0.51 0.79 0.75 0.83 0.27 0.31 0.00 0.76 0.96 0.66 0.21 0.95 0.86 0.22 0.33 0.17 0.11 0.11 0.32 0.22 0.79 0.10 0.14 0.05 0.99 0.43 0.22 0.76 0.67 1.00 0.91 0.89 0.21 0.97 0.21 0.45 0.85 0.74 0.19 0.00 0.59 ]
[ 0.97 0.70 0.53 0.65 0.57 0.97 0.60 0.75 0.02 0.84 0.13 0.20 0.91 0.84 0.22 0.27 0.94 0.33 0.25 0.48 0.24 0.65 0.73 0.18 0.33 0.17 0.82 0.15 0.67 0.90 0.71 0.61 0.66 0.45 0.79 0.72 0.54 0.97 0.98 0.65 0.20 0.89 0.41 0.27 1.00 0.56 0.88 0.96 0.00 0.81 0.91 1.00 0.83 0.57 0.87 0.86 0.79 0.74 0.20 0.63 0.04 0.95 ]
[ 0.61 0.62 0.72 0.01 0.68 0.30 0.69 0.27 0.37 0.65 0.82 0.96 0.26 0.62 0.90 0.20 0.67 0.58 0.38 0.21 0.63 0.63 0.07 0.84 0.54 1.00 0.04 0.69 0.86 0.26 0.57 0.54 0.37 0.17 0.05 0.87 0.69 0.45 0.66 0.37 0.46 0.53 0.87 1.00 0.26 0.00 0.26 0.95 0.23 0.58 0.89 0.83 1.00 0.14 0.84 0.28 0.63 0.58 0.41 0.21 0.70 0.88 ]
[ 0.55 0.48 0.91 0.60 0.78 0.56 0.33 0.99 0.85 0.95 0.67 0.62 0.88 0.27 0.95 0.31 0.01 0.17 0.57 0.45 0.52 0.56 0.41 0.84 0.03 0.97 0.94 0.00 0.11 0.52 0.90 0.88 0.89 0.90 0.44 0.47 0.84 0.81 0.75 0.43 0.59 0.55 0.17 0.13 0.98 0.91 0.07 0.76 0.96 0.32 0.21 0.57 0.14 1.00 0.59 0.60 0.64 0.84 0.35 0.78 0.32 0.34 ]
