[ 0.64 0.56 0.00 0.96 0.51 0.42 0.00 0.60 0.92 0.00 0.52 0.91 0.96 0.11 0.54 0.28 0.19 0.51 1.00 0.77 0.48 0.85 0.21 0.69 0.27 0.71 0.46 0.24 0.87 0.36 0.90 0.74 0.22 0.29 0.86 0.25 0.50 0.03 0.55 0.02 0.82 0.82 0.36 0.66 0.76 0.92 0.46 0.18 0.91 0.70 0.37 0.83 0.21 0.42 0.27 0.43 0.07 0.00 0.68 0.32 0.90 0.58 0.65 0.52 ]
[ 0.21 0.87 0.11 0.74 0.29 0.20 0.26 0.42 0.55 0.86 0.32 0.57 0.24 0.67 0.47 0.87 0.16 0.16 0.77 1.00 0.89 0.18 0.20 0.96 0.17 0.33 0.00 0.97 0.28 0.46 0.83 0.81 0.03 0.96 0.80 0.03 0.82 0.31 0.85 0.43 0.30 0.87 0.40 0.15 0.25 0.32 0.89 0.89 0.43 0.27 0.62 0.08 0.90 0.90 0.80 0.89 0.15 0.18 0.39 0.79 0.92 0.94 0.38 0.31 ]
[ 0.95 0.52 0.60 0.27 0.78 0.84 0.57 0.64 0.72 0.32 0.19 0.23 0.39 0.68 0.86 0.19 0.89 0.26 0.48 0.89 1.00 0.75 0.86 0.97 0.87 0.90 0.48 0.02 0.43 0.25 0.51 0.47 0.82 0.56 0.59 0.44 0.95 0.32 0.71 0.36 0.23 0.91 0.77 0.90 0.64 0.96 0.79 0.61 0.01 0.46 0.02 0.53 0.87 0.51 0.71 0.75 0.92 0.92 0.97 0.58 0.88 0.65 0.51 0.17 ]
[ 0.00 0.91 0.59 0.71 0.49 0.69 0.00 0.28 0.46 0.83 0.09 0.93 0.31 0.52 0.55 0.26 0.82 0.28 0.85 0.18 0.75 1.00 0.57 0.34 0.38 0.00 0.07 0.86 0.43 0.30 0.35 0.71 0.32 0.88 0.73 0.46 0.20 0.85 0.91 0.79 0.71 0.10 0.37 0.57 0.56 0.17 0.33 0.49 0.06 0.31 0.04 0.88 0.92 1.00 0.63 0.19 0.58 0.66 0.48 0.95 0.24 0.80 0.51 0.76 ]
[ 0.93 0.89 0.71 0.25 0.38 0.91 0.75 0.34 0.25 0.69 0.63 0.44 0.86 0.00 0.21 0.01 0.05 0.87 0.21 0.20 0.86 0.57 1.00 0.24 0.26 0.69 0.67 0.56 0.27 0.59 0.97 0.83 0.27 0.73 0.50 0.51 0.38 0.13 0.81 0.36 0.41 0.92 0.39 0.75 0.90 0.67 0.65 0.59 0.87 0.96 0.43 0.20 0.34 0.80 0.77 0.38 0.37 0.42 0.98 0.27 0.65 0.90 0.94 0.00 ]
[ 0.63 0.67 0.63 0.37 0.97 0.90 0.43 0.77 0.06 0.40 0.94 0.88 0.47 0.49 0.16 0.50 0.22 0.17 0.69 0.96 0.97 0.34 0.24 1.00 0.70 0.19 0.73 0.93 0.94 0.92 0.90 0.25 0.86 0.82 0.74 0.76 0.99 0.06 0.45 0.95 0.73 0.60 0.18 0.29 0.56 0.92 0.44 0.49 0.53 0.87 0.95 0.48 0.71 0.00 0.31 0.55 0.25 0.86 0.40 0.85 0.97 0.44 0.22 0.03 ]
[ 0.98 0.99 0.48 0.48 0.77 0.90 0.38 0.18 0.60 0.98 0.15 0.97 0.43 0.73 0.85 0.49 0.93 0.25 0.27 0.17 0.87 0.38 0.26 0.70 1.00 0.53 0.63 0.38 0.43 0.93 0.00 0.66 0.41 0.68 0.89 0.00 0.92 0.85 0.88 0.86 0.45 0.75 0.81 0.78 0.89 0.27 0.58 0.92 0.39 1.00 0.77 0.19 0.20 0.62 0.50 0.94 0.84 0.98 0.16 0.29 0.23 0.15 0.38 0.83 ]
[ 0.07 0.47 0.46 0.21 0.72 0.96 0.16 0.77 0.93 0.74 0.94 0.44 0.96 0.82 0.93 0.06 0.67 0.94 0.71 0.33 0.90 0.00 0.69 0.19 0.53 1.00 0.87 0.63 0.07 0.91 0.72 0.76 0.69 0.88 0.82 0.63 0.79 0.31 0.33 0.68 0.95 0.89 0.62 0.72 0.64 0.67 0.32 0.73 0.86 0.69 0.28 0.16 0.40 0.23 0.47 0.88 0.56 0.99 0.45 0.45 1.00 0.61 0.69 0.88 ]
[ 0.08 0.65 0.11 0.55 0.74 0.79 0.95 0.20 0.97 0.09 0.97 0.44 0.57 0.22 0.86 0.47 0.38 0.75 0.46 0.00 0.48 0.07 0.67 0.73 0.63 0.87 1.00 0.53 0.78 0.48 0.72 0.26 0.92 0.71 0.97 0.24 0.60 0.52 0.95 0.32 0.64 0.97 0.13 0.99 0.86 0.63 0.31 0.13 0.92 0.90 0.18 1.00 0.85 0.68 0.15 0.86 0.85 0.60 0.32 0.59 0.83 0.89 0.02 0.00 ]
[ 0.84 0.88 0.84 0.72 0.97 0.88 0.78 0.12 0.69 0.61 0.28 0.94 0.16 0.82 0.70 0.16 0.48 0.95 0.24 0.97 0.02 0.86 0.56 0.93 0.38 0.63 0.53 1.00 0.94 0.88 0.69 0.76 0.59 0.29 0.91 0.90 0.29 0.66 0.47 0.63 0.34 0.85 0.26 0.38 0.74 0.00 0.58 0.53 0.69 0.33 0.90 0.46 0.61 0.25 0.87 0.43 0.96 0.82 0.54 0.52 0.79 0.85 0.28 0.55 ]
[ 0.12 0.85 0.37 0.75 0.31 0.31 0.74 0.70 0.88 0.36 0.89 0.45 0.69 0.85 0.23 0.23 0.95 0.24 0.87 0.28 0.43 0.43 0.27 0.94 0.43 0.07 0.78 0.94 1.00 0.48 0.85 0.90 0.29 0.25 0.62 0.70 0.29 0.47 0.64 0.88 0.05 0.34 0.61 0.79 0.42 0.20 0.28 0.77 0.90 0.66 0.36 0.00 0.92 0.08 0.66 0.13 0.78 0.88 0.95 0.27 0.19 0.82 0.96 0.40 ]
[ 0.52 0.96 0.94 0.93 0.74 0.89 0.91 0.00 0.86 0.68 0.28 0.24 0.44 0.88 0.93 0.92 0.18 0.63 0.36 0.46 0.25 0.30 0.59 0.92 0.93 0.91 0.48 0.88 0.48 1.00 0.61 0.98 0.95 0.66 0.44 0.71 0.72 0.22 0.60 1.00 0.84 0.87 0.66 0.50 0.46 0.94 0.32 0.96 0.74 0.20 0.68 0.91 0.51 0.36 0.00 0.35 0.70 0.58 0.28 0.38 0.02 0.34 0.07 0.16 ]
[ 0.84 0.71 0.11 0.48 0.60 0.75 0.67 0.89 0.22 0.18 0.84 0.97 0.32 0.64 0.37 0.15 0.97 0.07 0.90 0.83 0.51 0.35 0.97 0.90 0.00 0.72 0.72 0.69 0.85 0.61 1.00 0.56 0.06 0.32 0.31 0.72 0.87 0.52 0.91 0.98 0.25 0.96 0.64 0.62 0.28 0.65 0.92 0.95 0.87 0.28 0.96 0.86 1.00 0.34 0.79 0.46 0.25 0.52 0.87 0.97 0.36 0.08 0.12 0.60 ]
[ 0.65 0.58 0.36 0.39 0.99 0.64 0.48 0.24 0.62 0.97 0.28 0.86 0.76 0.22 0.92 0.20 0.93 0.67 0.74 0.81 0.47 0.71 0.83 0.25 0.66 0.76 0.26 0.76 0.90 0.98 0.56 1.00 0.26 0.90 0.72 0.71 1.00 0.28 0.88 0.82 0.73 0.26 0.95 0.35 0.50 0.96 0.16 0.34 0.03 0.22 0.83 0.97 0.82 0.76 0.60 0.46 0.38 0.45 0.56 0.85 0.50 0.43 0.24 0.63 ]
[ 0.54 0.33 0.08 0.48 0.37 0.25 0.20 1.00 0.27 0.95 0.16 0.79 0.99 0.94 0.68 0.43 0.89 0.00 0.22 0.03 0.82 0.32 0.27 0.86 0.41 0.69 0.92 0.59 0.29 0.95 0.06 0.26 1.00 0.33 0.40 0.62 0.28 0.88 0.96 0.78 0.35 0.72 0.31 0.44 0.49 0.83 0.46 0.54 0.44 0.99 0.85 0.81 0.31 0.35 0.80 0.29 0.44 0.79 0.44 0.76 0.00 0.73 0.95 0.90 ]
[ 0.83 0.40 0.96 0.86 0.13 0.54 0.37 0.89 0.72 0.40 0.64 0.56 0.20 0.33 0.93 0.20 0.67 0.12 0.29 0.96 0.56 0.88 0.73 0.82 0.68 0.88 0.71 0.29 0.25 0.66 0.32 0.90 0.33 1.00 0.39 0.67 0.27 0.01 0.93 0.63 0.23 0.67 0.34 0.31 0.88 0.70 0.73 0.76 0.53 0.39 0.90 0.16 0.45 0.80 0.89 0.53 0.92 0.63 0.01 0.61 0.49 0.04 0.19 0.72 ]
[ 0.89 0.42 0.64 0.52 0.24 0.48 0.34 0.80 0.23 0.38 0.96 0.65 0.30 0.07 0.60 0.34 0.54 0.70 0.86 0.80 0.59 0.73 0.50 0.74 0.89 0.82 0.97 0.91 0.62 0.44 0.31 0.72 0.40 0.39 1.00 0.05 0.49 0.33 0.32 0.94 0.95 0.97 0.29 0.92 0.00 0.70 0.67 0.23 0.55 0.28 0.69 0.54 0.33 0.69 0.07 0.62 0.27 0.42 0.65 0.32 0.91 0.42 0.36 0.88 ]
[ 0.99 0.86 0.07 0.12 0.90 0.37 0.57 0.61 0.72 0.52 0.25 0.28 0.11 0.19 0.21 0.47 0.43 0.40 0.25 0.03 0.44 0.46 0.51 0.76 0.00 0.63 0.24 0.90 0.70 0.71 0.72 0.71 0.62 0.67 0.05 1.00 0.63 0.89 0.80 0.66 0.60 0.63 0.98 0.05 0.97 0.42 0.56 0.32 0.61 0.28 0.87 0.73 0.69 0.36 0.80 0.77 0.93 0.65 0.14 0.41 0.11 0.34 0.91 0.39 ]
[ 0.17 0.32 0.57 0.55 0.64 0.99 0.96 0.72 0.00 0.37 0.00 0.41 0.49 0.44 0.52 0.71 0.53 0.25 0.50 0.82 0.95 0.20 0.38 0.99 0.92 0.79 0.60 0.29 0.29 0.72 0.87 1.00 0.28 0.27 0.49 0.63 1.00 0.26 0.84 0.99 0.25 0.99 0.42 0.47 0.06 0.74 0.39 0.27 0.93 0.48 0.32 0.89 0.77 0.24 0.68 0.95 0.66 0.38 0.46 0.41 0.69 0.85 0.83 0.74 ]
[ 0.96 0.21 0.13 0.25 0.00 0.71 0.91 0.20 0.33 0.07 0.67 0.29 0.90 0.52 0.20 0.72 0.97 0.77 0.03 0.31 0.32 0.85 0.13 0.06 0.85 0.31 0.52 0.66 0.47 0.22 0.52 0.28 0.88 0.01 0.33 0.89 0.26 1.00 0.23 0.34 0.88 0.81 0.16 0.14 0.87 0.95 0.30 0.00 0.61 0.37 0.54 0.53 0.92 0.93 0.75 0.89 0.15 0.87 0.72 1.00 0.90 0.33 0.71 0.23 ]
[ 0.53 0.36 0.17 0.94 0.48 0.40 0.59 0.86 0.19 0.57 0.37 0.23 0.71 0.56 0.56 0.71 0.49 0.42 0.55 0.85 0.71 0.91 0.81 0.45 0.88 0.33 0.95 0.47 0.64 0.60 0.91 0.88 0.96 0.93 0.32 0.80 0.84 0.23 1.00 0.86 0.85 0.99 0.89 0.35 0.45 0.59 0.39 0.92 0.95 0.67 0.78 0.34 0.33 0.44 0.53 0.70 0.19 0.21 0.28 0.87 0.93 0.89 0.43 0.40 ]
[ 0.93 0.93 0.46 0.72 0.30 0.98 0.65 0.70 0.56 0.92 0.76 0.99 0.08 0.57 0.68 0.52 0.87 0.71 0.02 0.43 0.36 0.79 0.36 0.95 0.86 0.68 0.32 0.63 0.88 1.00 0.98 0.82 0.78 0.63 0.94 0.66 0.99 0.34 0.86 1.00 0.00 0.22 0.84 0.19 0.46 0.93 0.62 0.94 0.00 0.38 0.91 0.61 0.87 0.38 0.85 0.28 0.74 0.49 0.89 0.62 0.23 0.81 0.48 0.51 ]
[ 0.94 0.92 0.49 0.90 0.76 0.40 0.84 0.51 0.91 0.72 0.18 0.29 0.33 0.45 0.87 0.88 0.87 0.33 0.82 0.30 0.23 0.71 0.41 0.73 0.45 0.95 0.64 0.34 0.05 0.84 0.25 0.73 0.35 0.23 0.95 0.60 0.25 0.88 0.85 0.00 1.00 0.17 0.83 0.41 0.85 0.72 0.78 0.20 0.31 0.41 0.93 0.91 0.17 0.85 0.45 0.99 0.02 0.71 0.43 0.69 0.61 0.11 0.45 0.61 ]
[ 0.72 0.77 0.85 0.00 0.22 0.89 0.25 0.86 0.80 0.26 0.28 0.73 0.81 0.06 0.06 0.63 0.93 0.98 0.82 0.87 0.91 0.10 0.92 0.60 0.75 0.89 0.97 0.85 0.34 0.87 0.96 0.26 0.72 0.67 0.97 0.63 0.99 0.81 0.99 0.22 0.17 1.00 0.64 0.91 0.61 0.45 0.36 0.60 0.77 0.63 0.52 0.87 0.60 0.37 0.93 0.76 0.74 0.94 0.54 0.69 0.69 0.77 0.94 0.72 ]
[ 0.23 0.71 0.72 0.78 0.79 0.59 0.29 0.32 0.81 0.27 0.20 0.10 0.69 0.96 0.58 0.85 0.73 0.27 0.36 0.40 0.77 0.37 0.39 0.18 0.81 0.62 0.13 0.26 0.61 0.66 0.64 0.95 0.31 0.34 0.29 0.98 0.42 0.16 0.89 0.84 0.83 0.64 1.00 0.23 0.08 1.00 0.93 0.61 0.80 0.79 0.23 0.38 0.36 0.65 0.22 0.34 0.55 0.93 0.44 0.98 0.36 0.63 0.46 0.96 ]
[ 0.77 0.14 0.53 0.95 0.41 0.22 0.91 0.15 0.99 0.99 0.60 0.29 0.62 0.36 0.77 0.77 0.14 0.20 0.66 0.15 0.90 0.57 0.75 0.29 0.78 0.72 0.99 0.38 0.79 0.50 0.62 0.35 0.44 0.31 0.92 0.05 0.47 0.14 0.35 0.19 0.41 0.91 0.23 1.00 0.93 0.27 0.06 0.41 0.91 0.69 0.09 0.49 0.82 0.51 0.62 0.39 0.29 0.97 0.91 0.16 0.88 0.93 0.62 0.90 ]
[ 0.18 0.45 0.78 0.41 0.21 0.95 0.80 0.86 0.38 0.52 0.94 1.00 0.68 0.84 0.28 0.46 0.69 0.76 0.76 0.25 0.64 0.56 0.90 0.56 0.89 0.64 0.86 0.74 0.42 0.46 0.28 0.50 0.49 0.88 0.00 0.97 0.06 0.87 0.45 0.46 0.85 0.61 0.08 0.93 1.00 0.84 0.53 0.87 0.64 0.19 0.92 0.56 0.64 0.77 0.45 0.86 0.27 0.94 0.80 0.58 0.90 0.41 0.87 0.80 ]
[ 0.58 0.24 0.93 0.76 0.98 0.20 0.85 0.61 0.85 0.97 0.49 0.98 0.72 0.27 0.86 0.04 0.00 0.13 0.92 0.32 0.96 0.17 0.67 0.92 0.27 0.67 0.63 0.00 0.20 0.94 0.65 0.96 0.83 0.70 0.70 0.42 0.74 0.95 0.59 0.93 0.72 0.45 1.00 0.27 0.84 1.00 0.61 0.20 0.96 0.15 0.06 0.81 0.26 0.36 0.39 0.18 0.00 0.61 0.94 0.79 0.91 0.44 0.22 0.90 ]
[ 0.66 0.39 0.41 0.46 0.49 0.72 0.79 0.95 0.70 0.85 0.50 0.26 0.59 0.78 0.18 0.65 0.53 0.57 0.46 0.89 0.79 0.33 0.65 0.44 0.58 0.32 0.31 0.58 0.28 0.32 0.92 0.16 0.46 0.73 0.67 0.56 0.39 0.30 0.39 0.62 0.78 0.36 0.93 0.06 0.53 0.61 1.00 0.24 0.33 0.45 0.50 0.00 0.00 0.55 0.77 0.62 0.65 0.96 0.57 0.69 0.19 0.37 0.57 0.45 ]
[ 0.52 0.20 0.31 0.87 0.94 0.47 0.43 0.96 0.10 0.71 0.84 0.79 0.66 0.21 0.60 0.62 0.97 0.70 0.18 0.89 0.61 0.49 0.59 0.49 0.92 0.73 0.13 0.53 0.77 0.96 0.95 0.34 0.54 0.76 0.23 0.32 0.27 0.00 0.92 0.94 0.20 0.60 0.61 0.41 0.87 0.20 0.24 1.00 0.62 0.35 0.74 0.91 0.39 0.97 0.92 0.42 0.70 0.47 0.65 0.91 0.06 0.81 0.43 0.68 ]
[ 0.98 0.13 0.56 1.00 0.78 0.97 0.45 0.01 0.77 0.61 0.62 0.51 0.06 0.19 0.82 0.46 0.28 0.65 0.91 0.43 0.01 0.06 0.87 0.53 0.39 0.86 0.92 0.69 0.90 0.74 0.87 0.03 0.44 0.53 0.55 0.61 0.93 0.61 0.95 0.00 0.31 0.77 0.80 0.91 0.64 0.96 0.33 0.62 1.00 0.19 0.27 0.13 0.18 0.07 0.91 0.34 0.22 0.78 0.45 0.97 0.06 0.94 0.89 0.63 ]
[ 0.08 0.47 0.17 0.34 0.09 0.07 0.45 0.78 0.83 0.06 0.36 0.40 0.89 0.72 0.23 0.65 0.28 0.69 0.70 0.27 0.46 0.31 0.96 0.87 1.00 0.69 0.90 0.33 0.66 0.20 0.28 0.22 0.99 0.39 0.28 0.28 0.48 0.37 0.67 0.38 0.41 0.63 0.79 0.69 0.19 0.15 0.45 0.35 0.19 1.00 0.86 0.86 0.59 0.69 0.23 0.49 0.30 0.37 0.72 0.77 0.97 0.86 0.80 0.93 ]
[ 0.55 0.98 0.40 0.65 0.93 0.60 0.75 0.23 0.26 0.55 0.90 0.63 0.00 0.16 0.25 0.83 0.91 0.52 0.37 0.62 0.02 0.04 0.43 0.95 0.77 0.28 0.18 0.90 0.36 0.68 0.96 0.83 0.85 0.90 0.69 0.87 0.32 0.54 0.78 0.91 0.93 0.52 0.23 0.09 0.92 0.06 0.50 0.74 0.27 0.86 1.00 0.60 0.88 0.81 0.80 0.31 0.32 0.15 0.75 0.50 0.93 0.43 0.54 0.21 ]
[ 0.21 0.88 0.58 0.17 0.86 0.66 0.28 0.77 0.41 0.93 0.39 0.20 0.85 0.53 0.00 0.18 0.98 0.88 0.83 0.08 0.53 0.88 0.20 0.48 0.19 0.16 1.00 0.46 0.00 0.91 0.86 0.97 0.81 0.16 0.54 0.73 0.89 0.53 0.34 0.61 0.91 0.87 0.38 0.49 0.56 0.81 0.00 0.91 0.13 0.86 0.60 1.00 0.45 0.90 0.30 0.25 0.62 0.68 0.95 0.37 0.38 0.59 0.48 0.41 ]
