[ 0.42 0.51 0.40 0.23 0.89 0.59 0.71 0.82 0.75 0.95 0.25 0.65 0.67 1.00 0.33 0.22 0.61 0.35 0.74 0.27 0.85 0.41 0.93 0.23 0.70 0.68 0.33 0.73 0.72 0.26 0.47 ]
[ 0.98 0.23 0.41 0.89 0.75 0.48 0.45 0.95 0.95 0.62 0.18 0.17 0.39 0.33 1.00 0.55 0.88 0.00 0.20 0.91 0.60 0.37 0.76 0.31 0.91 0.92 0.27 0.24 0.75 0.62 0.69 ]
[ 0.61 0.94 0.00 0.66 0.00 0.99 0.27 0.95 0.16 0.04 0.94 0.28 0.66 0.22 0.55 1.00 0.50 0.25 0.87 1.00 0.02 0.72 0.96 0.19 0.41 0.76 0.96 0.75 0.54 0.88 0.10 ]
[ 0.34 0.05 0.80 0.78 0.22 0.83 0.65 0.28 0.89 0.00 0.35 0.49 0.80 0.61 0.88 0.50 1.00 0.00 0.26 0.89 0.79 0.00 0.44 0.25 0.87 0.80 0.98 0.58 0.23 0.69 0.88 ]
[ 0.16 0.92 0.78 0.56 0.33 0.38 0.59 0.72 0.90 0.66 0.43 0.65 0.32 0.35 0.00 0.25 0.00 1.00 0.62 0.54 0.36 0.48 1.00 0.85 0.93 0.27 0.62 0.93 0.50 0.78 0.24 ]
[ 0.42 0.86 0.82 0.66 0.76 0.34 0.51 0.49 0.99 0.37 0.42 0.96 0.98 0.74 0.20 0.87 0.26 0.62 1.00 0.46 1.00 0.31 0.16 0.83 0.48 0.91 0.91 0.83 0.79 0.57 0.00 ]
[ 0.00 0.59 0.78 0.85 0.58 0.07 0.43 0.31 0.34 0.48 0.19 0.54 0.92 0.27 0.91 1.00 0.89 0.54 0.46 1.00 0.87 0.81 0.21 0.63 0.50 0.00 0.25 0.65 0.57 0.47 0.87 ]
[ 0.33 0.71 0.91 0.52 0.21 0.50 0.79 0.76 0.28 0.50 0.04 0.92 0.92 0.85 0.60 0.02 0.79 0.36 1.00 0.87 1.00 0.54 0.40 0.07 0.95 0.75 0.33 0.20 0.87 0.50 0.09 ]
[ 0.87 0.04 0.90 0.79 0.34 0.79 0.65 0.67 0.95 0.21 0.67 0.53 0.17 0.41 0.37 0.72 0.00 0.48 0.31 0.81 0.54 1.00 0.35 0.79 0.98 0.95 0.09 0.33 0.90 0.63 0.98 ]
[ 0.73 0.92 0.02 0.84 0.69 0.32 0.62 0.58 0.92 0.93 0.96 0.15 0.96 0.93 0.76 0.96 0.44 1.00 0.16 0.21 0.40 0.35 1.00 0.81 0.49 0.69 0.15 0.95 0.02 0.94 0.17 ]
[ 0.33 0.26 0.88 0.64 0.64 0.94 0.48 0.77 0.22 0.62 0.48 0.56 0.46 0.23 0.31 0.19 0.25 0.85 0.83 0.63 0.07 0.79 0.81 1.00 0.91 0.85 0.35 0.79 0.97 0.26 0.87 ]
[ 0.99 0.82 0.60 0.05 0.30 0.58 0.92 0.34 0.86 0.16 0.17 0.70 0.78 0.70 0.91 0.41 0.87 0.93 0.48 0.50 0.95 0.98 0.49 0.91 1.00 0.74 0.70 0.34 0.76 0.92 0.70 ]
[ 0.64 0.44 0.81 0.18 0.44 0.90 0.10 0.25 0.21 0.54 0.58 0.48 0.04 0.68 0.92 0.76 0.80 0.27 0.91 0.00 0.75 0.95 0.69 0.85 0.74 1.00 0.71 0.84 0.13 0.96 0.51 ]
[ 0.72 0.79 0.67 0.47 0.42 0.02 0.37 0.60 0.68 0.16 0.24 0.98 0.93 0.33 0.27 0.96 0.98 0.62 0.91 0.25 0.33 0.09 0.15 0.35 0.70 0.71 1.00 0.08 0.94 0.64 0.72 ]
[ 0.98 0.37 0.56 0.64 0.82 0.73 0.96 0.58 0.75 0.56 0.26 0.29 0.26 0.73 0.24 0.75 0.58 0.93 0.83 0.65 0.20 0.33 0.95 0.79 0.34 0.84 0.08 1.00 0.97 0.77 0.83 ]
[ 0.87 0.08 0.00 0.36 0.49 0.41 0.83 0.24 0.97 0.32 0.24 0.58 0.98 0.72 0.75 0.54 0.23 0.50 0.79 0.57 0.87 0.90 0.02 0.97 0.76 0.13 0.94 0.97 1.00 0.22 0.00 ]
[ 0.93 0.96 0.41 0.38 0.89 0.95 0.44 0.40 0.38 0.77 0.43 0.65 0.21 0.26 0.62 0.88 0.69 0.78 0.57 0.47 0.50 0.63 0.94 0.26 0.92 0.96 0.64 0.77 0.22 1.00 0.93 ]
[ 0.24 0.48 0.43 0.87 0.40 0.36 0.79 0.30 0.37 0.91 0.80 0.85 0.39 0.47 0.69 0.10 0.88 0.24 0.00 0.87 0.09 0.98 0.17 0.87 0.70 0.51 0.72 0.83 0.00 0.93 1.00 ]
];
