[ 0.96 0.66 0.12 0.50 0.55 0.91 0.18 0.87 0.99 0.71 0.80 0.64 0.41 1.00 0.05 0.17 0.00 0.74 0.85 0.97 0.30 0.90 0.41 0.98 0.40 0.63 0.89 0.71 0.96 0.22 0.91 0.73 0.32 0.44 0.38 0.90 0.95 0.21 0.25 0.64 0.44 ]
[ 0.44 0.37 0.09 1.00 0.07 0.89 0.86 0.63 0.63 0.32 0.89 0.40 0.16 0.05 1.00 0.76 0.90 0.89 0.69 0.00 0.29 0.65 0.88 0.18 0.96 0.97 0.81 0.40 0.52 0.00 0.00 0.23 0.42 0.54 0.93 0.82 0.53 0.25 0.24 0.29 0.32 ]
[ 0.34 0.00 0.96 0.99 0.34 0.80 0.40 0.27 0.22 0.13 0.21 0.38 0.63 0.17 0.76 1.00 0.40 0.91 0.98 0.35 0.24 0.79 0.30 0.62 0.79 0.02 0.59 0.71 0.73 0.89 0.51 0.07 0.86 0.94 0.90 0.23 0.31 0.62 0.38 0.31 0.54 ]
[ 0.63 0.56 0.95 0.90 0.70 0.06 0.55 0.88 0.33 0.59 0.96 0.67 0.76 0.00 0.90 0.40 1.00 0.23 0.16 0.82 0.73 0.98 0.72 0.30 0.89 0.97 0.67 0.83 0.81 0.91 0.84 0.51 0.84 0.96 0.53 0.73 0.81 0.66 0.18 0.94 0.70 ]
[ 0.30 0.89 0.51 0.85 0.93 0.73 0.30 0.04 0.27 0.61 0.71 0.19 0.70 0.74 0.89 0.91 0.23 1.00 0.73 0.39 0.50 0.47 0.93 0.55 0.84 0.64 0.93 0.43 0.58 0.20 0.22 0.04 0.91 0.27 0.09 0.19 0.71 0.85 0.00 0.56 0.80 ]
[ 0.26 0.29 0.51 0.91 0.82 0.85 0.56 0.93 0.76 0.80 0.34 0.98 0.83 0.85 0.69 0.98 0.16 0.73 1.00 0.25 0.62 0.18 0.15 0.02 0.50 0.58 0.95 0.06 0.33 0.99 0.96 0.41 0.44 0.51 0.86 0.84 0.17 0.71 0.91 0.91 0.26 ]
[ 0.28 0.33 0.53 0.40 0.76 0.66 0.91 0.51 0.06 0.60 0.32 0.84 0.40 0.97 0.00 0.35 0.82 0.39 0.25 1.00 0.25 0.95 0.65 0.92 0.35 0.87 0.31 0.57 0.99 0.91 0.46 0.14 0.92 0.87 0.33 0.72 0.25 0.81 0.44 0.52 0.93 ]
[ 0.97 0.91 0.21 0.87 0.39 0.22 0.57 0.21 0.94 0.95 0.72 0.41 0.32 0.30 0.29 0.24 0.73 0.50 0.62 0.25 1.00 0.40 0.88 0.93 0.60 0.00 0.39 0.38 0.36 0.59 0.12 0.83 0.81 0.97 0.36 0.19 0.16 0.10 0.42 0.41 0.86 ]
[ 0.69 0.44 0.27 0.77 0.85 0.97 0.94 0.62 0.71 0.31 0.54 0.89 0.88 0.90 0.65 0.79 0.98 0.47 0.18 0.95 0.40 1.00 0.87 0.41 0.31 0.99 0.32 0.90 0.65 0.22 0.00 0.91 0.62 0.78 0.98 0.48 0.93 0.02 0.57 0.89 0.71 ]
[ 0.36 0.20 0.26 0.97 0.40 0.96 0.92 0.50 0.55 0.51 0.77 0.89 0.29 0.41 0.88 0.30 0.72 0.93 0.15 0.65 0.88 0.87 1.00 0.82 0.88 0.83 0.44 0.50 0.74 0.98 0.87 0.58 0.77 0.22 0.56 0.90 0.97 0.03 0.94 0.89 0.77 ]
[ 0.64 0.56 0.85 0.96 0.31 0.83 0.99 0.61 0.50 0.52 0.89 0.34 0.54 0.98 0.18 0.62 0.30 0.55 0.02 0.92 0.93 0.41 0.82 1.00 0.28 0.92 0.89 0.57 0.72 0.73 0.71 0.50 0.23 0.02 0.33 0.20 0.51 0.62 0.46 0.85 0.98 ]
[ 0.27 0.69 0.50 0.90 0.55 0.82 0.89 0.75 0.28 0.61 0.38 0.53 0.77 0.40 0.96 0.79 0.89 0.84 0.50 0.35 0.60 0.31 0.88 0.28 1.00 0.37 0.67 0.03 0.10 0.83 0.68 0.06 0.93 0.90 0.91 0.89 0.19 0.65 0.52 0.87 0.26 ]
[ 0.20 0.58 0.99 0.77 0.78 0.97 0.95 0.93 0.23 0.99 0.21 0.16 0.30 0.63 0.97 0.02 0.97 0.64 0.58 0.87 0.00 0.99 0.83 0.92 0.37 1.00 0.51 0.06 0.92 0.68 0.00 0.51 0.13 0.48 0.65 0.72 0.56 0.88 0.92 0.00 0.88 ]
[ 0.28 0.56 0.00 0.43 0.85 0.17 0.06 0.00 0.37 0.01 0.85 0.32 0.85 0.89 0.81 0.59 0.67 0.93 0.95 0.31 0.39 0.32 0.44 0.89 0.67 0.51 1.00 0.47 0.34 0.32 0.95 0.63 0.02 0.15 0.21 0.52 0.21 0.04 0.91 0.41 0.51 ]
[ 0.94 0.77 0.53 0.70 0.72 0.23 0.69 0.66 0.93 0.44 0.00 0.43 0.61 0.71 0.40 0.71 0.83 0.43 0.06 0.57 0.38 0.90 0.50 0.57 0.03 0.06 0.47 1.00 0.16 0.77 0.17 0.46 0.70 1.00 0.56 0.62 0.03 0.79 0.89 0.93 0.29 ]
[ 0.92 0.52 0.86 0.75 0.43 0.97 0.39 0.58 0.79 1.00 0.93 0.96 0.72 0.96 0.52 0.73 0.81 0.58 0.33 0.99 0.36 0.65 0.74 0.72 0.10 0.92 0.34 0.16 1.00 0.56 0.13 0.95 0.97 0.42 0.95 0.01 0.83 0.14 0.00 0.57 0.44 ]
[ 0.68 0.27 0.82 0.92 0.24 0.00 0.93 0.82 0.66 0.27 0.69 0.48 0.91 0.22 0.00 0.89 0.91 0.20 0.99 0.91 0.59 0.22 0.98 0.73 0.83 0.68 0.32 0.77 0.56 1.00 0.18 0.94 0.65 0.31 0.11 0.53 0.46 0.94 0.74 0.59 0.08 ]
[ 0.18 0.00 0.54 0.11 0.58 0.20 0.47 0.20 0.18 0.57 0.52 0.41 0.71 0.91 0.00 0.51 0.84 0.22 0.96 0.46 0.12 0.00 0.87 0.71 0.68 0.00 0.95 0.17 0.13 0.18 1.00 0.61 0.85 0.74 0.05 0.85 0.44 0.91 0.66 0.70 0.92 ]
[ 0.03 0.03 0.62 0.38 0.82 0.37 0.24 0.59 0.89 0.89 0.55 0.29 0.53 0.73 0.23 0.07 0.51 0.04 0.41 0.14 0.83 0.91 0.58 0.50 0.06 0.51 0.63 0.46 0.95 0.94 0.61 1.00 0.33 0.97 0.76 0.37 0.90 0.57 0.07 0.28 0.34 ]
[ 0.08 0.26 0.75 0.90 0.61 0.84 0.96 0.83 0.56 0.26 0.95 0.61 0.89 0.32 0.42 0.86 0.84 0.91 0.44 0.92 0.81 0.62 0.77 0.23 0.93 0.13 0.02 0.70 0.97 0.65 0.85 0.33 1.00 0.56 0.79 0.98 0.24 0.15 0.16 0.89 0.91 ]
[ 0.04 0.31 0.98 0.31 0.54 0.57 0.58 0.61 0.70 0.04 0.72 0.45 0.99 0.44 0.54 0.94 0.96 0.27 0.51 0.87 0.97 0.78 0.22 0.02 0.90 0.48 0.15 1.00 0.42 0.31 0.74 0.97 0.56 1.00 0.25 0.61 0.97 0.37 0.80 0.16 0.23 ]
[ 0.64 0.32 0.44 0.90 0.15 0.94 0.98 0.32 0.57 0.20 0.99 0.83 0.38 0.38 0.93 0.90 0.53 0.09 0.86 0.33 0.36 0.98 0.56 0.33 0.91 0.65 0.21 0.56 0.95 0.11 0.05 0.76 0.79 0.25 1.00 0.60 0.53 0.64 0.79 0.84 0.68 ]
[ 0.41 0.65 0.30 0.95 0.42 0.93 0.41 0.17 0.52 0.29 0.98 0.31 0.74 0.90 0.82 0.23 0.73 0.19 0.84 0.72 0.19 0.48 0.90 0.20 0.89 0.72 0.52 0.62 0.01 0.53 0.85 0.37 0.98 0.61 0.60 1.00 0.42 0.34 0.86 0.18 0.75 ]
[ 0.80 0.29 0.80 0.60 0.25 0.17 0.26 0.29 0.24 0.67 0.41 0.41 0.18 0.95 0.53 0.31 0.81 0.71 0.17 0.25 0.16 0.93 0.97 0.51 0.19 0.56 0.21 0.03 0.83 0.46 0.44 0.90 0.24 0.97 0.53 0.42 1.00 0.62 0.29 0.82 0.66 ]
[ 0.23 0.71 0.49 0.84 0.00 0.39 0.21 0.93 0.62 0.96 0.77 0.09 0.70 0.21 0.25 0.62 0.66 0.85 0.71 0.81 0.10 0.02 0.03 0.62 0.65 0.88 0.04 0.79 0.14 0.94 0.91 0.57 0.15 0.37 0.64 0.34 0.62 1.00 0.50 0.69 0.81 ]
[ 0.95 0.49 0.82 0.91 0.92 0.92 0.75 0.77 0.00 0.39 0.79 0.23 0.45 0.25 0.24 0.38 0.18 0.00 0.91 0.44 0.42 0.57 0.94 0.46 0.52 0.92 0.91 0.89 0.00 0.74 0.66 0.07 0.16 0.80 0.79 0.86 0.29 0.50 1.00 0.46 0.37 ]
[ 0.94 0.68 0.78 0.82 0.81 0.68 0.92 0.91 0.27 0.81 0.27 0.97 0.73 0.64 0.29 0.31 0.94 0.56 0.91 0.52 0.41 0.89 0.89 0.85 0.87 0.00 0.41 0.93 0.57 0.59 0.70 0.28 0.89 0.16 0.84 0.18 0.82 0.69 0.46 1.00 0.68 ]
[ 0.24 0.89 0.17 0.73 0.50 1.00 0.43 0.92 0.66 0.50 0.28 0.86 0.93 0.44 0.32 0.54 0.70 0.80 0.26 0.93 0.86 0.71 0.77 0.98 0.26 0.88 0.51 0.29 0.44 0.08 0.92 0.34 0.91 0.23 0.68 0.75 0.66 0.81 0.37 0.68 1.00 ]
];
