[ 0.88 0.16 0.28 0.44 0.47 0.26 0.06 0.93 0.40 0.84 1.00 0.00 0.74 0.50 0.59 0.06 0.22 0.20 0.70 0.97 0.47 0.72 0.96 0.88 0.69 0.64 0.91 0.57 0.90 0.45 0.12 0.26 0.24 0.52 0.88 0.93 0.97 0.87 0.97 0.39 0.28 0.43 0.84 0.74 0.22 0.33 0.01 0.75 0.95 0.25 0.64 0.93 0.19 0.15 0.85 0.47 0.42 0.97 0.75 0.61 0.81 0.13 0.05 0.32 0.22 0.12 0.20 0.04 0.83 ]
[ 0.68 0.36 0.92 0.91 0.26 0.93 0.86 0.15 0.61 0.23 0.00 1.00 0.16 0.10 0.03 0.38 0.42 0.11 0.24 0.82 0.95 0.66 0.32 0.37 0.60 0.90 0.51 0.88 0.90 1.00 0.98 0.58 0.50 0.38 0.84 0.95 0.94 0.09 0.88 0.76 0.35 0.70 0.55 0.90 0.13 0.49 0.60 0.86 0.44 0.71 0.61 0.20 0.72 0.18 0.94 0.77 0.25 0.62 0.63 0.60 0.38 0.40 0.00 0.44 0.95 0.99 0.92 0.23 0.88 ]
[ 0.59 0.11 0.59 0.36 0.21 0.45 0.44 0.82 0.39 0.69 0.74 0.16 1.00 0.66 0.40 0.22 0.69 0.78 0.47 0.87 0.31 0.42 0.48 0.39 0.57 0.27 0.59 0.96 0.20 0.17 0.22 0.95 0.13 0.90 0.47 0.41 0.96 0.77 0.54 0.90 0.50 0.88 0.71 0.81 0.43 0.36 0.21 0.40 0.50 0.37 0.88 0.59 0.47 0.87 0.68 0.27 0.15 0.41 0.38 0.95 0.34 0.30 0.80 0.39 0.35 0.91 0.05 0.45 0.53 ]
[ 0.38 0.99 0.32 0.99 0.90 0.00 0.81 0.96 0.56 0.00 0.50 0.10 0.66 1.00 0.73 0.01 0.53 0.42 0.76 0.30 0.46 0.51 0.75 0.31 0.76 0.75 0.00 0.29 0.44 0.98 0.74 0.86 0.62 0.89 0.85 0.72 0.43 0.19 0.26 0.89 0.41 0.88 0.70 0.99 0.45 0.29 0.78 0.23 0.91 0.02 0.37 0.79 0.34 0.11 0.00 0.17 0.74 0.84 0.94 0.44 0.73 0.15 0.20 0.88 0.60 0.97 0.76 0.81 0.18 ]
[ 0.75 0.95 0.05 0.51 0.58 0.06 0.27 0.47 0.63 0.70 0.59 0.03 0.40 0.73 1.00 0.39 0.91 0.33 0.88 0.96 0.60 0.57 0.36 0.55 0.98 0.85 0.40 0.54 0.55 0.12 0.44 0.21 0.52 0.01 0.56 0.51 0.79 0.65 0.65 0.94 0.20 0.87 0.44 0.61 0.26 0.94 0.58 0.43 0.16 0.75 0.88 0.98 0.49 0.90 0.13 0.70 0.53 0.90 0.09 0.99 0.07 0.05 0.88 0.30 0.27 0.74 0.46 0.52 0.32 ]
[ 0.41 0.27 0.28 0.86 0.65 0.17 0.83 0.98 0.42 0.86 0.06 0.38 0.22 0.01 0.39 1.00 0.24 0.72 1.00 0.72 0.36 0.38 0.23 0.96 0.98 0.26 0.88 0.26 0.65 0.96 0.00 0.82 0.60 0.99 0.18 0.42 0.55 0.64 0.77 0.93 0.40 0.49 0.65 0.94 0.51 0.48 0.66 0.75 0.92 0.99 0.18 0.13 0.21 0.43 0.20 0.36 0.48 0.75 0.94 0.81 0.61 0.74 0.75 0.68 0.47 0.98 0.16 0.00 0.86 ]
[ 0.38 0.89 0.89 0.95 0.97 0.18 0.36 0.54 0.60 0.87 0.22 0.42 0.69 0.53 0.91 0.24 1.00 0.93 0.41 0.91 0.81 0.61 0.67 0.86 0.97 0.63 0.90 0.79 0.98 0.93 0.59 0.46 0.52 0.71 0.44 0.96 0.39 0.48 0.49 0.80 0.19 0.45 1.00 0.22 0.83 0.26 0.98 0.90 0.53 0.36 0.90 0.36 0.41 0.67 0.00 0.62 0.42 0.54 0.34 0.98 0.13 0.32 0.41 0.72 0.41 0.19 0.89 0.59 0.91 ]
[ 0.22 0.38 0.94 0.44 0.43 0.80 0.28 0.74 0.98 0.07 0.20 0.11 0.78 0.42 0.33 0.72 0.93 1.00 0.60 0.65 0.43 0.94 0.98 0.77 0.81 0.90 0.32 0.16 0.46 0.15 0.96 0.54 0.26 0.00 0.97 0.07 0.62 0.95 0.46 0.08 0.49 0.93 0.52 0.95 0.62 0.57 0.70 0.67 0.85 0.75 0.84 0.77 0.74 0.36 0.22 0.51 0.21 0.89 0.34 0.30 0.84 0.24 0.61 0.78 0.56 0.91 0.18 0.32 0.98 ]
[ 0.51 0.78 0.18 0.36 0.78 0.89 0.27 0.52 0.36 0.26 0.70 0.24 0.47 0.76 0.88 1.00 0.41 0.60 1.00 0.27 0.39 0.94 0.96 0.19 0.11 0.82 0.86 0.51 0.81 0.41 0.02 0.23 0.23 0.22 0.00 0.34 0.31 0.54 0.64 0.65 0.24 0.61 0.86 0.42 0.95 0.26 0.99 0.38 0.20 0.34 0.55 0.18 0.50 0.47 0.84 0.78 0.87 1.00 0.36 0.15 0.28 0.29 0.22 0.37 0.88 0.31 0.87 0.93 0.76 ]
[ 0.76 0.28 0.36 0.83 0.98 0.32 0.22 1.00 0.63 0.05 0.97 0.82 0.87 0.30 0.96 0.72 0.91 0.65 0.27 1.00 0.12 0.88 0.83 0.33 0.55 0.39 0.93 0.66 0.62 0.33 0.15 0.55 0.88 0.93 0.37 0.71 0.32 0.73 0.39 0.27 0.60 0.93 0.86 0.80 0.19 0.96 0.59 0.35 1.00 0.94 0.27 0.06 0.91 0.58 0.37 0.64 0.36 0.25 0.45 0.19 0.89 0.08 0.18 0.67 0.59 0.36 0.71 0.00 0.30 ]
[ 0.93 0.75 0.18 0.95 0.26 0.73 0.80 0.18 0.99 0.19 0.47 0.95 0.31 0.46 0.60 0.36 0.81 0.43 0.39 0.12 1.00 0.73 0.00 0.94 0.28 0.77 0.34 0.44 0.71 0.22 0.54 0.27 0.26 0.10 0.58 0.26 0.63 0.95 0.37 0.41 0.29 0.98 0.93 0.71 0.99 0.64 0.18 0.71 0.10 0.95 0.81 0.24 0.98 0.37 0.86 0.96 0.81 0.96 0.73 0.76 0.92 0.33 0.07 0.64 0.51 0.92 0.27 0.86 0.05 ]
[ 0.62 0.84 0.38 0.74 0.01 0.94 0.31 0.74 0.17 0.97 0.72 0.66 0.42 0.51 0.57 0.38 0.61 0.94 0.94 0.88 0.73 1.00 0.04 0.86 0.95 0.54 0.52 0.83 0.26 0.82 0.99 0.48 0.54 1.00 0.46 0.55 0.30 0.79 0.39 0.49 0.17 0.45 0.92 0.81 0.72 0.16 0.38 0.38 0.47 0.77 0.92 0.45 0.41 0.02 0.40 0.66 0.62 0.80 0.93 0.11 0.71 0.21 0.29 0.85 0.66 0.55 0.39 0.72 0.39 ]
[ 0.98 0.91 0.16 0.27 0.62 0.92 0.94 0.84 0.08 0.76 0.96 0.32 0.48 0.75 0.36 0.23 0.67 0.98 0.96 0.83 0.00 0.04 1.00 0.45 0.55 0.20 0.36 0.39 0.77 0.30 0.69 0.72 0.66 0.94 0.96 0.94 0.28 0.69 0.91 0.30 0.39 0.88 0.04 0.50 0.56 0.98 0.86 0.90 0.49 0.31 0.24 0.33 0.35 0.73 0.89 0.58 0.05 0.88 0.05 0.69 0.48 0.34 0.36 0.89 0.52 0.84 0.40 0.83 0.35 ]
[ 0.37 0.35 0.59 0.43 0.90 0.00 0.46 0.52 0.19 0.88 0.88 0.37 0.39 0.31 0.55 0.96 0.86 0.77 0.19 0.33 0.94 0.86 0.45 1.00 0.36 0.98 0.22 0.96 0.68 0.20 1.00 0.27 0.18 0.98 0.89 0.97 0.17 0.48 0.71 0.71 0.34 0.16 0.71 0.00 0.93 0.70 0.96 0.04 0.40 0.74 0.83 0.00 0.29 0.62 0.33 0.45 0.94 0.95 0.21 0.37 0.19 0.94 0.74 0.43 0.33 0.95 0.86 0.45 0.27 ]
[ 0.72 0.48 0.19 0.34 0.73 0.87 0.30 0.42 0.53 0.81 0.69 0.60 0.57 0.76 0.98 0.98 0.97 0.81 0.11 0.55 0.28 0.95 0.55 0.36 1.00 0.99 0.56 0.49 0.22 0.96 0.62 0.83 0.26 0.76 0.46 0.98 0.43 0.59 0.47 0.69 0.27 0.20 0.02 0.99 0.66 0.91 0.11 0.87 0.80 0.78 0.89 0.19 0.89 0.26 0.67 0.00 0.78 0.92 0.12 0.09 0.11 0.91 0.16 0.33 0.96 0.71 0.52 0.27 0.73 ]
[ 0.01 0.94 0.94 0.59 0.52 0.53 0.86 0.94 0.73 0.06 0.64 0.90 0.27 0.75 0.85 0.26 0.63 0.90 0.82 0.39 0.77 0.54 0.20 0.98 0.99 1.00 0.90 0.57 0.81 0.15 0.27 0.91 0.97 0.17 0.89 0.00 0.92 0.97 0.96 0.34 0.22 0.23 0.73 0.54 0.09 0.23 0.32 0.43 0.64 0.85 0.68 1.00 0.85 1.00 0.11 0.85 0.67 0.69 0.72 0.64 0.43 0.46 0.96 0.60 0.00 0.95 0.02 0.39 0.65 ]
[ 0.34 0.95 0.50 0.82 0.38 0.77 0.01 0.90 0.55 0.69 0.91 0.51 0.59 0.00 0.40 0.88 0.90 0.32 0.86 0.93 0.34 0.52 0.36 0.22 0.56 0.90 1.00 0.40 0.74 0.92 0.00 0.58 0.99 0.68 0.76 0.07 0.97 0.27 0.53 0.23 0.59 0.31 0.93 0.39 0.29 0.07 0.00 0.22 0.34 0.19 0.43 0.39 0.17 0.98 0.17 0.57 0.86 0.02 0.84 0.40 0.64 0.07 0.95 0.13 0.22 0.73 0.24 0.31 0.95 ]
[ 0.76 0.30 0.25 0.03 0.44 0.73 0.50 0.42 0.97 0.95 0.57 0.88 0.96 0.29 0.54 0.26 0.79 0.16 0.51 0.66 0.44 0.83 0.39 0.96 0.49 0.57 0.40 1.00 0.59 0.93 0.58 0.62 0.00 0.95 0.99 0.81 0.87 0.81 0.90 0.97 0.64 0.91 0.50 0.08 0.27 0.24 0.74 0.20 0.34 0.75 0.40 0.50 0.36 0.87 0.36 0.80 0.27 0.76 0.75 0.04 0.61 0.07 0.22 0.22 0.04 0.09 0.68 0.20 0.51 ]
[ 0.61 0.56 0.58 0.75 0.91 0.30 0.57 0.26 0.79 0.83 0.90 0.90 0.20 0.44 0.55 0.65 0.98 0.46 0.81 0.62 0.71 0.26 0.77 0.68 0.22 0.81 0.74 0.59 1.00 0.66 0.22 0.73 1.00 0.81 0.02 0.77 0.59 0.34 0.74 0.21 0.38 0.63 0.68 0.26 0.99 0.22 0.54 0.38 0.94 0.42 0.48 0.08 0.57 0.72 0.26 0.51 0.56 0.55 0.82 0.60 0.59 0.99 0.95 0.65 0.53 0.16 0.91 0.87 0.89 ]
[ 0.38 0.13 0.95 0.43 0.86 0.58 0.90 0.00 0.70 0.97 0.45 1.00 0.17 0.98 0.12 0.96 0.93 0.15 0.41 0.33 0.22 0.82 0.30 0.20 0.96 0.15 0.92 0.93 0.66 1.00 0.45 0.98 0.81 0.26 0.71 0.89 0.16 0.27 0.18 0.89 0.23 0.98 0.73 0.95 0.33 0.78 0.43 0.59 0.03 0.75 0.78 0.92 1.00 0.77 0.00 0.26 0.56 0.10 0.71 0.41 0.88 0.61 0.66 0.92 0.59 0.99 0.27 0.21 0.85 ]
[ 0.87 0.60 0.95 0.97 0.31 0.62 0.65 0.58 0.29 0.94 0.12 0.98 0.22 0.74 0.44 0.00 0.59 0.96 0.02 0.15 0.54 0.99 0.69 1.00 0.62 0.27 0.00 0.58 0.22 0.45 1.00 1.00 0.88 0.75 0.22 0.07 0.92 0.95 0.28 0.52 0.96 0.85 0.37 1.00 0.83 0.55 0.70 0.19 0.63 0.66 0.46 0.63 0.20 0.55 0.60 0.27 0.87 0.65 0.02 0.99 0.69 0.21 0.18 0.93 0.00 0.31 0.08 0.88 0.93 ]
[ 0.59 0.55 0.19 0.66 0.85 0.41 0.93 0.87 0.31 0.51 0.26 0.58 0.95 0.86 0.21 0.82 0.46 0.54 0.23 0.55 0.27 0.48 0.72 0.27 0.83 0.91 0.58 0.62 0.73 0.98 1.00 1.00 0.84 0.26 0.81 0.29 0.33 0.31 0.93 0.65 0.43 0.21 0.97 0.58 0.36 0.92 0.08 0.85 0.11 0.94 0.64 0.97 0.91 0.78 0.90 0.85 0.98 0.04 0.99 0.61 0.85 0.64 0.20 0.17 0.75 0.49 0.43 0.93 0.05 ]
[ 0.88 0.55 0.85 0.32 0.57 0.75 0.17 0.52 0.38 0.82 0.24 0.50 0.13 0.62 0.52 0.60 0.52 0.26 0.23 0.88 0.26 0.54 0.66 0.18 0.26 0.97 0.99 0.00 1.00 0.81 0.88 0.84 1.00 0.71 0.16 0.91 0.80 0.54 0.94 0.17 0.38 0.25 0.06 0.30 0.70 0.74 0.84 0.85 0.67 0.81 0.60 0.95 0.85 0.91 0.44 0.88 0.26 0.25 0.53 0.75 0.18 0.93 0.86 0.37 0.41 0.53 0.56 0.56 0.44 ]
[ 0.99 0.18 0.72 0.88 0.54 0.38 0.39 0.73 0.14 0.18 0.52 0.38 0.90 0.89 0.01 0.99 0.71 0.00 0.22 0.93 0.10 1.00 0.94 0.98 0.76 0.17 0.68 0.95 0.81 0.26 0.75 0.26 0.71 1.00 0.88 0.43 0.55 0.72 0.24 0.19 0.95 0.64 0.87 0.11 0.53 0.95 0.87 0.35 0.98 0.66 0.52 0.94 0.63 0.71 0.67 0.97 0.81 0.60 0.34 0.08 0.08 0.98 0.92 0.46 0.76 0.92 0.36 0.49 0.91 ]
[ 0.22 0.23 0.00 0.47 0.90 0.33 0.45 0.11 0.44 0.25 0.88 0.84 0.47 0.85 0.56 0.18 0.44 0.97 0.00 0.37 0.58 0.46 0.96 0.89 0.46 0.89 0.76 0.99 0.02 0.71 0.22 0.81 0.16 0.88 1.00 0.71 0.25 0.94 0.25 0.26 0.95 0.30 0.98 0.78 0.35 0.63 0.51 0.54 0.88 0.70 0.38 0.68 0.30 0.54 0.57 0.68 0.06 0.48 0.20 0.93 0.65 0.51 0.42 0.86 0.23 0.88 0.06 0.14 0.36 ]
[ 0.58 0.57 0.23 0.85 0.40 0.91 0.14 0.37 0.60 0.30 0.93 0.95 0.41 0.72 0.51 0.42 0.96 0.07 0.34 0.71 0.26 0.55 0.94 0.97 0.98 0.00 0.07 0.81 0.77 0.89 0.07 0.29 0.91 0.43 0.71 1.00 0.83 0.88 0.26 0.64 0.69 0.85 0.24 0.55 0.81 0.64 0.52 0.71 0.89 0.60 0.13 0.58 0.74 0.54 0.37 0.94 0.01 0.91 0.39 0.97 0.99 0.33 0.36 0.29 0.89 0.64 0.97 1.00 0.21 ]
[ 0.85 0.67 0.75 0.37 0.96 0.93 0.94 0.47 0.05 0.97 0.97 0.94 0.96 0.43 0.79 0.55 0.39 0.62 0.31 0.32 0.63 0.30 0.28 0.17 0.43 0.92 0.97 0.87 0.59 0.16 0.92 0.33 0.80 0.55 0.25 0.83 1.00 0.59 0.71 0.50 0.76 0.85 0.99 0.92 0.34 0.91 0.72 0.02 0.45 0.04 0.87 0.97 0.96 0.58 0.64 0.42 0.17 0.71 0.26 0.72 0.18 0.15 0.96 0.82 0.80 0.43 0.44 0.32 0.95 ]
[ 0.93 0.00 0.18 0.61 0.11 0.30 0.42 0.18 0.40 0.86 0.87 0.09 0.77 0.19 0.65 0.64 0.48 0.95 0.54 0.73 0.95 0.79 0.69 0.48 0.59 0.97 0.27 0.81 0.34 0.27 0.95 0.31 0.54 0.72 0.94 0.88 0.59 1.00 0.65 0.99 0.82 0.48 0.80 0.86 0.20 0.81 0.81 0.88 0.77 0.21 0.26 0.50 0.60 0.89 0.93 0.92 0.29 0.34 0.55 0.98 0.91 0.65 0.51 0.31 0.17 0.95 0.71 0.57 0.41 ]
[ 0.99 0.24 0.09 0.91 0.96 0.04 0.21 0.97 0.29 0.17 0.97 0.88 0.54 0.26 0.65 0.77 0.49 0.46 0.64 0.39 0.37 0.39 0.91 0.71 0.47 0.96 0.53 0.90 0.74 0.18 0.28 0.93 0.94 0.24 0.25 0.26 0.71 0.65 1.00 0.71 0.86 0.47 0.28 0.43 0.18 0.91 0.86 0.71 0.16 0.15 0.05 0.32 0.98 0.94 0.63 0.29 0.95 0.85 0.41 0.94 0.62 0.76 0.21 0.39 0.95 0.87 0.18 0.88 0.32 ]
[ 0.29 0.44 0.54 0.96 0.95 0.61 0.91 0.53 0.75 0.67 0.39 0.76 0.90 0.89 0.94 0.93 0.80 0.08 0.65 0.27 0.41 0.49 0.30 0.71 0.69 0.34 0.23 0.97 0.21 0.89 0.52 0.65 0.17 0.19 0.26 0.64 0.50 0.99 0.71 1.00 0.28 0.28 0.10 0.17 0.63 0.86 0.00 0.69 0.10 0.40 0.76 0.18 0.59 0.33 0.34 0.89 0.41 0.31 0.77 0.69 0.68 0.61 1.00 0.36 0.81 0.16 0.22 0.18 0.87 ]
[ 0.99 0.36 0.79 0.27 0.59 0.85 0.15 0.29 0.07 0.86 0.28 0.35 0.50 0.41 0.20 0.40 0.19 0.49 0.24 0.60 0.29 0.17 0.39 0.34 0.27 0.22 0.59 0.64 0.38 0.23 0.96 0.43 0.38 0.95 0.95 0.69 0.76 0.82 0.86 0.28 1.00 0.68 0.49 0.49 0.32 0.58 0.70 0.63 0.53 0.09 0.69 0.28 0.51 0.00 0.09 0.56 0.45 0.23 0.91 0.39 0.42 0.98 0.74 0.88 0.97 0.83 0.37 0.07 0.90 ]
[ 0.96 0.94 0.59 0.41 0.76 0.51 0.79 0.82 0.59 0.93 0.43 0.70 0.88 0.88 0.87 0.49 0.45 0.93 0.61 0.93 0.98 0.45 0.88 0.16 0.20 0.23 0.31 0.91 0.63 0.98 0.85 0.21 0.25 0.64 0.30 0.85 0.85 0.48 0.47 0.28 0.68 1.00 0.09 0.82 0.38 0.18 0.89 0.94 0.60 0.94 0.49 0.64 0.76 0.31 0.96 0.62 0.55 0.81 0.85 0.36 0.89 0.70 0.68 0.23 0.90 0.77 0.03 0.53 0.19 ]
[ 0.86 0.44 0.59 0.91 0.13 0.98 0.62 0.63 0.28 0.37 0.84 0.55 0.71 0.70 0.44 0.65 1.00 0.52 0.86 0.86 0.93 0.92 0.04 0.71 0.02 0.73 0.93 0.50 0.68 0.73 0.37 0.97 0.06 0.87 0.98 0.24 0.99 0.80 0.28 0.10 0.49 0.09 1.00 0.99 0.90 0.86 0.59 0.16 0.99 0.84 0.95 0.00 0.44 0.98 0.51 0.65 0.73 0.79 0.41 0.73 0.84 0.34 0.19 0.76 0.31 0.63 0.98 0.30 0.57 ]
[ 0.86 0.84 0.90 0.06 0.42 0.36 0.57 0.93 0.99 0.11 0.74 0.90 0.81 0.99 0.61 0.94 0.22 0.95 0.42 0.80 0.71 0.81 0.50 0.00 0.99 0.54 0.39 0.08 0.26 0.95 1.00 0.58 0.30 0.11 0.78 0.55 0.92 0.86 0.43 0.17 0.49 0.82 0.99 1.00 0.20 0.00 0.97 0.52 0.91 0.47 0.04 0.21 0.80 0.97 0.72 0.07 0.26 0.73 0.24 0.29 0.26 0.80 0.72 0.85 0.79 0.38 0.87 0.79 0.91 ]
[ 0.71 0.20 0.05 0.67 0.17 0.57 0.74 0.62 0.73 0.22 0.22 0.13 0.43 0.45 0.26 0.51 0.83 0.62 0.95 0.19 0.99 0.72 0.56 0.93 0.66 0.09 0.29 0.27 0.99 0.33 0.83 0.36 0.70 0.53 0.35 0.81 0.34 0.20 0.18 0.63 0.32 0.38 0.90 0.20 1.00 0.04 0.87 0.28 0.60 0.79 0.22 0.15 0.45 0.28 0.43 0.48 0.95 0.51 0.31 0.75 0.23 0.97 0.76 0.57 0.15 0.36 0.59 0.40 0.31 ]
[ 0.88 0.95 0.44 0.60 0.33 0.47 0.86 0.04 0.63 0.18 0.33 0.49 0.36 0.29 0.94 0.48 0.26 0.57 0.26 0.96 0.64 0.16 0.98 0.70 0.91 0.23 0.07 0.24 0.22 0.78 0.55 0.92 0.74 0.95 0.63 0.64 0.91 0.81 0.91 0.86 0.58 0.18 0.86 0.00 0.04 1.00 0.90 0.67 0.99 0.94 0.32 0.76 0.91 0.04 0.34 0.28 0.59 0.41 0.36 0.30 0.86 0.29 0.21 0.24 0.05 0.92 0.93 0.10 0.36 ]
[ 0.00 0.97 0.41 0.32 0.34 0.66 0.04 0.57 0.80 0.41 0.01 0.60 0.21 0.78 0.58 0.66 0.98 0.70 0.99 0.59 0.18 0.38 0.86 0.96 0.11 0.32 0.00 0.74 0.54 0.43 0.70 0.08 0.84 0.87 0.51 0.52 0.72 0.81 0.86 0.00 0.70 0.89 0.59 0.97 0.87 0.90 1.00 0.24 0.18 0.46 0.51 0.56 0.72 0.47 0.33 0.31 0.09 0.39 0.20 0.54 0.24 0.93 0.29 0.16 0.82 0.78 0.33 0.35 0.35 ]
[ 0.75 0.76 0.91 0.00 0.37 0.63 0.55 0.34 0.76 0.49 0.75 0.86 0.40 0.23 0.43 0.75 0.90 0.67 0.38 0.35 0.71 0.38 0.90 0.04 0.87 0.43 0.22 0.20 0.38 0.59 0.19 0.85 0.85 0.35 0.54 0.71 0.02 0.88 0.71 0.69 0.63 0.94 0.16 0.52 0.28 0.67 0.24 1.00 0.82 0.06 0.76 0.93 0.82 0.17 0.88 0.12 0.56 0.91 0.03 0.18 0.73 0.57 0.06 0.74 0.45 0.53 0.89 0.52 0.66 ]
