[ 0.22 0.67 0.90 0.50 0.24 0.38 0.51 0.83 0.82 0.34 1.00 0.48 0.96 0.66 0.95 0.81 0.94 0.54 0.95 0.68 0.65 0.39 0.44 0.24 0.35 0.01 0.45 0.89 0.72 0.54 0.46 0.36 0.23 0.98 0.93 0.71 0.50 0.43 0.98 0.44 0.63 0.19 0.18 0.36 0.35 0.37 0.40 0.69 0.48 0.31 0.33 0.32 0.27 0.61 0.27 0.03 0.54 0.83 0.94 0.92 0.24 0.94 0.42 0.99 0.84 0.98 0.29 1.00 0.67 0.44 ]
[ 0.32 0.81 0.57 0.97 0.87 0.68 0.74 0.58 0.16 0.34 0.48 1.00 0.96 0.70 0.77 0.76 0.16 0.38 0.22 0.94 0.89 0.39 0.11 0.48 0.36 0.35 0.02 0.83 0.90 0.86 0.50 0.62 0.36 0.61 0.99 0.13 0.97 0.43 0.44 0.07 0.05 0.68 0.45 0.33 0.48 0.83 0.38 0.49 0.95 0.16 0.91 0.65 0.23 0.11 0.83 0.89 0.82 0.96 0.67 0.25 0.90 0.28 0.67 0.89 0.97 0.81 0.30 0.92 0.96 0.75 ]
[ 0.87 0.99 0.58 0.76 0.30 0.91 0.57 0.17 0.89 0.77 0.96 0.96 1.00 0.45 0.00 0.22 0.68 0.96 0.19 0.85 0.97 0.80 0.25 0.42 0.82 0.66 0.79 0.58 0.30 0.76 0.91 0.84 0.72 0.86 0.97 0.02 0.72 0.10 0.71 0.17 0.60 0.87 0.33 0.38 0.97 0.63 0.87 0.42 0.44 0.98 0.00 1.00 0.37 0.49 0.74 0.36 0.27 0.68 0.38 0.86 0.90 0.48 0.91 0.99 0.55 0.32 0.76 0.10 0.34 0.47 ]
[ 0.67 0.56 0.55 0.88 0.54 0.14 0.23 0.32 0.75 0.38 0.66 0.70 0.45 1.00 0.62 0.64 0.73 0.55 0.84 0.81 0.98 0.76 0.55 0.64 0.27 0.99 0.00 0.56 0.47 0.63 0.06 0.34 0.35 0.70 0.65 0.06 0.37 0.98 0.41 0.38 0.76 0.47 0.47 0.25 0.67 0.92 0.35 0.05 0.92 0.15 0.53 0.29 0.27 0.49 0.71 0.18 0.86 0.55 0.52 0.47 0.08 0.41 0.95 0.44 0.97 0.90 0.72 0.29 0.95 0.52 ]
[ 0.83 0.31 0.50 0.98 0.68 0.31 0.31 0.93 0.99 0.60 0.95 0.77 0.00 0.62 1.00 0.08 0.22 0.20 0.25 0.43 0.76 0.52 0.72 0.81 0.40 0.61 0.86 0.30 0.46 0.83 0.89 0.93 0.86 0.19 0.31 0.71 0.45 0.39 0.53 0.47 0.17 0.94 0.55 0.91 0.62 0.85 0.74 0.90 0.27 0.23 0.76 0.50 0.31 0.52 0.24 0.63 0.22 0.33 0.00 0.95 0.68 0.96 0.76 0.86 0.91 0.98 0.90 0.36 0.85 0.02 ]
[ 0.94 0.46 0.58 0.80 0.31 0.34 0.92 0.27 0.28 0.20 0.81 0.76 0.22 0.64 0.08 1.00 0.34 0.07 0.31 0.95 0.75 0.94 0.00 0.37 0.32 0.42 1.00 0.99 0.28 0.86 0.66 0.99 0.51 0.16 0.37 0.09 0.95 0.12 0.39 0.94 0.64 0.09 0.12 0.46 0.31 0.97 0.96 0.49 0.74 0.30 0.89 0.91 0.71 0.88 0.40 0.11 0.66 0.11 0.75 0.94 0.11 0.17 0.00 0.00 0.67 0.17 0.26 0.97 0.89 0.67 ]
[ 0.90 0.64 0.32 0.36 0.40 0.95 0.78 0.21 0.79 0.82 0.94 0.16 0.68 0.73 0.22 0.34 1.00 0.67 0.27 0.26 0.71 0.48 0.20 0.11 0.44 0.33 0.34 0.54 0.83 0.57 0.32 0.40 0.89 0.21 0.93 0.90 0.25 0.16 0.73 0.15 0.92 0.72 0.04 0.19 0.86 0.85 0.50 0.90 0.92 0.03 0.61 0.42 0.38 0.16 0.87 0.44 0.35 0.43 0.56 0.97 0.23 0.85 0.02 0.42 0.65 0.59 0.22 0.27 0.91 0.09 ]
[ 0.07 0.51 0.96 0.39 0.96 0.69 0.83 0.69 0.08 0.67 0.54 0.38 0.96 0.55 0.20 0.07 0.67 1.00 0.88 0.88 0.31 0.01 0.19 0.50 0.58 0.71 0.71 0.41 0.68 0.76 0.16 0.00 0.46 0.13 0.45 0.88 0.24 0.82 0.98 0.46 0.42 0.98 0.66 0.93 0.71 0.87 0.53 0.14 0.41 1.00 0.66 0.96 0.17 0.71 0.46 0.84 0.28 0.85 0.78 0.87 0.86 0.41 0.45 0.56 0.25 0.58 0.71 0.96 0.15 0.96 ]
[ 0.40 0.64 0.39 0.31 0.60 0.15 0.48 0.90 0.18 0.50 0.95 0.22 0.19 0.84 0.25 0.31 0.27 0.88 1.00 0.68 0.35 0.56 0.75 0.97 0.29 0.04 0.47 0.77 0.93 0.59 0.78 0.47 0.04 0.25 0.79 0.67 0.98 0.92 0.73 0.65 0.25 0.58 0.96 0.59 0.52 0.05 0.62 0.19 0.34 0.14 0.86 0.42 0.85 0.95 0.87 0.75 0.90 0.98 0.83 0.89 0.96 0.80 0.47 0.90 0.88 0.99 0.81 0.31 0.26 0.69 ]
[ 0.44 0.96 0.29 0.86 0.84 0.43 0.37 0.63 0.89 0.73 0.68 0.94 0.85 0.81 0.43 0.95 0.26 0.88 0.68 1.00 0.31 0.94 0.22 0.95 0.82 0.54 0.09 0.25 0.48 0.69 0.69 0.80 0.85 0.10 0.17 0.47 0.20 0.97 0.50 0.32 0.42 0.28 0.36 0.15 0.73 0.91 0.92 0.38 0.00 0.84 0.54 0.20 0.07 0.59 0.59 0.99 0.92 0.00 0.92 0.57 0.72 0.30 0.17 0.58 0.24 0.90 0.63 0.71 0.34 0.23 ]
[ 0.75 0.13 0.74 0.72 0.97 0.99 0.25 0.59 0.30 0.95 0.65 0.89 0.97 0.98 0.76 0.75 0.71 0.31 0.35 0.31 1.00 0.08 0.13 0.63 0.78 0.59 0.56 0.80 0.63 0.48 0.90 0.44 0.90 0.44 0.94 0.17 0.94 0.79 0.88 0.86 0.66 0.09 0.24 0.86 0.49 0.22 0.25 0.07 0.59 0.56 0.51 0.99 0.88 0.57 0.91 0.08 0.06 0.47 0.61 0.37 0.23 0.81 0.81 0.66 0.00 0.90 0.67 0.66 0.24 0.48 ]
[ 0.58 0.69 0.78 0.50 0.39 0.99 0.62 0.87 0.79 0.76 0.39 0.39 0.80 0.76 0.52 0.94 0.48 0.01 0.56 0.94 0.08 1.00 0.85 0.86 0.08 0.58 0.97 0.90 0.35 0.80 0.63 0.89 0.93 0.20 0.54 0.25 0.40 0.30 0.67 0.51 0.44 0.33 0.36 0.88 0.90 0.87 0.48 0.89 0.19 0.89 0.87 0.35 0.85 0.76 0.96 0.16 0.50 0.44 0.74 0.91 0.71 0.88 1.00 0.34 0.12 0.60 0.83 0.92 0.45 0.68 ]
[ 0.64 0.51 0.81 0.15 0.97 0.80 0.16 1.00 0.93 0.70 0.44 0.11 0.25 0.55 0.72 0.00 0.20 0.19 0.75 0.22 0.13 0.85 1.00 0.65 0.39 0.18 0.17 0.06 0.18 0.99 0.48 0.64 0.83 0.89 0.92 0.53 0.00 0.83 0.16 0.85 0.50 0.73 0.32 0.10 0.68 0.58 0.90 0.63 0.51 0.00 0.00 0.95 0.62 0.99 0.77 0.71 0.65 0.21 0.93 0.33 1.00 0.22 0.85 0.26 0.53 0.13 0.97 0.55 0.26 0.23 ]
[ 0.27 0.65 0.98 0.48 0.24 0.02 0.59 0.93 0.00 0.96 0.24 0.48 0.42 0.64 0.81 0.37 0.11 0.50 0.97 0.95 0.63 0.86 0.65 1.00 0.91 0.79 0.30 0.62 0.90 0.16 0.81 0.99 0.55 0.59 0.68 0.16 0.20 0.16 0.86 0.34 0.18 0.94 0.30 0.85 0.30 0.13 0.25 0.22 0.99 0.00 0.95 0.73 0.39 0.89 0.50 0.98 0.45 0.57 0.33 0.63 0.87 0.64 0.98 0.41 0.47 0.42 0.41 0.41 0.10 0.89 ]
[ 0.88 0.96 0.99 0.16 0.66 0.93 0.78 0.57 0.59 0.67 0.35 0.36 0.82 0.27 0.40 0.32 0.44 0.58 0.29 0.82 0.78 0.08 0.39 0.91 1.00 0.16 0.02 0.88 0.23 0.58 0.32 0.51 0.85 0.49 0.81 0.49 0.21 0.54 0.55 0.21 0.40 0.84 0.53 0.88 0.57 0.47 0.55 0.97 0.00 0.89 0.35 0.91 0.35 0.27 0.74 0.97 0.66 0.63 0.48 0.91 0.46 0.09 0.73 0.20 0.77 0.90 0.53 0.71 0.00 0.54 ]
[ 0.00 0.86 0.78 0.82 0.32 0.68 0.61 0.72 0.60 0.47 0.01 0.35 0.66 0.99 0.61 0.42 0.33 0.71 0.04 0.54 0.59 0.58 0.18 0.79 0.16 1.00 0.90 0.56 0.36 0.35 0.87 0.79 0.84 0.75 0.19 0.31 0.89 0.87 0.36 0.58 0.78 0.29 0.53 0.38 0.01 0.60 0.39 0.67 0.86 0.26 0.52 0.20 0.14 0.94 0.24 0.55 0.42 0.35 0.54 0.70 0.32 0.69 0.83 0.80 0.23 0.26 0.07 0.46 0.91 0.60 ]
[ 0.04 0.99 0.87 0.12 0.35 0.62 0.32 0.03 0.63 0.14 0.45 0.02 0.79 0.00 0.86 1.00 0.34 0.71 0.47 0.09 0.56 0.97 0.17 0.30 0.02 0.90 1.00 0.89 0.55 0.84 0.94 0.48 0.25 0.70 0.89 0.45 0.71 0.36 0.88 0.27 0.00 0.94 0.73 0.78 0.64 0.18 0.23 0.17 0.96 0.33 0.17 0.86 0.72 0.54 0.97 0.80 0.51 0.86 0.61 0.43 0.52 0.79 0.16 0.23 0.62 0.41 0.42 0.14 0.19 0.82 ]
[ 0.27 0.76 0.21 0.38 0.86 1.00 0.99 0.81 0.39 0.64 0.89 0.83 0.58 0.56 0.30 0.99 0.54 0.41 0.77 0.25 0.80 0.90 0.06 0.62 0.88 0.56 0.89 1.00 0.73 0.35 0.44 0.64 0.90 0.91 0.93 0.51 0.89 0.35 0.85 0.61 0.02 0.55 0.87 0.16 0.06 0.89 0.61 0.77 0.22 0.76 0.61 0.28 0.16 0.98 0.87 0.42 0.25 0.43 0.92 0.03 0.64 0.67 0.48 0.05 0.82 0.00 0.57 0.42 0.95 0.00 ]
[ 0.16 0.29 0.30 0.71 0.41 0.14 0.62 0.00 0.46 0.26 0.72 0.90 0.30 0.47 0.46 0.28 0.83 0.68 0.93 0.48 0.63 0.35 0.18 0.90 0.23 0.36 0.55 0.73 1.00 0.61 0.99 0.32 0.00 0.40 0.18 0.91 0.18 0.23 0.72 0.21 0.96 0.41 0.63 0.15 0.90 0.53 0.61 0.91 0.91 0.27 0.38 0.29 0.69 0.77 0.70 0.05 0.34 0.72 0.09 0.50 0.43 0.89 0.73 0.66 0.46 0.64 0.93 0.87 0.30 0.98 ]
[ 0.23 0.99 0.03 0.55 0.92 1.00 0.00 0.28 0.22 0.26 0.54 0.86 0.76 0.63 0.83 0.86 0.57 0.76 0.59 0.69 0.48 0.80 0.99 0.16 0.58 0.35 0.84 0.35 0.61 1.00 0.16 0.00 0.35 0.37 0.54 0.96 0.93 0.69 0.57 0.37 0.76 0.52 0.67 0.69 0.95 0.14 0.72 0.25 0.20 0.38 0.54 0.25 0.97 0.59 0.39 0.89 0.26 0.75 0.29 0.80 0.46 0.50 0.99 0.39 0.21 0.61 0.96 0.96 0.65 0.99 ]
[ 0.89 0.25 0.39 0.98 0.39 0.50 0.09 0.94 0.96 0.63 0.46 0.50 0.91 0.06 0.89 0.66 0.32 0.16 0.78 0.69 0.90 0.63 0.48 0.81 0.32 0.87 0.94 0.44 0.99 0.16 1.00 0.35 0.04 0.84 0.90 0.97 0.18 0.23 0.48 0.27 0.22 0.48 0.99 0.54 0.67 0.82 0.38 0.80 0.63 0.67 0.87 0.38 0.67 0.62 0.93 0.16 0.87 0.42 0.64 0.59 0.29 0.87 0.72 0.24 0.15 0.54 0.43 0.88 0.38 0.39 ]
[ 0.32 0.00 0.99 0.28 0.54 0.63 0.18 0.15 0.93 0.12 0.36 0.62 0.84 0.34 0.93 0.99 0.40 0.00 0.47 0.80 0.44 0.89 0.64 0.99 0.51 0.79 0.48 0.64 0.32 0.00 0.35 1.00 0.67 0.48 0.98 0.13 0.71 0.84 0.19 0.93 0.29 0.43 0.52 0.33 0.73 0.19 0.41 0.15 0.67 0.83 0.90 0.24 0.90 0.23 0.03 0.33 0.36 0.58 0.57 0.67 0.39 0.56 0.28 0.74 0.19 0.51 0.60 0.92 0.67 0.90 ]
[ 0.45 0.41 0.73 0.72 0.95 0.86 0.47 0.66 0.22 0.17 0.23 0.36 0.72 0.35 0.86 0.51 0.89 0.46 0.04 0.85 0.90 0.93 0.83 0.55 0.85 0.84 0.25 0.90 0.00 0.35 0.04 0.67 1.00 0.89 0.44 0.32 0.42 0.77 0.35 0.99 0.82 0.47 0.86 0.57 0.78 0.28 0.88 0.16 0.99 0.22 0.97 0.38 0.88 0.38 0.46 0.38 0.05 0.28 0.36 0.99 0.86 0.57 0.19 0.67 0.76 0.35 0.88 0.98 0.73 0.72 ]
[ 0.55 0.66 0.69 0.94 0.62 0.85 0.96 0.21 0.52 0.46 0.98 0.61 0.86 0.70 0.19 0.16 0.21 0.13 0.25 0.10 0.44 0.20 0.89 0.59 0.49 0.75 0.70 0.91 0.40 0.37 0.84 0.48 0.89 1.00 0.92 0.62 0.80 0.03 0.61 0.45 0.35 0.80 0.59 0.37 0.93 0.28 0.29 0.19 0.35 0.90 0.15 0.09 0.98 0.27 0.82 0.29 0.00 0.87 0.33 0.78 0.36 0.81 0.64 0.19 0.36 0.17 0.80 0.59 0.75 0.17 ]
[ 0.69 0.32 0.43 0.14 0.52 0.70 0.86 0.48 0.67 0.48 0.93 0.99 0.97 0.65 0.31 0.37 0.93 0.45 0.79 0.17 0.94 0.54 0.92 0.68 0.81 0.19 0.89 0.93 0.18 0.54 0.90 0.98 0.44 0.92 1.00 0.43 0.53 0.04 0.32 0.47 0.89 0.94 0.68 0.88 0.19 0.96 0.93 0.22 0.50 0.59 0.36 0.02 0.62 0.92 0.79 0.19 0.64 0.41 0.85 0.34 0.21 0.25 0.59 0.73 0.28 0.95 0.48 0.37 0.30 0.19 ]
[ 0.33 0.04 0.36 0.83 0.07 0.60 0.56 0.55 0.06 0.88 0.71 0.13 0.02 0.06 0.71 0.09 0.90 0.88 0.67 0.47 0.17 0.25 0.53 0.16 0.49 0.31 0.45 0.51 0.91 0.96 0.97 0.13 0.32 0.62 0.43 1.00 0.96 0.35 0.97 0.80 0.31 0.98 0.28 0.99 0.04 0.99 0.31 0.14 0.44 0.75 0.18 0.67 0.16 0.35 0.64 0.94 0.44 0.32 0.50 0.06 0.84 0.88 0.84 0.80 0.05 0.17 0.95 0.29 0.97 0.93 ]
[ 0.85 0.37 0.06 0.47 0.88 0.62 0.95 0.33 0.96 0.24 0.50 0.97 0.72 0.37 0.45 0.95 0.25 0.24 0.98 0.20 0.94 0.40 0.00 0.20 0.21 0.89 0.71 0.89 0.18 0.93 0.18 0.71 0.42 0.80 0.53 0.96 1.00 0.95 0.47 0.94 0.96 0.99 0.76 0.50 0.22 0.27 0.77 0.97 0.79 0.64 0.31 0.56 0.86 0.78 0.42 0.88 0.61 0.30 0.85 0.57 0.29 0.23 0.36 0.00 0.45 0.90 0.33 0.44 0.88 0.72 ]
[ 0.16 0.81 0.26 0.92 0.67 0.26 0.85 0.42 0.98 0.93 0.43 0.43 0.10 0.98 0.39 0.12 0.16 0.82 0.92 0.97 0.79 0.30 0.83 0.16 0.54 0.87 0.36 0.35 0.23 0.69 0.23 0.84 0.77 0.03 0.04 0.35 0.95 1.00 0.98 0.62 0.24 0.17 0.57 0.30 0.44 0.77 0.33 0.81 0.59 0.90 0.28 0.28 0.19 0.83 0.16 0.91 0.08 0.35 0.20 0.80 0.73 0.29 0.66 0.69 0.44 0.32 0.75 0.84 0.44 0.97 ]
[ 0.88 0.82 0.89 0.76 0.44 0.75 0.19 0.51 0.31 0.78 0.98 0.44 0.71 0.41 0.53 0.39 0.73 0.98 0.73 0.50 0.88 0.67 0.16 0.86 0.55 0.36 0.88 0.85 0.72 0.57 0.48 0.19 0.35 0.61 0.32 0.97 0.47 0.98 1.00 0.57 0.55 0.59 0.33 0.40 0.28 0.16 0.89 0.52 0.87 0.26 0.52 0.96 0.99 0.48 0.57 0.99 0.29 0.17 0.34 0.95 0.94 0.75 0.45 0.79 0.38 0.13 0.01 0.06 0.72 0.68 ]
[ 0.19 0.60 0.93 0.25 0.46 0.61 0.60 0.01 0.44 0.45 0.44 0.07 0.17 0.38 0.47 0.94 0.15 0.46 0.65 0.32 0.86 0.51 0.85 0.34 0.21 0.58 0.27 0.61 0.21 0.37 0.27 0.93 0.99 0.45 0.47 0.80 0.94 0.62 0.57 1.00 0.99 0.57 0.33 0.56 0.17 0.84 0.79 0.47 0.88 0.76 0.92 0.91 0.42 0.54 0.61 0.59 0.15 0.63 0.76 0.70 0.51 0.50 0.58 0.68 0.38 0.91 0.41 0.37 0.59 0.82 ]
[ 0.46 0.94 0.29 0.18 0.33 0.97 0.97 0.88 0.24 0.88 0.63 0.05 0.60 0.76 0.17 0.64 0.92 0.42 0.25 0.42 0.66 0.44 0.50 0.18 0.40 0.78 0.00 0.02 0.96 0.76 0.22 0.29 0.82 0.35 0.89 0.31 0.96 0.24 0.55 0.99 1.00 0.03 0.75 0.72 0.92 0.12 0.55 0.00 0.86 0.57 0.51 0.90 0.73 0.52 0.47 0.35 0.04 0.93 0.91 0.61 0.25 0.70 0.79 0.40 0.75 0.16 0.91 0.51 0.93 0.75 ]
[ 0.62 0.26 0.91 0.91 0.15 0.89 0.90 0.95 0.28 0.61 0.19 0.68 0.87 0.47 0.94 0.09 0.72 0.98 0.58 0.28 0.09 0.33 0.73 0.94 0.84 0.29 0.94 0.55 0.41 0.52 0.48 0.43 0.47 0.80 0.94 0.98 0.99 0.17 0.59 0.57 0.03 1.00 0.00 0.87 0.55 0.74 0.87 0.19 0.64 0.13 0.90 0.44 0.76 0.05 0.96 0.68 0.30 0.72 0.87 0.51 0.95 0.22 0.79 0.99 0.53 0.62 0.72 0.25 0.92 0.14 ]
[ 0.44 0.68 0.81 0.73 0.22 0.81 0.71 0.60 0.31 0.94 0.18 0.45 0.33 0.47 0.55 0.12 0.04 0.66 0.96 0.36 0.24 0.36 0.32 0.30 0.53 0.53 0.73 0.87 0.63 0.67 0.99 0.52 0.86 0.59 0.68 0.28 0.76 0.57 0.33 0.33 0.75 0.00 1.00 0.25 0.24 0.07 0.55 0.78 0.34 0.47 0.41 0.52 0.83 0.22 0.99 0.96 0.09 0.52 0.38 0.30 0.18 0.91 0.89 0.64 0.75 0.14 0.51 0.51 0.08 0.87 ]
[ 0.22 0.06 0.18 0.54 0.86 0.56 0.98 0.67 0.01 0.82 0.36 0.33 0.38 0.25 0.91 0.46 0.19 0.93 0.59 0.15 0.86 0.88 0.10 0.85 0.88 0.38 0.78 0.16 0.15 0.69 0.54 0.33 0.57 0.37 0.88 0.99 0.50 0.30 0.40 0.56 0.72 0.87 0.25 1.00 0.52 0.50 0.84 0.00 0.90 0.76 0.66 0.26 0.97 0.86 0.37 0.34 0.63 0.86 0.29 0.35 0.28 0.24 0.22 1.00 0.13 0.27 0.43 0.79 0.70 0.94 ]
[ 0.24 0.50 0.23 0.30 0.66 0.00 0.40 0.26 0.35 0.43 0.35 0.48 0.97 0.67 0.62 0.31 0.86 0.71 0.52 0.73 0.49 0.90 0.68 0.30 0.57 0.01 0.64 0.06 0.90 0.95 0.67 0.73 0.78 0.93 0.19 0.04 0.22 0.44 0.28 0.17 0.92 0.55 0.24 0.52 1.00 0.24 0.60 0.54 0.85 0.39 0.42 0.91 0.74 0.61 0.80 0.95 0.86 0.46 0.35 0.80 0.90 0.96 0.77 0.62 0.01 0.26 0.53 0.81 0.21 0.29 ]
[ 0.86 0.91 0.76 0.34 0.57 0.94 0.40 0.64 1.00 0.93 0.37 0.83 0.63 0.92 0.85 0.97 0.85 0.87 0.05 0.91 0.22 0.87 0.58 0.13 0.47 0.60 0.18 0.89 0.53 0.14 0.82 0.19 0.28 0.28 0.96 0.99 0.27 0.77 0.16 0.84 0.12 0.74 0.07 0.50 0.24 1.00 0.87 0.24 0.80 0.03 0.71 0.22 0.27 0.23 0.24 0.80 0.72 0.57 0.61 0.67 0.27 0.69 0.73 0.48 0.92 0.84 0.68 0.42 0.79 0.84 ]
[ 0.35 0.66 0.17 0.59 0.03 0.66 0.39 0.54 0.90 0.05 0.40 0.38 0.87 0.35 0.74 0.96 0.50 0.53 0.62 0.92 0.25 0.48 0.90 0.25 0.55 0.39 0.23 0.61 0.61 0.72 0.38 0.41 0.88 0.29 0.93 0.31 0.77 0.33 0.89 0.79 0.55 0.87 0.55 0.84 0.60 0.87 1.00 0.89 0.29 0.15 0.47 0.90 0.44 0.27 0.72 0.86 0.67 0.80 0.70 0.97 0.59 0.63 0.00 0.84 0.83 0.93 0.54 0.87 0.94 0.80 ]
[ 0.93 0.92 0.00 0.31 0.70 0.68 0.45 0.18 0.82 0.96 0.69 0.49 0.42 0.05 0.90 0.49 0.90 0.14 0.19 0.38 0.07 0.89 0.63 0.22 0.97 0.67 0.17 0.77 0.91 0.25 0.80 0.15 0.16 0.19 0.22 0.14 0.97 0.81 0.52 0.47 0.00 0.19 0.78 0.00 0.54 0.24 0.89 1.00 0.92 0.78 0.61 0.65 0.30 0.28 0.17 0.86 0.62 0.88 0.25 0.44 0.80 0.47 0.31 0.91 0.36 0.92 0.63 0.39 0.09 0.04 ]
