[ 0.52 0.17 0.47 1.00 0.31 0.97 0.95 0.01 0.00 0.16 0.64 0.75 0.92 0.40 0.64 0.55 0.70 1.00 0.17 0.97 0.87 0.76 0.85 0.43 0.89 0.12 0.57 0.81 0.64 0.09 0.81 0.74 0.61 0.63 ]
[ 0.47 0.59 0.66 0.19 0.95 0.73 0.78 0.91 0.24 0.87 0.33 0.51 0.67 0.23 0.87 0.64 0.34 0.17 1.00 0.83 0.50 0.94 0.70 0.73 0.88 0.02 0.66 0.84 0.87 0.22 0.51 0.92 0.31 0.53 ]
[ 0.21 1.00 0.62 0.34 0.71 0.76 0.00 0.35 0.22 0.50 0.68 0.73 0.23 0.98 0.71 0.49 0.47 0.97 0.83 1.00 0.71 0.91 0.60 0.62 0.95 0.58 0.94 0.13 0.53 0.17 0.53 0.47 0.88 0.45 ]
[ 0.88 0.27 0.19 0.09 0.67 0.34 0.26 0.05 0.95 0.81 0.90 0.70 0.51 0.97 0.95 0.90 0.70 0.87 0.50 0.71 1.00 0.19 0.39 0.49 0.26 0.96 0.54 0.38 0.89 0.82 0.90 0.18 0.30 0.47 ]
[ 0.32 0.94 0.11 0.55 0.24 0.71 0.99 0.27 0.29 0.91 0.84 0.25 0.05 0.00 0.89 0.15 0.90 0.76 0.94 0.91 0.19 1.00 0.60 0.57 0.19 0.18 0.51 0.87 0.95 0.50 0.38 0.43 0.70 0.70 ]
[ 0.92 0.77 0.66 0.19 0.37 0.40 0.71 0.54 0.39 0.75 0.63 0.15 0.28 0.90 0.13 0.78 0.51 0.85 0.70 0.60 0.39 0.60 1.00 0.76 0.43 0.44 0.68 0.92 0.25 0.00 0.81 0.96 0.29 0.83 ]
[ 0.92 0.42 0.85 0.21 0.92 0.49 0.36 0.36 0.29 0.42 0.18 0.90 0.53 0.88 0.59 0.34 0.56 0.43 0.73 0.62 0.49 0.57 0.76 1.00 0.56 0.53 0.99 0.90 0.91 0.52 0.37 0.95 0.85 0.91 ]
[ 0.17 0.51 0.23 0.76 0.93 0.42 0.86 0.87 0.18 0.87 0.60 0.33 0.22 0.85 0.06 0.93 0.51 0.89 0.88 0.95 0.26 0.19 0.43 0.56 1.00 0.64 0.39 0.99 0.96 0.45 0.98 1.00 0.16 0.96 ]
[ 0.78 0.95 0.26 0.84 0.06 0.56 0.77 0.52 0.61 0.85 0.24 0.36 0.30 0.06 0.86 0.31 0.55 0.12 0.02 0.58 0.96 0.18 0.44 0.53 0.64 1.00 0.56 0.57 0.81 0.86 1.00 0.68 0.32 0.97 ]
[ 0.69 0.99 0.71 0.65 0.19 0.51 0.84 0.57 0.27 0.95 0.38 0.34 0.93 0.03 0.89 0.33 0.04 0.57 0.66 0.94 0.54 0.51 0.68 0.99 0.39 0.56 1.00 0.87 0.10 0.81 0.93 0.20 0.31 0.91 ]
[ 0.32 0.49 0.97 0.14 0.79 0.64 0.68 0.89 0.85 0.59 0.85 0.93 0.99 0.56 0.04 0.69 0.87 0.81 0.84 0.13 0.38 0.87 0.92 0.90 0.99 0.57 0.87 1.00 0.47 0.86 0.22 0.84 0.60 0.89 ]
[ 0.67 0.21 0.60 0.88 0.82 0.98 0.96 0.55 0.41 0.98 0.15 0.20 0.95 0.26 0.87 0.86 0.71 0.64 0.87 0.53 0.89 0.95 0.25 0.91 0.96 0.81 0.10 0.47 1.00 0.06 0.76 0.19 0.85 0.73 ]
[ 0.87 0.03 0.44 0.76 0.43 0.26 0.69 0.87 0.01 0.73 0.75 0.96 0.71 0.30 0.57 0.19 0.49 0.09 0.22 0.17 0.82 0.50 0.00 0.52 0.45 0.86 0.81 0.86 0.06 1.00 0.68 0.68 0.98 0.79 ]
[ 0.00 0.38 0.27 0.30 0.80 0.51 0.85 0.47 0.87 0.05 0.40 0.05 0.37 0.42 0.30 0.57 0.25 0.81 0.51 0.53 0.90 0.38 0.81 0.37 0.98 1.00 0.93 0.22 0.76 0.68 1.00 0.81 0.34 0.91 ]
[ 0.98 0.97 0.87 0.01 0.00 0.79 0.68 0.00 0.58 0.26 0.87 0.84 0.53 0.73 0.86 0.91 0.25 0.74 0.92 0.47 0.18 0.43 0.96 0.95 1.00 0.68 0.20 0.84 0.19 0.68 0.81 1.00 0.86 0.93 ]
[ 0.97 0.20 0.43 0.66 0.58 0.26 0.79 0.18 0.15 0.55 0.52 0.84 0.55 0.48 0.86 0.17 0.31 0.61 0.31 0.88 0.30 0.70 0.29 0.85 0.16 0.32 0.31 0.60 0.85 0.98 0.34 0.86 1.00 0.42 ]
[ 0.22 0.64 0.47 0.22 0.04 0.87 0.91 0.07 0.87 0.92 0.15 0.96 0.90 0.85 0.21 0.75 0.39 0.63 0.53 0.45 0.47 0.70 0.83 0.91 0.96 0.97 0.91 0.89 0.73 0.79 0.91 0.93 0.42 1.00 ]
];
