[ 0.04 0.89 0.00 0.36 0.26 0.75 0.55 0.82 0.50 0.96 1.00 0.63 0.00 0.50 0.91 0.76 0.90 0.17 0.29 0.80 0.93 0.74 0.23 0.28 0.17 0.34 0.36 0.50 0.94 0.91 0.04 0.65 0.91 0.61 0.73 0.71 0.26 0.46 0.88 0.19 0.10 0.00 0.58 0.18 0.53 0.34 0.64 0.92 0.11 0.96 0.65 0.77 0.30 0.00 0.44 0.29 0.95 0.61 ]
[ 0.24 0.84 0.17 0.75 0.94 0.22 0.13 0.34 0.60 0.25 0.63 1.00 0.25 0.63 0.66 0.61 0.72 0.86 0.41 0.65 0.99 0.12 0.07 0.99 0.23 0.93 0.95 0.91 0.42 0.27 0.31 0.63 0.49 0.85 0.81 0.97 0.84 0.59 0.96 0.91 0.60 0.57 0.23 0.86 0.87 0.59 0.21 0.44 0.20 0.06 0.02 0.98 0.68 0.56 0.00 0.89 0.78 0.82 ]
[ 0.93 0.55 0.50 0.98 0.49 0.26 1.00 0.70 0.99 0.52 0.00 0.25 1.00 0.78 0.51 0.89 0.42 0.48 0.78 0.30 0.53 0.00 0.42 0.32 0.16 0.98 0.15 0.98 0.51 0.97 0.43 0.12 0.88 0.16 0.86 0.31 0.21 0.74 0.15 0.39 0.71 0.15 0.71 0.95 0.68 0.13 0.37 0.65 0.70 0.93 0.35 0.88 0.40 0.74 0.23 0.40 0.91 0.65 ]
[ 0.60 0.46 0.42 0.80 0.81 0.61 0.00 0.57 0.95 0.35 0.50 0.63 0.78 1.00 0.30 0.53 0.99 0.25 0.19 0.68 0.94 0.62 0.21 0.32 0.76 0.71 0.33 0.77 0.50 0.78 0.16 0.64 0.97 0.24 0.11 0.66 0.28 0.28 0.33 0.96 0.92 0.23 0.62 0.45 0.57 0.77 0.68 0.93 0.00 0.61 0.25 0.03 0.66 0.94 0.76 0.65 0.54 0.87 ]
[ 0.81 0.87 0.96 0.95 0.91 0.23 0.41 0.39 0.58 0.99 0.91 0.66 0.51 0.30 1.00 0.78 0.66 0.66 0.99 0.97 0.98 0.82 0.76 0.01 0.53 0.63 0.71 0.31 0.55 0.96 0.21 0.97 0.65 0.77 0.78 0.28 0.22 0.37 0.31 0.19 0.27 0.81 0.37 0.92 0.82 0.54 0.98 0.75 0.99 0.33 0.46 0.94 0.55 0.93 0.34 0.00 0.46 0.51 ]
[ 0.23 0.43 0.33 0.93 0.22 0.30 0.69 0.98 0.03 0.98 0.76 0.61 0.89 0.53 0.78 1.00 0.94 0.79 0.59 0.86 0.18 0.08 0.38 0.78 0.65 0.96 0.79 0.68 0.76 0.35 0.94 0.66 0.47 0.66 0.70 0.68 0.28 0.92 0.94 0.95 0.96 0.53 0.99 0.38 0.58 0.02 0.43 0.48 0.93 0.82 1.00 0.87 0.16 0.62 1.00 0.76 0.63 0.35 ]
[ 0.66 0.21 0.38 0.24 0.30 0.23 0.64 0.33 0.72 0.38 0.90 0.72 0.42 0.99 0.66 0.94 1.00 0.64 0.48 0.31 0.53 0.50 0.49 0.30 0.38 0.87 0.90 0.20 0.67 0.38 0.65 0.17 0.60 0.59 0.86 0.96 0.49 0.58 0.89 0.44 0.16 0.19 0.66 0.40 0.27 0.22 0.10 0.98 0.75 0.92 0.42 0.93 0.43 0.74 0.81 0.32 0.98 0.36 ]
[ 0.75 0.88 0.63 0.74 0.69 0.68 0.68 0.36 0.75 0.66 0.17 0.86 0.48 0.25 0.66 0.79 0.64 1.00 0.44 0.18 0.39 0.47 0.89 0.40 0.98 0.86 1.00 0.23 0.62 0.01 0.31 0.08 0.93 0.60 0.52 0.54 0.73 0.77 0.40 0.32 0.17 0.48 0.00 0.94 0.50 0.91 0.70 0.62 0.89 0.50 0.86 0.71 0.16 0.97 0.88 0.90 0.22 0.76 ]
[ 0.88 0.87 0.55 0.05 0.85 0.62 0.30 0.29 0.06 0.84 0.29 0.41 0.78 0.19 0.99 0.59 0.48 0.44 1.00 0.49 0.49 0.85 0.23 0.57 0.62 0.38 0.21 0.39 0.39 0.95 0.49 0.88 0.89 0.00 0.87 0.84 0.80 0.58 0.22 0.45 0.22 0.30 0.41 0.58 0.83 0.81 0.46 0.40 0.20 0.70 0.24 0.72 0.96 0.77 0.75 0.67 0.56 0.30 ]
[ 0.00 0.76 0.87 0.69 0.44 0.55 0.66 0.56 0.31 0.65 0.80 0.65 0.30 0.68 0.97 0.86 0.31 0.18 0.49 1.00 0.56 0.30 0.97 0.63 1.00 0.52 0.67 0.89 0.22 0.79 0.07 0.96 0.23 0.90 0.44 0.62 0.39 0.53 0.18 0.91 0.34 0.20 0.04 0.76 0.91 0.88 0.94 0.33 0.40 0.91 0.01 0.68 0.82 0.55 0.53 0.18 0.98 0.97 ]
[ 0.83 0.21 0.71 0.63 0.72 0.51 0.64 0.83 0.42 0.95 0.93 0.99 0.53 0.94 0.98 0.18 0.53 0.39 0.49 0.56 1.00 0.46 0.48 0.49 0.68 0.56 0.97 0.54 0.96 0.34 0.86 0.97 0.32 0.58 0.24 0.42 0.95 0.95 0.63 0.97 0.29 0.46 0.37 0.88 0.61 0.49 0.62 0.91 0.56 0.29 0.51 0.95 0.44 0.34 0.43 0.53 0.45 0.56 ]
[ 0.90 0.44 0.86 0.17 0.38 0.23 0.20 0.42 0.66 0.70 0.74 0.12 0.00 0.62 0.82 0.08 0.50 0.47 0.85 0.30 0.46 1.00 0.85 0.96 0.30 0.41 0.52 0.72 0.11 0.97 0.56 0.44 0.68 0.22 0.67 0.68 0.59 0.00 0.59 0.62 0.38 0.60 0.92 0.86 0.27 0.42 0.59 0.98 0.58 0.66 0.89 0.93 0.15 0.39 0.84 0.14 0.81 0.52 ]
[ 0.29 0.33 0.30 0.06 0.16 0.84 0.45 0.88 0.97 0.28 0.23 0.07 0.42 0.21 0.76 0.38 0.49 0.89 0.23 0.97 0.48 0.85 1.00 0.82 0.82 0.94 0.08 0.29 0.75 0.81 0.94 0.82 0.60 0.82 0.94 0.15 0.89 0.86 0.00 0.16 0.90 0.82 0.95 0.75 0.18 0.01 0.89 0.94 0.79 0.90 0.26 0.78 0.50 0.64 0.28 0.60 0.13 0.25 ]
[ 0.52 0.89 0.29 0.49 0.43 0.97 0.69 0.00 0.20 0.37 0.28 0.99 0.32 0.32 0.01 0.78 0.30 0.40 0.57 0.63 0.49 0.96 0.82 1.00 0.70 0.95 0.62 0.47 0.83 0.33 0.94 0.70 0.97 0.44 0.52 0.56 0.97 0.88 0.72 0.31 0.40 0.91 0.57 0.81 0.80 0.07 0.69 0.36 0.79 0.77 0.73 0.87 0.64 0.05 0.64 0.23 0.46 0.20 ]
[ 0.18 0.07 0.76 0.19 0.81 0.48 0.28 0.20 0.50 0.96 0.17 0.23 0.16 0.76 0.53 0.65 0.38 0.98 0.62 1.00 0.68 0.30 0.82 0.70 1.00 0.45 0.94 0.31 0.78 0.05 0.55 0.79 0.95 0.99 0.06 0.25 0.24 0.89 0.77 0.70 0.70 1.00 0.55 0.92 0.88 0.95 0.84 0.30 0.36 0.46 0.00 0.56 0.76 0.96 0.89 0.77 0.32 0.31 ]
[ 0.39 0.00 0.27 0.26 0.85 0.96 0.43 0.95 0.36 0.59 0.34 0.93 0.98 0.71 0.63 0.96 0.87 0.86 0.38 0.52 0.56 0.41 0.94 0.95 0.45 1.00 0.95 0.87 0.59 0.70 0.98 0.57 0.62 0.99 0.48 0.70 0.99 0.92 0.82 0.92 0.91 0.98 0.25 0.30 0.72 0.25 0.05 0.29 0.92 0.42 0.62 0.34 0.63 0.74 0.17 0.74 0.19 0.53 ]
[ 0.72 0.67 0.00 0.89 0.70 0.58 0.37 0.37 0.14 0.94 0.36 0.95 0.15 0.33 0.71 0.79 0.90 1.00 0.21 0.67 0.97 0.52 0.08 0.62 0.94 0.95 1.00 0.58 0.99 0.68 0.23 0.75 0.24 0.47 0.33 0.64 0.67 0.32 0.16 0.79 0.96 0.53 0.27 0.01 0.56 0.31 0.98 0.00 0.44 0.53 0.57 0.29 0.58 0.79 0.00 0.98 0.46 0.17 ]
[ 0.84 0.51 0.30 0.23 0.19 0.80 0.73 0.38 0.43 0.58 0.50 0.91 0.98 0.77 0.31 0.68 0.20 0.23 0.39 0.89 0.54 0.72 0.29 0.47 0.31 0.87 0.58 1.00 1.00 0.68 0.69 0.38 0.46 0.49 0.72 0.17 0.93 0.95 0.77 0.97 0.74 0.16 0.45 0.16 0.32 0.50 0.37 0.48 0.03 0.32 0.98 0.51 0.93 0.37 0.38 0.80 0.65 0.47 ]
[ 0.70 0.55 0.74 0.33 0.92 0.03 0.87 0.83 0.93 0.71 0.94 0.42 0.51 0.50 0.55 0.76 0.67 0.62 0.39 0.22 0.96 0.11 0.75 0.83 0.78 0.59 0.99 1.00 1.00 0.15 0.53 0.89 0.32 0.75 0.37 0.61 0.23 0.73 0.84 0.98 0.69 0.43 0.39 0.61 0.33 0.04 0.99 0.74 0.18 0.75 0.69 0.80 0.00 0.68 0.19 0.40 0.77 0.68 ]
[ 0.61 0.76 0.92 0.95 0.87 0.81 0.39 0.44 0.81 0.20 0.91 0.27 0.97 0.78 0.96 0.35 0.38 0.01 0.95 0.79 0.34 0.97 0.81 0.33 0.05 0.70 0.68 0.68 0.15 1.00 0.76 0.89 0.87 0.00 0.99 0.43 1.00 0.00 0.12 0.31 0.66 0.91 0.59 0.94 0.74 0.93 0.21 0.48 0.85 0.89 0.52 0.05 0.20 0.68 0.55 0.31 0.21 0.69 ]
[ 0.18 0.86 0.00 0.79 0.27 0.47 0.29 0.25 0.97 0.83 0.04 0.31 0.43 0.16 0.21 0.94 0.65 0.31 0.49 0.07 0.86 0.56 0.94 0.94 0.55 0.98 0.23 0.69 0.53 0.76 1.00 0.23 0.95 0.98 0.93 0.56 0.89 0.58 0.93 0.62 0.46 0.95 0.59 0.27 0.50 0.49 0.99 0.60 0.54 0.98 0.92 0.23 0.01 0.36 0.76 0.07 0.00 0.22 ]
[ 0.50 0.79 0.20 0.05 0.41 0.76 0.66 0.41 0.83 0.35 0.65 0.63 0.12 0.64 0.97 0.66 0.17 0.08 0.88 0.96 0.97 0.44 0.82 0.70 0.79 0.57 0.75 0.38 0.89 0.89 0.23 1.00 0.38 0.62 0.12 0.62 0.76 0.65 0.73 0.40 0.61 0.17 0.12 0.64 0.59 0.76 0.41 0.91 0.89 0.77 0.15 0.26 0.74 0.42 0.21 0.94 0.93 0.02 ]
[ 0.94 0.56 0.56 0.03 0.98 0.44 0.53 0.23 0.52 0.96 0.91 0.49 0.88 0.97 0.65 0.47 0.60 0.93 0.89 0.23 0.32 0.68 0.60 0.97 0.95 0.62 0.24 0.46 0.32 0.87 0.95 0.38 1.00 0.91 0.68 0.50 0.99 0.09 0.56 0.46 0.82 0.18 0.00 0.77 0.64 0.21 0.24 0.82 0.00 0.36 0.70 0.87 0.62 0.88 0.43 0.00 0.98 0.21 ]
[ 0.78 0.54 0.17 0.55 0.09 0.91 0.61 0.18 0.48 0.55 0.61 0.85 0.16 0.24 0.77 0.66 0.59 0.60 0.00 0.90 0.58 0.22 0.82 0.44 0.99 0.99 0.47 0.49 0.75 0.00 0.98 0.62 0.91 1.00 0.35 0.09 0.29 0.64 0.67 0.23 0.09 0.00 0.11 0.18 0.87 0.98 1.00 0.22 0.24 0.29 0.58 0.17 0.58 0.92 0.20 0.17 0.14 0.69 ]
[ 0.88 0.98 0.31 0.43 0.38 0.90 0.08 0.16 0.47 0.96 0.73 0.81 0.86 0.11 0.78 0.70 0.86 0.52 0.87 0.44 0.24 0.67 0.94 0.52 0.06 0.48 0.33 0.72 0.37 0.99 0.93 0.12 0.68 0.35 1.00 0.00 0.72 0.26 0.41 0.50 0.57 0.69 0.73 0.93 0.31 0.98 0.72 0.60 0.72 0.19 0.88 0.79 0.28 0.51 0.94 0.03 0.10 0.22 ]
[ 0.44 0.00 0.58 0.28 0.42 0.08 0.99 0.97 0.34 0.80 0.71 0.97 0.31 0.66 0.28 0.68 0.96 0.54 0.84 0.62 0.42 0.68 0.15 0.56 0.25 0.70 0.64 0.17 0.61 0.43 0.56 0.62 0.50 0.09 0.00 1.00 0.88 0.96 1.00 0.14 0.38 0.81 0.00 0.20 0.11 0.88 0.86 0.07 0.66 0.70 0.09 0.73 0.53 0.28 0.86 0.05 0.68 0.55 ]
[ 0.04 0.98 0.65 0.32 0.16 0.26 0.47 0.80 0.92 0.65 0.26 0.84 0.21 0.28 0.22 0.28 0.49 0.73 0.80 0.39 0.95 0.59 0.89 0.97 0.24 0.99 0.67 0.93 0.23 1.00 0.89 0.76 0.99 0.29 0.72 0.88 1.00 0.36 1.00 0.00 0.27 0.62 0.05 0.57 0.21 0.55 0.72 0.93 0.53 0.92 0.91 0.92 0.46 0.15 0.30 0.64 0.76 0.33 ]
[ 0.16 0.56 0.19 0.71 0.18 0.86 0.03 0.90 0.85 0.26 0.46 0.59 0.74 0.28 0.37 0.92 0.58 0.77 0.58 0.53 0.95 0.00 0.86 0.88 0.89 0.92 0.32 0.95 0.73 0.00 0.58 0.65 0.09 0.64 0.26 0.96 0.36 1.00 0.61 0.87 0.74 0.65 0.20 0.15 0.36 0.37 0.38 0.91 0.16 0.13 0.42 0.58 0.78 0.46 0.96 0.35 0.00 0.15 ]
[ 0.41 0.32 0.39 0.75 0.71 0.72 0.64 0.83 0.44 0.17 0.88 0.96 0.15 0.33 0.31 0.94 0.89 0.40 0.22 0.18 0.63 0.59 0.00 0.72 0.77 0.82 0.16 0.77 0.84 0.12 0.93 0.73 0.56 0.67 0.41 1.00 1.00 0.61 1.00 0.41 0.32 0.93 0.90 0.15 0.60 0.21 0.58 0.44 0.80 0.86 0.02 0.53 0.78 0.85 0.40 0.25 0.40 0.34 ]
[ 0.02 0.25 0.36 0.17 0.40 0.29 0.47 0.54 0.17 0.02 0.19 0.91 0.39 0.96 0.19 0.95 0.44 0.32 0.45 0.91 0.97 0.62 0.16 0.31 0.70 0.92 0.79 0.97 0.98 0.31 0.62 0.40 0.46 0.23 0.50 0.14 0.00 0.87 0.41 1.00 0.80 0.96 0.19 0.58 0.26 0.72 0.96 0.00 0.97 0.45 0.41 0.52 0.78 0.44 0.34 0.97 0.85 0.63 ]
[ 0.87 0.42 0.66 0.77 0.20 0.42 0.96 0.08 0.49 0.70 0.10 0.60 0.71 0.92 0.27 0.96 0.16 0.17 0.22 0.34 0.29 0.38 0.90 0.40 0.70 0.91 0.96 0.74 0.69 0.66 0.46 0.61 0.82 0.09 0.57 0.38 0.27 0.74 0.32 0.80 1.00 0.23 0.29 0.62 0.09 0.80 0.61 0.80 0.34 0.95 0.94 0.65 0.18 0.20 0.80 0.98 0.63 0.87 ]
[ 0.34 0.97 0.68 0.33 0.74 0.95 0.73 0.22 0.99 0.35 0.00 0.57 0.15 0.23 0.81 0.53 0.19 0.48 0.30 0.20 0.46 0.60 0.82 0.91 1.00 0.98 0.53 0.16 0.43 0.91 0.95 0.17 0.18 0.00 0.69 0.81 0.62 0.65 0.93 0.96 0.23 1.00 0.68 0.87 0.56 0.97 0.71 0.38 0.17 0.98 0.51 0.94 0.57 0.41 0.67 0.87 0.31 0.38 ]
[ 0.97 0.41 0.72 0.30 0.81 0.64 0.82 0.91 0.34 0.53 0.58 0.23 0.71 0.62 0.37 0.99 0.66 0.00 0.41 0.04 0.37 0.92 0.95 0.57 0.55 0.25 0.27 0.45 0.39 0.59 0.59 0.12 0.00 0.11 0.73 0.00 0.05 0.20 0.90 0.19 0.29 0.68 1.00 0.87 0.90 0.51 0.80 0.13 0.91 0.03 0.51 0.98 0.35 0.96 0.17 0.78 0.80 0.92 ]
[ 0.14 0.45 0.23 0.35 0.25 0.69 0.20 0.61 0.36 0.93 0.18 0.86 0.95 0.45 0.92 0.38 0.40 0.94 0.58 0.76 0.88 0.86 0.75 0.81 0.92 0.30 0.01 0.16 0.61 0.94 0.27 0.64 0.77 0.18 0.93 0.20 0.57 0.15 0.15 0.58 0.62 0.87 0.87 1.00 0.23 0.65 0.89 0.94 0.53 0.47 0.91 0.31 0.44 1.00 0.59 0.90 0.03 0.98 ]
[ 0.40 0.39 0.82 0.43 0.78 0.26 0.23 0.31 0.41 0.72 0.53 0.87 0.68 0.57 0.82 0.58 0.27 0.50 0.83 0.91 0.61 0.27 0.18 0.80 0.88 0.72 0.56 0.32 0.33 0.74 0.50 0.59 0.64 0.87 0.31 0.11 0.21 0.36 0.60 0.26 0.09 0.56 0.90 0.23 1.00 0.91 0.45 0.78 0.81 0.42 0.42 0.00 0.75 0.43 0.23 0.81 0.35 0.98 ]
[ 0.99 0.61 0.41 0.43 0.88 0.89 0.93 0.78 0.13 0.17 0.34 0.59 0.13 0.77 0.54 0.02 0.22 0.91 0.81 0.88 0.49 0.42 0.01 0.07 0.95 0.25 0.31 0.50 0.04 0.93 0.49 0.76 0.21 0.98 0.98 0.88 0.55 0.37 0.21 0.72 0.80 0.97 0.51 0.65 0.91 1.00 1.00 0.32 0.40 0.56 0.74 0.55 0.17 0.91 0.25 0.55 0.03 0.52 ]
[ 0.92 0.51 0.67 0.23 0.55 0.76 0.53 0.80 0.44 0.53 0.64 0.21 0.37 0.68 0.98 0.43 0.10 0.70 0.46 0.94 0.62 0.59 0.89 0.69 0.84 0.05 0.98 0.37 0.99 0.21 0.99 0.41 0.24 1.00 0.72 0.86 0.72 0.38 0.58 0.96 0.61 0.71 0.80 0.89 0.45 1.00 1.00 0.32 0.53 0.22 0.53 0.80 0.35 0.88 0.82 0.14 0.18 0.89 ]
[ 0.92 0.68 0.73 0.90 0.47 0.27 0.29 0.87 0.97 0.86 0.92 0.44 0.65 0.93 0.75 0.48 0.98 0.62 0.40 0.33 0.91 0.98 0.94 0.36 0.30 0.29 0.00 0.48 0.74 0.48 0.60 0.91 0.82 0.22 0.60 0.07 0.93 0.91 0.44 0.00 0.80 0.38 0.13 0.94 0.78 0.32 0.32 1.00 0.52 0.96 0.44 0.19 0.30 0.44 0.98 0.28 0.55 0.88 ]
[ 0.47 0.67 0.74 0.80 0.66 0.96 0.68 0.20 0.63 0.38 0.11 0.20 0.70 0.00 0.99 0.93 0.75 0.89 0.20 0.40 0.56 0.58 0.79 0.79 0.36 0.92 0.44 0.03 0.18 0.85 0.54 0.89 0.00 0.24 0.72 0.66 0.53 0.16 0.80 0.97 0.34 0.17 0.91 0.53 0.81 0.40 0.53 0.52 1.00 0.06 0.96 0.92 0.78 0.62 0.99 0.94 0.05 0.54 ]
[ 0.30 0.07 0.56 0.71 0.37 0.41 0.75 0.31 0.79 0.18 0.96 0.06 0.93 0.61 0.33 0.82 0.92 0.50 0.70 0.91 0.29 0.66 0.90 0.77 0.46 0.42 0.53 0.32 0.75 0.89 0.98 0.77 0.36 0.29 0.19 0.70 0.92 0.13 0.86 0.45 0.95 0.98 0.03 0.47 0.42 0.56 0.22 0.96 0.06 1.00 0.84 0.95 0.93 0.13 0.78 0.74 0.38 0.47 ]
[ 0.65 0.37 0.47 0.34 0.17 0.49 0.33 0.87 0.99 0.99 0.65 0.02 0.35 0.25 0.46 1.00 0.42 0.86 0.24 0.01 0.51 0.89 0.26 0.73 0.00 0.62 0.57 0.98 0.69 0.52 0.92 0.15 0.70 0.58 0.88 0.09 0.91 0.42 0.02 0.41 0.94 0.51 0.51 0.91 0.42 0.74 0.53 0.44 0.96 0.84 1.00 0.94 0.67 0.91 0.64 0.94 0.79 0.39 ]
[ 0.97 0.41 0.91 0.43 0.29 0.83 0.55 0.18 0.83 0.92 0.77 0.98 0.88 0.03 0.94 0.87 0.93 0.71 0.72 0.68 0.95 0.93 0.78 0.87 0.56 0.34 0.29 0.51 0.80 0.05 0.23 0.26 0.87 0.17 0.79 0.73 0.92 0.58 0.53 0.52 0.65 0.94 0.98 0.31 0.00 0.55 0.80 0.19 0.92 0.95 0.94 1.00 0.00 0.38 0.82 0.12 0.94 0.40 ]
[ 0.91 0.82 0.59 0.30 0.45 0.50 0.73 0.97 0.29 0.62 0.30 0.68 0.40 0.66 0.55 0.16 0.43 0.16 0.96 0.82 0.44 0.15 0.50 0.64 0.76 0.63 0.58 0.93 0.00 0.20 0.01 0.74 0.62 0.58 0.28 0.53 0.46 0.78 0.78 0.78 0.18 0.57 0.35 0.44 0.75 0.17 0.35 0.30 0.78 0.93 0.67 0.00 1.00 0.40 0.91 0.14 0.30 0.88 ]
[ 0.49 0.51 0.81 0.88 0.19 0.12 0.09 0.76 0.11 0.52 0.00 0.56 0.74 0.94 0.93 0.62 0.74 0.97 0.77 0.55 0.34 0.39 0.64 0.05 0.96 0.74 0.79 0.37 0.68 0.68 0.36 0.42 0.88 0.92 0.51 0.28 0.15 0.46 0.85 0.44 0.20 0.41 0.96 1.00 0.43 0.91 0.88 0.44 0.62 0.13 0.91 0.38 0.40 1.00 0.28 0.45 0.31 0.42 ]
[ 0.90 0.97 0.96 0.93 0.64 0.82 0.67 0.53 0.20 0.20 0.44 0.00 0.23 0.76 0.34 1.00 0.81 0.88 0.75 0.53 0.43 0.84 0.28 0.64 0.89 0.17 0.00 0.38 0.19 0.55 0.76 0.21 0.43 0.20 0.94 0.86 0.30 0.96 0.40 0.34 0.80 0.67 0.17 0.59 0.23 0.25 0.82 0.98 0.99 0.78 0.64 0.82 0.91 0.28 1.00 0.86 0.06 0.87 ]
[ 0.28 0.66 0.52 0.83 0.99 0.94 0.43 0.71 0.93 0.49 0.29 0.89 0.40 0.65 0.00 0.76 0.32 0.90 0.67 0.18 0.53 0.14 0.60 0.23 0.77 0.74 0.98 0.80 0.40 0.31 0.07 0.94 0.00 0.17 0.03 0.05 0.64 0.35 0.25 0.97 0.98 0.87 0.78 0.90 0.81 0.55 0.14 0.28 0.94 0.74 0.94 0.12 0.14 0.45 0.86 1.00 0.24 0.73 ]
[ 0.26 0.04 0.44 0.44 0.68 0.77 0.78 0.62 0.21 0.48 0.95 0.78 0.91 0.54 0.46 0.63 0.98 0.22 0.56 0.98 0.45 0.81 0.13 0.46 0.32 0.19 0.46 0.65 0.77 0.21 0.00 0.93 0.98 0.14 0.10 0.68 0.76 0.00 0.40 0.85 0.63 0.31 0.80 0.03 0.35 0.03 0.18 0.55 0.05 0.38 0.79 0.94 0.30 0.31 0.06 0.24 1.00 0.91 ]
[ 0.43 0.02 0.90 0.52 0.09 0.40 0.47 0.79 0.84 0.89 0.61 0.82 0.65 0.87 0.51 0.35 0.36 0.76 0.30 0.97 0.56 0.52 0.25 0.20 0.31 0.53 0.17 0.47 0.68 0.69 0.22 0.02 0.21 0.69 0.22 0.55 0.33 0.15 0.34 0.63 0.87 0.38 0.92 0.98 0.98 0.52 0.89 0.88 0.54 0.47 0.39 0.40 0.88 0.42 0.87 0.73 0.91 1.00 ]
];
