[ 0.18 0.00 0.91 0.96 0.89 0.28 0.42 0.45 0.88 0.26 1.00 0.00 0.95 0.40 0.93 0.95 0.83 0.36 0.86 0.75 0.86 0.52 0.86 0.32 0.37 0.75 0.27 0.36 0.27 0.21 0.38 0.43 0.09 0.38 0.37 0.48 0.37 0.96 0.90 0.40 0.26 1.00 0.22 0.24 0.81 0.99 0.84 0.94 0.18 0.89 0.21 0.96 0.69 0.97 0.52 0.63 0.40 0.84 0.15 0.64 0.39 0.29 0.83 0.99 0.62 0.91 1.00 0.26 0.95 0.97 0.86 0.75 0.28 0.76 1.00 0.20 0.30 0.61 0.18 0.29 0.72 0.92 ]
[ 0.77 0.18 0.18 0.50 0.22 0.66 0.67 0.90 0.74 0.99 0.00 1.00 0.64 0.54 0.54 0.53 0.76 0.01 0.89 0.30 0.49 0.93 0.54 0.77 0.69 0.90 0.61 0.91 0.43 0.65 0.38 0.55 0.61 0.34 0.53 0.22 0.69 0.66 0.71 0.99 0.65 0.27 0.16 0.66 0.51 0.40 0.65 0.18 0.55 0.33 0.71 0.25 0.83 0.78 0.50 0.40 0.01 0.55 0.00 0.37 0.58 0.13 0.48 0.93 0.91 0.86 0.58 0.59 0.44 0.22 0.84 0.54 0.16 0.69 0.27 0.94 0.74 0.89 0.90 0.00 0.10 0.32 ]
[ 0.32 0.00 0.33 0.60 0.82 0.85 0.77 0.19 0.20 0.48 0.95 0.64 1.00 0.29 0.70 0.22 0.92 0.33 0.75 0.46 0.88 0.23 0.88 0.24 0.25 0.83 0.57 0.92 0.97 0.93 0.01 0.75 0.99 0.84 0.55 0.64 0.15 0.22 0.65 0.73 0.62 0.00 0.34 0.32 0.04 0.60 0.15 0.64 0.28 0.52 0.42 0.61 0.81 0.35 0.88 0.99 0.28 0.72 0.28 0.93 0.00 0.29 0.84 1.00 0.60 0.20 0.03 0.89 0.83 0.60 0.81 0.16 0.38 0.72 0.99 0.39 0.98 0.61 0.16 0.43 0.45 0.34 ]
[ 0.99 0.49 0.96 0.31 0.90 0.92 0.00 0.86 0.65 0.82 0.40 0.54 0.29 1.00 0.50 0.99 0.89 0.93 0.68 0.31 0.05 0.75 0.00 0.30 0.97 0.36 0.12 0.86 0.40 0.65 0.19 0.00 0.52 0.52 0.70 0.61 0.40 0.86 0.31 0.45 0.72 0.87 0.82 0.53 0.92 0.87 0.25 0.39 0.80 0.69 0.00 0.44 0.50 0.70 0.58 0.25 0.00 0.38 0.20 0.67 0.95 0.65 0.59 0.88 0.93 0.74 0.72 0.96 0.50 0.90 0.96 0.90 0.64 0.00 0.96 0.55 0.63 0.22 0.91 0.64 0.50 0.88 ]
[ 0.17 0.52 0.15 0.31 0.93 0.50 0.94 0.46 0.47 0.40 0.93 0.54 0.70 0.50 1.00 0.58 0.52 0.65 0.48 0.05 0.35 0.04 0.91 0.83 0.45 0.65 0.26 0.49 0.07 0.61 0.70 0.81 0.06 0.82 0.56 0.49 0.75 0.98 0.12 0.88 0.48 0.67 0.15 0.50 0.88 0.88 0.45 0.90 0.97 0.69 0.94 0.34 0.16 0.95 0.81 0.17 0.64 0.19 0.84 0.88 0.64 0.27 0.58 0.85 0.66 0.98 0.16 0.65 0.89 0.74 0.29 0.58 0.59 0.58 0.31 0.70 0.35 0.20 0.45 0.39 0.74 0.92 ]
[ 0.57 0.21 0.75 0.91 0.30 0.59 0.37 0.00 0.32 0.74 0.95 0.53 0.22 0.99 0.58 1.00 0.38 0.77 0.53 0.70 0.56 0.94 0.20 0.97 0.20 0.32 0.55 0.04 0.42 0.26 0.71 0.20 0.69 0.96 0.63 0.18 0.98 0.92 0.79 0.00 0.15 0.51 0.52 0.09 0.88 0.95 0.15 0.50 0.18 0.75 0.26 0.42 0.89 0.80 1.00 0.92 0.88 0.36 0.72 0.34 0.22 0.07 0.30 0.32 0.44 0.57 0.92 0.85 0.01 0.76 0.28 1.00 0.38 0.25 0.27 0.25 0.39 0.42 0.53 0.73 0.96 0.52 ]
[ 0.64 0.33 0.12 0.76 0.57 0.00 0.28 0.92 0.39 0.24 0.83 0.76 0.92 0.89 0.52 0.38 1.00 0.44 0.74 0.47 0.47 0.86 0.19 0.64 0.52 0.57 0.26 0.34 0.50 0.28 0.11 0.68 0.21 0.97 0.94 0.61 0.14 0.08 0.87 0.28 0.22 0.05 0.11 0.72 0.91 0.00 0.87 0.37 0.85 0.34 0.22 0.58 0.50 0.95 0.47 0.63 0.16 0.06 0.28 0.22 0.41 0.83 0.86 0.84 0.68 0.15 0.71 0.18 0.82 0.70 0.10 0.50 0.99 0.82 0.78 0.52 0.88 0.72 0.70 0.33 0.86 0.43 ]
[ 0.84 0.72 0.99 0.87 0.35 0.55 0.30 1.00 0.93 0.00 0.36 0.01 0.33 0.93 0.65 0.77 0.44 1.00 0.98 0.87 0.27 0.88 0.42 0.50 0.60 0.44 0.51 0.97 0.92 0.13 0.45 0.12 0.43 0.37 0.95 0.86 0.40 0.61 0.19 0.18 0.94 0.33 0.91 0.00 0.76 0.10 0.03 0.99 0.31 0.82 0.69 0.56 0.68 0.89 0.82 0.53 0.16 0.99 0.45 0.81 0.96 0.45 0.49 0.53 0.48 0.29 0.78 0.72 0.63 0.26 0.47 0.90 0.64 0.58 0.31 0.45 0.29 0.98 0.88 0.91 0.79 0.77 ]
[ 0.80 0.99 0.97 0.46 0.83 0.24 0.99 0.02 0.33 0.30 0.86 0.89 0.75 0.68 0.48 0.53 0.74 0.98 1.00 0.42 0.48 0.97 0.96 0.37 0.96 0.04 0.25 0.77 0.45 0.45 0.68 0.65 0.35 0.96 0.46 0.98 0.30 0.53 0.98 0.99 0.76 0.81 0.60 0.94 0.78 0.40 0.09 0.72 0.65 0.01 0.65 0.86 0.58 0.76 0.48 0.02 0.15 0.40 0.77 0.96 0.82 0.46 0.26 0.50 0.73 0.16 0.52 0.92 0.64 0.62 0.87 0.51 0.77 0.72 0.71 0.54 0.57 0.90 0.32 0.58 0.06 0.58 ]
[ 0.79 0.93 0.59 0.30 0.80 0.85 0.25 0.06 1.00 0.42 0.75 0.30 0.46 0.31 0.05 0.70 0.47 0.87 0.42 1.00 0.66 0.22 0.91 0.57 0.56 0.68 0.15 0.32 0.86 0.93 0.70 0.45 0.11 0.23 0.95 0.20 0.72 0.73 0.82 0.13 0.93 0.85 0.26 0.35 0.20 0.99 0.65 0.13 0.43 0.00 0.20 0.59 0.52 0.90 0.96 0.58 0.34 0.38 0.41 0.86 0.95 0.53 0.57 0.45 0.90 0.56 0.27 0.98 0.17 0.48 0.77 0.22 0.36 0.81 0.18 0.04 0.79 0.33 0.96 0.54 0.24 0.44 ]
[ 0.20 0.90 0.90 0.94 0.25 0.38 0.47 0.65 0.36 0.43 0.86 0.49 0.88 0.05 0.35 0.56 0.47 0.27 0.48 0.66 1.00 0.40 0.85 0.45 0.26 0.55 0.92 0.63 0.52 0.46 0.46 0.60 0.76 0.42 0.43 0.55 0.97 0.86 0.36 0.89 0.74 0.96 0.64 0.97 0.24 0.01 0.55 0.89 0.19 0.77 0.87 0.89 0.41 0.67 0.76 0.25 0.13 0.19 0.33 0.70 0.86 0.82 0.52 0.19 0.75 0.17 0.42 0.82 0.61 0.92 0.66 0.89 0.45 0.24 0.23 0.21 0.68 0.96 0.34 0.76 0.97 0.87 ]
[ 0.97 0.35 0.17 0.71 0.69 0.15 0.00 0.41 0.57 0.66 0.52 0.93 0.23 0.75 0.04 0.94 0.86 0.88 0.97 0.22 0.40 1.00 0.29 0.80 0.71 0.00 0.52 0.94 0.06 0.04 0.18 0.27 0.99 0.83 0.08 0.21 0.94 0.70 0.29 0.61 0.10 0.07 0.83 0.38 0.84 0.91 0.66 0.32 0.97 0.76 0.15 0.82 0.82 0.36 0.59 0.30 0.84 0.52 0.96 0.37 0.44 0.96 0.38 0.12 0.88 0.46 0.60 0.68 0.24 0.69 0.17 0.20 0.60 0.84 0.47 0.86 0.17 0.16 0.71 0.49 0.50 0.27 ]
[ 0.30 0.55 0.72 0.48 0.73 0.74 0.17 0.19 0.39 0.69 0.86 0.54 0.88 0.00 0.91 0.20 0.19 0.42 0.96 0.91 0.85 0.29 1.00 0.90 0.11 0.15 0.30 0.92 0.19 0.77 0.50 0.38 0.30 0.42 0.65 0.01 0.26 0.24 0.63 0.34 0.79 0.80 0.05 0.44 0.54 0.43 0.94 0.58 0.00 1.00 0.12 0.23 0.38 0.23 0.39 0.81 0.92 0.96 0.00 0.24 0.76 0.38 0.96 0.84 0.71 0.39 0.76 1.00 0.75 0.84 0.84 0.92 0.86 0.48 0.28 0.63 0.35 0.05 0.82 0.06 0.43 0.58 ]
[ 1.00 0.17 0.36 0.22 0.07 0.78 0.52 0.88 0.25 0.81 0.32 0.77 0.24 0.30 0.83 0.97 0.64 0.50 0.37 0.57 0.45 0.80 0.90 1.00 0.89 0.87 0.31 0.58 0.95 0.84 0.66 0.40 0.18 0.83 0.18 0.90 0.58 0.96 0.46 0.89 0.82 0.70 0.93 0.43 0.47 0.99 0.97 0.23 0.90 0.03 0.91 0.39 0.89 0.85 0.47 0.42 0.63 0.57 0.55 0.43 0.42 0.88 0.55 0.20 0.45 0.30 0.97 0.97 0.62 0.96 0.86 0.93 0.37 0.83 0.24 0.99 0.62 0.66 0.49 0.23 0.20 0.66 ]
[ 0.77 0.93 0.00 0.00 0.61 0.89 0.20 0.95 0.36 0.38 0.37 0.69 0.25 0.97 0.45 0.20 0.52 0.60 0.96 0.56 0.26 0.71 0.11 0.89 1.00 0.78 0.80 0.39 0.64 0.73 0.28 0.41 0.17 0.52 0.85 0.21 0.92 0.53 0.92 0.76 0.49 0.67 0.39 0.00 0.17 0.80 0.96 0.95 0.23 0.42 0.27 0.25 0.85 0.47 0.29 0.47 0.08 0.87 0.55 0.19 0.68 0.77 0.19 0.38 0.95 0.31 0.90 0.68 0.21 0.80 0.36 0.95 0.58 0.73 0.21 0.97 0.13 0.36 0.88 0.22 0.39 0.65 ]
[ 0.87 0.87 0.38 0.30 0.48 0.33 0.02 0.57 0.90 0.72 0.75 0.90 0.83 0.36 0.65 0.32 0.57 0.44 0.04 0.68 0.55 0.00 0.15 0.87 0.78 1.00 0.64 0.85 0.95 0.19 0.36 0.74 0.56 0.87 0.53 0.50 0.56 0.90 0.92 0.00 0.97 0.41 0.48 0.46 0.53 0.37 0.10 0.41 0.59 0.00 0.89 0.09 0.85 0.94 0.84 0.00 0.60 0.56 0.34 0.76 0.37 0.20 0.81 0.62 0.90 0.05 0.58 0.94 0.82 0.85 0.72 0.87 0.78 0.49 0.70 0.76 0.00 0.14 0.66 0.43 0.85 0.91 ]
[ 0.07 0.35 0.56 0.19 0.37 0.57 0.26 0.78 0.45 0.37 0.27 0.61 0.57 0.12 0.26 0.55 0.26 0.51 0.25 0.15 0.92 0.52 0.30 0.31 0.80 0.64 1.00 0.38 0.60 0.37 0.69 0.35 0.68 0.67 0.89 0.34 0.97 0.42 0.22 0.44 0.87 0.30 0.45 0.80 0.04 0.08 0.76 0.76 0.56 0.23 0.93 0.46 0.68 0.19 0.99 0.90 0.98 0.60 0.86 0.42 0.71 0.42 0.69 0.37 0.98 0.28 0.72 0.67 0.92 0.91 0.89 0.46 0.90 0.49 0.61 0.67 0.97 0.25 0.42 0.99 0.98 0.64 ]
[ 0.81 0.46 0.19 0.97 0.58 0.49 0.83 0.96 0.97 0.25 0.36 0.91 0.92 0.86 0.49 0.04 0.34 0.97 0.77 0.32 0.63 0.94 0.92 0.58 0.39 0.85 0.38 1.00 0.96 0.89 0.89 0.54 0.45 0.95 0.22 0.23 0.17 0.30 0.15 0.43 0.71 0.00 0.62 0.39 0.88 0.59 0.16 0.81 0.65 0.30 0.18 0.08 0.43 0.85 0.41 0.95 0.27 0.06 0.91 0.31 0.49 0.84 0.25 0.17 0.77 0.36 0.58 0.96 0.32 0.33 0.24 0.90 0.98 0.27 0.47 0.77 0.31 0.47 0.71 0.31 0.11 0.58 ]
[ 0.73 0.68 0.45 0.87 0.83 0.51 0.81 0.57 0.31 0.88 0.27 0.43 0.97 0.40 0.07 0.42 0.50 0.92 0.45 0.86 0.52 0.06 0.19 0.95 0.64 0.95 0.60 0.96 1.00 0.41 0.40 0.23 0.04 0.50 0.54 0.39 0.59 0.23 0.67 0.42 0.65 0.63 0.98 0.48 0.96 0.98 0.47 0.96 0.88 0.37 0.55 0.92 0.46 0.65 0.14 0.43 0.37 0.94 0.49 0.63 0.99 0.90 0.50 0.21 0.89 0.48 0.18 0.85 0.54 0.63 0.98 0.26 0.87 0.40 0.74 0.76 0.57 0.02 0.32 0.72 0.59 0.38 ]
[ 0.46 0.92 0.24 0.19 0.41 0.32 0.58 0.74 0.51 0.17 0.21 0.65 0.93 0.65 0.61 0.26 0.28 0.13 0.45 0.93 0.46 0.04 0.77 0.84 0.73 0.19 0.37 0.89 0.41 1.00 0.32 0.27 0.87 0.89 0.81 0.25 0.88 0.96 0.93 0.72 0.73 0.33 0.28 0.93 0.00 0.98 0.94 0.60 0.39 0.95 0.47 0.46 0.37 0.38 0.50 0.28 0.69 0.78 0.38 0.91 0.36 0.58 0.50 0.89 0.69 0.25 0.17 0.71 0.93 0.66 0.19 0.61 0.18 0.95 0.51 0.50 0.05 0.11 0.91 0.61 0.98 0.41 ]
[ 0.55 0.41 0.67 0.33 0.83 0.51 0.97 0.77 0.97 0.70 0.38 0.38 0.01 0.19 0.70 0.71 0.11 0.45 0.68 0.70 0.46 0.18 0.50 0.66 0.28 0.36 0.69 0.89 0.40 0.32 1.00 0.91 0.34 0.00 0.00 0.80 0.78 0.28 0.25 0.90 0.78 0.07 0.79 0.00 0.25 0.92 0.00 0.72 0.98 0.31 0.34 0.96 0.23 0.00 0.19 0.60 0.23 0.27 0.67 0.69 0.91 0.48 0.81 0.60 0.74 0.87 0.78 0.90 0.92 0.90 0.22 0.76 0.50 0.97 0.02 0.17 0.48 0.40 0.92 0.00 0.89 0.92 ]
[ 0.88 0.88 0.07 0.94 0.47 0.93 0.37 0.82 0.89 0.53 0.43 0.55 0.75 0.00 0.81 0.20 0.68 0.12 0.65 0.45 0.60 0.27 0.38 0.40 0.41 0.74 0.35 0.54 0.23 0.27 0.91 1.00 0.53 0.33 0.88 0.91 0.15 0.94 0.73 0.16 0.72 0.21 0.86 0.11 0.18 0.70 0.39 0.33 0.15 0.81 0.44 1.00 0.10 0.59 0.33 0.53 0.30 0.45 0.31 0.67 0.74 0.57 0.68 0.20 0.40 0.84 0.38 0.28 0.93 0.47 0.46 0.78 0.95 0.79 0.92 0.25 0.88 0.92 0.56 0.63 0.52 0.65 ]
[ 0.65 0.41 0.00 0.17 0.35 0.52 0.76 0.37 0.96 0.35 0.09 0.61 0.99 0.52 0.06 0.69 0.21 0.43 0.35 0.11 0.76 0.99 0.30 0.18 0.17 0.56 0.68 0.45 0.04 0.87 0.34 0.53 1.00 0.10 0.74 0.65 0.85 0.89 0.71 0.30 0.97 0.91 0.80 0.63 0.50 0.79 0.31 0.76 0.05 0.74 0.63 0.92 0.65 0.55 0.95 0.32 0.46 0.46 0.28 0.68 0.43 0.76 0.25 0.94 0.32 0.57 0.84 0.58 0.71 0.30 0.84 0.84 0.21 0.97 0.54 0.82 0.00 0.73 0.41 0.27 0.72 0.44 ]
[ 0.91 0.46 0.35 0.34 0.65 0.25 0.51 0.35 0.21 0.27 0.38 0.34 0.84 0.52 0.82 0.96 0.97 0.37 0.96 0.23 0.42 0.83 0.42 0.83 0.52 0.87 0.67 0.95 0.50 0.89 0.00 0.33 0.10 1.00 0.55 0.40 0.34 0.49 0.53 0.66 0.17 0.67 0.66 0.89 0.52 0.35 0.60 0.64 0.18 0.28 0.57 0.76 0.23 0.58 0.36 0.57 0.93 0.59 0.60 0.80 0.81 0.01 0.95 0.17 0.77 0.38 0.97 0.39 0.93 0.52 0.36 0.29 0.92 0.18 0.63 0.34 0.29 0.88 0.20 0.57 0.92 0.92 ]
[ 0.47 0.81 0.14 0.49 0.27 0.54 0.53 0.75 0.33 0.68 0.37 0.53 0.55 0.70 0.56 0.63 0.94 0.95 0.46 0.95 0.43 0.08 0.65 0.18 0.85 0.53 0.89 0.22 0.54 0.81 0.00 0.88 0.74 0.55 1.00 0.25 0.21 0.67 0.56 0.96 0.98 0.56 0.38 0.76 0.78 0.80 0.99 0.90 0.82 0.49 0.82 0.03 0.05 0.60 0.82 0.95 0.57 0.11 0.55 0.52 0.60 0.54 0.47 0.24 0.59 0.72 0.89 0.09 0.79 0.51 0.59 0.63 0.92 0.87 0.82 0.52 0.24 0.28 0.00 0.37 0.00 0.80 ]
[ 0.54 0.30 0.18 0.52 0.31 0.52 0.21 0.52 0.34 0.65 0.48 0.22 0.64 0.61 0.49 0.18 0.61 0.86 0.98 0.20 0.55 0.21 0.01 0.90 0.21 0.50 0.34 0.23 0.39 0.25 0.80 0.91 0.65 0.40 0.25 1.00 0.28 0.12 0.69 0.86 0.94 0.50 0.99 0.63 0.19 0.67 0.89 0.95 0.47 0.66 0.89 0.33 0.74 0.31 0.97 0.13 0.14 0.96 0.43 0.99 0.86 0.19 0.53 0.64 0.43 0.47 0.21 0.20 0.97 0.53 0.94 1.00 0.74 0.06 0.86 0.64 0.15 0.91 0.50 0.54 0.93 0.53 ]
[ 0.60 0.00 0.89 0.44 0.45 0.24 0.56 0.40 0.65 0.85 0.37 0.69 0.15 0.40 0.75 0.98 0.14 0.40 0.30 0.72 0.97 0.94 0.26 0.58 0.92 0.56 0.97 0.17 0.59 0.88 0.78 0.15 0.85 0.34 0.21 0.28 1.00 0.66 0.52 0.79 0.21 0.51 0.17 0.67 0.94 0.68 0.80 0.19 0.37 0.42 0.46 0.76 0.93 0.57 0.22 0.23 0.85 0.32 1.00 0.92 0.72 0.77 0.85 0.86 0.50 0.27 0.90 0.80 0.59 0.76 0.18 0.79 0.58 0.22 0.87 0.03 0.72 0.65 0.85 0.23 0.29 0.48 ]
[ 0.41 0.88 0.73 0.83 0.77 0.29 0.06 0.98 0.71 0.14 0.96 0.66 0.22 0.86 0.98 0.92 0.08 0.61 0.53 0.73 0.86 0.70 0.24 0.96 0.53 0.90 0.42 0.30 0.23 0.96 0.28 0.94 0.89 0.49 0.67 0.12 0.66 1.00 0.38 0.41 0.79 0.95 0.88 0.16 0.68 0.92 0.62 0.78 0.66 0.36 0.00 0.44 0.94 0.96 0.16 0.07 0.20 0.00 0.17 0.89 0.70 0.87 0.80 0.77 0.37 0.00 0.57 0.72 0.10 0.11 0.49 0.55 0.95 0.62 0.63 0.57 0.42 0.75 0.08 0.50 0.84 0.71 ]
[ 0.66 0.18 0.27 0.71 0.47 0.17 0.43 0.62 1.00 0.47 0.90 0.71 0.65 0.31 0.12 0.79 0.87 0.19 0.98 0.82 0.36 0.29 0.63 0.46 0.92 0.92 0.22 0.15 0.67 0.93 0.25 0.73 0.71 0.53 0.56 0.69 0.52 0.38 1.00 0.07 0.57 0.85 0.55 0.85 0.46 0.71 0.19 0.96 0.29 0.33 0.67 0.67 0.87 0.06 0.38 0.54 0.16 0.88 0.01 0.96 1.00 0.94 0.85 0.10 0.46 0.33 0.66 0.45 0.11 0.73 0.95 0.83 0.14 0.33 0.47 0.92 0.51 0.48 0.41 0.11 0.87 0.84 ]
[ 0.24 0.98 0.64 0.63 0.35 0.50 0.37 0.38 0.47 0.35 0.40 0.99 0.73 0.45 0.88 0.00 0.28 0.18 0.99 0.13 0.89 0.61 0.34 0.89 0.76 0.00 0.44 0.43 0.42 0.72 0.90 0.16 0.30 0.66 0.96 0.86 0.79 0.41 0.07 1.00 0.99 0.96 0.29 0.96 0.79 0.52 0.98 0.71 0.00 0.33 0.34 0.89 0.61 0.49 0.53 0.46 0.91 0.00 0.20 0.09 0.99 0.92 0.41 0.31 0.96 0.45 0.89 0.72 0.42 0.53 0.97 0.89 0.41 0.04 0.30 0.88 0.43 0.56 0.86 0.99 0.72 0.39 ]
[ 0.87 0.80 0.24 0.76 0.95 0.93 0.00 0.51 0.41 0.85 0.26 0.65 0.62 0.72 0.48 0.15 0.22 0.94 0.76 0.93 0.74 0.10 0.79 0.82 0.49 0.97 0.87 0.71 0.65 0.73 0.78 0.72 0.97 0.17 0.98 0.94 0.21 0.79 0.57 0.99 1.00 0.23 0.24 0.43 0.40 0.61 0.39 0.00 0.56 0.16 0.64 0.00 0.43 0.09 0.53 0.35 0.82 0.45 0.97 0.55 0.31 0.91 0.00 0.66 0.00 0.05 0.06 0.21 0.57 0.36 0.15 0.71 0.03 0.78 0.72 0.29 0.99 0.90 0.90 0.16 0.89 0.94 ]
