[ 0.60 0.94 0.55 0.60 0.20 0.29 0.88 0.98 0.79 0.84 1.00 0.93 0.51 0.70 0.35 0.18 0.71 0.25 0.89 0.26 0.84 0.47 0.13 0.85 0.53 0.37 0.71 0.92 0.52 0.89 0.00 0.37 0.64 0.74 0.50 0.29 0.66 0.83 0.72 0.56 0.31 0.47 0.79 0.95 0.12 0.50 0.72 0.00 0.51 0.26 0.54 0.96 0.60 0.17 0.08 0.70 0.81 0.87 0.73 0.73 0.32 0.54 0.53 0.26 0.45 0.94 0.88 0.19 0.22 0.20 0.97 0.38 0.69 0.79 0.79 0.62 0.49 0.85 0.94 0.22 0.48 0.85 0.23 0.53 ]
[ 0.53 0.91 0.92 0.04 0.89 0.69 0.94 0.74 0.76 0.98 0.93 1.00 0.87 0.98 0.49 0.64 0.62 0.76 0.41 0.96 0.67 0.13 0.78 0.05 0.65 0.19 0.42 0.17 0.88 0.47 0.20 0.83 0.97 0.38 0.40 0.00 0.72 0.07 0.78 0.21 0.23 0.45 0.67 0.16 0.39 0.95 0.60 0.87 0.48 0.56 0.93 0.99 0.52 0.20 0.26 0.18 0.35 0.69 0.14 0.84 0.33 0.62 0.89 0.05 0.00 0.79 0.74 0.52 0.18 0.89 0.19 0.93 0.10 0.86 0.78 0.64 0.02 0.98 0.61 0.38 0.99 0.16 0.96 0.85 ]
[ 0.92 0.46 0.30 0.85 0.29 0.01 0.97 0.67 0.99 0.71 0.51 0.87 1.00 0.45 0.89 0.63 0.72 0.69 0.86 0.69 0.98 0.26 0.14 0.40 0.31 0.92 0.24 0.00 0.24 0.30 0.39 0.20 0.51 0.99 0.93 0.29 0.07 0.92 1.00 0.50 0.00 0.72 0.96 0.84 0.20 0.67 0.43 0.54 0.82 0.48 0.53 0.09 0.51 0.39 0.62 0.25 0.25 0.95 0.78 0.46 0.00 0.28 0.00 0.59 0.57 0.00 0.99 0.87 0.43 0.30 0.36 0.41 0.70 0.91 0.44 0.86 0.35 0.86 0.67 0.11 0.89 0.91 0.35 0.68 ]
[ 0.82 0.41 0.54 0.66 0.01 0.01 0.69 0.13 0.66 0.22 0.70 0.98 0.45 1.00 0.27 0.45 0.74 0.79 0.00 0.37 0.67 0.86 0.79 0.59 0.52 0.43 0.93 0.34 0.91 0.93 0.82 0.53 0.37 0.38 0.95 0.84 0.89 0.84 0.75 0.98 0.79 0.33 0.00 0.51 0.72 0.66 0.34 0.92 0.93 0.16 0.47 0.47 0.14 0.97 0.91 0.83 0.40 0.00 0.72 0.53 0.06 0.68 0.87 0.73 0.49 0.12 0.21 0.43 0.45 0.11 0.90 0.52 0.55 0.23 0.06 0.00 0.97 0.88 0.94 0.84 0.60 0.31 0.64 0.84 ]
[ 0.90 0.19 0.58 0.70 0.39 0.52 0.71 0.93 0.61 0.60 0.35 0.49 0.89 0.27 1.00 0.87 0.42 0.89 0.89 0.26 0.92 0.91 1.00 0.56 0.05 0.37 0.56 0.82 0.00 0.60 0.52 0.64 0.95 0.64 0.61 0.43 0.49 0.18 0.79 0.25 0.56 0.91 0.80 0.76 0.76 0.04 0.71 0.75 0.43 0.95 0.09 0.65 0.18 0.61 0.84 0.17 0.24 0.50 0.67 0.71 0.13 0.17 0.22 0.25 0.47 0.54 0.81 0.25 0.18 0.80 0.94 0.57 0.41 0.69 0.48 0.67 0.95 0.19 0.61 0.34 0.18 0.26 0.23 0.14 ]
[ 0.73 0.69 0.23 0.42 0.54 0.87 0.45 0.67 0.49 0.16 0.18 0.64 0.63 0.45 0.87 1.00 0.22 0.88 0.75 0.44 0.98 0.39 0.96 0.65 0.74 0.88 0.83 0.58 0.36 0.15 0.20 0.55 0.75 0.75 0.53 0.80 0.46 0.70 0.41 0.94 0.34 0.65 0.36 0.34 0.01 0.17 0.31 0.39 0.41 0.71 0.92 0.05 0.16 0.24 0.58 0.94 0.56 0.87 0.60 0.51 0.61 0.14 0.87 0.83 0.47 0.46 0.50 0.75 0.99 0.77 0.67 0.06 0.71 0.31 0.81 0.27 0.04 0.49 0.38 0.83 0.32 0.66 0.88 0.33 ]
[ 0.94 0.61 0.93 0.95 0.68 0.06 0.73 0.00 0.29 0.60 0.71 0.62 0.72 0.74 0.42 0.22 1.00 0.55 0.61 0.59 0.60 0.94 0.13 0.58 0.26 0.24 0.40 0.23 0.33 0.00 1.00 0.81 0.40 0.24 0.96 0.24 0.86 0.44 0.45 0.55 0.87 0.57 0.74 0.79 0.36 0.99 0.41 0.74 0.79 0.31 0.43 0.44 0.79 0.46 0.72 0.72 0.00 0.44 0.05 0.60 0.69 0.44 0.35 0.77 0.27 0.89 0.34 0.88 0.51 0.88 0.75 0.62 0.11 0.53 0.53 0.57 0.23 0.90 0.35 0.91 0.22 0.89 0.89 0.24 ]
[ 0.06 0.99 0.59 0.66 0.50 0.21 0.36 0.26 0.93 0.46 0.25 0.76 0.69 0.79 0.89 0.88 0.55 1.00 0.52 0.59 0.53 0.28 0.42 0.05 0.80 0.32 0.15 0.45 0.74 0.64 0.51 0.37 0.45 0.08 0.68 0.38 0.92 0.55 0.33 0.70 0.98 0.00 0.97 0.61 0.48 0.70 0.85 0.96 0.88 0.90 0.99 0.92 0.15 0.97 0.32 0.61 0.56 0.61 0.37 0.50 0.97 0.30 0.17 0.59 0.87 0.90 0.50 0.39 0.97 0.91 0.77 0.07 0.66 0.98 0.44 0.98 0.64 0.86 0.85 0.81 0.62 0.89 0.86 0.63 ]
[ 0.86 0.31 0.90 0.86 0.62 0.89 0.45 0.76 0.13 0.74 0.89 0.41 0.86 0.00 0.89 0.75 0.61 0.52 1.00 0.69 0.75 0.21 0.24 0.45 0.75 0.06 0.86 0.68 0.75 0.74 0.82 0.19 0.10 0.74 0.82 0.45 0.34 0.02 0.00 0.08 0.28 0.74 0.50 0.60 0.73 0.49 0.06 0.62 0.96 0.07 0.68 0.51 0.90 0.64 0.91 0.28 0.95 0.47 0.15 0.97 0.52 0.46 0.38 0.53 0.00 0.00 0.61 0.60 0.48 0.99 0.20 0.44 0.77 0.21 0.46 0.78 0.96 0.65 0.55 0.88 0.66 0.67 0.05 0.59 ]
[ 0.96 0.65 0.79 0.57 0.60 0.19 0.59 0.47 0.99 0.40 0.26 0.96 0.69 0.37 0.26 0.44 0.59 0.59 0.69 1.00 0.21 0.85 0.11 0.97 0.98 0.66 0.86 0.93 0.76 0.91 0.21 0.86 0.71 0.30 0.27 0.76 0.42 0.43 0.34 0.71 0.86 0.43 0.88 0.79 0.88 0.47 0.82 0.23 0.89 0.76 0.26 0.63 0.58 0.63 0.33 0.16 0.17 0.46 0.00 0.90 0.94 0.10 0.10 0.15 0.07 0.89 0.48 0.56 0.61 0.96 0.99 0.55 0.31 0.63 0.05 0.95 0.67 0.73 0.93 0.74 0.26 0.76 0.28 0.60 ]
[ 0.70 0.56 0.99 0.67 0.74 0.39 0.00 0.41 0.52 0.76 0.84 0.67 0.98 0.67 0.92 0.98 0.60 0.53 0.75 0.21 1.00 0.23 0.91 0.53 0.34 0.82 0.88 0.84 0.33 0.02 0.87 0.99 0.58 0.23 0.65 0.80 0.87 0.95 0.86 0.51 0.85 0.35 0.70 1.00 0.85 0.25 0.70 0.25 0.26 0.98 0.54 0.30 0.74 0.33 0.24 0.33 0.88 0.36 0.73 0.19 0.45 0.84 0.89 0.57 0.43 0.89 0.35 0.62 0.91 0.86 0.63 0.62 0.75 0.80 0.89 0.51 0.28 0.78 0.95 0.78 1.00 0.84 0.64 0.43 ]
[ 0.41 0.61 0.88 0.18 0.17 0.17 0.69 0.86 0.50 0.81 0.47 0.13 0.26 0.86 0.91 0.39 0.94 0.28 0.21 0.85 0.23 1.00 0.94 0.62 0.69 0.27 0.37 0.37 0.21 0.35 0.00 0.28 0.99 0.59 0.62 0.15 0.93 0.90 0.88 0.90 0.09 0.61 0.83 0.52 0.73 0.75 0.63 0.73 0.96 0.60 0.35 0.90 0.34 0.48 0.93 0.83 0.46 0.00 0.06 0.74 0.88 0.13 0.13 0.87 0.58 0.26 0.98 0.41 0.19 0.25 0.56 0.52 0.91 1.00 0.52 0.70 0.86 0.19 0.50 0.47 0.69 0.25 0.91 0.90 ]
[ 0.26 0.18 0.97 0.19 0.24 0.63 0.25 0.46 0.31 0.72 0.13 0.78 0.14 0.79 1.00 0.96 0.13 0.42 0.24 0.11 0.91 0.94 1.00 0.56 0.16 0.44 0.74 0.95 0.55 0.63 0.83 1.00 0.62 0.29 0.57 0.66 0.58 0.04 0.56 0.45 0.16 0.24 0.94 0.64 0.18 0.53 0.24 0.17 0.15 0.99 0.88 0.90 0.70 0.70 0.92 1.00 0.18 0.39 0.14 0.74 0.45 1.00 0.99 0.40 0.32 0.51 0.99 0.36 0.50 0.21 0.89 0.47 0.87 0.00 0.86 0.72 0.33 0.17 0.22 0.27 0.35 0.00 0.67 0.42 ]
[ 0.91 0.57 0.31 0.93 0.34 0.47 0.50 0.69 0.35 0.07 0.85 0.05 0.40 0.59 0.56 0.65 0.58 0.05 0.45 0.97 0.53 0.62 0.56 1.00 0.21 0.24 0.75 0.31 0.67 0.87 0.47 0.51 0.28 0.93 0.72 0.26 0.98 0.38 0.84 0.61 0.58 0.89 0.29 0.12 0.75 0.60 0.72 0.12 0.98 0.83 0.80 0.49 0.11 0.42 0.52 0.97 0.73 0.00 0.16 0.06 0.41 0.56 0.86 0.93 0.59 0.18 0.71 0.12 0.81 0.83 0.26 0.92 0.74 0.78 0.86 0.97 0.55 0.87 0.26 0.96 0.51 0.22 0.82 0.98 ]
[ 0.50 0.98 0.97 0.25 0.19 0.91 0.82 0.30 0.52 0.91 0.53 0.65 0.31 0.52 0.05 0.74 0.26 0.80 0.75 0.98 0.34 0.69 0.16 0.21 1.00 0.93 0.94 0.77 0.99 0.59 0.94 0.26 0.87 0.74 0.41 0.80 0.70 0.75 0.67 0.70 0.64 0.50 1.00 0.90 0.24 0.97 0.95 0.27 0.95 0.02 0.16 0.25 0.47 0.64 0.97 0.74 0.70 0.71 0.66 0.64 0.02 0.57 0.47 0.60 0.70 0.27 0.70 0.94 0.37 0.46 0.70 0.09 0.59 0.39 0.55 0.31 0.53 0.52 0.57 0.00 0.42 0.36 0.65 0.71 ]
[ 0.54 0.73 0.96 0.87 0.66 0.90 0.21 0.69 0.43 0.85 0.37 0.19 0.92 0.43 0.37 0.88 0.24 0.32 0.06 0.66 0.82 0.27 0.44 0.24 0.93 1.00 0.80 0.91 0.77 0.61 0.37 0.72 0.61 0.00 0.41 0.66 0.43 0.21 0.00 0.00 0.99 0.46 0.63 0.97 0.43 0.69 0.26 0.25 0.68 0.74 0.88 0.42 0.60 0.26 0.46 0.84 0.14 0.86 0.70 0.64 0.52 0.89 0.08 0.62 0.29 0.84 0.67 0.92 0.22 0.93 0.70 0.98 0.82 0.37 0.97 0.79 0.50 0.85 0.93 0.42 0.26 0.00 0.79 0.93 ]
[ 0.00 0.83 0.24 0.83 0.00 0.99 0.46 0.85 0.53 0.64 0.71 0.42 0.24 0.93 0.56 0.83 0.40 0.15 0.86 0.86 0.88 0.37 0.74 0.75 0.94 0.80 1.00 0.75 0.98 0.99 0.36 0.90 0.99 0.16 1.00 0.92 0.37 0.64 0.99 0.87 0.54 0.20 0.38 0.33 0.37 0.55 0.75 0.98 1.00 0.71 0.88 0.01 0.74 0.46 0.89 0.02 0.00 0.27 0.81 0.88 0.44 0.64 0.31 0.98 0.55 0.74 0.77 0.94 0.84 0.72 0.62 0.76 0.15 0.41 0.24 0.21 0.78 0.54 0.91 0.27 0.25 0.92 0.02 0.43 ]
[ 0.22 0.30 0.24 0.34 0.99 0.75 0.72 0.96 0.17 0.54 0.92 0.17 0.00 0.34 0.82 0.58 0.23 0.45 0.68 0.93 0.84 0.37 0.95 0.31 0.77 0.91 0.75 1.00 0.00 0.88 0.30 0.69 0.94 0.86 0.81 0.95 0.49 0.17 0.72 0.70 0.57 0.34 0.81 0.86 0.80 0.84 0.76 0.72 0.55 0.86 0.45 0.84 0.87 0.52 0.48 0.64 0.87 0.96 0.90 0.87 0.18 0.92 0.78 0.43 0.87 0.84 0.02 0.48 0.84 0.27 0.00 0.13 0.91 0.89 0.29 0.58 0.18 0.80 0.95 0.90 0.36 0.21 0.79 0.38 ]
[ 0.99 0.55 0.01 1.00 0.97 0.46 0.95 0.90 0.83 0.35 0.52 0.88 0.24 0.91 0.00 0.36 0.33 0.74 0.75 0.76 0.33 0.21 0.55 0.67 0.99 0.77 0.98 0.00 1.00 0.18 0.00 0.07 0.03 0.18 0.33 0.31 0.02 0.36 0.60 0.92 0.58 0.00 0.44 0.85 0.68 0.49 0.60 0.35 0.00 0.38 0.53 0.33 0.83 0.00 0.97 0.41 0.46 0.99 0.43 0.56 0.91 0.30 0.54 0.07 0.18 0.26 0.38 0.38 0.83 0.32 0.80 0.87 0.57 0.82 0.96 0.96 0.46 0.36 0.84 0.74 0.93 0.22 0.16 0.15 ]
[ 0.95 0.45 0.54 0.49 0.88 0.81 0.79 0.65 0.99 0.90 0.89 0.47 0.30 0.93 0.60 0.15 0.00 0.64 0.74 0.91 0.02 0.35 0.63 0.87 0.59 0.61 0.99 0.88 0.18 1.00 0.96 0.97 0.76 0.17 0.16 0.48 0.53 0.73 0.26 0.84 0.78 0.88 0.97 0.37 0.65 0.73 0.55 0.87 0.54 0.79 0.25 0.36 0.94 0.95 0.89 0.79 0.49 0.57 0.40 0.26 0.89 0.08 0.57 0.89 0.69 0.66 0.56 0.94 0.25 0.82 0.78 0.54 0.14 0.64 0.86 0.40 0.74 0.27 0.49 0.57 0.60 0.02 0.90 0.91 ]
[ 0.97 0.19 0.83 0.37 0.63 0.30 0.18 0.84 0.62 0.60 0.00 0.20 0.39 0.82 0.52 0.20 1.00 0.51 0.82 0.21 0.87 0.00 0.83 0.47 0.94 0.37 0.36 0.30 0.00 0.96 1.00 0.84 0.77 0.31 0.34 0.57 0.48 0.73 0.17 0.63 0.02 0.60 0.06 0.86 0.51 0.37 0.98 0.36 0.88 0.28 0.65 0.44 0.07 0.85 0.79 0.64 0.76 0.67 0.58 0.98 0.26 0.19 0.92 0.96 0.13 0.87 0.64 0.70 0.97 0.62 0.49 0.66 0.65 0.95 0.32 0.47 0.67 0.43 0.76 0.79 0.86 0.40 0.55 0.82 ]
[ 0.86 0.86 0.32 0.48 0.70 0.37 0.59 0.32 0.76 0.61 0.37 0.83 0.20 0.53 0.64 0.55 0.81 0.37 0.19 0.86 0.99 0.28 1.00 0.51 0.26 0.72 0.90 0.69 0.07 0.97 0.84 1.00 0.99 0.19 0.85 0.69 0.32 0.00 1.00 0.77 0.15 0.81 0.46 0.59 0.99 0.89 0.24 0.98 0.13 0.92 0.62 0.55 0.61 0.44 0.21 0.90 0.57 0.83 0.25 0.54 0.57 0.51 0.22 0.97 0.32 0.74 0.47 0.73 0.16 0.67 0.53 0.29 0.39 0.28 0.69 0.52 0.58 0.21 0.91 0.95 0.87 0.93 0.82 0.63 ]
[ 0.76 0.97 0.36 0.30 0.86 0.92 0.64 0.86 0.78 0.71 0.64 0.97 0.51 0.37 0.95 0.75 0.40 0.45 0.10 0.71 0.58 0.99 0.62 0.28 0.87 0.61 0.99 0.94 0.03 0.76 0.77 0.99 1.00 0.09 0.20 0.50 0.37 0.92 0.38 0.33 0.57 0.79 0.56 0.54 1.00 0.97 0.31 0.80 0.68 0.39 0.65 0.23 0.62 0.93 0.97 0.98 0.95 0.86 0.87 0.93 0.90 0.94 0.88 0.07 0.02 0.68 0.94 0.75 0.91 0.89 0.29 0.58 0.82 0.87 0.39 0.88 0.21 0.28 0.39 0.28 0.44 0.34 0.12 0.37 ]
[ 0.14 0.28 0.37 0.96 0.92 0.75 0.46 0.87 0.47 0.17 0.74 0.38 0.99 0.38 0.64 0.75 0.24 0.08 0.74 0.30 0.23 0.59 0.29 0.93 0.74 0.00 0.16 0.86 0.18 0.17 0.31 0.19 0.09 1.00 0.52 0.48 0.00 0.86 0.67 0.69 0.87 0.84 0.55 0.15 0.24 0.16 0.85 0.75 0.69 0.90 0.51 0.07 0.96 0.75 0.40 0.36 0.22 0.04 0.20 0.50 0.74 0.70 0.48 0.98 0.58 0.89 0.88 0.41 0.37 0.44 0.13 0.26 1.00 0.60 0.63 0.89 0.10 0.06 0.63 0.41 0.50 0.91 0.41 0.94 ]
[ 0.54 0.37 0.92 0.19 0.93 0.92 0.95 0.31 0.86 0.48 0.50 0.40 0.93 0.95 0.61 0.53 0.96 0.68 0.82 0.27 0.65 0.62 0.57 0.72 0.41 0.41 1.00 0.81 0.33 0.16 0.34 0.85 0.20 0.52 1.00 0.00 0.18 0.78 0.52 0.68 0.93 0.95 0.21 0.35 0.53 0.97 0.70 0.37 0.53 0.12 0.59 0.00 0.63 0.34 0.41 0.29 0.60 0.83 0.87 0.55 0.95 0.00 0.50 0.28 0.28 0.72 0.20 0.07 0.87 0.66 0.63 0.11 0.50 0.84 0.13 0.90 0.12 0.29 0.23 0.87 0.24 0.35 0.06 0.61 ]
[ 0.95 0.01 0.42 0.18 0.66 0.54 0.70 0.87 0.75 0.39 0.29 0.00 0.29 0.84 0.43 0.80 0.24 0.38 0.45 0.76 0.80 0.15 0.66 0.26 0.80 0.66 0.92 0.95 0.31 0.48 0.57 0.69 0.50 0.48 0.00 1.00 0.20 0.22 0.31 0.69 0.95 0.93 0.78 0.10 0.28 0.18 0.89 0.09 0.24 0.56 0.60 0.86 0.58 0.48 0.16 0.56 0.16 0.29 0.99 0.60 0.68 0.44 0.77 0.91 0.77 0.53 0.33 0.32 0.69 0.66 0.82 0.92 0.43 0.78 0.53 0.92 0.32 0.90 0.75 0.25 0.69 0.89 0.35 0.79 ]
[ 0.95 0.73 0.76 0.02 0.97 0.10 0.91 0.26 0.65 0.13 0.66 0.72 0.07 0.89 0.49 0.46 0.86 0.92 0.34 0.42 0.87 0.93 0.58 0.98 0.70 0.43 0.37 0.49 0.02 0.53 0.48 0.32 0.37 0.00 0.18 0.20 1.00 0.32 0.74 0.82 0.88 0.99 0.95 0.59 0.12 1.00 0.15 0.00 0.25 0.95 0.76 0.87 0.58 0.94 0.15 0.29 0.85 0.32 0.00 0.66 0.39 0.58 0.59 0.25 0.68 0.27 0.56 0.63 0.48 0.58 0.75 0.14 0.47 0.42 0.64 0.00 0.18 0.77 0.04 0.92 0.33 0.99 0.71 0.93 ]
[ 0.58 0.39 0.29 0.43 0.74 0.73 0.31 0.65 0.51 0.88 0.83 0.07 0.92 0.84 0.18 0.70 0.44 0.55 0.02 0.43 0.95 0.90 0.04 0.38 0.75 0.21 0.64 0.17 0.36 0.73 0.73 0.00 0.92 0.86 0.78 0.22 0.32 1.00 0.33 0.91 0.31 0.00 0.41 0.91 0.74 0.75 0.25 0.16 0.64 0.84 0.70 0.06 0.85 0.87 0.91 0.26 0.11 0.37 0.89 0.76 0.97 0.33 0.03 0.47 0.71 0.90 0.95 0.29 0.98 0.44 0.98 0.64 0.55 0.96 0.65 1.00 0.37 0.48 0.93 0.43 0.91 0.98 0.47 0.95 ]
[ 0.97 0.68 0.64 0.25 0.51 0.35 0.39 0.71 0.21 0.79 0.72 0.78 1.00 0.75 0.79 0.41 0.45 0.33 0.00 0.34 0.86 0.88 0.56 0.84 0.67 0.00 0.99 0.72 0.60 0.26 0.17 1.00 0.38 0.67 0.52 0.31 0.74 0.33 1.00 0.91 0.94 0.61 0.98 0.90 0.86 0.88 0.55 0.36 0.18 0.83 0.22 0.03 0.40 0.19 0.83 0.21 0.68 0.80 0.83 0.89 0.37 0.87 0.15 0.99 0.31 0.49 0.32 0.37 0.36 0.57 0.75 0.98 0.45 0.89 0.20 0.47 1.00 0.89 0.00 0.03 0.04 0.92 0.42 0.99 ]
[ 0.34 0.85 0.86 0.84 0.30 0.67 0.79 0.77 0.43 0.95 0.56 0.21 0.50 0.98 0.25 0.94 0.55 0.70 0.08 0.71 0.51 0.90 0.45 0.61 0.70 0.00 0.87 0.70 0.92 0.84 0.63 0.77 0.33 0.69 0.68 0.69 0.82 0.91 0.91 1.00 0.46 0.56 0.25 0.94 0.64 0.84 0.47 0.93 0.47 0.87 0.24 0.92 0.51 0.99 0.86 0.76 0.25 0.04 0.67 0.17 0.03 0.53 0.08 0.51 0.88 0.91 0.17 0.66 0.96 0.45 0.93 0.41 0.70 0.83 0.91 1.00 0.16 0.89 0.59 0.92 0.49 0.88 0.63 0.19 ]
