[ 1.00 0.40 0.38 0.80 0.90 0.14 0.58 0.52 0.62 0.97 1.00 0.91 0.82 0.51 0.36 0.90 0.04 0.89 0.61 0.52 0.86 0.05 0.80 0.56 0.48 0.48 0.80 0.54 0.35 0.70 0.59 0.89 0.89 0.97 0.85 0.82 0.00 0.34 0.36 0.52 0.80 0.97 0.27 0.20 0.99 0.74 0.69 0.71 0.89 0.52 0.40 0.25 0.32 0.91 0.76 0.75 0.88 0.37 0.36 0.42 0.93 ]
[ 0.26 0.24 0.89 0.76 0.16 0.04 0.00 0.56 0.99 0.34 0.91 1.00 0.70 0.29 0.15 0.80 0.95 0.43 0.67 0.88 0.29 0.20 0.98 0.63 0.09 0.94 0.31 0.28 0.44 0.57 0.75 0.99 0.72 0.36 0.85 0.64 0.57 0.89 0.16 0.62 0.79 0.54 0.40 0.87 0.87 0.29 0.89 0.93 0.50 0.62 0.37 0.64 0.87 0.91 0.76 0.67 0.38 0.99 0.17 0.92 0.75 ]
[ 0.54 0.00 0.00 0.98 0.85 0.48 0.65 0.83 0.48 0.87 0.82 0.70 1.00 0.27 0.71 0.32 0.92 0.71 0.35 0.66 0.45 0.94 0.30 0.21 0.58 0.89 0.23 0.97 0.91 0.23 0.10 0.92 0.34 0.81 0.97 0.84 0.97 0.51 0.00 0.57 0.50 0.72 0.66 0.81 0.13 0.71 0.56 0.93 0.46 0.62 0.58 0.00 0.72 0.55 0.26 0.79 0.99 0.52 0.33 0.17 0.82 ]
[ 0.29 0.73 0.66 0.72 0.49 0.69 0.08 0.74 0.63 0.93 0.51 0.29 0.27 1.00 0.96 0.08 0.56 0.41 0.82 0.86 0.05 0.46 0.28 0.42 0.37 0.59 0.91 0.99 0.98 0.91 0.98 0.51 0.34 0.99 0.04 0.08 0.73 0.54 0.55 0.23 0.34 0.96 0.60 0.26 0.51 0.20 0.55 0.78 0.48 0.20 0.70 0.39 0.94 0.59 0.74 0.17 0.92 0.72 0.91 0.57 0.54 ]
[ 0.16 0.85 0.90 0.93 0.07 0.66 0.20 0.74 0.70 0.31 0.36 0.15 0.71 0.96 1.00 0.90 0.32 0.82 0.86 0.46 0.59 0.49 0.95 0.90 0.75 0.60 0.25 0.92 0.45 0.49 0.67 0.23 0.22 0.96 0.87 0.86 0.80 0.00 0.58 0.89 0.51 0.69 0.97 0.90 0.95 0.74 0.26 0.68 0.97 0.13 0.99 0.85 0.80 0.95 0.88 0.62 0.58 0.94 0.95 0.69 0.38 ]
[ 0.68 0.87 0.36 0.44 0.88 0.91 0.69 0.80 0.37 0.08 0.90 0.80 0.32 0.08 0.90 1.00 0.80 0.05 0.60 0.51 0.01 0.51 0.25 0.57 0.84 0.66 0.50 0.86 0.96 0.83 0.18 0.00 1.00 0.07 0.45 0.27 0.58 0.46 0.70 0.04 0.77 0.37 0.54 0.94 0.44 0.57 0.44 0.23 0.63 0.01 0.87 0.86 0.98 0.46 0.44 0.88 0.69 0.73 0.27 0.82 0.73 ]
[ 0.67 1.00 0.77 0.81 0.40 0.65 0.92 0.34 0.08 0.44 0.04 0.95 0.92 0.56 0.32 0.80 1.00 0.93 0.46 0.95 0.31 0.34 0.81 0.25 0.13 0.92 0.37 0.53 0.28 0.44 0.73 0.99 0.79 0.80 0.87 0.92 0.89 0.96 0.86 0.17 0.92 0.88 0.87 0.73 0.23 0.61 0.94 0.58 0.21 0.00 0.29 0.41 0.06 0.89 0.32 0.61 0.52 0.42 0.32 0.02 0.04 ]
[ 0.86 0.72 0.59 0.62 0.87 0.84 0.57 0.77 0.70 0.49 0.89 0.43 0.71 0.41 0.82 0.05 0.93 1.00 0.00 0.88 0.97 0.51 0.90 0.86 0.97 0.76 0.75 0.25 0.26 0.49 0.96 0.51 0.77 0.21 0.00 0.89 0.21 0.68 0.92 0.19 0.78 0.72 0.52 0.14 0.48 0.82 0.00 0.33 0.58 0.80 0.56 0.23 0.90 0.60 0.15 0.96 0.42 0.96 0.13 0.43 0.83 ]
[ 0.03 0.96 0.49 0.31 0.04 0.71 0.86 0.88 0.96 0.97 0.61 0.67 0.35 0.82 0.86 0.60 0.46 0.00 1.00 0.86 0.20 0.72 0.60 0.53 0.82 0.79 0.51 0.86 0.34 0.45 0.37 0.56 0.74 0.92 0.90 0.97 0.77 0.20 0.40 0.69 0.35 0.57 0.32 0.37 0.47 0.28 0.78 0.81 0.68 0.54 0.84 0.92 0.82 0.00 0.37 0.88 0.07 0.31 0.24 0.56 0.39 ]
[ 0.93 0.42 0.68 0.36 0.93 0.18 1.00 0.30 0.49 0.54 0.52 0.88 0.66 0.86 0.46 0.51 0.95 0.88 0.86 1.00 0.72 0.32 0.19 0.00 0.49 0.91 0.14 0.40 0.48 0.28 0.99 0.24 0.19 0.83 0.84 0.36 0.45 0.55 0.48 0.40 0.23 0.00 0.16 0.12 0.27 0.21 0.52 0.82 0.82 0.05 0.38 0.00 0.95 0.59 0.91 0.69 0.20 0.51 0.79 0.35 0.91 ]
[ 0.44 0.37 0.83 0.60 0.61 0.31 0.53 0.35 0.72 0.98 0.86 0.29 0.45 0.05 0.59 0.01 0.31 0.97 0.20 0.72 1.00 0.13 0.00 0.69 0.96 0.08 0.60 0.85 0.50 0.92 0.69 0.50 0.00 0.42 0.26 0.32 0.22 0.35 0.73 0.67 0.43 0.51 0.23 0.93 0.98 0.92 0.95 0.20 0.64 0.88 0.96 0.35 0.20 0.12 0.04 0.78 0.19 0.24 0.68 0.25 0.53 ]
[ 0.29 0.00 0.95 0.18 0.31 0.50 0.29 0.54 0.07 0.28 0.05 0.20 0.94 0.46 0.49 0.51 0.34 0.51 0.72 0.32 0.13 1.00 0.29 0.60 0.43 0.67 0.28 0.86 0.90 0.19 0.86 0.68 0.80 0.90 0.85 0.64 0.65 0.67 0.46 0.28 0.66 0.46 0.46 0.43 0.60 0.84 0.67 0.94 0.93 0.66 0.18 0.64 0.62 0.95 0.98 0.82 0.71 0.50 0.79 0.17 0.40 ]
[ 0.26 0.53 0.97 0.43 0.61 0.56 0.28 0.84 0.66 0.40 0.80 0.98 0.30 0.28 0.95 0.25 0.81 0.90 0.60 0.19 0.00 0.29 1.00 0.88 0.68 0.97 0.70 0.98 0.81 0.94 0.17 0.66 0.23 0.46 0.22 0.25 0.73 0.55 0.88 0.89 0.60 0.00 0.91 0.87 0.52 0.97 0.67 0.98 0.29 0.19 0.00 0.84 0.61 0.91 0.84 0.17 0.51 0.39 0.21 0.78 0.46 ]
[ 0.82 0.77 0.63 0.68 0.43 0.99 0.20 0.96 0.61 0.22 0.56 0.63 0.21 0.42 0.90 0.57 0.25 0.86 0.53 0.00 0.69 0.60 0.88 1.00 0.27 0.41 0.45 0.46 0.17 0.59 0.97 0.72 0.51 0.97 0.86 0.29 0.86 0.39 0.94 0.55 0.39 0.18 0.99 0.12 0.17 1.00 0.63 0.16 0.57 0.66 0.86 0.87 0.88 0.86 0.30 0.09 0.57 0.39 0.87 0.49 0.51 ]
[ 0.45 0.79 0.48 0.93 0.38 0.33 0.53 0.58 0.92 0.97 0.48 0.09 0.58 0.37 0.75 0.84 0.13 0.97 0.82 0.49 0.96 0.43 0.68 0.27 1.00 0.15 0.89 0.91 0.12 0.52 0.18 0.83 0.19 0.86 0.64 0.73 0.90 0.73 0.36 0.61 0.97 0.00 0.59 0.98 0.52 0.33 0.85 0.73 0.89 0.90 0.94 0.34 0.90 0.46 0.45 0.47 0.67 0.88 0.77 0.97 0.47 ]
[ 0.60 0.97 0.32 0.30 0.33 0.20 0.14 0.67 0.42 0.94 0.48 0.94 0.89 0.59 0.60 0.66 0.92 0.76 0.79 0.91 0.08 0.67 0.97 0.41 0.15 1.00 0.83 0.00 0.71 0.93 0.98 0.90 0.96 0.43 0.96 0.34 0.93 0.53 0.63 0.76 0.63 0.30 0.32 0.14 0.88 0.96 0.99 0.02 0.37 0.54 0.09 0.73 0.36 0.86 0.34 0.96 0.32 0.62 0.61 0.52 0.86 ]
[ 0.31 0.32 0.30 0.48 0.53 0.26 0.80 0.74 1.00 0.62 0.80 0.31 0.23 0.91 0.25 0.50 0.37 0.75 0.51 0.14 0.60 0.28 0.70 0.45 0.89 0.83 1.00 1.00 0.38 0.96 0.61 0.61 0.23 0.90 0.75 0.00 0.24 0.26 0.60 0.67 0.70 0.61 0.47 0.60 0.34 0.88 0.06 0.55 0.60 0.15 0.79 0.92 0.75 0.23 0.69 0.59 0.88 0.32 0.32 0.28 0.60 ]
[ 0.66 0.39 0.98 0.83 0.75 0.27 0.44 0.31 0.38 0.65 0.54 0.28 0.97 0.99 0.92 0.86 0.53 0.25 0.86 0.40 0.85 0.86 0.98 0.46 0.91 0.00 1.00 1.00 0.44 0.81 0.95 0.19 0.95 0.25 0.15 0.69 0.50 0.84 0.23 0.45 0.00 0.62 0.01 0.13 0.94 0.47 0.57 0.94 0.63 0.46 0.94 0.09 0.81 0.63 0.89 0.51 0.00 0.27 0.13 0.63 0.81 ]
[ 0.14 0.88 0.55 0.78 0.72 0.12 0.18 0.76 0.10 0.91 0.35 0.44 0.91 0.98 0.45 0.96 0.28 0.26 0.34 0.48 0.50 0.90 0.81 0.17 0.12 0.71 0.38 0.44 1.00 0.75 0.88 0.87 0.55 0.81 0.38 1.00 0.38 0.96 0.90 0.99 0.92 0.67 0.46 0.96 0.17 0.78 0.50 0.00 0.21 0.63 0.23 0.46 0.06 0.77 0.76 0.96 0.83 0.53 0.33 0.86 0.85 ]
[ 0.52 0.29 0.72 0.16 0.76 0.67 0.38 0.83 0.27 0.46 0.70 0.57 0.23 0.91 0.49 0.83 0.44 0.49 0.45 0.28 0.92 0.19 0.94 0.59 0.52 0.93 0.96 0.81 0.75 1.00 0.93 0.88 0.83 0.90 0.67 0.66 0.59 0.65 0.82 0.86 0.91 0.93 0.40 0.99 0.43 0.23 0.27 0.51 0.09 0.72 0.40 0.50 0.63 0.51 0.72 0.37 0.94 0.87 0.55 0.41 0.00 ]
[ 0.27 0.71 0.26 0.38 0.86 0.61 0.93 0.88 0.41 0.56 0.59 0.75 0.10 0.98 0.67 0.18 0.73 0.96 0.37 0.99 0.69 0.86 0.17 0.97 0.18 0.98 0.61 0.95 0.88 0.93 1.00 0.79 0.70 0.90 0.37 0.63 0.63 0.61 0.43 0.85 0.96 0.44 0.87 0.36 0.94 0.63 0.26 0.72 0.85 0.36 0.34 0.15 0.27 0.37 0.97 0.71 0.94 0.79 0.97 0.47 0.98 ]
[ 0.57 0.66 0.55 0.39 0.32 0.98 0.09 0.61 0.32 0.96 0.89 0.99 0.92 0.51 0.23 0.00 0.99 0.51 0.56 0.24 0.50 0.68 0.66 0.72 0.83 0.90 0.61 0.19 0.87 0.88 0.79 1.00 0.01 0.67 0.83 0.15 0.22 0.33 0.89 0.68 0.85 0.76 0.26 0.16 0.33 0.34 0.30 0.98 0.27 0.23 0.40 0.91 0.43 0.55 0.22 0.29 0.80 0.79 0.55 0.25 0.66 ]
[ 0.29 1.00 0.51 0.88 0.22 0.60 0.59 0.38 0.62 0.96 0.89 0.72 0.34 0.34 0.22 1.00 0.79 0.77 0.74 0.19 0.00 0.80 0.23 0.51 0.19 0.96 0.23 0.95 0.55 0.83 0.70 0.01 1.00 0.93 0.93 0.29 0.84 0.00 0.39 0.89 0.73 0.42 0.16 0.62 0.60 0.17 0.89 0.98 0.63 0.60 0.72 0.12 0.16 0.00 0.40 0.95 0.91 0.54 0.55 0.93 0.14 ]
[ 0.44 0.55 0.16 0.52 0.71 0.64 0.31 0.24 0.99 0.80 0.97 0.36 0.81 0.99 0.96 0.07 0.80 0.21 0.92 0.83 0.42 0.90 0.46 0.97 0.86 0.43 0.90 0.25 0.81 0.90 0.90 0.67 0.93 1.00 0.66 0.55 0.51 0.91 0.90 0.58 0.74 0.42 0.52 0.93 0.79 0.66 0.75 0.96 1.00 0.95 0.90 0.44 0.81 0.60 0.72 0.60 0.43 0.60 0.69 0.02 0.88 ]
[ 0.60 0.59 0.90 0.53 0.89 0.42 0.69 0.79 0.92 0.49 0.85 0.85 0.97 0.04 0.87 0.45 0.87 0.00 0.90 0.84 0.26 0.85 0.22 0.86 0.64 0.96 0.75 0.15 0.38 0.67 0.37 0.83 0.93 0.66 1.00 0.26 0.87 0.45 0.57 0.98 0.39 0.71 0.22 0.94 0.64 0.56 0.04 0.18 0.46 0.65 0.84 0.95 0.70 0.04 0.88 0.38 0.91 0.73 0.55 0.46 0.58 ]
[ 0.36 0.61 0.89 0.30 0.30 0.48 0.40 0.16 0.26 0.63 0.82 0.64 0.84 0.08 0.86 0.27 0.92 0.89 0.97 0.36 0.32 0.64 0.25 0.29 0.73 0.34 0.00 0.69 1.00 0.66 0.63 0.15 0.29 0.55 0.26 1.00 0.42 0.33 0.13 0.94 0.37 0.00 0.83 0.33 0.00 0.95 0.86 0.97 0.22 0.18 0.84 0.99 0.50 0.47 0.69 0.46 0.80 0.77 0.67 0.60 0.51 ]
[ 0.33 0.68 0.19 0.85 0.94 0.52 0.94 0.90 0.03 0.29 0.00 0.57 0.97 0.73 0.80 0.58 0.89 0.21 0.77 0.45 0.22 0.65 0.73 0.86 0.90 0.93 0.24 0.50 0.38 0.59 0.63 0.22 0.84 0.51 0.87 0.42 1.00 0.18 0.33 0.23 0.44 0.18 0.94 0.15 0.40 0.76 0.71 0.47 0.21 0.24 0.79 0.94 0.18 0.17 0.48 0.62 0.35 0.35 0.65 0.85 0.68 ]
[ 0.89 0.62 0.85 0.31 0.96 0.98 0.71 0.93 0.46 0.96 0.34 0.89 0.51 0.54 0.00 0.46 0.96 0.68 0.20 0.55 0.35 0.67 0.55 0.39 0.73 0.53 0.26 0.84 0.96 0.65 0.61 0.33 0.00 0.91 0.45 0.33 0.18 1.00 0.28 0.31 0.34 0.84 0.25 0.27 0.90 0.44 0.51 0.49 0.97 0.77 0.95 0.40 0.10 0.59 0.61 0.50 0.27 0.38 0.42 0.20 0.65 ]
[ 0.73 0.74 0.05 0.45 0.18 0.91 0.67 0.15 0.40 0.17 0.36 0.16 0.00 0.55 0.58 0.70 0.86 0.92 0.40 0.48 0.73 0.46 0.88 0.94 0.36 0.63 0.60 0.23 0.90 0.82 0.43 0.89 0.39 0.90 0.57 0.13 0.33 0.28 1.00 0.86 0.40 0.44 0.38 0.28 0.79 0.67 0.60 0.92 0.31 0.31 0.91 0.65 0.86 0.51 0.89 0.15 0.87 0.67 0.64 0.49 0.48 ]
[ 0.73 0.28 0.69 0.41 0.94 0.63 0.34 0.62 0.33 0.07 0.52 0.62 0.57 0.23 0.89 0.04 0.17 0.19 0.69 0.40 0.67 0.28 0.89 0.55 0.61 0.76 0.67 0.45 0.99 0.86 0.85 0.68 0.89 0.58 0.98 0.94 0.23 0.31 0.86 1.00 0.88 0.94 0.44 0.54 0.31 0.29 0.69 0.96 0.15 0.75 0.56 0.42 0.92 0.34 0.95 0.88 0.75 0.50 0.58 0.78 0.16 ]
[ 0.42 0.79 0.47 0.52 0.19 0.76 0.51 0.85 0.52 0.79 0.80 0.79 0.50 0.34 0.51 0.77 0.92 0.78 0.35 0.23 0.43 0.66 0.60 0.39 0.97 0.63 0.70 0.00 0.92 0.91 0.96 0.85 0.73 0.74 0.39 0.37 0.44 0.34 0.40 0.88 1.00 0.70 0.39 0.86 0.48 0.90 0.99 0.43 0.72 0.41 0.45 0.43 0.40 0.54 0.99 0.72 0.54 0.67 0.22 0.33 0.68 ]
[ 0.10 0.57 0.56 0.43 0.17 0.98 0.07 0.69 0.78 0.45 0.97 0.54 0.72 0.96 0.69 0.37 0.88 0.72 0.57 0.00 0.51 0.46 0.00 0.18 0.00 0.30 0.61 0.62 0.67 0.93 0.44 0.76 0.42 0.42 0.71 0.00 0.18 0.84 0.44 0.94 0.70 1.00 0.58 0.38 0.22 0.95 0.61 0.17 0.43 0.81 0.90 0.44 0.74 0.97 0.00 0.13 0.24 0.88 0.19 0.86 0.00 ]
[ 0.33 0.27 0.09 0.62 0.25 0.22 0.28 0.67 1.00 0.84 0.27 0.40 0.66 0.60 0.97 0.54 0.87 0.52 0.32 0.16 0.23 0.46 0.91 0.99 0.59 0.32 0.47 0.01 0.46 0.40 0.87 0.26 0.16 0.52 0.22 0.83 0.94 0.25 0.38 0.44 0.39 0.58 1.00 0.29 0.44 0.77 0.78 0.74 0.89 0.66 0.43 0.59 0.27 0.19 0.60 0.68 0.55 0.44 0.08 0.45 0.47 ]
[ 0.42 0.52 0.79 0.90 0.24 0.61 0.22 0.10 0.80 0.43 0.20 0.87 0.81 0.26 0.90 0.94 0.73 0.14 0.37 0.12 0.93 0.43 0.87 0.12 0.98 0.14 0.60 0.13 0.96 0.99 0.36 0.16 0.62 0.93 0.94 0.33 0.15 0.27 0.28 0.54 0.86 0.38 0.29 1.00 0.45 0.57 0.00 0.74 0.79 0.98 0.87 0.62 0.02 0.34 0.16 0.28 0.86 0.27 0.33 0.22 0.56 ]
[ 0.37 0.66 0.86 0.26 0.30 1.00 0.70 0.01 0.32 0.42 0.99 0.87 0.13 0.51 0.95 0.44 0.23 0.48 0.47 0.27 0.98 0.60 0.52 0.17 0.52 0.88 0.34 0.94 0.17 0.43 0.94 0.33 0.60 0.79 0.64 0.00 0.40 0.90 0.79 0.31 0.48 0.22 0.44 0.45 1.00 0.27 0.61 0.39 0.51 0.86 0.34 0.34 0.84 0.85 0.88 0.58 0.17 0.98 0.81 0.75 0.00 ]
[ 0.87 1.00 0.21 0.18 0.31 0.48 0.90 0.39 0.23 0.19 0.74 0.29 0.71 0.20 0.74 0.57 0.61 0.82 0.28 0.21 0.92 0.84 0.97 1.00 0.33 0.96 0.88 0.47 0.78 0.23 0.63 0.34 0.17 0.66 0.56 0.95 0.76 0.44 0.67 0.29 0.90 0.95 0.77 0.57 0.27 1.00 0.85 0.21 0.66 0.55 0.65 0.29 0.50 0.92 0.56 0.30 0.01 0.71 0.36 0.71 0.81 ]
[ 0.29 0.66 0.98 0.12 0.20 0.50 0.93 0.52 0.56 0.74 0.69 0.89 0.56 0.55 0.26 0.44 0.94 0.00 0.78 0.52 0.95 0.67 0.67 0.63 0.85 0.99 0.06 0.57 0.50 0.27 0.26 0.30 0.89 0.75 0.04 0.86 0.71 0.51 0.60 0.69 0.99 0.61 0.78 0.00 0.61 0.85 1.00 0.96 0.96 0.17 0.45 0.91 0.73 0.09 0.28 0.41 0.93 0.54 0.17 0.45 0.92 ]
[ 0.91 0.36 0.36 0.69 0.64 0.15 0.90 0.71 0.93 0.99 0.71 0.93 0.93 0.78 0.68 0.23 0.58 0.33 0.81 0.82 0.20 0.94 0.98 0.16 0.73 0.02 0.55 0.94 0.00 0.51 0.72 0.98 0.98 0.96 0.18 0.97 0.47 0.49 0.92 0.96 0.43 0.17 0.74 0.74 0.39 0.21 0.96 1.00 0.57 0.56 0.40 0.20 0.97 0.84 0.62 0.69 0.25 0.39 0.66 0.86 0.45 ]
[ 0.91 0.58 0.76 0.43 0.75 0.89 0.30 0.54 0.91 0.82 0.89 0.50 0.46 0.48 0.97 0.63 0.21 0.58 0.68 0.82 0.64 0.93 0.29 0.57 0.89 0.37 0.60 0.63 0.21 0.09 0.85 0.27 0.63 1.00 0.46 0.22 0.21 0.97 0.31 0.15 0.72 0.43 0.89 0.79 0.51 0.66 0.96 0.57 1.00 0.60 0.92 0.00 0.18 0.63 0.97 0.91 0.69 0.29 0.56 0.65 0.26 ]
[ 0.71 0.84 0.40 0.91 0.53 0.55 0.74 0.91 0.95 0.01 0.52 0.62 0.62 0.20 0.13 0.01 0.00 0.80 0.54 0.05 0.88 0.66 0.19 0.66 0.90 0.54 0.15 0.46 0.63 0.72 0.36 0.23 0.60 0.95 0.65 0.18 0.24 0.77 0.31 0.75 0.41 0.81 0.66 0.98 0.86 0.55 0.17 0.56 0.60 1.00 0.29 0.43 0.68 0.49 0.38 0.38 0.46 0.76 0.63 0.00 0.22 ]
[ 0.66 0.37 0.86 0.24 0.74 0.46 0.68 0.04 0.99 0.91 0.40 0.37 0.58 0.70 0.99 0.87 0.29 0.56 0.84 0.38 0.96 0.18 0.00 0.86 0.94 0.09 0.79 0.94 0.23 0.40 0.34 0.40 0.72 0.90 0.84 0.84 0.79 0.95 0.91 0.56 0.45 0.90 0.43 0.87 0.34 0.65 0.45 0.40 0.92 0.29 1.00 0.78 0.22 0.58 0.55 0.89 0.62 0.60 0.95 0.88 0.95 ]
[ 0.21 0.51 0.56 0.24 0.18 0.33 0.35 0.62 0.20 0.70 0.25 0.64 0.00 0.39 0.85 0.86 0.41 0.23 0.92 0.00 0.35 0.64 0.84 0.87 0.34 0.73 0.92 0.09 0.46 0.50 0.15 0.91 0.12 0.44 0.95 0.99 0.94 0.40 0.65 0.42 0.43 0.44 0.59 0.62 0.34 0.29 0.91 0.20 0.00 0.43 0.78 1.00 0.98 0.85 0.80 0.80 0.34 0.51 0.19 0.16 0.65 ]
[ 0.09 0.02 0.60 0.75 0.03 0.85 0.68 0.15 0.45 0.94 0.32 0.87 0.72 0.94 0.80 0.98 0.06 0.90 0.82 0.95 0.20 0.62 0.61 0.88 0.90 0.36 0.75 0.81 0.06 0.63 0.27 0.43 0.16 0.81 0.70 0.50 0.18 0.10 0.86 0.92 0.40 0.74 0.27 0.02 0.84 0.50 0.73 0.97 0.18 0.68 0.22 0.98 1.00 0.25 0.12 0.78 0.93 0.12 0.25 0.05 0.52 ]
[ 0.91 0.41 1.00 0.53 0.60 0.21 0.22 0.98 0.22 0.26 0.91 0.91 0.55 0.59 0.95 0.46 0.89 0.60 0.00 0.59 0.12 0.95 0.91 0.86 0.46 0.86 0.23 0.63 0.77 0.51 0.37 0.55 0.00 0.60 0.04 0.47 0.17 0.59 0.51 0.34 0.54 0.97 0.19 0.34 0.85 0.92 0.09 0.84 0.63 0.49 0.58 0.85 0.25 1.00 0.89 0.91 0.21 0.32 0.98 0.30 0.99 ]
[ 0.55 0.67 0.35 0.39 0.81 0.13 0.82 0.48 0.09 0.40 0.76 0.76 0.26 0.74 0.88 0.44 0.32 0.15 0.37 0.91 0.04 0.98 0.84 0.30 0.45 0.34 0.69 0.89 0.76 0.72 0.97 0.22 0.40 0.72 0.88 0.69 0.48 0.61 0.89 0.95 0.99 0.00 0.60 0.16 0.88 0.56 0.28 0.62 0.97 0.38 0.55 0.80 0.12 0.89 1.00 0.07 0.79 0.79 0.68 0.43 0.29 ]
