[ 0.37 0.38 0.37 0.33 0.95 0.80 0.56 0.16 0.04 0.15 0.20 1.00 0.98 0.89 0.08 0.46 0.89 0.89 0.27 0.42 0.21 0.63 0.64 0.94 0.11 0.79 ]
[ 0.47 0.68 0.71 0.35 0.08 0.88 0.24 0.35 0.78 0.00 0.34 0.98 1.00 0.50 0.95 0.99 0.84 0.31 0.30 0.33 0.82 0.29 0.03 0.92 0.42 0.67 ]
[ 0.78 0.13 0.83 0.78 0.93 0.64 0.43 0.04 0.51 0.48 0.36 0.89 0.50 1.00 0.93 0.30 0.41 0.01 0.29 0.30 0.09 0.75 0.19 0.98 0.01 0.60 ]
[ 0.30 0.43 0.66 0.99 0.88 0.88 0.25 0.94 0.11 0.99 0.31 0.08 0.95 0.93 1.00 0.19 0.64 0.24 0.13 0.75 0.03 0.64 0.70 0.02 0.48 0.00 ]
[ 0.00 0.99 0.78 0.21 0.83 0.16 0.11 0.38 0.14 0.81 0.49 0.46 0.99 0.30 0.19 1.00 0.32 0.81 0.82 0.61 0.85 0.75 0.03 0.52 0.68 0.33 ]
[ 0.05 0.14 0.91 0.10 0.26 0.47 0.94 0.85 0.15 0.81 0.51 0.89 0.84 0.41 0.64 0.32 1.00 0.93 0.69 0.62 0.23 0.78 0.36 0.42 0.77 0.38 ]
[ 0.37 0.92 0.89 0.91 0.47 0.84 0.15 0.81 0.69 0.53 0.99 0.89 0.31 0.01 0.24 0.81 0.93 1.00 0.03 0.96 0.02 0.27 0.09 0.77 0.30 0.73 ]
[ 0.34 0.37 0.87 0.60 0.20 0.74 0.07 0.33 0.22 0.32 0.70 0.27 0.30 0.29 0.13 0.82 0.69 0.03 1.00 0.46 0.32 0.22 0.47 0.63 0.03 0.29 ]
[ 0.53 0.62 0.29 0.54 0.34 0.86 0.37 0.54 0.59 0.36 0.10 0.42 0.33 0.30 0.75 0.61 0.62 0.96 0.46 1.00 0.24 0.88 0.03 0.27 0.39 0.71 ]
[ 0.13 0.70 0.57 0.28 0.08 0.78 0.64 0.51 0.14 0.22 0.13 0.21 0.82 0.09 0.03 0.85 0.23 0.02 0.32 0.24 1.00 0.60 0.32 0.41 0.21 0.55 ]
[ 0.70 0.66 0.99 0.30 0.53 0.03 0.57 0.55 0.93 0.73 0.63 0.63 0.29 0.75 0.64 0.75 0.78 0.27 0.22 0.88 0.60 1.00 0.19 0.58 0.97 0.95 ]
[ 0.59 0.62 0.72 0.37 0.69 0.81 0.07 0.69 0.91 0.48 0.01 0.64 0.03 0.19 0.70 0.03 0.36 0.09 0.47 0.03 0.32 0.19 1.00 0.95 1.00 0.91 ]
[ 0.15 0.74 0.56 0.94 0.87 0.87 0.44 0.41 0.75 0.15 0.88 0.94 0.92 0.98 0.02 0.52 0.42 0.77 0.63 0.27 0.41 0.58 0.95 1.00 0.97 0.26 ]
[ 0.25 0.03 0.14 0.09 0.52 0.96 0.45 0.11 0.11 0.56 0.74 0.11 0.42 0.01 0.48 0.68 0.77 0.30 0.03 0.39 0.21 0.97 1.00 0.97 1.00 0.01 ]
[ 0.53 0.96 0.64 0.28 0.90 0.69 0.71 0.93 0.06 0.84 0.08 0.79 0.67 0.60 0.00 0.33 0.38 0.73 0.29 0.71 0.55 0.95 0.91 0.26 0.01 1.00 ]
];
