[ 0.33 0.27 0.58 0.92 0.56 0.18 0.48 0.56 0.49 0.97 0.45 0.88 0.89 0.98 0.97 0.27 0.79 0.16 0.99 0.58 0.11 0.33 0.98 0.28 0.56 0.13 0.66 0.08 0.15 0.87 0.38 1.00 0.58 0.57 0.29 0.24 0.78 0.90 0.79 0.31 0.47 0.81 0.35 0.56 0.76 0.78 0.35 0.71 0.94 ]
[ 0.29 0.36 0.27 0.55 0.38 0.71 0.83 0.90 0.86 1.00 0.29 0.66 0.14 0.31 0.68 0.52 0.90 0.87 0.94 0.47 0.47 0.74 0.35 0.16 0.55 0.22 0.26 0.91 0.92 0.50 0.89 0.58 1.00 0.16 0.76 0.92 0.48 0.64 0.33 0.50 0.14 0.88 0.25 0.24 0.01 0.51 0.95 0.89 0.96 ]
[ 0.49 0.76 0.10 0.23 0.11 0.74 0.71 0.59 0.57 0.89 1.00 0.34 0.91 0.99 0.81 0.32 0.99 0.73 0.21 0.61 0.33 0.15 0.03 0.00 0.11 0.78 0.37 0.46 0.77 0.84 0.64 0.57 0.16 1.00 0.83 0.91 0.42 0.34 0.89 0.85 0.32 0.04 0.87 0.02 0.44 0.00 0.81 0.99 0.75 ]
[ 0.71 0.04 0.38 0.48 0.83 0.41 0.00 0.90 0.96 0.74 0.14 0.91 0.10 0.26 0.64 0.97 0.51 0.65 0.32 0.73 0.04 0.86 0.76 0.43 0.45 0.98 0.98 0.93 0.32 0.94 0.35 0.29 0.76 0.83 1.00 0.84 0.25 0.55 0.84 0.77 0.69 0.87 0.61 0.73 0.30 0.31 0.60 0.73 0.20 ]
[ 0.15 0.25 0.25 0.45 0.48 0.36 0.91 0.21 0.77 0.30 0.48 0.30 0.91 0.56 0.89 0.68 0.29 0.62 0.51 0.80 0.32 0.08 0.94 0.33 0.67 0.72 0.74 0.65 0.66 0.33 0.50 0.24 0.92 0.91 0.84 1.00 0.73 0.82 0.19 0.06 0.96 0.22 0.49 0.85 0.46 0.60 0.67 0.92 0.90 ]
[ 0.86 0.30 0.99 0.43 0.98 0.81 0.37 0.06 0.25 0.18 0.10 0.65 0.41 0.52 0.96 0.68 0.74 0.99 1.00 0.25 0.08 0.51 0.96 0.22 0.35 0.48 0.49 0.83 0.38 0.55 0.75 0.78 0.48 0.42 0.25 0.73 1.00 0.46 0.64 0.84 0.45 0.40 0.18 0.02 0.00 0.88 0.61 0.90 0.52 ]
[ 0.26 0.97 0.22 0.86 0.04 0.91 0.97 0.28 0.93 0.53 0.38 0.62 0.78 0.66 0.64 0.87 0.32 0.28 0.82 0.99 0.56 0.38 0.66 0.84 0.23 0.67 0.98 0.73 0.50 0.98 0.52 0.90 0.64 0.34 0.55 0.82 0.46 1.00 0.78 0.96 0.34 0.23 0.28 0.21 0.35 0.25 0.83 0.34 0.68 ]
[ 0.92 0.88 0.42 0.92 0.20 0.57 0.87 0.84 1.00 0.25 0.36 0.26 0.76 0.65 0.65 0.70 0.64 0.00 0.78 0.55 0.27 0.81 0.99 0.51 0.43 0.73 0.61 0.92 0.91 0.55 0.88 0.79 0.33 0.89 0.84 0.19 0.64 0.78 1.00 0.79 0.05 0.21 0.97 0.96 0.44 0.50 0.33 0.86 0.80 ]
[ 0.47 0.24 0.65 0.89 0.49 0.02 0.88 0.42 0.49 0.68 0.62 0.18 0.50 0.22 0.51 0.38 0.92 0.92 0.34 0.00 0.08 0.39 0.50 0.90 0.44 0.20 0.64 0.23 0.69 0.36 0.16 0.31 0.50 0.85 0.77 0.06 0.84 0.96 0.79 1.00 0.87 0.70 0.92 0.79 0.49 0.67 0.62 0.84 0.97 ]
[ 0.15 0.55 0.56 0.18 0.31 0.76 0.99 0.75 0.39 0.19 0.00 0.81 0.53 0.17 0.80 0.26 0.83 0.97 0.90 0.66 0.62 0.96 0.87 0.98 0.89 0.65 0.67 0.84 0.39 0.28 0.26 0.47 0.14 0.32 0.69 0.96 0.45 0.34 0.05 0.87 1.00 0.41 0.53 0.21 0.48 0.61 0.70 0.11 0.97 ]
[ 0.47 0.67 0.89 0.64 0.62 0.06 0.32 0.24 0.81 0.95 0.32 0.78 0.69 0.64 0.93 0.40 0.49 0.19 0.90 0.58 0.90 0.42 0.75 0.00 0.41 0.00 0.94 0.46 0.41 0.55 0.28 0.81 0.88 0.04 0.87 0.22 0.40 0.23 0.21 0.70 0.41 1.00 0.88 0.33 1.00 0.71 0.25 0.12 0.88 ]
[ 0.00 0.31 0.08 0.37 0.53 0.77 0.47 0.34 0.95 0.88 1.00 0.50 0.36 0.66 0.80 0.69 0.43 0.33 0.40 0.74 0.62 0.88 0.66 0.96 0.38 0.37 0.90 0.73 0.95 0.56 0.96 0.35 0.25 0.87 0.61 0.49 0.18 0.28 0.97 0.92 0.53 0.88 1.00 0.99 0.31 0.40 0.53 0.95 0.91 ]
[ 0.84 0.38 0.82 0.64 0.82 0.97 0.30 0.96 0.35 0.27 0.38 0.45 0.26 0.92 0.34 0.86 0.35 0.34 0.81 0.98 0.77 0.95 0.41 0.30 0.98 0.53 0.96 0.96 0.85 0.57 0.85 0.56 0.24 0.02 0.73 0.85 0.02 0.21 0.96 0.79 0.21 0.33 0.99 1.00 0.12 0.90 0.56 0.72 0.63 ]
[ 0.79 0.64 0.66 0.63 0.76 0.75 0.67 0.25 0.20 0.93 0.55 0.97 0.74 0.44 0.81 0.97 0.98 0.39 0.46 0.23 0.65 0.86 0.69 0.72 0.82 0.69 0.83 0.70 0.96 0.92 0.68 0.76 0.01 0.44 0.30 0.46 0.00 0.35 0.44 0.49 0.48 1.00 0.31 0.12 1.00 0.55 0.49 0.14 0.75 ]
[ 0.23 0.56 0.97 0.68 0.64 0.76 0.70 0.32 0.43 0.18 0.34 0.36 0.92 0.33 0.88 0.59 0.74 0.78 0.61 0.62 0.49 0.79 0.39 0.84 0.51 0.65 0.94 0.62 0.29 0.85 0.60 0.78 0.51 0.00 0.31 0.60 0.88 0.25 0.50 0.67 0.61 0.71 0.40 0.90 0.55 1.00 0.82 0.67 0.90 ]
[ 0.98 0.40 0.26 0.73 0.70 0.00 0.35 0.67 0.31 0.20 0.89 0.59 0.83 0.76 0.95 0.23 0.99 0.25 0.97 0.40 0.17 0.41 0.38 1.00 0.64 0.34 0.95 0.59 0.96 0.79 0.96 0.35 0.95 0.81 0.60 0.67 0.61 0.83 0.33 0.62 0.70 0.25 0.53 0.56 0.49 0.82 1.00 0.92 0.80 ]
[ 0.10 0.39 0.18 0.96 0.59 0.79 0.77 0.27 0.01 0.26 0.18 0.80 0.80 0.16 0.88 0.27 0.14 0.58 0.29 0.45 0.93 0.27 0.77 0.20 0.68 0.89 0.92 0.83 0.34 0.40 0.09 0.71 0.89 0.99 0.73 0.92 0.90 0.34 0.86 0.84 0.11 0.12 0.95 0.72 0.14 0.67 0.92 1.00 0.86 ]
[ 0.48 0.80 0.89 0.86 0.45 0.01 0.11 0.98 0.10 0.97 0.44 0.93 0.75 0.38 0.76 0.43 0.22 0.97 0.23 0.90 0.94 0.26 0.85 0.32 0.98 0.34 0.00 0.00 0.01 0.00 0.63 0.94 0.96 0.75 0.20 0.90 0.52 0.68 0.80 0.97 0.97 0.88 0.91 0.63 0.75 0.90 0.80 0.86 1.00 ]
];
