[ 0.44 0.76 0.37 0.00 0.75 0.90 0.36 0.65 0.29 0.51 0.24 0.67 1.00 0.61 0.17 0.62 0.69 0.85 0.57 1.00 0.53 0.95 0.00 0.37 0.64 0.29 0.44 0.82 0.72 0.08 0.98 0.36 0.65 0.42 0.57 0.00 0.54 0.80 0.48 0.54 0.89 0.98 0.92 0.29 0.79 0.98 0.00 0.72 0.32 0.75 0.98 0.91 0.16 0.22 0.31 0.71 0.98 0.73 0.37 0.90 0.74 0.93 0.29 0.89 0.13 0.20 0.93 0.77 0.33 0.97 0.60 0.45 0.46 0.10 0.27 0.06 0.41 0.00 0.94 0.59 0.21 0.20 0.34 0.00 0.73 0.63 0.90 0.88 0.76 ]
[ 0.62 0.55 0.58 0.00 0.81 0.33 0.97 0.66 0.51 0.95 0.55 0.53 0.61 1.00 0.84 0.44 0.55 0.87 0.66 0.08 0.88 0.86 0.56 0.27 0.08 0.83 0.58 0.56 0.16 0.50 0.16 0.26 0.11 0.93 0.75 0.91 0.08 0.80 0.40 0.34 0.21 0.00 0.64 0.69 0.54 0.16 0.33 0.64 0.61 0.00 0.87 0.42 0.79 0.19 0.19 0.99 0.39 0.56 0.66 0.36 0.10 0.35 0.97 0.80 0.76 0.84 0.72 0.93 0.90 0.56 0.17 0.64 0.94 0.78 0.43 0.54 0.96 0.34 0.18 0.28 0.25 0.80 0.53 0.63 0.22 0.30 0.72 0.50 0.29 ]
[ 0.30 0.46 0.00 0.25 0.86 0.01 0.95 0.17 0.18 0.99 0.59 0.57 0.17 0.84 1.00 0.62 0.57 0.61 0.86 0.99 0.24 0.18 0.33 0.30 0.46 0.94 0.03 0.00 0.85 0.02 0.99 0.18 0.87 0.28 0.90 0.91 0.32 0.93 0.68 0.65 0.80 0.88 0.71 0.02 0.97 0.02 0.74 0.33 0.92 0.93 0.54 0.05 0.47 0.36 0.37 0.69 0.59 0.00 0.45 0.13 0.67 0.42 0.84 0.65 0.00 0.02 0.80 0.48 0.51 0.86 0.25 0.72 0.94 0.98 0.76 0.87 0.55 0.48 0.35 0.67 0.26 0.97 0.94 0.38 0.88 0.99 0.69 0.31 0.28 ]
[ 0.94 0.78 0.38 0.00 0.97 0.28 0.78 0.95 0.87 0.82 0.42 0.74 0.62 0.44 0.62 1.00 0.65 0.99 0.02 0.88 0.50 0.95 0.66 0.24 0.79 0.69 0.75 0.94 0.34 0.53 0.00 0.66 0.50 0.49 0.80 0.54 0.92 0.88 0.68 0.73 0.81 0.19 0.45 0.71 0.35 0.69 1.00 0.90 0.34 0.76 0.71 0.96 0.46 0.83 1.00 0.92 0.41 0.22 0.93 0.16 0.21 0.94 0.89 0.54 0.97 0.68 0.74 0.78 0.91 0.08 0.61 0.38 0.53 0.97 0.90 0.99 0.59 0.49 0.09 0.07 0.92 0.86 0.96 0.57 0.72 0.93 0.22 0.50 0.35 ]
[ 0.91 0.88 0.97 0.24 0.27 0.56 0.79 0.64 0.56 0.48 0.76 0.82 0.69 0.55 0.57 0.65 1.00 0.67 0.26 0.85 0.36 0.63 0.52 0.35 0.90 0.36 0.89 0.88 0.85 0.55 0.57 0.66 0.43 0.49 0.88 0.90 0.84 0.41 0.28 0.50 0.85 0.59 0.64 0.06 0.93 0.70 0.16 0.17 0.15 1.00 0.00 0.37 0.84 0.19 0.54 0.15 0.65 0.66 0.50 0.40 0.02 0.84 0.38 0.35 0.51 0.96 0.70 0.42 0.91 0.34 0.26 0.19 0.01 0.75 0.38 0.69 0.00 0.68 0.75 0.84 0.70 0.36 0.55 0.98 0.96 0.59 0.48 0.66 0.00 ]
[ 0.97 0.36 0.32 0.19 0.60 0.00 0.90 0.83 0.29 0.81 0.36 0.64 0.85 0.87 0.61 0.99 0.67 1.00 0.08 0.54 0.43 0.89 0.21 0.97 0.83 0.00 0.68 0.59 0.15 0.95 0.97 0.44 0.29 0.09 0.60 0.66 0.30 0.96 0.25 0.79 0.65 0.60 0.82 0.71 0.68 0.10 0.70 0.76 0.32 0.27 0.90 0.05 0.83 0.62 0.76 0.58 0.76 0.86 0.93 0.70 0.40 0.75 0.57 0.25 0.31 0.66 0.31 0.01 0.30 0.90 0.00 0.99 0.28 0.67 0.95 0.71 0.15 0.71 0.77 0.34 0.96 0.92 0.72 0.41 0.69 0.05 0.44 0.52 0.41 ]
[ 0.19 0.48 0.37 0.42 0.62 0.18 0.87 0.43 0.87 0.55 0.93 0.49 0.57 0.66 0.86 0.02 0.26 0.08 1.00 0.59 0.98 0.84 0.96 0.00 0.90 0.39 0.76 0.39 0.40 0.95 0.97 0.84 0.29 0.74 0.97 0.59 0.78 0.54 0.42 0.32 0.74 0.67 0.43 0.42 0.71 0.78 0.19 0.98 0.42 0.98 0.88 0.13 0.20 0.65 0.83 0.25 0.93 0.93 0.83 0.66 0.83 0.91 0.50 0.89 0.81 0.18 0.58 0.29 0.37 0.26 0.75 0.22 0.28 0.41 0.51 0.80 0.66 0.93 0.94 0.86 0.82 0.59 0.18 0.89 0.66 0.95 0.66 0.15 0.42 ]
[ 0.02 0.70 0.94 0.21 0.21 0.82 0.54 0.19 0.88 0.08 0.95 0.91 1.00 0.08 0.99 0.88 0.85 0.54 0.59 1.00 0.86 0.92 0.42 0.39 0.44 0.66 0.44 0.61 0.04 0.98 0.20 1.00 0.28 0.49 0.58 0.93 0.97 0.64 0.32 0.20 0.81 0.27 0.92 0.91 0.08 0.90 0.98 0.38 0.83 0.88 0.63 0.34 0.73 0.58 0.15 0.65 0.92 0.36 0.96 0.96 0.83 0.73 0.90 0.77 0.83 0.00 0.61 0.29 0.66 0.66 0.27 0.51 0.99 0.44 0.22 0.00 0.05 0.68 0.80 0.36 0.92 0.81 0.80 0.94 0.56 0.97 0.81 0.78 0.23 ]
[ 0.15 0.42 0.47 0.58 0.19 0.01 0.72 0.38 0.63 0.25 0.62 0.35 0.53 0.88 0.24 0.50 0.36 0.43 0.98 0.86 1.00 0.47 0.43 0.65 0.61 0.77 0.57 0.44 0.47 0.47 0.29 0.44 0.72 0.26 0.42 0.12 0.39 0.52 0.74 0.48 0.96 0.86 0.53 0.05 0.13 0.41 0.75 0.98 0.84 0.91 0.19 0.76 0.49 0.25 0.59 0.73 0.83 0.10 0.44 0.50 0.72 0.90 0.63 0.90 0.26 0.86 0.84 0.58 0.36 0.71 0.42 0.33 0.53 0.75 0.98 0.31 0.04 0.41 0.65 0.94 0.92 0.86 0.93 0.81 0.48 0.68 0.42 0.29 0.78 ]
[ 0.31 0.65 0.14 0.43 0.98 0.45 0.71 0.38 0.78 0.28 0.40 0.19 0.95 0.86 0.18 0.95 0.63 0.89 0.84 0.92 0.47 1.00 0.78 0.91 0.92 0.63 0.55 0.56 0.89 0.12 0.53 0.19 0.25 0.31 0.00 0.58 0.54 0.00 0.58 0.56 0.93 0.62 0.81 0.61 0.42 0.57 0.35 0.48 0.59 0.75 0.51 0.92 0.70 0.29 0.47 0.45 0.75 0.34 0.38 0.39 0.98 0.77 0.22 0.47 1.00 0.56 0.53 0.14 0.20 0.00 0.52 0.25 0.96 0.72 0.55 0.99 0.56 0.28 1.00 0.27 0.52 0.35 0.17 0.80 0.44 0.20 0.81 0.07 0.47 ]
[ 0.36 0.31 0.68 0.85 1.00 0.40 0.69 0.16 0.20 0.39 0.65 0.86 0.00 0.56 0.33 0.66 0.52 0.21 0.96 0.42 0.43 0.78 1.00 0.89 0.17 0.38 0.20 0.37 0.19 0.96 0.83 0.94 0.41 0.38 0.94 0.65 0.58 0.31 0.07 0.23 0.65 0.25 0.82 0.98 0.99 0.57 0.58 0.78 0.11 0.11 0.60 0.97 0.62 0.90 0.93 0.64 0.98 0.18 0.36 0.75 0.92 0.26 0.61 0.18 0.90 0.95 0.89 0.88 0.54 0.22 0.16 0.40 0.59 0.96 0.35 0.27 0.19 0.72 0.91 0.86 0.62 0.61 0.90 0.76 0.06 0.82 0.69 0.90 0.96 ]
[ 0.27 0.38 0.79 0.51 0.29 0.31 0.53 0.75 1.00 0.96 0.80 0.47 0.37 0.27 0.30 0.24 0.35 0.97 0.00 0.39 0.65 0.91 0.89 1.00 0.39 0.63 0.68 0.74 0.47 0.92 0.14 0.39 0.17 0.92 0.51 0.98 0.90 0.97 0.21 0.96 0.51 0.99 0.25 0.97 0.17 0.26 0.41 0.56 0.26 0.37 0.80 0.25 0.98 0.77 0.45 0.06 0.00 0.29 0.00 0.86 0.23 0.99 0.10 0.95 0.56 0.43 0.61 0.43 0.92 0.70 0.68 0.97 0.43 0.79 0.88 0.90 0.89 0.44 0.61 0.85 0.73 0.50 0.85 0.42 0.00 0.88 0.85 0.66 0.83 ]
[ 0.56 0.79 0.17 0.97 0.90 0.89 0.04 0.31 0.41 0.72 0.04 0.74 0.64 0.08 0.46 0.79 0.90 0.83 0.90 0.44 0.61 0.92 0.17 0.39 1.00 0.58 0.85 0.74 0.73 0.68 0.96 0.69 0.95 0.92 0.30 0.54 0.58 0.59 0.35 0.90 0.28 0.69 0.92 0.53 0.63 0.01 0.87 0.44 0.18 0.16 0.36 0.82 0.35 0.93 0.81 0.00 0.87 0.94 0.34 0.76 0.79 0.95 0.38 0.00 0.27 0.00 0.27 0.82 0.68 0.17 0.43 0.89 0.45 0.17 0.96 0.89 0.76 0.69 0.50 0.18 0.34 0.79 0.42 0.28 0.67 0.49 0.72 0.43 0.88 ]
[ 0.56 0.96 0.67 0.88 0.10 0.19 0.31 0.55 0.54 0.88 0.97 0.56 0.29 0.83 0.94 0.69 0.36 0.00 0.39 0.66 0.77 0.63 0.38 0.63 0.58 1.00 0.34 0.65 0.53 0.62 0.23 0.06 0.91 0.67 0.87 0.30 0.04 0.52 0.22 0.53 0.09 0.79 0.62 0.41 0.30 0.51 0.30 0.49 0.58 1.00 0.90 0.86 0.26 0.91 0.99 0.96 0.95 0.90 0.05 0.08 0.69 0.98 0.15 0.59 0.93 0.39 0.71 0.53 0.15 0.03 0.00 0.83 0.53 0.67 0.82 0.46 0.31 0.38 0.52 0.98 0.88 0.49 0.33 0.62 0.98 0.45 0.92 0.02 0.19 ]
[ 0.16 0.49 0.77 0.88 0.92 0.98 0.94 0.53 0.98 0.26 0.15 0.35 0.44 0.58 0.03 0.75 0.89 0.68 0.76 0.44 0.57 0.55 0.20 0.68 0.85 0.34 1.00 0.77 0.05 0.50 0.98 0.69 0.49 0.51 0.20 0.12 0.76 0.93 0.22 0.92 0.06 0.54 0.46 0.46 0.97 0.37 0.68 0.15 0.64 0.81 0.50 0.23 0.89 0.21 0.95 0.79 0.23 0.92 0.79 0.36 0.73 0.37 0.64 0.73 0.97 0.88 0.52 0.64 0.83 0.02 0.37 0.59 0.51 0.83 0.81 0.24 0.99 0.40 0.69 0.17 0.81 0.80 0.52 0.04 0.44 0.23 0.47 0.26 0.71 ]
[ 0.53 0.33 0.73 0.88 0.70 0.96 0.54 0.43 0.36 0.96 0.94 0.40 0.82 0.56 0.00 0.94 0.88 0.59 0.39 0.61 0.44 0.56 0.37 0.74 0.74 0.65 0.77 1.00 0.44 0.45 0.00 0.38 0.76 0.68 0.82 0.15 0.04 0.65 0.67 0.38 0.38 0.58 0.88 0.76 0.15 0.69 0.87 0.52 0.17 0.86 0.60 0.27 0.52 0.74 0.22 0.91 0.30 0.49 0.59 0.69 0.99 0.27 0.60 0.22 0.85 0.62 0.03 0.55 0.96 0.85 0.56 0.32 0.92 0.32 0.21 0.11 0.54 0.25 0.59 0.76 0.91 0.34 0.91 0.39 0.89 0.99 0.72 0.62 0.79 ]
[ 0.93 0.95 0.92 0.27 0.24 0.82 0.75 0.61 0.87 0.30 0.68 0.99 0.72 0.16 0.85 0.34 0.85 0.15 0.40 0.04 0.47 0.89 0.19 0.47 0.73 0.53 0.05 0.44 1.00 0.06 0.80 0.18 0.21 0.95 0.06 0.38 0.22 0.44 0.92 0.94 0.02 0.55 0.10 0.33 0.27 0.57 0.74 0.57 0.73 0.59 0.75 0.86 0.94 0.92 0.89 0.66 0.55 0.90 0.54 0.76 0.33 0.72 0.23 0.17 0.64 0.28 0.59 0.52 0.66 0.30 0.17 0.40 0.33 0.75 0.04 0.53 0.28 0.60 0.69 0.89 0.39 0.01 0.62 0.27 0.93 0.42 0.39 0.27 0.45 ]
[ 0.96 0.31 0.47 0.66 0.02 0.60 0.69 0.90 0.87 0.16 0.19 0.22 0.08 0.50 0.02 0.53 0.55 0.95 0.95 0.98 0.47 0.12 0.96 0.92 0.68 0.62 0.50 0.45 0.06 1.00 0.91 0.67 0.32 0.05 0.31 0.54 0.57 0.98 0.76 0.30 0.83 0.92 0.40 0.23 0.91 0.54 0.04 0.72 0.32 0.42 0.33 0.81 0.75 0.49 0.43 0.00 0.41 0.31 0.72 0.75 0.45 0.78 0.10 0.86 0.92 0.55 0.48 0.74 0.41 0.97 0.86 0.77 0.83 0.03 0.24 0.25 0.92 0.73 0.32 0.90 0.24 0.56 0.45 0.80 0.87 0.79 0.32 0.10 0.78 ]
[ 0.62 0.12 0.99 0.21 0.85 0.94 0.92 0.59 0.59 0.42 0.61 0.08 0.98 0.16 0.99 0.00 0.57 0.97 0.97 0.20 0.29 0.53 0.83 0.14 0.96 0.23 0.98 0.00 0.80 0.91 1.00 0.16 0.99 0.94 0.29 0.93 0.37 0.23 0.68 0.17 0.24 0.85 0.63 0.45 0.64 0.26 0.79 0.59 0.90 0.88 0.59 1.00 0.94 0.41 0.70 0.51 0.91 0.26 0.44 0.85 0.61 0.65 0.90 0.43 0.53 0.29 0.36 0.23 0.34 0.03 0.78 0.15 0.30 0.38 0.66 0.66 0.92 0.83 0.97 0.48 0.82 0.49 0.75 0.24 0.21 0.29 0.85 0.32 0.37 ]
[ 0.23 0.76 0.79 0.53 0.63 0.87 0.99 0.17 0.35 0.20 0.94 0.88 0.36 0.26 0.18 0.66 0.66 0.44 0.84 1.00 0.44 0.19 0.94 0.39 0.69 0.06 0.69 0.38 0.18 0.67 0.16 1.00 0.75 0.98 0.45 0.17 0.26 0.96 0.23 0.89 0.83 0.88 0.35 0.43 0.34 0.62 0.61 0.21 0.17 0.22 0.38 0.75 0.14 0.21 0.90 0.59 0.00 0.74 0.71 0.71 0.44 0.82 0.77 0.16 0.83 0.50 0.37 0.36 0.52 0.76 0.89 0.88 0.69 0.81 0.87 0.76 0.82 0.08 0.96 0.31 0.51 0.26 0.39 0.57 0.91 0.91 0.96 0.27 0.60 ]
[ 0.19 0.94 0.68 0.69 0.91 0.45 0.80 0.47 0.28 0.86 0.98 0.24 0.65 0.11 0.87 0.50 0.43 0.29 0.29 0.28 0.72 0.25 0.41 0.17 0.95 0.91 0.49 0.76 0.21 0.32 0.99 0.75 1.00 0.21 0.98 0.42 0.70 0.59 0.00 0.76 0.80 0.45 0.81 0.90 0.33 0.31 0.53 0.01 0.50 0.24 0.16 0.96 0.75 0.47 0.17 0.95 0.79 0.64 0.84 0.61 0.75 0.25 0.96 0.06 0.41 0.93 0.60 0.30 0.98 0.00 0.76 0.94 0.78 0.51 0.95 0.91 0.44 0.20 0.17 0.31 0.95 0.72 0.92 0.33 0.78 0.13 0.78 0.56 0.87 ]
[ 0.26 0.39 0.76 0.81 0.83 0.78 0.50 0.76 0.58 0.75 0.28 0.10 0.42 0.93 0.28 0.49 0.49 0.09 0.74 0.49 0.26 0.31 0.38 0.92 0.92 0.67 0.51 0.68 0.95 0.05 0.94 0.98 0.21 1.00 0.54 0.95 0.96 0.89 0.76 0.19 0.53 0.77 0.67 0.44 0.33 0.80 0.00 0.73 0.63 0.60 0.00 0.91 0.25 0.51 0.99 0.95 0.92 0.63 0.56 0.64 0.46 0.38 0.86 0.29 0.22 0.89 0.17 0.39 0.73 0.93 0.31 0.11 0.47 0.01 0.76 0.19 0.67 0.62 0.71 0.91 0.11 0.70 0.41 0.99 0.84 0.99 0.65 0.80 0.25 ]
[ 0.27 0.93 0.38 0.02 0.17 0.63 0.36 0.15 0.72 0.95 0.55 0.90 0.57 0.75 0.90 0.80 0.88 0.60 0.97 0.58 0.42 0.00 0.94 0.51 0.30 0.87 0.20 0.82 0.06 0.31 0.29 0.45 0.98 0.54 1.00 0.31 0.72 0.90 0.61 0.40 0.76 0.90 0.47 0.38 0.35 0.16 0.65 0.49 0.63 0.57 0.92 0.74 0.23 0.71 0.87 0.31 0.14 0.57 0.67 0.88 0.26 0.36 0.30 0.89 0.88 0.66 0.66 0.00 0.74 0.63 0.76 0.74 0.97 0.92 0.27 0.91 0.08 0.51 0.74 0.65 0.07 0.49 0.05 0.16 0.71 0.72 0.54 0.55 0.86 ]
[ 0.69 0.54 0.26 0.43 0.72 0.91 0.96 0.85 0.86 0.12 0.59 0.49 0.00 0.91 0.91 0.54 0.90 0.66 0.59 0.93 0.12 0.58 0.65 0.98 0.54 0.30 0.12 0.15 0.38 0.54 0.93 0.17 0.42 0.95 0.31 1.00 0.53 0.07 0.48 0.56 0.07 0.34 0.28 0.70 0.76 0.66 0.39 0.56 0.00 0.87 0.69 0.77 0.16 0.34 0.59 0.08 0.66 0.76 0.25 0.61 0.00 0.71 0.00 0.87 0.82 0.89 0.22 0.55 0.77 0.87 0.53 0.92 0.42 0.01 0.18 0.77 0.16 0.50 0.67 0.60 0.80 0.70 0.84 0.00 0.76 0.88 0.49 0.48 0.38 ]
[ 0.89 0.66 0.12 0.52 0.29 0.76 0.95 0.33 0.88 0.58 0.92 0.89 0.54 0.08 0.32 0.92 0.84 0.30 0.78 0.97 0.39 0.54 0.58 0.90 0.58 0.04 0.76 0.04 0.22 0.57 0.37 0.26 0.70 0.96 0.72 0.53 1.00 0.94 0.62 0.48 0.73 0.98 0.57 0.86 0.92 0.21 0.82 0.93 0.91 0.75 0.59 0.91 0.82 0.00 0.94 0.17 0.62 0.77 0.48 0.22 0.74 0.75 0.17 0.72 0.63 0.96 0.24 0.83 0.84 0.61 0.98 0.59 0.55 0.56 0.78 0.12 0.68 0.19 0.83 0.59 0.42 0.29 0.05 0.09 0.88 0.81 0.82 0.54 0.86 ]
