[ 0.40 0.92 0.09 0.95 0.89 0.66 0.33 0.86 0.31 0.25 1.00 0.29 0.59 0.96 0.00 0.00 0.97 0.95 0.02 0.83 0.12 0.54 0.70 0.76 0.69 0.83 0.75 0.88 0.14 0.33 0.67 0.93 0.98 0.16 0.98 0.78 0.74 0.94 0.20 0.35 1.00 0.96 0.35 0.78 0.66 0.76 0.59 0.18 0.55 0.92 0.19 0.86 ]
[ 0.71 0.80 0.60 0.38 0.70 0.84 0.80 0.36 0.27 0.26 0.29 1.00 0.00 0.95 0.79 0.72 0.25 0.93 0.39 0.76 0.87 0.45 0.00 0.72 0.23 0.66 0.71 0.15 0.62 0.93 0.66 0.85 0.98 0.84 0.44 0.63 0.55 0.44 0.00 0.32 0.48 0.94 0.46 0.20 0.20 0.97 0.58 0.34 0.40 0.21 0.67 0.98 ]
[ 0.55 0.63 0.89 0.05 0.86 0.94 0.86 0.46 0.99 0.52 0.59 0.00 1.00 0.00 0.94 0.33 0.42 0.91 0.67 0.47 0.55 0.29 0.54 0.86 0.66 0.46 0.32 0.71 0.50 0.97 0.95 0.18 0.00 0.92 0.81 0.52 0.53 0.34 0.73 0.86 0.92 0.39 0.50 0.37 0.92 0.00 0.93 0.58 0.04 0.60 0.19 0.89 ]
[ 0.98 0.46 0.77 0.83 0.96 0.90 0.93 0.74 0.78 0.40 0.96 0.95 0.00 1.00 0.45 0.57 0.35 0.27 0.80 0.89 0.49 0.61 0.91 0.53 0.70 0.49 0.31 0.35 0.36 0.76 0.87 0.85 0.87 0.03 0.95 0.93 0.15 0.24 0.75 0.37 0.12 0.65 0.80 0.38 0.56 0.83 0.63 0.28 0.87 0.81 0.72 0.84 ]
[ 0.93 0.42 0.73 0.92 0.50 0.68 0.55 0.74 0.34 0.48 0.00 0.79 0.94 0.45 1.00 0.59 0.88 0.70 0.24 0.90 0.61 0.74 0.92 0.28 0.88 0.92 0.66 0.65 0.42 0.87 0.38 0.49 0.31 0.86 0.75 0.29 0.95 0.50 0.49 0.56 0.54 0.85 0.57 0.99 0.31 0.40 0.71 0.02 0.22 0.91 0.93 0.48 ]
[ 0.92 0.77 0.64 0.28 0.59 0.99 0.74 0.47 0.47 0.78 0.00 0.72 0.33 0.57 0.59 1.00 0.61 0.38 0.61 0.12 0.99 0.49 0.50 0.52 0.49 0.36 0.66 0.90 0.56 0.70 0.40 0.40 0.32 0.26 0.57 0.22 0.96 0.21 0.85 0.81 0.50 0.12 0.61 0.86 0.77 0.43 0.87 0.33 0.46 0.89 0.40 0.56 ]
[ 0.11 0.99 0.35 0.29 0.88 0.91 0.89 0.45 0.53 0.47 0.97 0.25 0.42 0.35 0.88 0.61 1.00 0.81 0.89 0.35 0.48 0.92 0.16 0.91 0.91 0.80 0.54 0.52 0.44 0.31 0.00 0.00 0.57 0.83 0.82 0.53 0.44 0.64 0.39 0.25 0.31 0.90 0.16 0.53 0.00 0.51 0.48 0.60 0.23 0.48 0.32 0.79 ]
[ 0.88 0.79 0.77 0.91 0.88 0.88 0.94 0.94 0.13 0.73 0.95 0.93 0.91 0.27 0.70 0.38 0.81 1.00 0.73 0.02 0.56 0.63 0.88 0.39 0.26 0.68 0.53 0.01 0.97 0.50 1.00 0.04 0.42 0.62 0.07 0.68 0.97 0.00 0.85 0.42 0.96 0.83 0.61 0.70 0.17 0.27 0.07 0.30 0.93 0.42 0.76 0.08 ]
[ 0.41 0.83 0.55 1.00 0.78 0.81 0.92 0.41 0.86 0.19 0.02 0.39 0.67 0.80 0.24 0.61 0.89 0.73 1.00 0.84 0.81 0.52 0.88 0.92 0.85 0.44 0.70 0.34 0.06 0.22 0.46 0.17 0.43 0.00 0.79 0.15 0.00 1.00 0.21 0.60 0.40 0.95 0.06 0.30 0.91 0.06 0.29 0.24 0.64 0.24 0.46 0.65 ]
[ 0.50 0.46 0.30 0.41 0.99 0.41 0.59 0.73 0.62 0.14 0.83 0.76 0.47 0.89 0.90 0.12 0.35 0.02 0.84 1.00 0.95 0.95 0.77 0.35 0.14 0.16 0.40 0.21 0.97 0.31 0.42 0.34 0.78 0.97 0.05 0.95 0.31 0.69 0.61 0.40 0.00 0.85 0.94 0.23 0.94 0.48 0.65 0.86 0.24 0.82 0.44 0.92 ]
[ 0.59 0.17 0.54 0.35 0.66 0.73 0.06 0.40 0.04 0.36 0.12 0.87 0.55 0.49 0.61 0.99 0.48 0.56 0.81 0.95 1.00 0.99 0.96 0.05 0.28 0.92 0.63 0.34 0.51 0.25 0.74 0.65 0.47 0.97 0.37 0.15 0.75 0.18 0.92 0.96 0.63 0.74 0.36 0.26 0.83 0.71 0.87 0.96 0.90 0.16 0.97 0.47 ]
[ 0.87 0.39 0.26 0.17 0.77 0.94 0.38 0.29 0.47 0.86 0.54 0.45 0.29 0.61 0.74 0.49 0.92 0.63 0.52 0.95 0.99 1.00 0.81 0.32 0.74 0.20 0.28 0.77 0.16 0.36 0.39 0.72 0.58 0.86 0.22 0.60 0.25 0.92 0.55 0.07 0.64 0.81 0.48 0.41 0.76 0.49 0.97 0.00 0.42 0.97 0.82 1.00 ]
[ 0.46 0.94 0.21 0.84 0.26 0.01 0.08 0.56 1.00 0.30 0.70 0.00 0.54 0.91 0.92 0.50 0.16 0.88 0.88 0.77 0.96 0.81 1.00 0.86 0.38 0.61 0.60 0.69 0.16 0.63 0.17 0.66 0.10 0.49 0.95 0.97 0.03 0.43 0.59 0.90 0.58 0.17 0.86 0.48 0.47 0.80 0.40 0.30 0.56 0.85 0.54 0.96 ]
[ 0.75 0.94 0.23 0.19 0.81 0.36 0.46 0.74 0.48 0.83 0.76 0.72 0.86 0.53 0.28 0.52 0.91 0.39 0.92 0.35 0.05 0.32 0.86 1.00 0.60 0.00 0.33 0.90 0.28 0.89 0.05 0.99 0.08 0.39 0.47 0.03 0.56 0.51 0.92 0.93 0.85 0.34 0.88 0.48 0.13 0.98 0.68 0.62 0.98 0.89 0.15 0.97 ]
[ 0.06 0.55 0.55 0.76 0.59 0.16 0.00 0.56 0.88 0.16 0.69 0.23 0.66 0.70 0.88 0.49 0.91 0.26 0.85 0.14 0.28 0.74 0.38 0.60 1.00 0.41 0.91 0.95 0.21 0.58 0.80 0.81 0.89 0.23 0.86 0.75 0.23 0.00 0.91 0.69 0.75 0.30 0.70 0.76 0.02 0.40 0.48 0.45 0.44 1.00 0.40 0.40 ]
[ 0.82 0.04 0.28 0.89 0.16 0.29 0.25 0.49 0.63 0.57 0.83 0.66 0.46 0.49 0.92 0.36 0.80 0.68 0.44 0.16 0.92 0.20 0.61 0.00 0.41 1.00 0.99 0.98 0.24 0.27 1.00 0.27 0.92 0.51 0.56 0.86 0.19 0.99 0.69 0.84 0.66 0.03 0.45 0.16 0.96 0.93 0.94 0.49 0.69 0.58 0.98 0.43 ]
[ 0.23 0.94 0.85 0.87 0.50 0.80 0.57 0.00 0.79 0.60 0.75 0.71 0.32 0.31 0.66 0.66 0.54 0.53 0.70 0.40 0.63 0.28 0.60 0.33 0.91 0.99 1.00 0.29 0.06 0.30 0.87 0.65 0.59 0.45 0.96 0.73 0.75 1.00 0.46 0.39 0.87 0.68 0.23 0.74 0.99 0.13 0.16 0.40 0.67 0.34 0.80 0.95 ]
[ 0.38 0.86 0.60 0.72 0.64 0.81 0.86 0.70 0.72 0.57 0.88 0.15 0.71 0.35 0.65 0.90 0.52 0.01 0.34 0.21 0.34 0.77 0.69 0.90 0.95 0.98 0.29 1.00 0.93 0.25 0.46 0.16 0.10 0.21 0.66 0.37 0.85 0.10 0.71 0.60 0.73 0.00 0.96 0.63 0.93 0.64 0.72 0.51 0.76 0.48 0.00 0.84 ]
[ 0.80 0.99 0.88 0.70 0.89 0.00 0.18 0.97 0.67 0.98 0.14 0.62 0.50 0.36 0.42 0.56 0.44 0.97 0.06 0.97 0.51 0.16 0.16 0.28 0.21 0.24 0.06 0.93 1.00 0.43 0.40 0.15 0.19 0.31 0.93 0.84 0.93 0.57 0.15 0.46 0.71 0.71 0.84 0.61 0.49 0.88 0.92 0.31 0.66 0.49 0.92 0.50 ]
[ 0.18 0.90 0.10 0.92 0.78 0.37 0.91 0.88 0.09 0.26 0.33 0.93 0.97 0.76 0.87 0.70 0.31 0.50 0.22 0.31 0.25 0.36 0.63 0.89 0.58 0.27 0.30 0.25 0.43 1.00 0.84 0.35 0.52 0.50 0.19 0.94 0.24 0.00 0.37 0.46 0.42 0.36 0.25 0.42 0.33 0.94 0.85 0.88 0.00 0.67 0.64 0.45 ]
[ 0.29 0.68 0.89 0.92 0.73 0.96 0.06 0.61 0.52 0.99 0.67 0.66 0.95 0.87 0.38 0.40 0.00 1.00 0.46 0.42 0.74 0.39 0.17 0.05 0.80 1.00 0.87 0.46 0.40 0.84 1.00 0.27 0.68 1.00 0.30 0.39 0.19 0.00 0.98 0.22 0.32 0.65 0.94 0.12 0.20 0.40 0.32 0.27 0.37 0.82 0.99 0.91 ]
[ 0.57 0.93 0.85 0.79 0.82 0.00 0.74 0.29 0.84 0.21 0.93 0.85 0.18 0.85 0.49 0.40 0.00 0.04 0.17 0.34 0.65 0.72 0.66 0.99 0.81 0.27 0.65 0.16 0.15 0.35 0.27 1.00 0.96 0.72 0.20 0.36 0.33 0.48 0.33 0.87 0.97 0.73 0.18 0.16 0.26 0.76 0.33 0.18 0.11 0.94 0.68 0.23 ]
[ 0.86 0.96 0.82 0.24 0.00 0.30 0.62 0.51 0.16 0.95 0.98 0.98 0.00 0.87 0.31 0.32 0.57 0.42 0.43 0.78 0.47 0.58 0.10 0.08 0.89 0.92 0.59 0.10 0.19 0.52 0.68 0.96 1.00 0.77 0.74 0.75 0.48 0.49 0.95 0.36 0.76 0.59 0.08 0.85 0.98 0.91 0.54 0.39 0.29 0.33 0.41 0.16 ]
[ 0.40 0.26 0.19 0.32 0.87 0.76 0.79 0.68 0.20 0.20 0.16 0.84 0.92 0.03 0.86 0.26 0.83 0.62 0.00 0.97 0.97 0.86 0.49 0.39 0.23 0.51 0.45 0.21 0.31 0.50 1.00 0.72 0.77 1.00 0.67 0.24 0.17 0.86 0.77 0.59 0.94 0.83 0.45 0.99 0.55 0.95 0.08 0.71 0.85 0.66 0.38 0.26 ]
[ 0.31 0.62 0.12 0.27 0.58 0.53 0.90 0.56 0.61 0.46 0.98 0.44 0.81 0.95 0.75 0.57 0.82 0.07 0.79 0.05 0.37 0.22 0.95 0.47 0.86 0.56 0.96 0.66 0.93 0.19 0.30 0.20 0.74 0.67 1.00 0.04 0.31 0.78 0.57 0.93 0.99 1.00 0.14 0.29 0.37 0.50 0.58 0.99 0.35 0.00 0.46 0.93 ]
[ 0.68 0.71 0.68 0.99 0.84 0.50 0.95 0.59 0.49 0.96 0.78 0.63 0.52 0.93 0.29 0.22 0.53 0.68 0.15 0.95 0.15 0.60 0.97 0.03 0.75 0.86 0.73 0.37 0.84 0.94 0.39 0.36 0.75 0.24 0.04 1.00 0.98 0.93 0.36 0.32 0.85 0.74 0.24 0.22 0.63 0.31 0.45 0.67 0.85 0.83 0.94 0.23 ]
[ 0.79 0.21 0.89 0.43 0.94 0.66 0.75 0.23 0.35 0.25 0.74 0.55 0.53 0.15 0.95 0.96 0.44 0.97 0.00 0.31 0.75 0.25 0.03 0.56 0.23 0.19 0.75 0.85 0.93 0.24 0.19 0.33 0.48 0.17 0.31 0.98 1.00 0.27 0.26 0.64 0.39 0.94 0.57 0.54 0.92 0.93 0.86 0.44 0.95 0.00 0.62 0.91 ]
[ 0.59 0.48 0.60 0.57 0.56 0.70 0.89 0.43 0.50 0.74 0.94 0.44 0.34 0.24 0.50 0.21 0.64 0.00 1.00 0.69 0.18 0.92 0.43 0.51 0.00 0.99 1.00 0.10 0.57 0.00 0.00 0.48 0.49 0.86 0.78 0.93 0.27 1.00 0.17 0.38 0.16 0.44 0.25 0.85 0.65 0.77 0.87 0.99 0.88 0.32 0.53 0.12 ]
[ 0.00 0.52 0.92 0.58 0.98 0.53 0.51 0.57 0.30 0.85 0.20 0.00 0.73 0.75 0.49 0.85 0.39 0.85 0.21 0.61 0.92 0.55 0.59 0.92 0.91 0.69 0.46 0.71 0.15 0.37 0.98 0.33 0.95 0.77 0.57 0.36 0.26 0.17 1.00 0.58 0.41 0.86 0.39 0.93 0.48 0.98 0.83 0.28 0.85 1.00 0.26 0.67 ]
[ 0.49 0.32 0.45 0.08 0.60 0.00 0.40 0.23 0.80 0.36 0.35 0.32 0.86 0.37 0.56 0.81 0.25 0.42 0.60 0.40 0.96 0.07 0.90 0.93 0.69 0.84 0.39 0.60 0.46 0.46 0.22 0.87 0.36 0.59 0.93 0.32 0.64 0.38 0.58 1.00 0.03 0.22 0.50 0.88 0.39 0.56 0.89 0.47 0.66 0.04 0.80 0.54 ]
[ 0.19 0.89 0.82 0.74 0.53 0.74 0.56 0.65 0.40 0.26 1.00 0.48 0.92 0.12 0.54 0.50 0.31 0.96 0.40 0.00 0.63 0.64 0.58 0.85 0.75 0.66 0.87 0.73 0.71 0.42 0.32 0.97 0.76 0.94 0.99 0.85 0.39 0.16 0.41 0.03 1.00 0.68 0.72 0.96 0.38 0.98 0.98 0.87 0.30 0.35 0.88 0.98 ]
[ 0.86 0.26 0.88 0.17 0.00 0.03 0.67 0.76 0.79 0.27 0.96 0.94 0.39 0.65 0.85 0.12 0.90 0.83 0.95 0.85 0.74 0.81 0.17 0.34 0.30 0.03 0.68 0.00 0.71 0.36 0.65 0.73 0.59 0.83 1.00 0.74 0.94 0.44 0.86 0.22 0.68 1.00 0.40 1.00 0.38 0.17 0.97 0.91 0.96 0.88 0.01 0.47 ]
[ 0.20 0.95 0.45 0.37 0.48 0.03 0.92 0.79 0.92 0.60 0.35 0.46 0.50 0.80 0.57 0.61 0.16 0.61 0.06 0.94 0.36 0.48 0.86 0.88 0.70 0.45 0.23 0.96 0.84 0.25 0.94 0.18 0.08 0.45 0.14 0.24 0.57 0.25 0.39 0.50 0.72 0.40 1.00 0.42 1.00 0.19 0.44 0.75 0.76 0.14 0.73 0.66 ]
[ 0.25 0.27 0.30 0.49 0.69 0.71 0.20 0.96 0.86 0.84 0.78 0.20 0.37 0.38 0.99 0.86 0.53 0.70 0.30 0.23 0.26 0.41 0.48 0.48 0.76 0.16 0.74 0.63 0.61 0.42 0.12 0.16 0.85 0.99 0.29 0.22 0.54 0.85 0.93 0.88 0.96 1.00 0.42 1.00 0.87 0.61 0.03 0.61 0.44 0.44 0.60 0.47 ]
[ 0.68 0.96 0.91 0.60 0.88 0.00 0.95 0.92 0.46 0.66 0.66 0.20 0.92 0.56 0.31 0.77 0.00 0.17 0.91 0.94 0.83 0.76 0.47 0.13 0.02 0.96 0.99 0.93 0.49 0.33 0.20 0.26 0.98 0.55 0.37 0.63 0.92 0.65 0.48 0.39 0.38 0.38 1.00 0.87 1.00 0.91 0.98 0.68 0.23 0.84 0.47 0.89 ]
[ 0.71 0.77 0.10 0.39 0.94 0.38 0.93 0.48 0.32 0.98 0.76 0.97 0.00 0.83 0.40 0.43 0.51 0.27 0.06 0.48 0.71 0.49 0.80 0.98 0.40 0.93 0.13 0.64 0.88 0.94 0.40 0.76 0.91 0.95 0.50 0.31 0.93 0.77 0.98 0.56 0.98 0.17 0.19 0.61 0.91 1.00 0.63 0.65 0.79 0.11 0.89 0.35 ]
[ 0.51 0.67 0.89 0.95 0.67 0.28 0.76 0.82 0.69 0.29 0.59 0.58 0.93 0.63 0.71 0.87 0.48 0.07 0.29 0.65 0.87 0.97 0.40 0.68 0.48 0.94 0.16 0.72 0.92 0.85 0.32 0.33 0.54 0.08 0.58 0.45 0.86 0.87 0.83 0.89 0.98 0.97 0.44 0.03 0.98 0.63 1.00 0.16 0.48 0.53 0.85 0.64 ]
[ 0.98 0.24 0.29 0.96 0.60 0.19 0.91 0.37 0.85 0.20 0.18 0.34 0.58 0.28 0.02 0.33 0.60 0.30 0.24 0.86 0.96 0.00 0.30 0.62 0.45 0.49 0.40 0.51 0.31 0.88 0.27 0.18 0.39 0.71 0.99 0.67 0.44 0.99 0.28 0.47 0.87 0.91 0.75 0.61 0.68 0.65 0.16 1.00 0.29 0.41 0.75 0.16 ]
[ 0.91 0.75 0.54 0.93 0.46 1.00 0.32 0.76 0.20 0.76 0.55 0.40 0.04 0.87 0.22 0.46 0.23 0.93 0.64 0.24 0.90 0.42 0.56 0.98 0.44 0.69 0.67 0.76 0.66 0.00 0.37 0.11 0.29 0.85 0.35 0.85 0.95 0.88 0.85 0.66 0.30 0.96 0.76 0.44 0.23 0.79 0.48 0.29 1.00 0.16 0.52 0.18 ]
[ 0.97 0.24 0.66 0.78 0.98 0.26 0.54 0.34 0.00 0.94 0.92 0.21 0.60 0.81 0.91 0.89 0.48 0.42 0.24 0.82 0.16 0.97 0.85 0.89 1.00 0.58 0.34 0.48 0.49 0.67 0.82 0.94 0.33 0.66 0.00 0.83 0.00 0.32 1.00 0.04 0.35 0.88 0.14 0.44 0.84 0.11 0.53 0.41 0.16 1.00 0.09 0.00 ]
[ 0.13 0.13 0.53 0.55 0.83 0.64 0.72 0.73 0.65 0.87 0.19 0.67 0.19 0.72 0.93 0.40 0.32 0.76 0.46 0.44 0.97 0.82 0.54 0.15 0.40 0.98 0.80 0.00 0.92 0.64 0.99 0.68 0.41 0.38 0.46 0.94 0.62 0.53 0.26 0.80 0.88 0.01 0.73 0.60 0.47 0.89 0.85 0.75 0.52 0.09 1.00 0.76 ]
[ 0.56 0.31 0.69 0.28 0.50 0.61 0.93 0.10 0.41 0.19 0.86 0.98 0.89 0.84 0.48 0.56 0.79 0.08 0.65 0.92 0.47 1.00 0.96 0.97 0.40 0.43 0.95 0.84 0.50 0.45 0.91 0.23 0.16 0.26 0.93 0.23 0.91 0.12 0.67 0.54 0.98 0.47 0.66 0.47 0.89 0.35 0.64 0.16 0.18 0.00 0.76 1.00 ]
];
