[ 0.46 0.22 0.94 0.98 0.19 0.81 0.30 0.83 0.83 0.61 0.26 1.00 0.97 0.63 0.53 0.27 1.00 0.21 0.89 0.65 0.90 0.29 0.49 0.54 0.83 0.67 0.90 0.61 0.20 0.52 0.76 0.87 0.43 0.96 0.20 0.28 0.72 0.25 0.66 ]
[ 0.98 0.20 0.61 0.24 0.36 0.18 0.35 0.44 0.96 0.19 0.92 0.23 0.34 0.20 0.81 0.61 0.21 1.00 0.96 0.27 0.49 0.03 0.97 0.67 0.39 0.40 0.89 0.95 0.42 0.42 0.02 0.81 0.51 1.00 0.06 0.96 0.95 0.17 0.26 ]
[ 0.76 0.30 0.91 0.24 0.47 0.55 0.96 0.74 0.92 0.47 0.88 0.25 0.99 0.78 0.77 0.18 0.89 0.96 1.00 0.68 0.91 0.99 0.76 0.56 0.39 0.12 0.87 0.67 0.92 0.80 0.75 0.96 0.54 0.83 0.00 0.96 0.77 0.88 0.65 ]
[ 0.38 0.52 0.64 0.91 0.84 0.74 0.95 0.30 0.21 0.90 0.41 0.75 0.91 0.82 0.44 0.20 0.65 0.27 0.68 1.00 0.22 0.24 0.68 0.88 0.39 0.99 0.72 0.78 0.51 0.85 0.91 0.69 0.82 0.99 0.88 0.79 0.58 0.38 0.60 ]
[ 0.69 0.33 0.81 0.93 0.91 0.17 0.69 0.38 0.95 0.27 0.81 0.68 0.60 0.43 0.45 0.59 0.90 0.49 0.91 0.22 1.00 0.98 0.46 0.17 0.60 0.66 0.40 0.43 0.49 0.75 0.73 0.55 0.92 0.35 0.52 0.07 0.27 0.26 0.31 ]
[ 0.07 0.99 0.57 0.57 0.68 0.32 0.80 0.80 0.18 0.95 0.26 0.47 0.05 0.57 0.83 0.89 0.29 0.03 0.99 0.24 0.98 1.00 0.76 0.24 0.16 0.39 0.04 0.57 0.34 0.79 0.46 0.38 0.50 0.90 0.18 0.90 0.24 0.42 0.46 ]
[ 0.94 0.78 0.16 0.86 0.18 0.97 0.39 0.90 0.80 0.18 0.40 0.57 0.66 0.43 0.93 0.92 0.49 0.97 0.76 0.68 0.46 0.76 1.00 0.09 0.85 0.77 0.67 0.90 0.79 0.75 0.61 0.00 0.26 0.45 0.22 0.92 0.19 0.64 0.50 ]
[ 0.50 0.53 0.99 0.95 0.41 0.29 0.30 0.00 0.25 0.25 0.18 0.86 0.96 0.98 0.98 0.18 0.54 0.67 0.56 0.88 0.17 0.24 0.09 1.00 0.59 0.31 0.13 0.89 0.71 0.32 0.26 0.11 0.62 0.44 0.15 0.85 0.73 0.53 0.25 ]
[ 0.39 0.34 0.92 0.39 0.89 0.16 0.89 0.96 0.38 0.00 0.89 0.84 0.72 0.77 0.78 0.77 0.83 0.39 0.39 0.39 0.60 0.16 0.85 0.59 1.00 0.11 0.85 0.00 0.76 0.56 0.32 0.45 0.86 0.17 0.63 0.73 0.78 0.97 0.28 ]
[ 0.58 0.05 0.17 0.23 0.71 0.46 0.89 0.49 0.07 0.63 0.52 0.37 0.62 0.31 0.69 0.95 0.67 0.40 0.12 0.99 0.66 0.39 0.77 0.31 0.11 1.00 0.81 0.17 0.47 0.85 0.87 0.77 0.20 0.09 0.45 0.51 0.17 0.40 1.00 ]
[ 0.95 0.54 0.84 0.75 0.06 0.78 0.86 0.11 0.53 0.62 0.50 0.69 0.93 0.51 0.89 0.48 0.90 0.89 0.87 0.72 0.40 0.04 0.67 0.13 0.85 0.81 1.00 0.88 0.95 0.64 0.86 0.94 0.52 1.00 0.47 0.05 0.85 0.17 0.51 ]
[ 0.42 0.15 0.94 0.64 0.88 0.40 0.90 0.64 0.24 0.73 0.07 0.59 0.85 0.67 0.00 0.95 0.61 0.95 0.67 0.78 0.43 0.57 0.90 0.89 0.00 0.17 0.88 1.00 0.77 0.68 0.41 0.07 0.93 0.14 0.65 0.83 0.57 0.13 0.87 ]
[ 0.83 0.78 0.86 0.86 0.60 0.44 0.27 0.98 0.21 0.37 0.36 0.90 0.81 0.26 0.80 0.22 0.20 0.42 0.92 0.51 0.49 0.34 0.79 0.71 0.76 0.47 0.95 0.77 1.00 0.47 0.75 0.38 0.77 0.91 0.06 0.85 0.99 0.37 0.58 ]
[ 0.72 0.73 0.70 0.00 0.24 0.58 0.48 1.00 0.18 0.45 0.86 0.98 0.35 0.71 0.00 0.97 0.52 0.42 0.80 0.85 0.75 0.79 0.75 0.32 0.56 0.85 0.64 0.68 0.47 1.00 0.63 0.37 0.59 0.26 0.93 0.13 0.65 0.45 0.56 ]
[ 0.18 0.36 0.62 0.16 0.51 0.89 0.56 0.34 0.96 0.00 0.67 0.30 0.74 0.22 0.08 0.59 0.76 0.02 0.75 0.91 0.73 0.46 0.61 0.26 0.32 0.87 0.86 0.41 0.75 0.63 1.00 0.98 0.20 0.88 0.15 0.54 0.54 0.57 0.08 ]
[ 0.50 0.97 0.94 0.84 0.98 0.61 0.13 0.94 0.48 0.00 0.78 0.09 0.57 0.24 0.72 0.36 0.87 0.81 0.96 0.69 0.55 0.38 0.00 0.11 0.45 0.77 0.94 0.07 0.38 0.37 0.98 1.00 0.78 0.73 0.10 0.39 0.36 0.03 0.22 ]
[ 0.92 0.40 0.62 0.74 0.00 0.70 0.00 0.19 0.72 0.24 0.69 0.92 0.27 0.88 0.67 0.77 0.43 0.51 0.54 0.82 0.92 0.50 0.26 0.62 0.86 0.20 0.52 0.93 0.77 0.59 0.20 0.78 1.00 0.17 0.72 0.33 0.88 0.22 0.56 ]
[ 0.38 0.79 0.35 0.75 0.28 0.73 0.25 0.96 0.20 0.91 0.49 0.04 0.66 0.00 0.92 0.76 0.96 1.00 0.83 0.99 0.35 0.90 0.45 0.44 0.17 0.09 1.00 0.14 0.91 0.26 0.88 0.73 0.17 1.00 0.78 0.78 0.87 0.53 0.75 ]
[ 0.97 0.30 0.75 0.77 0.25 0.83 0.21 0.98 0.16 0.23 0.35 0.56 0.15 0.22 0.16 0.06 0.20 0.06 0.00 0.88 0.52 0.18 0.22 0.15 0.63 0.45 0.47 0.65 0.06 0.93 0.15 0.10 0.72 0.78 1.00 0.34 0.10 0.32 0.36 ]
[ 0.22 0.46 0.72 0.81 0.63 0.21 0.18 0.91 0.82 0.36 0.34 0.62 0.32 0.45 0.82 0.00 0.28 0.96 0.96 0.79 0.07 0.90 0.92 0.85 0.73 0.51 0.05 0.83 0.85 0.13 0.54 0.39 0.33 0.78 0.34 1.00 0.65 0.39 0.46 ]
[ 0.99 0.62 0.05 0.18 0.89 0.97 0.76 0.56 0.93 0.78 0.61 0.70 0.22 0.59 0.50 0.85 0.72 0.95 0.77 0.58 0.27 0.24 0.19 0.73 0.78 0.17 0.85 0.57 0.99 0.65 0.54 0.36 0.88 0.87 0.10 0.65 1.00 0.52 0.76 ]
[ 0.44 0.82 0.97 0.38 0.26 0.02 0.68 0.64 0.23 0.26 0.89 0.94 0.69 0.77 0.74 0.52 0.25 0.17 0.88 0.38 0.26 0.42 0.64 0.53 0.97 0.40 0.17 0.13 0.37 0.45 0.57 0.03 0.22 0.53 0.32 0.39 0.52 1.00 0.39 ]
[ 0.86 0.91 0.50 0.12 0.34 0.39 0.42 0.71 0.53 0.50 0.98 0.76 0.34 0.57 0.23 0.69 0.66 0.26 0.65 0.60 0.31 0.46 0.50 0.25 0.28 1.00 0.51 0.87 0.58 0.56 0.08 0.22 0.56 0.75 0.36 0.46 0.76 0.39 1.00 ]
];
