[ 0.11 0.78 0.92 0.03 0.43 0.91 0.64 0.53 0.18 0.00 0.61 0.93 0.82 0.37 0.87 1.00 0.63 0.52 0.56 0.88 0.91 0.24 0.95 0.08 0.30 0.70 0.15 0.37 0.50 0.32 0.30 0.22 0.90 0.85 0.66 0.69 0.16 0.33 0.47 0.64 0.78 0.96 0.82 0.09 0.79 ]
[ 0.52 0.58 0.32 0.32 0.57 0.51 0.00 0.61 0.58 0.08 0.55 0.65 0.71 0.62 0.58 0.63 1.00 0.00 0.02 0.87 0.47 0.20 0.47 0.27 0.90 0.00 0.18 0.57 0.28 0.30 0.91 1.00 0.60 0.76 0.16 0.97 0.91 0.00 0.12 0.91 0.54 0.86 0.71 0.16 0.96 ]
[ 0.00 0.70 0.48 0.76 0.47 0.99 0.62 0.67 0.16 0.94 0.00 0.68 0.80 0.33 0.68 0.52 0.00 1.00 0.96 0.80 0.59 0.55 0.72 0.53 0.85 0.30 0.65 0.92 0.00 0.78 0.92 0.61 0.31 0.83 0.19 0.78 0.74 0.30 0.64 0.46 0.40 0.00 0.20 0.95 0.65 ]
[ 0.95 0.87 0.27 0.86 0.94 0.43 0.12 0.56 0.27 1.00 0.53 0.91 0.19 0.55 0.48 0.56 0.02 0.96 1.00 0.24 0.29 0.47 0.18 0.60 0.79 0.99 0.42 0.73 0.86 0.48 0.81 0.83 0.71 0.32 0.00 0.41 0.94 0.97 0.31 0.99 0.93 0.25 0.73 0.00 0.75 ]
[ 0.38 0.65 0.22 0.51 0.21 0.88 0.37 0.66 0.58 0.80 0.00 0.46 0.58 0.70 0.91 0.88 0.87 0.80 0.24 1.00 0.56 0.40 0.92 0.08 0.15 0.68 0.26 0.17 0.75 0.55 0.29 0.00 0.95 0.88 0.49 0.38 0.67 0.07 0.86 0.72 0.70 0.86 0.69 0.31 0.18 ]
[ 0.89 0.40 0.95 0.90 0.59 0.47 0.41 0.99 0.69 0.86 0.91 0.99 0.88 0.22 0.25 0.91 0.47 0.59 0.29 0.56 1.00 0.62 0.65 0.53 0.92 0.73 0.78 0.16 0.72 0.79 0.88 0.32 0.39 0.29 0.51 0.88 0.80 0.86 0.42 0.85 0.90 0.68 0.16 0.78 0.03 ]
[ 0.89 0.78 0.09 0.82 0.26 0.78 0.58 0.92 0.91 0.66 0.70 0.21 0.97 0.40 0.90 0.24 0.20 0.55 0.47 0.40 0.62 1.00 0.11 0.53 0.46 0.37 0.84 0.86 0.42 0.21 0.59 0.22 0.36 0.49 0.96 0.73 0.90 0.44 0.49 0.18 0.73 0.93 0.28 0.85 0.94 ]
[ 0.25 0.42 0.98 0.78 0.87 0.07 0.50 0.62 0.22 0.60 0.93 0.88 0.96 0.99 0.89 0.95 0.47 0.72 0.18 0.92 0.65 0.11 1.00 0.86 0.56 0.13 0.09 0.99 0.97 0.79 0.73 0.30 0.35 0.32 0.94 0.99 0.43 0.42 0.20 0.88 0.57 0.52 0.42 0.51 0.89 ]
[ 0.37 0.91 0.94 0.22 0.38 0.65 0.22 0.74 0.23 0.42 0.73 0.65 0.83 0.28 0.30 0.08 0.27 0.53 0.60 0.08 0.53 0.53 0.86 1.00 0.91 0.96 0.42 0.75 0.87 0.46 0.04 0.19 0.98 0.00 0.17 0.65 0.37 0.48 0.45 0.17 0.20 0.58 0.49 0.51 0.97 ]
[ 0.46 0.10 0.87 0.49 0.36 0.00 0.73 0.39 0.95 0.72 0.57 0.22 0.88 0.59 0.77 0.30 0.90 0.85 0.79 0.15 0.92 0.46 0.56 0.91 1.00 0.54 0.35 0.82 0.32 0.20 0.13 0.05 0.95 0.99 0.93 0.83 0.22 0.33 0.88 0.65 0.69 0.80 0.95 0.85 0.82 ]
[ 0.07 0.28 0.50 0.93 0.53 0.42 0.33 0.54 0.19 0.43 0.16 0.52 0.37 0.65 0.74 0.70 0.00 0.30 0.99 0.68 0.73 0.37 0.13 0.96 0.54 1.00 0.28 0.75 0.16 0.42 0.61 0.83 0.49 0.29 0.61 0.93 0.92 0.61 0.37 0.35 0.33 0.06 0.20 0.85 0.97 ]
[ 0.94 0.52 0.55 0.44 0.96 0.24 0.82 0.25 0.62 0.85 0.98 0.53 0.29 0.30 0.89 0.15 0.18 0.65 0.42 0.26 0.78 0.84 0.09 0.42 0.35 0.28 1.00 0.86 0.34 0.20 0.86 0.50 0.64 0.87 0.36 0.94 0.24 0.80 0.01 0.73 0.54 0.33 0.29 0.97 0.38 ]
[ 0.46 0.17 0.70 0.92 0.24 0.63 0.55 0.51 0.97 0.83 0.70 0.91 0.44 0.94 0.15 0.37 0.57 0.92 0.73 0.17 0.16 0.86 0.99 0.75 0.82 0.75 0.86 1.00 0.32 0.24 0.27 0.68 0.15 0.22 0.62 0.91 0.56 0.80 0.63 0.31 0.72 0.32 0.00 0.94 0.87 ]
[ 0.28 0.88 0.42 0.09 0.43 0.25 0.48 0.14 0.17 0.64 0.01 0.51 0.92 1.00 0.47 0.50 0.28 0.00 0.86 0.75 0.72 0.42 0.97 0.87 0.32 0.16 0.34 0.32 1.00 0.56 0.27 0.60 0.00 0.96 0.84 0.70 0.83 0.80 0.97 0.06 0.54 0.47 0.71 0.42 0.49 ]
[ 0.46 0.44 0.27 0.49 0.98 0.35 0.70 0.92 0.61 0.83 0.55 0.20 0.90 0.77 0.38 0.32 0.30 0.78 0.48 0.55 0.79 0.21 0.79 0.46 0.20 0.42 0.20 0.24 0.56 1.00 0.74 0.53 0.16 0.00 0.66 0.60 0.91 0.86 0.84 0.93 0.40 0.88 0.85 0.40 0.40 ]
[ 0.41 0.31 0.41 0.98 0.28 0.41 0.28 0.68 1.00 0.17 0.33 0.46 0.30 0.65 0.99 0.30 0.91 0.92 0.81 0.29 0.88 0.59 0.73 0.04 0.13 0.61 0.86 0.27 0.27 0.74 1.00 0.76 0.47 0.34 0.89 0.41 0.13 0.21 0.20 0.85 0.24 0.95 0.22 0.01 0.97 ]
[ 0.81 0.75 0.69 0.28 0.65 0.24 0.58 0.56 0.97 0.98 0.60 0.01 0.91 0.53 0.92 0.22 1.00 0.61 0.83 0.00 0.32 0.22 0.30 0.19 0.05 0.83 0.50 0.68 0.60 0.53 0.76 1.00 0.08 0.16 0.99 0.58 0.27 0.50 0.75 0.55 0.59 0.00 0.59 0.31 0.42 ]
[ 0.57 0.64 0.04 0.71 0.94 0.63 0.26 0.59 0.95 0.97 0.96 0.43 0.57 0.02 0.21 0.90 0.60 0.31 0.71 0.95 0.39 0.36 0.35 0.98 0.95 0.49 0.64 0.15 0.00 0.16 0.47 0.08 1.00 0.89 0.96 0.20 0.78 0.87 0.03 0.77 0.70 0.99 0.58 0.78 0.80 ]
[ 0.61 0.83 0.27 0.24 0.91 0.57 0.95 0.00 0.53 0.15 0.59 0.38 0.89 0.05 0.37 0.85 0.76 0.83 0.32 0.88 0.29 0.49 0.32 0.00 0.99 0.29 0.87 0.22 0.96 0.00 0.34 0.16 0.89 1.00 0.61 0.33 0.00 0.95 0.16 0.90 0.82 0.37 0.59 0.44 0.92 ]
[ 0.97 0.60 0.77 0.43 0.80 0.53 0.37 0.30 0.68 0.87 0.88 0.45 0.73 0.98 0.89 0.66 0.16 0.19 0.00 0.49 0.51 0.96 0.94 0.17 0.93 0.61 0.36 0.62 0.84 0.66 0.89 0.99 0.96 0.61 1.00 0.17 0.67 0.98 0.34 0.82 0.18 0.01 0.89 0.51 0.58 ]
[ 0.74 0.63 0.92 0.21 0.74 0.30 0.75 0.64 0.55 0.27 0.48 0.56 0.84 0.32 0.79 0.69 0.97 0.78 0.41 0.38 0.88 0.73 0.99 0.65 0.83 0.93 0.94 0.91 0.70 0.60 0.41 0.58 0.20 0.33 0.17 1.00 0.62 0.38 0.70 0.00 0.88 0.19 0.88 0.69 0.24 ]
[ 0.95 0.56 0.69 0.18 0.09 0.18 0.90 0.86 0.99 0.83 0.72 0.35 0.29 0.19 0.42 0.16 0.91 0.74 0.94 0.67 0.80 0.90 0.43 0.37 0.22 0.92 0.24 0.56 0.83 0.91 0.13 0.27 0.78 0.00 0.67 0.62 1.00 0.75 0.96 0.94 0.68 0.93 0.17 0.22 0.49 ]
[ 0.21 0.41 0.98 0.00 0.46 0.60 0.53 0.99 0.36 0.67 0.07 0.65 0.86 0.26 0.60 0.33 0.00 0.30 0.97 0.07 0.86 0.44 0.42 0.48 0.33 0.61 0.80 0.80 0.80 0.86 0.21 0.50 0.87 0.95 0.98 0.38 0.75 1.00 0.30 0.46 0.19 0.40 0.00 0.55 0.46 ]
[ 0.53 0.38 0.20 0.81 0.37 0.83 0.87 0.39 0.92 0.60 0.86 0.98 0.18 0.15 0.72 0.47 0.12 0.64 0.31 0.86 0.42 0.49 0.20 0.45 0.88 0.37 0.01 0.63 0.97 0.84 0.20 0.75 0.03 0.16 0.34 0.70 0.96 0.30 1.00 0.51 0.16 0.85 0.94 0.47 0.72 ]
[ 0.73 0.63 0.49 0.80 0.20 0.83 0.78 0.79 0.91 0.59 0.41 0.06 0.31 0.28 0.00 0.64 0.91 0.46 0.99 0.72 0.85 0.18 0.88 0.17 0.65 0.35 0.73 0.31 0.06 0.93 0.85 0.55 0.77 0.90 0.82 0.00 0.94 0.46 0.51 1.00 0.02 0.17 0.01 0.32 0.25 ]
[ 0.34 0.70 0.42 0.53 0.59 0.13 0.22 0.54 0.38 0.91 0.20 0.93 0.79 0.07 0.63 0.78 0.54 0.40 0.93 0.70 0.90 0.73 0.57 0.20 0.69 0.33 0.54 0.72 0.54 0.40 0.24 0.59 0.70 0.82 0.18 0.88 0.68 0.19 0.16 0.02 1.00 0.59 0.96 0.48 0.24 ]
[ 0.68 0.58 0.82 0.00 0.97 0.90 0.60 0.88 0.57 0.85 0.69 0.79 0.70 0.85 0.95 0.96 0.86 0.00 0.25 0.86 0.68 0.93 0.52 0.58 0.80 0.06 0.33 0.32 0.47 0.88 0.95 0.00 0.99 0.37 0.01 0.19 0.93 0.40 0.85 0.17 0.59 1.00 0.49 0.25 0.63 ]
[ 0.90 0.86 0.20 1.00 0.20 0.39 0.89 1.00 0.74 0.70 0.41 0.05 0.78 0.52 0.53 0.82 0.71 0.20 0.73 0.69 0.16 0.28 0.42 0.49 0.95 0.20 0.29 0.00 0.71 0.85 0.22 0.59 0.58 0.59 0.89 0.88 0.17 0.00 0.94 0.01 0.96 0.49 1.00 0.29 0.06 ]
[ 0.20 0.25 0.99 0.04 0.71 0.67 0.20 0.87 0.20 0.16 0.76 0.86 0.95 0.52 0.17 0.09 0.16 0.95 0.00 0.31 0.78 0.85 0.51 0.51 0.85 0.85 0.97 0.94 0.42 0.40 0.01 0.31 0.78 0.44 0.51 0.69 0.22 0.55 0.47 0.32 0.48 0.25 0.29 1.00 0.45 ]
[ 0.75 0.37 0.93 0.17 0.18 0.87 0.75 0.31 0.42 0.19 0.75 0.90 0.47 0.95 0.85 0.79 0.96 0.65 0.75 0.18 0.03 0.94 0.89 0.97 0.82 0.97 0.38 0.87 0.49 0.40 0.97 0.42 0.80 0.92 0.58 0.24 0.49 0.46 0.72 0.25 0.24 0.63 0.06 0.45 1.00 ]
];
