[ 0.86 0.42 0.77 0.05 0.70 0.66 0.64 0.88 0.73 0.20 0.29 0.66 0.46 0.92 0.75 1.00 0.50 0.49 0.56 0.54 0.85 0.57 0.99 0.31 0.40 0.71 0.02 0.22 0.91 0.93 0.48 0.61 0.38 0.61 0.12 0.99 0.49 0.50 0.52 0.49 0.36 0.66 0.90 0.56 0.70 0.40 0.40 0.32 0.26 0.57 0.22 ]
[ 0.87 0.77 0.73 0.83 0.86 0.84 0.33 0.56 0.10 0.00 0.20 0.76 0.20 0.39 0.37 0.50 1.00 0.96 0.21 0.85 0.81 0.50 0.12 0.61 0.86 0.77 0.43 0.87 0.33 0.46 0.89 0.40 0.56 0.81 0.89 0.35 0.48 0.92 0.16 0.91 0.91 0.80 0.54 0.52 0.44 0.31 0.00 0.00 0.57 0.83 0.82 ]
[ 0.94 0.99 0.64 0.92 0.96 0.94 0.80 0.86 0.79 0.65 0.76 0.59 0.20 0.50 0.12 0.49 0.96 1.00 0.53 0.44 0.64 0.39 0.25 0.31 0.90 0.16 0.53 0.00 0.51 0.48 0.60 0.23 0.48 0.32 0.79 0.73 0.02 0.56 0.63 0.88 0.39 0.26 0.68 0.53 0.01 0.97 0.50 1.00 0.04 0.42 0.62 ]
[ 0.91 0.79 0.35 0.28 0.50 0.90 0.86 0.36 0.31 0.41 0.94 0.18 0.97 0.37 0.65 0.56 0.21 0.53 1.00 0.07 0.68 0.97 0.00 0.85 0.42 0.96 0.83 0.61 0.70 0.17 0.27 0.07 0.30 0.93 0.42 0.76 0.08 0.84 0.81 0.52 0.88 0.92 0.85 0.44 0.70 0.34 0.06 0.22 0.46 0.17 0.43 ]
[ 0.46 0.83 0.77 0.29 0.59 0.68 0.93 0.46 0.27 0.25 0.87 0.55 0.58 0.92 0.80 0.54 0.85 0.44 0.07 1.00 0.00 0.79 0.15 0.00 1.00 0.21 0.60 0.40 0.95 0.06 0.30 0.91 0.06 0.29 0.24 0.64 0.24 0.46 0.65 0.95 0.95 0.77 0.35 0.14 0.16 0.40 0.21 0.97 0.31 0.42 0.34 ]
[ 0.36 0.46 0.55 0.91 0.88 0.99 0.55 0.74 0.99 0.26 0.19 0.92 0.34 0.00 0.38 0.85 0.81 0.64 0.68 0.00 1.00 0.78 0.97 0.05 0.95 0.31 0.69 0.61 0.40 0.00 0.85 0.94 0.23 0.94 0.48 0.65 0.86 0.24 0.82 0.44 0.92 0.99 0.96 0.05 0.28 0.92 0.63 0.34 0.51 0.25 0.74 ]
[ 0.19 0.17 0.30 1.00 0.88 0.91 0.74 0.74 0.78 0.52 0.29 0.19 0.40 0.93 0.56 0.57 0.50 0.39 0.97 0.79 0.78 1.00 0.65 0.47 0.97 0.37 0.15 0.75 0.18 0.92 0.96 0.63 0.74 0.36 0.26 0.83 0.71 0.87 0.96 0.90 0.16 0.97 0.47 0.81 0.32 0.74 0.20 0.28 0.77 0.16 0.36 ]
[ 0.69 0.39 0.54 0.41 0.78 0.88 0.89 0.47 0.34 0.40 0.59 0.86 0.21 0.58 0.83 0.99 0.12 0.25 0.00 0.15 0.97 0.65 1.00 0.39 0.72 0.58 0.86 0.22 0.60 0.25 0.92 0.55 0.07 0.64 0.81 0.48 0.41 0.76 0.49 0.97 0.00 0.42 0.97 0.82 1.00 0.86 0.38 0.61 0.60 0.69 0.16 ]
[ 0.68 0.94 0.26 0.35 0.99 0.81 0.94 0.45 0.47 0.48 0.96 0.00 0.67 0.04 0.63 0.31 0.61 0.31 0.85 0.00 0.05 0.47 0.39 1.00 0.63 0.17 0.66 0.10 0.49 0.95 0.97 0.03 0.43 0.59 0.90 0.58 0.17 0.86 0.48 0.47 0.80 0.40 0.30 0.56 0.85 0.54 0.96 0.60 0.00 0.33 0.90 ]
[ 0.68 0.94 0.21 0.17 0.66 0.41 0.92 0.94 0.53 0.78 0.00 0.95 0.98 0.60 0.28 0.40 0.86 0.90 0.42 1.00 0.95 0.97 0.72 0.63 1.00 0.28 0.89 0.05 0.99 0.08 0.39 0.47 0.03 0.56 0.51 0.92 0.93 0.85 0.34 0.88 0.48 0.13 0.98 0.68 0.62 0.98 0.89 0.15 0.97 0.41 0.91 ]
[ 0.49 0.55 0.23 0.84 0.77 0.73 0.59 0.41 0.13 0.47 0.00 0.79 0.00 0.19 0.87 0.71 0.77 0.16 0.96 0.21 0.31 0.37 0.58 0.17 0.28 1.00 0.95 0.21 0.58 0.80 0.81 0.89 0.23 0.86 0.75 0.23 0.00 0.91 0.69 0.75 0.30 0.70 0.76 0.02 0.40 0.48 0.45 0.44 1.00 0.40 0.40 ]
[ 0.68 0.04 0.55 0.19 0.26 0.94 0.06 0.73 0.86 0.73 0.97 0.72 0.94 0.89 0.81 0.02 0.43 0.53 0.83 0.60 0.69 0.15 0.86 0.66 0.89 0.95 1.00 0.99 0.98 0.24 0.27 1.00 0.27 0.92 0.51 0.56 0.86 0.19 0.99 0.69 0.84 0.66 0.03 0.45 0.16 0.96 0.93 0.94 0.49 0.69 0.58 ]
[ 0.96 0.94 0.28 0.76 0.81 0.01 0.38 0.40 0.62 0.19 0.95 0.25 0.33 0.45 0.72 0.22 0.87 0.00 0.61 0.40 0.61 0.75 0.22 0.10 0.05 0.21 0.99 1.00 0.98 0.43 0.29 0.06 0.30 0.87 0.65 0.59 0.45 0.96 0.73 0.75 1.00 0.46 0.39 0.87 0.68 0.23 0.74 0.99 0.13 0.16 0.40 ]
[ 0.95 0.86 0.85 0.89 0.59 0.36 0.08 0.29 0.04 0.14 0.02 0.93 0.42 0.57 0.84 0.91 0.33 0.51 0.70 0.95 0.40 0.18 0.60 0.49 0.99 0.58 0.98 0.98 1.00 0.67 0.34 0.80 0.95 0.93 0.25 0.46 0.16 0.10 0.21 0.66 0.37 0.85 0.10 0.71 0.60 0.73 0.00 0.96 0.63 0.93 0.64 ]
[ 0.26 0.99 0.60 0.87 0.16 0.16 0.46 0.56 0.47 0.36 0.83 0.39 0.91 0.35 0.59 0.93 0.46 0.48 0.17 0.06 0.00 0.92 0.25 0.95 0.08 0.80 0.24 0.43 0.67 1.00 0.72 0.51 0.76 0.48 0.00 0.84 0.43 0.40 0.15 0.19 0.31 0.93 0.84 0.93 0.57 0.15 0.46 0.71 0.71 0.84 0.61 ]
[ 0.49 0.90 0.88 0.72 0.50 0.29 0.00 0.74 1.00 0.86 0.12 0.76 0.67 0.27 0.88 0.48 0.89 0.60 0.27 0.30 0.85 0.96 0.92 0.97 0.39 0.81 0.27 0.29 0.34 0.72 1.00 0.49 0.88 0.92 0.31 0.66 0.49 0.92 0.50 0.84 0.35 0.52 0.50 0.19 0.94 0.24 0.00 0.37 0.46 0.42 0.36 ]
[ 0.07 0.68 0.10 0.70 0.64 0.80 0.25 0.56 0.48 0.30 0.54 0.87 0.47 0.80 0.70 0.61 0.40 0.23 0.07 0.91 0.94 0.63 0.55 0.03 0.47 0.89 1.00 0.06 0.80 0.51 0.49 1.00 0.25 0.42 0.33 0.94 0.85 0.88 0.00 0.67 0.64 0.45 0.27 0.68 1.00 0.30 0.39 0.19 0.00 0.98 0.22 ]
[ 0.80 0.93 0.89 0.92 0.89 0.81 0.57 0.49 0.88 0.83 0.70 0.45 0.55 0.89 0.24 0.38 0.56 0.48 0.30 0.06 0.23 0.74 0.07 0.43 0.03 0.23 0.27 0.30 0.95 0.76 0.88 0.25 1.00 0.32 0.65 0.94 0.12 0.20 0.40 0.32 0.27 0.37 0.82 0.99 0.91 0.96 0.72 0.20 0.36 0.33 0.48 ]
[ 0.97 0.96 0.85 0.92 0.78 0.00 0.86 0.00 0.63 0.16 0.76 0.00 0.29 0.49 0.90 0.61 0.81 0.32 0.93 0.29 0.94 0.36 0.64 0.59 0.56 0.86 0.92 0.87 0.93 0.48 0.92 0.42 0.32 1.00 0.33 0.87 0.97 0.73 0.18 0.16 0.26 0.76 0.33 0.18 0.11 0.94 0.68 0.23 0.77 0.74 0.75 ]
[ 0.92 0.26 0.82 0.79 0.73 0.37 0.18 0.70 0.79 0.57 0.69 0.72 0.54 0.61 0.61 0.12 0.89 0.79 0.42 0.24 0.48 0.26 0.81 0.90 0.51 0.75 0.51 0.65 0.25 0.00 0.31 0.33 0.65 0.33 1.00 0.48 0.49 0.95 0.36 0.76 0.59 0.08 0.85 0.98 0.91 0.54 0.39 0.29 0.33 0.41 0.16 ]
[ 0.75 0.62 0.19 0.24 0.82 0.96 0.91 0.97 0.72 0.60 0.83 0.23 0.86 0.91 0.74 0.99 0.35 0.73 0.76 0.64 0.65 0.83 0.48 0.58 0.92 0.23 0.56 0.59 0.46 0.84 0.66 0.94 0.94 0.87 0.48 1.00 0.67 0.24 0.17 0.86 0.77 0.59 0.94 0.83 0.45 0.99 0.55 0.95 0.08 0.71 0.85 ]
[ 0.98 0.71 0.12 0.32 0.00 0.00 0.06 0.88 0.67 0.57 0.75 0.66 0.66 0.53 0.92 0.49 0.48 0.02 0.08 0.24 0.86 0.71 0.41 0.17 0.93 0.00 0.86 0.45 0.16 0.43 0.49 0.85 0.12 0.97 0.49 0.67 1.00 0.66 0.38 0.26 0.04 0.31 0.78 0.57 0.93 0.99 1.00 0.14 0.29 0.37 0.50 ]
[ 0.14 0.21 0.68 0.27 0.87 0.30 0.74 0.61 0.09 0.98 0.88 0.71 0.46 0.70 0.28 0.50 0.92 0.56 0.84 0.46 0.24 0.87 0.76 0.86 0.85 0.91 0.19 0.96 0.10 0.40 0.92 0.88 0.20 0.73 0.95 0.24 0.66 1.00 0.58 0.99 0.35 0.00 0.46 0.93 0.98 0.93 0.36 0.32 0.85 0.74 0.24 ]
[ 0.40 0.48 0.89 0.99 0.58 0.76 0.62 0.29 0.52 0.26 0.14 0.15 0.32 0.49 0.88 0.52 0.16 0.63 0.81 0.65 0.82 0.96 0.49 0.48 0.34 0.69 0.99 0.73 0.21 0.15 0.50 0.00 0.40 0.18 0.36 0.17 0.38 0.58 1.00 0.22 0.63 0.31 0.45 0.67 0.85 0.83 0.94 0.23 0.27 0.26 0.64 ]
[ 0.49 0.52 0.60 0.43 0.84 0.53 0.79 0.51 0.84 0.99 0.33 0.62 0.71 0.31 0.92 0.49 0.91 0.88 0.52 0.95 0.44 0.90 0.97 0.47 0.88 0.75 0.69 0.75 0.66 0.19 0.84 0.67 0.32 0.16 0.76 0.86 0.26 0.99 0.22 1.00 0.39 0.94 0.57 0.54 0.92 0.93 0.86 0.44 0.95 0.00 0.62 ]
[ 0.19 0.32 0.92 0.57 0.94 0.50 0.90 0.68 0.16 0.21 0.67 0.93 0.50 0.35 0.66 0.36 0.91 0.39 0.88 0.95 0.92 0.16 0.00 0.80 0.48 0.30 0.84 1.00 0.37 0.31 0.35 0.64 0.27 0.26 0.59 0.77 0.04 0.35 0.63 0.39 1.00 0.91 0.17 0.38 0.16 0.44 0.25 0.85 0.65 0.77 0.87 ]
[ 0.86 0.89 0.45 0.58 0.56 0.66 0.95 0.56 0.20 0.95 0.93 0.66 0.97 0.36 0.65 0.66 0.80 0.26 0.92 0.77 0.99 0.97 0.42 0.40 0.13 0.70 0.66 0.46 0.85 0.93 0.52 0.45 0.37 0.76 0.08 0.59 0.31 0.00 0.31 0.94 0.91 1.00 0.99 0.88 0.32 0.53 0.12 0.58 0.41 0.86 0.39 ]
[ 0.20 0.26 0.82 0.08 0.98 0.70 0.75 0.59 0.61 0.20 0.98 0.85 0.95 0.76 0.42 0.90 0.54 0.68 0.85 0.35 0.96 0.47 0.97 0.30 0.98 0.76 0.03 0.39 0.10 0.84 0.50 0.27 0.82 0.33 0.85 0.94 0.78 0.46 0.45 0.57 0.17 0.99 1.00 0.93 0.48 0.98 0.83 0.28 0.85 1.00 0.26 ]
[ 0.25 0.95 0.88 0.74 0.60 0.53 0.89 0.23 0.49 0.46 0.16 0.98 0.18 0.87 0.87 0.56 0.52 0.53 0.44 0.14 0.05 0.81 0.82 0.56 0.68 0.02 0.45 0.87 0.71 0.93 0.19 0.68 0.99 0.18 0.98 0.83 0.57 0.93 0.67 0.54 0.38 0.88 0.93 1.00 0.67 0.03 0.22 0.50 0.88 0.39 0.56 ]
[ 0.68 0.27 0.45 0.17 0.53 0.00 0.51 0.43 0.35 0.96 0.98 0.84 0.00 0.85 0.38 0.70 0.44 0.01 0.70 0.16 0.28 0.32 1.00 0.85 0.62 0.40 0.16 0.68 0.60 0.57 0.94 1.00 0.91 0.11 0.91 0.45 0.93 0.98 0.85 0.92 0.16 0.32 0.48 0.67 1.00 0.89 0.47 0.66 0.04 0.80 0.54 ]
[ 0.71 0.96 0.30 0.37 0.00 0.74 0.40 0.57 0.50 0.25 0.78 0.44 0.92 0.87 0.49 0.40 0.31 0.97 0.34 0.40 0.92 0.74 0.86 0.54 0.98 0.48 0.96 0.23 0.73 0.15 0.24 0.30 0.96 0.94 0.54 0.99 0.99 0.93 0.83 0.93 0.44 0.53 0.98 0.03 0.89 1.00 0.68 0.72 0.96 0.38 0.98 ]
[ 0.51 0.77 0.91 0.49 0.48 0.03 0.56 0.23 0.30 0.74 0.74 0.63 0.81 0.03 0.31 0.40 0.00 0.50 0.06 0.21 0.63 0.20 0.38 0.96 0.89 0.45 0.93 0.74 0.00 0.46 0.00 0.39 0.72 0.68 0.39 0.55 1.00 0.36 0.94 0.86 0.25 0.12 0.83 0.22 0.47 0.68 1.00 0.98 0.87 0.30 0.35 ]
[ 0.98 0.67 0.10 0.60 0.69 0.03 0.67 0.65 0.80 0.85 0.94 0.55 0.52 0.95 0.86 0.32 0.00 1.00 0.22 0.97 0.34 0.28 0.61 0.60 0.15 0.44 0.94 0.99 0.96 0.71 0.37 0.19 0.20 0.23 0.29 0.95 0.14 0.32 0.23 0.44 0.85 0.58 0.28 0.50 0.66 0.72 0.98 1.00 0.88 0.98 0.40 ]
[ 0.91 0.24 0.89 0.39 0.88 0.71 0.92 0.76 0.40 0.36 0.20 0.44 0.53 0.93 0.75 0.26 0.57 0.04 0.46 0.31 0.51 0.77 0.60 0.00 0.97 1.00 0.49 0.13 0.63 0.71 0.46 0.00 0.36 0.77 0.33 0.08 0.29 0.85 0.27 0.95 0.65 0.41 0.85 0.88 0.04 0.96 0.87 0.88 1.00 1.00 0.38 ]
[ 0.97 0.75 0.29 0.95 0.94 0.00 0.20 0.79 0.79 0.26 0.35 0.00 0.34 0.15 0.29 0.57 0.83 0.42 0.17 0.42 0.25 0.16 0.69 0.33 0.41 0.40 0.69 0.16 0.93 0.84 0.42 0.98 0.33 0.74 0.41 0.71 0.37 0.74 0.26 0.00 0.77 0.86 1.00 0.39 0.80 0.38 0.30 0.98 1.00 1.00 0.17 ]
[ 0.13 0.24 0.54 0.96 0.67 0.38 0.95 0.96 0.92 0.27 1.00 0.32 0.73 0.24 0.95 0.22 0.82 0.62 0.43 0.34 0.74 0.36 0.16 0.90 0.91 0.40 0.58 0.40 0.64 0.61 0.36 0.22 0.48 0.75 0.16 0.85 0.50 0.24 0.64 0.62 0.87 0.39 0.26 0.56 0.54 0.98 0.35 0.40 0.38 0.17 1.00 ]
];
