[ 0.92 0.79 0.30 0.17 0.81 0.29 0.86 0.88 0.84 0.20 0.78 0.44 0.86 0.65 1.00 0.31 0.40 0.71 0.02 0.22 0.91 0.93 0.48 0.61 0.38 0.61 0.12 0.99 0.49 0.50 0.52 0.49 0.36 0.66 0.90 0.56 0.70 0.40 0.40 0.32 0.26 0.57 0.22 0.96 0.21 0.85 0.81 0.50 0.12 0.61 0.86 0.77 0.43 0.87 ]
[ 0.11 0.83 0.54 0.84 0.59 0.80 0.18 0.61 0.16 0.46 0.74 0.00 0.92 0.80 0.31 1.00 0.33 0.46 0.89 0.40 0.56 0.81 0.89 0.35 0.48 0.92 0.16 0.91 0.91 0.80 0.54 0.52 0.44 0.31 0.00 0.00 0.57 0.83 0.82 0.53 0.44 0.64 0.39 0.25 0.31 0.90 0.16 0.53 0.00 0.51 0.48 0.60 0.23 0.48 ]
[ 0.88 0.46 0.26 0.19 0.16 0.81 0.91 0.29 0.20 0.96 0.94 0.32 0.39 0.38 0.40 0.33 1.00 0.32 0.79 0.73 0.02 0.56 0.63 0.88 0.39 0.26 0.68 0.53 0.01 0.97 0.50 1.00 0.04 0.42 0.62 0.07 0.68 0.97 0.00 0.85 0.42 0.96 0.83 0.61 0.70 0.17 0.27 0.07 0.30 0.93 0.42 0.76 0.08 0.84 ]
[ 0.41 0.17 0.21 0.76 0.50 0.00 0.06 0.51 0.61 0.25 0.20 0.48 0.50 0.56 0.71 0.46 0.32 1.00 0.81 0.52 0.88 0.92 0.85 0.44 0.70 0.34 0.06 0.22 0.46 0.17 0.43 0.00 0.79 0.15 0.00 1.00 0.21 0.60 0.40 0.95 0.06 0.30 0.91 0.06 0.29 0.24 0.64 0.24 0.46 0.65 0.95 0.95 0.77 0.35 ]
[ 0.50 0.39 0.23 0.89 0.64 0.37 0.74 0.68 0.49 0.74 0.35 0.94 0.37 0.83 0.02 0.89 0.79 0.81 1.00 0.14 0.16 0.40 0.21 0.97 0.31 0.42 0.34 0.78 0.97 0.05 0.95 0.31 0.69 0.61 0.40 0.00 0.85 0.94 0.23 0.94 0.48 0.65 0.86 0.24 0.82 0.44 0.92 0.99 0.96 0.05 0.28 0.92 0.63 0.34 ]
[ 0.59 0.94 0.55 0.87 0.89 0.96 0.62 0.56 0.35 0.85 1.00 0.46 0.92 0.63 0.22 0.40 0.73 0.52 0.14 1.00 0.51 0.25 0.74 0.65 0.47 0.97 0.37 0.15 0.75 0.18 0.92 0.96 0.63 0.74 0.36 0.26 0.83 0.71 0.87 0.96 0.90 0.16 0.97 0.47 0.81 0.32 0.74 0.20 0.28 0.77 0.16 0.36 0.39 0.72 ]
[ 0.87 0.94 0.28 0.72 0.78 0.00 0.79 0.59 0.50 0.36 0.96 0.20 0.00 0.28 0.91 0.56 0.02 0.88 0.16 0.51 1.00 0.58 0.86 0.22 0.60 0.25 0.92 0.55 0.07 0.64 0.81 0.48 0.41 0.76 0.49 0.97 0.00 0.42 0.97 0.82 1.00 0.86 0.38 0.61 0.60 0.69 0.16 0.63 0.17 0.66 0.10 0.49 0.95 0.97 ]
[ 0.46 0.55 0.85 0.70 0.73 0.30 0.90 0.23 0.30 0.26 0.35 0.20 0.93 0.87 0.93 0.81 0.56 0.92 0.40 0.25 0.58 1.00 0.03 0.43 0.59 0.90 0.58 0.17 0.86 0.48 0.47 0.80 0.40 0.30 0.56 0.85 0.54 0.96 0.60 0.00 0.33 0.90 0.28 0.89 0.05 0.99 0.08 0.39 0.47 0.03 0.56 0.51 0.92 0.93 ]
[ 0.75 0.04 0.60 0.92 0.82 0.76 0.95 0.43 0.80 0.27 0.78 0.97 0.58 0.81 0.48 0.89 0.63 0.85 0.21 0.74 0.86 0.03 1.00 0.85 0.34 0.88 0.48 0.13 0.98 0.68 0.62 0.98 0.89 0.15 0.97 0.41 0.91 0.95 0.21 0.58 0.80 0.81 0.89 0.23 0.86 0.75 0.23 0.00 0.91 0.69 0.75 0.30 0.70 0.76 ]
[ 0.06 0.94 0.88 0.92 0.00 0.53 0.75 0.57 0.40 0.60 0.66 0.58 0.04 0.72 0.61 0.35 0.88 0.44 0.97 0.65 0.22 0.43 0.85 1.00 0.02 0.40 0.48 0.45 0.44 1.00 0.40 0.40 0.99 0.98 0.24 0.27 1.00 0.27 0.92 0.51 0.56 0.86 0.19 0.99 0.69 0.84 0.66 0.03 0.45 0.16 0.96 0.93 0.94 0.49 ]
[ 0.82 0.86 0.10 0.79 0.87 0.50 0.89 0.23 0.79 0.84 0.76 0.34 0.60 0.84 0.38 0.48 0.39 0.70 0.31 0.47 0.60 0.59 0.34 0.02 1.00 0.69 0.58 0.98 0.43 0.29 0.06 0.30 0.87 0.65 0.59 0.45 0.96 0.73 0.75 1.00 0.46 0.39 0.87 0.68 0.23 0.74 0.99 0.13 0.16 0.40 0.67 0.34 0.80 0.95 ]
[ 0.23 0.99 0.89 0.24 0.58 0.66 0.51 0.65 0.92 0.66 0.59 0.40 0.19 0.59 0.61 0.92 0.26 0.34 0.42 0.97 0.25 0.90 0.88 0.40 0.69 1.00 0.93 0.25 0.46 0.16 0.10 0.21 0.66 0.37 0.85 0.10 0.71 0.60 0.73 0.00 0.96 0.63 0.93 0.64 0.72 0.51 0.76 0.48 0.00 0.84 0.43 0.40 0.15 0.19 ]
[ 0.38 0.90 0.85 0.32 0.84 0.70 0.40 0.76 0.86 0.98 0.18 0.21 0.89 0.88 0.12 0.16 0.68 0.06 0.34 0.37 0.92 0.58 0.48 0.48 0.58 0.93 1.00 0.31 0.93 0.84 0.93 0.57 0.15 0.46 0.71 0.71 0.84 0.61 0.49 0.88 0.92 0.31 0.66 0.49 0.92 0.50 0.84 0.35 0.52 0.50 0.19 0.94 0.24 0.00 ]
[ 0.80 0.68 0.82 0.27 0.94 0.53 0.56 0.79 0.46 0.29 0.55 0.67 0.45 0.70 0.99 0.91 0.53 0.22 0.78 0.15 0.55 0.17 0.13 0.45 0.98 0.25 0.31 1.00 0.37 0.46 0.42 0.36 0.25 0.42 0.33 0.94 0.85 0.88 0.00 0.67 0.64 0.45 0.27 0.68 1.00 0.30 0.39 0.19 0.00 0.98 0.22 0.32 0.65 0.94 ]
[ 0.18 0.93 0.19 0.99 0.56 0.00 0.67 0.96 0.32 0.20 0.92 0.98 0.57 0.24 0.49 0.91 0.01 0.46 0.97 0.75 0.07 0.86 0.98 0.44 0.43 0.46 0.93 0.37 1.00 0.12 0.20 0.40 0.32 0.27 0.37 0.82 0.99 0.91 0.96 0.72 0.20 0.36 0.33 0.48 0.33 0.87 0.97 0.73 0.18 0.16 0.26 0.76 0.33 0.18 ]
[ 0.29 0.96 0.12 0.43 0.98 0.74 0.92 0.92 0.69 0.76 0.19 0.00 0.35 0.90 0.50 0.80 0.97 0.17 0.05 0.18 0.64 0.48 0.68 1.00 0.29 0.16 0.84 0.46 0.12 1.00 0.11 0.94 0.68 0.23 0.77 0.74 0.75 0.48 0.49 0.95 0.36 0.76 0.59 0.08 0.85 0.98 0.91 0.54 0.39 0.29 0.33 0.41 0.16 0.67 ]
[ 0.57 0.26 0.68 0.57 0.60 0.03 0.20 0.48 0.85 0.94 0.86 0.94 0.27 0.61 0.52 0.54 0.50 0.43 0.95 0.92 0.81 0.47 0.62 0.40 0.06 0.10 0.93 0.42 0.20 0.11 1.00 0.24 0.17 0.86 0.77 0.59 0.94 0.83 0.45 0.99 0.55 0.95 0.08 0.71 0.85 0.66 0.38 0.26 0.04 0.31 0.78 0.57 0.93 0.99 ]
[ 0.86 0.62 0.89 0.58 0.53 0.03 0.95 0.82 0.20 0.87 0.00 0.33 0.80 0.74 0.49 0.52 1.00 0.00 0.31 0.96 0.48 0.80 0.98 0.40 0.30 0.21 0.57 0.36 0.40 0.94 0.24 1.00 1.00 0.14 0.29 0.37 0.50 0.58 0.99 0.35 0.00 0.46 0.93 0.98 0.93 0.36 0.32 0.85 0.74 0.24 0.22 0.63 0.31 0.45 ]
[ 0.40 0.71 0.60 0.08 0.00 0.71 0.93 0.37 0.00 0.19 0.95 0.42 0.89 0.92 0.36 0.44 0.04 0.79 0.69 0.63 0.41 0.40 0.89 0.99 0.87 0.66 0.15 0.25 0.32 0.68 0.17 1.00 1.00 0.67 0.85 0.83 0.94 0.23 0.27 0.26 0.64 0.39 0.94 0.57 0.54 0.92 0.93 0.86 0.44 0.95 0.00 0.62 0.91 0.17 ]
[ 0.31 0.21 0.92 0.74 0.48 0.00 0.76 0.76 0.65 0.29 0.79 0.91 0.49 0.28 0.66 0.31 0.42 0.15 0.61 0.74 0.76 0.30 0.15 0.98 0.65 0.37 0.46 0.42 0.27 0.23 0.86 0.14 0.67 1.00 0.38 0.16 0.44 0.25 0.85 0.65 0.77 0.87 0.99 0.88 0.32 0.53 0.12 0.58 0.41 0.86 0.39 0.93 0.48 0.98 ]
[ 0.68 0.48 0.45 0.17 0.69 0.38 0.91 0.34 0.41 0.59 0.72 0.67 0.61 0.88 0.90 0.00 0.62 0.00 0.40 0.36 0.49 0.56 0.97 0.24 0.59 0.85 0.71 0.33 0.37 0.77 0.77 0.29 0.85 0.38 1.00 0.83 0.28 0.85 1.00 0.26 0.67 0.03 0.22 0.50 0.88 0.39 0.56 0.89 0.47 0.66 0.04 0.80 0.54 0.68 ]
[ 0.79 0.52 0.82 0.37 0.88 0.28 0.32 0.73 0.25 0.96 0.25 0.47 0.91 0.92 0.56 0.00 0.07 1.00 0.00 0.26 0.97 0.85 0.41 0.27 0.45 0.10 0.71 0.94 0.82 0.74 0.59 0.37 0.83 0.16 0.83 1.00 0.72 0.96 0.38 0.98 0.98 0.87 0.30 0.35 0.88 0.98 0.40 1.00 0.38 0.17 0.97 0.91 0.96 0.88 ]
[ 0.59 0.32 0.88 0.49 0.94 0.19 0.54 0.10 0.26 0.00 0.93 0.55 0.53 0.66 0.70 0.57 0.68 0.21 0.85 0.83 0.00 0.54 0.91 1.00 0.96 0.71 0.84 0.85 0.99 0.75 0.94 0.50 0.94 0.44 0.28 0.72 1.00 0.01 0.47 0.42 1.00 0.19 0.44 0.75 0.76 0.14 0.73 0.66 0.87 0.61 0.03 0.61 0.44 0.44 ]
[ 0.00 0.89 0.45 0.60 0.67 1.00 0.72 0.79 0.52 0.00 0.39 0.29 0.70 0.65 0.40 0.83 0.97 0.60 0.94 0.71 0.42 0.96 0.95 0.27 0.73 0.60 0.61 0.88 0.91 0.48 0.83 0.58 0.23 0.25 0.85 0.96 0.01 1.00 0.60 0.47 0.91 0.98 0.68 0.23 0.84 0.47 0.89 0.63 0.65 0.79 0.11 0.89 0.35 0.16 ]
[ 0.49 0.26 0.30 0.39 0.60 0.26 0.93 0.31 0.40 0.97 0.76 0.54 0.49 0.42 0.40 0.82 0.00 0.40 0.23 0.87 0.97 0.60 0.21 0.92 0.75 0.73 0.49 0.00 0.96 0.49 0.45 0.99 0.27 0.85 1.00 0.38 0.47 0.60 1.00 0.48 0.53 0.85 0.64 0.29 0.41 0.75 0.16 0.16 0.52 0.18 0.09 0.00 0.76 0.36 ]
[ 0.19 0.95 0.91 0.95 0.46 0.64 0.88 0.27 0.48 0.95 0.87 0.86 0.31 0.87 0.32 0.53 0.85 0.95 0.94 0.96 0.82 0.00 0.58 0.51 1.00 0.00 0.88 0.67 0.72 0.95 0.99 0.35 0.26 0.65 0.26 0.98 0.42 0.47 0.48 1.00 0.78 0.85 0.69 0.41 0.56 0.44 0.50 0.34 0.59 0.38 0.80 0.40 0.95 0.91 ]
[ 0.86 0.27 0.10 0.96 0.98 0.61 0.56 0.99 0.78 0.02 0.45 0.66 0.35 0.38 0.26 0.44 0.42 0.06 0.48 0.90 1.00 0.33 0.80 0.56 0.46 0.96 0.92 0.64 0.20 0.36 0.55 0.00 0.64 0.77 0.67 0.98 1.00 0.91 0.53 0.78 1.00 0.15 0.87 0.80 0.34 1.00 0.79 0.00 0.90 0.34 0.34 0.54 0.79 0.58 ]
[ 0.20 0.96 0.89 0.93 0.83 0.58 0.86 0.78 0.47 0.83 0.00 0.46 0.36 0.49 0.57 0.64 0.96 0.30 0.65 0.16 0.86 0.90 0.81 0.86 0.39 0.63 0.31 0.45 0.36 0.76 0.95 0.46 0.39 0.87 0.03 0.87 0.19 0.98 0.85 0.85 0.15 1.00 0.31 0.61 0.42 0.90 0.37 0.85 0.51 0.45 0.58 0.80 0.85 0.76 ]
[ 0.25 0.77 0.29 0.78 0.50 0.52 0.36 0.34 0.73 0.12 0.72 0.32 0.76 0.31 0.22 0.39 0.83 0.91 0.86 0.97 0.38 0.28 0.89 0.19 0.87 0.93 0.66 0.27 0.33 0.59 0.08 0.93 0.94 0.99 0.22 0.30 0.44 0.68 0.64 0.69 0.87 0.31 1.00 0.70 0.99 0.37 0.62 0.55 0.77 0.93 0.85 0.07 0.89 0.67 ]
[ 0.68 0.67 0.54 0.55 0.42 0.64 0.46 0.47 0.19 0.54 0.23 0.71 0.87 0.86 0.96 0.25 0.61 0.06 0.24 0.47 0.61 0.89 0.23 0.99 0.68 0.64 0.49 0.68 0.48 0.08 0.71 0.98 0.57 0.88 0.50 0.35 0.75 0.23 0.29 0.41 0.80 0.61 0.70 1.00 0.87 0.11 0.35 0.33 0.85 0.94 0.66 0.54 0.47 0.67 ]
[ 0.71 0.24 0.66 0.28 0.33 0.33 0.74 0.53 0.14 0.70 0.66 0.50 0.85 0.75 0.21 0.31 0.70 0.29 0.82 0.81 0.60 0.05 0.86 0.69 0.23 0.72 0.92 1.00 0.33 0.85 0.85 0.93 0.54 0.32 0.88 0.88 0.76 0.84 0.41 0.56 0.34 0.42 0.99 0.87 1.00 0.20 0.54 0.27 0.25 0.84 0.88 0.88 0.28 0.59 ]
[ 0.51 0.75 0.53 0.97 0.21 0.80 0.74 0.13 0.36 0.76 0.71 0.97 0.87 0.29 0.85 0.90 0.17 0.24 0.44 0.32 0.69 0.99 0.75 0.84 0.74 0.51 0.50 0.30 0.87 0.98 0.66 0.36 0.92 0.53 0.39 0.98 0.14 0.47 0.75 0.44 1.00 0.90 0.37 0.11 0.20 1.00 0.00 0.61 0.89 0.29 0.29 0.09 0.40 0.91 ]
[ 0.98 0.24 0.69 0.40 0.65 0.86 0.47 0.86 0.86 0.69 0.15 0.95 0.03 0.95 0.81 0.16 0.27 0.64 0.92 0.74 0.16 0.08 0.23 0.66 0.99 0.76 0.84 0.39 0.97 0.91 0.38 0.32 0.93 0.12 0.56 0.40 0.73 0.89 0.16 0.50 0.79 0.37 0.62 0.35 0.54 0.00 1.00 0.93 0.73 0.62 0.53 0.47 0.97 0.74 ]
[ 0.91 0.13 0.00 0.47 0.66 0.93 0.45 0.62 0.30 0.83 0.62 0.18 0.95 0.50 0.50 0.53 0.07 0.24 0.99 0.20 0.63 0.39 0.00 0.03 0.13 0.48 0.35 0.19 0.73 0.54 0.26 0.85 0.86 0.58 0.89 1.00 0.66 0.63 0.16 0.34 0.00 0.85 0.55 0.33 0.27 0.61 0.93 1.00 0.15 0.83 0.67 0.35 0.91 0.54 ]
[ 0.97 0.31 0.45 0.79 0.84 0.55 0.94 0.04 0.83 0.75 0.93 0.00 0.93 0.49 0.12 0.00 0.30 0.46 0.96 0.28 0.17 0.47 0.91 0.45 0.16 0.00 0.52 0.00 0.18 0.39 0.04 0.74 0.44 0.41 0.47 0.38 0.87 0.65 0.52 0.59 0.90 0.51 0.77 0.85 0.25 0.89 0.73 0.15 1.00 0.97 0.15 0.55 0.96 0.21 ]
[ 0.13 0.20 0.76 0.94 0.94 0.74 0.41 0.47 0.16 0.88 0.66 0.92 0.15 0.56 0.61 0.51 0.93 0.65 0.05 0.77 0.66 0.03 0.69 0.16 0.40 0.84 0.50 0.98 0.16 0.29 0.31 0.24 0.95 0.86 0.66 0.17 0.61 0.79 0.18 0.38 0.34 0.45 0.93 0.94 0.84 0.29 0.62 0.83 0.97 1.00 0.63 0.83 0.34 0.50 ]
[ 0.56 0.95 0.59 0.89 0.90 0.89 0.73 1.00 0.57 0.14 0.85 0.81 0.24 0.54 0.86 0.48 0.42 0.95 0.28 0.16 0.10 0.56 0.75 0.96 0.67 0.43 0.19 0.22 0.26 0.33 0.78 0.22 0.00 0.39 0.04 0.97 0.03 0.11 0.09 0.80 0.34 0.58 0.85 0.66 0.88 0.29 0.53 0.67 0.15 0.63 1.00 0.18 0.42 0.23 ]
[ 0.94 0.70 0.87 0.70 0.68 0.94 0.40 0.48 0.60 0.33 0.98 0.52 0.75 0.85 0.77 0.60 0.76 0.95 0.92 0.36 0.49 0.51 0.30 0.93 0.34 0.40 0.94 0.32 0.76 0.41 0.57 0.63 0.62 0.93 0.80 0.91 0.61 0.89 0.00 0.40 0.54 0.80 0.07 0.54 0.88 0.09 0.47 0.35 0.55 0.83 0.18 1.00 0.32 0.19 ]
[ 0.37 0.96 0.23 0.86 0.99 0.92 0.29 0.88 0.57 0.67 0.84 0.53 0.37 0.57 0.43 0.23 0.08 0.77 0.63 0.39 0.95 0.92 0.70 0.94 0.80 0.15 0.24 0.65 0.33 0.16 0.93 0.31 0.91 0.48 0.54 0.96 0.44 0.35 0.76 0.95 0.79 0.85 0.89 0.47 0.28 0.40 0.97 0.91 0.96 0.34 0.42 0.32 1.00 0.98 ]
[ 0.26 0.42 0.95 0.96 0.91 0.59 0.56 0.63 0.98 0.93 0.44 0.34 0.12 0.99 0.87 0.48 0.84 0.35 0.34 0.72 0.97 0.93 0.76 0.49 0.95 0.19 0.00 0.94 0.18 0.67 0.99 0.45 0.17 0.98 0.68 0.88 0.44 0.16 0.36 0.91 0.58 0.76 0.67 0.67 0.59 0.91 0.74 0.54 0.21 0.50 0.23 0.19 0.98 1.00 ]
];
