[ 0.71 0.69 0.14 0.30 0.49 0.77 0.89 0.93 0.42 0.85 1.00 0.74 0.38 0.69 0.99 0.32 0.66 0.94 0.83 0.53 0.33 0.87 0.99 0.28 0.13 0.35 0.23 0.04 0.40 0.52 0.67 0.19 0.71 0.27 0.45 0.46 0.39 0.52 0.19 0.89 0.24 0.36 0.11 0.62 0.09 0.38 0.84 0.71 0.17 0.54 0.00 0.15 0.86 0.95 0.58 0.94 0.51 0.97 0.74 0.00 0.77 0.59 0.37 0.57 0.44 ]
[ 0.05 0.49 0.98 0.97 0.83 0.68 0.94 0.69 1.00 0.43 0.74 1.00 0.21 0.21 0.83 0.97 0.78 0.87 0.95 0.70 0.48 0.61 0.14 0.73 0.97 0.03 0.33 0.85 0.94 0.24 0.90 0.19 0.19 0.92 0.73 0.55 0.97 0.26 0.70 0.37 0.24 0.79 0.02 0.66 0.85 0.34 0.70 0.00 0.13 1.00 0.39 0.26 0.18 0.97 0.03 0.22 0.99 0.60 0.69 0.16 0.54 0.68 0.61 0.06 0.58 ]
[ 0.74 0.85 0.70 0.97 0.31 0.99 0.77 0.39 0.87 0.85 0.38 0.21 1.00 0.22 0.58 0.94 0.60 0.45 0.27 0.93 0.26 0.41 0.66 0.91 0.33 0.25 0.34 0.91 0.76 0.74 0.69 0.25 0.97 0.31 0.87 0.20 0.14 0.88 0.73 0.82 0.97 0.00 0.94 0.82 0.82 0.83 0.32 0.26 0.95 0.19 0.26 0.20 0.55 0.70 0.00 0.68 0.96 0.92 0.47 0.67 0.76 0.79 0.69 0.68 0.65 ]
[ 0.87 0.03 0.41 0.91 0.25 0.28 0.17 0.72 0.14 0.00 0.69 0.21 0.22 1.00 0.78 0.36 0.94 0.58 0.29 0.69 0.49 0.72 0.32 0.76 0.30 0.51 0.39 0.26 0.24 0.31 0.42 0.86 0.99 0.75 0.95 0.21 0.01 0.25 0.27 0.38 0.68 0.51 0.25 0.28 0.53 0.36 0.80 0.14 0.19 0.85 0.91 0.79 0.84 0.13 0.19 0.53 0.86 0.79 0.11 0.47 0.93 0.30 0.87 0.36 0.79 ]
[ 0.44 0.10 0.94 0.25 0.98 0.70 0.58 0.17 0.43 0.73 0.99 0.83 0.58 0.78 1.00 0.81 0.44 0.73 0.78 0.54 0.76 0.70 0.26 0.22 0.70 0.88 0.38 0.96 0.93 0.61 0.90 0.68 0.47 0.87 0.89 0.37 0.72 0.20 0.97 0.75 0.96 0.76 0.44 0.93 0.59 0.41 0.69 0.66 0.66 0.56 0.56 0.26 1.00 0.05 0.43 0.91 0.33 0.03 0.74 0.58 0.98 0.92 0.87 0.76 0.86 ]
[ 0.74 0.83 0.20 0.75 0.97 0.97 0.89 0.26 0.34 0.62 0.32 0.97 0.94 0.36 0.81 1.00 0.98 0.90 0.16 0.89 0.87 0.94 0.69 0.96 0.53 0.59 0.00 0.50 0.49 0.34 0.16 0.63 0.00 0.36 0.84 0.02 0.63 0.77 0.00 0.61 0.52 0.96 0.32 0.25 0.85 0.77 0.34 0.91 0.06 0.04 0.05 0.39 0.34 0.07 0.44 0.66 0.69 0.86 0.04 0.11 0.72 0.94 0.54 0.18 0.39 ]
[ 0.95 0.88 0.88 0.79 0.91 0.43 0.04 0.97 0.49 0.97 0.66 0.78 0.60 0.94 0.44 0.98 1.00 0.02 0.76 0.37 0.23 0.11 0.83 0.48 0.98 0.68 0.65 0.07 0.26 0.59 0.84 0.10 0.83 0.18 0.33 0.84 0.27 0.78 0.87 0.98 0.77 0.22 0.25 0.24 0.53 0.17 0.44 0.76 0.07 0.32 0.34 0.23 0.79 0.56 0.41 0.15 0.22 0.74 0.57 0.08 0.96 0.95 0.34 0.52 0.48 ]
[ 0.65 0.39 0.16 0.89 0.93 0.00 0.45 0.35 0.66 0.49 0.94 0.87 0.45 0.58 0.73 0.90 0.02 1.00 0.49 0.85 0.28 0.57 0.99 0.04 0.03 0.83 0.56 0.19 0.96 0.66 0.80 0.83 0.68 0.31 0.28 0.98 0.24 0.87 0.45 0.99 0.96 0.96 0.51 0.49 0.56 0.61 0.31 0.83 0.21 0.31 0.45 0.61 0.51 0.09 0.31 0.58 0.92 0.38 0.26 0.32 0.18 0.33 0.53 0.32 0.45 ]
[ 0.65 0.17 0.40 0.87 0.80 0.95 0.03 0.10 0.31 0.71 0.83 0.95 0.27 0.29 0.78 0.16 0.76 0.49 1.00 0.98 0.93 0.91 0.41 0.85 0.56 0.09 1.00 0.21 0.65 0.76 0.31 0.16 0.39 0.06 0.65 0.59 0.73 0.05 0.01 0.70 0.81 0.96 0.33 0.18 0.23 0.96 0.00 0.96 0.42 0.07 0.64 0.70 0.56 0.89 0.98 0.00 0.93 0.14 0.46 0.19 0.26 0.43 0.51 0.94 0.97 ]
[ 0.31 0.65 0.30 0.84 0.60 0.98 0.58 0.57 0.16 0.46 0.53 0.70 0.93 0.69 0.54 0.89 0.37 0.85 0.98 1.00 0.23 0.04 0.96 0.48 0.49 0.49 0.73 0.57 0.35 0.99 0.53 0.50 0.84 0.41 0.95 0.87 0.02 0.61 0.59 0.08 0.42 0.88 0.18 0.83 0.73 0.61 0.17 0.05 0.88 0.56 0.75 0.09 0.25 0.99 0.43 0.76 0.48 0.15 0.73 0.13 0.77 0.18 0.61 0.79 0.85 ]
[ 0.52 0.37 0.32 0.66 0.00 0.36 0.07 0.60 0.42 1.00 0.33 0.48 0.26 0.49 0.76 0.87 0.23 0.28 0.93 0.23 1.00 0.10 0.31 0.78 0.94 0.25 0.36 0.68 0.19 0.89 0.10 0.08 0.59 0.49 0.81 0.25 0.78 0.75 0.25 0.93 0.57 0.63 0.95 0.95 0.28 0.57 0.22 0.47 0.67 0.17 0.90 0.10 0.85 0.42 0.33 0.98 0.00 0.93 0.29 0.45 0.88 0.50 0.50 0.52 0.42 ]
[ 0.59 0.62 0.91 0.54 0.91 0.95 0.97 0.18 0.73 0.48 0.87 0.61 0.41 0.72 0.70 0.94 0.11 0.57 0.91 0.04 0.10 1.00 0.89 0.72 0.64 0.07 0.46 0.47 0.49 0.76 0.20 0.86 0.00 0.89 0.48 0.43 0.73 0.51 0.00 0.94 0.39 0.27 0.49 0.44 0.81 0.33 0.99 0.98 0.12 0.89 0.38 0.23 0.42 0.83 0.95 0.71 0.73 0.72 0.56 0.33 0.23 0.40 0.98 0.86 0.22 ]
[ 0.30 0.23 0.54 0.13 0.46 0.41 0.35 0.28 0.85 0.76 0.99 0.14 0.66 0.32 0.26 0.69 0.83 0.99 0.41 0.96 0.31 0.89 1.00 0.06 0.98 0.77 0.89 0.99 0.91 0.80 0.96 0.53 0.82 0.12 0.38 0.26 0.91 0.98 0.54 0.81 0.96 0.96 0.63 0.14 0.44 0.36 0.56 0.91 0.10 0.59 0.46 0.25 0.16 0.42 0.29 0.85 0.27 0.80 0.41 0.80 0.95 0.78 0.86 0.74 0.94 ]
[ 0.54 0.40 0.52 1.00 0.28 0.30 0.68 0.42 0.22 0.32 0.28 0.73 0.91 0.76 0.22 0.96 0.48 0.04 0.85 0.48 0.78 0.72 0.06 1.00 0.63 0.33 0.99 0.71 0.73 0.60 0.80 0.53 0.61 0.65 0.00 0.91 0.56 0.77 0.08 0.50 0.35 0.89 0.46 0.78 0.40 0.41 0.97 0.66 0.98 0.43 0.90 0.32 0.50 0.72 0.67 0.85 0.74 0.24 0.97 0.17 0.81 0.39 0.56 0.92 0.65 ]
[ 0.88 0.08 0.51 0.91 0.56 0.42 0.19 0.76 0.44 0.98 0.13 0.97 0.33 0.30 0.70 0.53 0.98 0.03 0.56 0.49 0.94 0.64 0.98 0.63 1.00 0.75 0.95 0.80 0.88 0.28 0.18 0.84 0.49 0.88 0.27 0.46 0.57 0.77 0.75 0.58 0.30 0.57 0.08 0.19 0.89 0.68 0.47 0.28 0.76 0.89 0.08 0.26 0.92 0.39 0.91 0.79 0.91 0.50 0.17 0.69 0.72 0.09 0.35 0.88 0.26 ]
[ 0.41 0.91 0.74 0.70 0.89 0.87 0.27 0.74 0.61 0.52 0.35 0.03 0.25 0.51 0.88 0.59 0.68 0.83 0.09 0.49 0.25 0.07 0.77 0.33 0.75 1.00 0.88 0.26 0.98 0.42 0.82 0.25 0.91 0.91 0.08 0.46 0.64 0.75 0.52 0.22 0.35 0.30 0.82 0.98 0.84 0.85 0.16 0.97 0.96 0.35 0.94 0.09 1.00 0.94 0.56 0.33 0.82 0.41 0.74 0.67 0.47 0.97 0.82 0.98 0.70 ]
[ 0.61 0.26 0.52 0.04 0.97 0.10 0.52 0.99 0.91 0.54 0.23 0.33 0.34 0.39 0.38 0.00 0.65 0.56 1.00 0.73 0.36 0.46 0.89 0.99 0.95 0.88 1.00 0.84 0.98 0.62 0.17 0.42 0.84 0.49 0.24 0.98 0.86 0.97 0.42 0.16 0.28 0.86 0.19 0.39 0.58 0.73 0.36 0.33 0.98 0.03 0.58 0.84 0.64 0.31 0.91 0.45 0.25 0.54 0.92 0.25 0.80 0.11 0.29 0.93 0.68 ]
[ 0.25 0.16 0.12 0.28 0.56 0.00 0.43 0.34 0.90 0.39 0.04 0.85 0.91 0.26 0.96 0.50 0.07 0.19 0.21 0.57 0.68 0.47 0.99 0.71 0.80 0.26 0.84 1.00 0.21 0.74 0.86 0.76 0.94 0.54 0.75 0.51 0.98 0.38 0.24 1.00 0.00 0.88 0.85 0.60 0.90 0.58 0.22 0.89 0.11 1.00 0.43 0.37 0.53 0.26 0.46 0.54 0.80 0.88 0.16 0.66 0.77 0.69 0.49 0.43 0.94 ]
[ 0.93 0.86 0.02 0.48 0.20 0.62 0.87 0.80 0.30 0.98 0.40 0.94 0.76 0.24 0.93 0.49 0.26 0.96 0.65 0.35 0.19 0.49 0.91 0.73 0.88 0.98 0.98 0.21 1.00 0.86 0.85 0.74 0.62 0.25 0.44 0.92 0.92 0.00 0.47 0.85 0.42 0.56 0.98 0.97 0.89 0.24 0.87 0.87 0.02 0.76 0.52 0.66 0.16 0.27 0.77 0.35 0.53 0.00 0.42 0.44 0.70 0.57 0.65 0.28 0.31 ]
[ 0.24 0.27 0.44 0.42 0.94 0.44 0.66 0.49 0.16 0.33 0.52 0.24 0.74 0.31 0.61 0.34 0.59 0.66 0.76 0.99 0.89 0.76 0.80 0.60 0.28 0.42 0.62 0.74 0.86 1.00 0.37 0.74 0.89 0.13 0.98 0.50 0.94 0.09 0.43 0.18 0.47 0.40 0.98 0.24 0.51 0.42 0.77 0.64 0.80 0.96 0.99 0.13 0.15 0.20 0.48 0.31 0.80 0.84 0.61 0.78 0.92 0.84 0.50 0.49 0.33 ]
[ 0.98 0.48 0.80 0.55 0.42 0.75 0.35 0.17 0.96 0.94 0.67 0.90 0.69 0.42 0.90 0.16 0.84 0.80 0.31 0.53 0.10 0.20 0.96 0.80 0.18 0.82 0.17 0.86 0.85 0.37 1.00 0.89 0.47 0.67 0.57 0.76 0.78 0.84 0.95 0.00 0.00 0.86 0.50 0.98 0.80 0.87 0.97 0.60 0.56 0.26 0.55 0.87 0.72 0.53 0.98 0.69 0.54 0.86 0.43 0.53 0.89 0.96 0.23 0.02 0.49 ]
[ 0.74 0.58 0.49 0.65 0.84 0.25 0.99 0.26 0.74 0.00 0.19 0.19 0.25 0.86 0.68 0.63 0.10 0.83 0.16 0.50 0.08 0.86 0.53 0.53 0.84 0.25 0.42 0.76 0.74 0.74 0.89 1.00 0.17 0.85 0.50 0.29 0.60 0.34 0.57 0.33 0.77 0.95 0.84 0.24 0.85 0.23 0.81 0.43 0.61 0.24 0.34 0.29 0.43 0.38 0.04 0.64 0.32 0.58 0.33 0.99 0.84 0.91 0.61 0.78 0.88 ]
[ 0.75 0.35 0.73 0.62 0.51 0.12 0.29 0.55 0.96 0.43 0.71 0.19 0.97 0.99 0.47 0.00 0.83 0.68 0.39 0.84 0.59 0.00 0.82 0.61 0.49 0.91 0.84 0.94 0.62 0.89 0.47 0.17 1.00 0.48 0.90 0.45 0.87 0.68 0.05 0.56 0.71 0.97 0.82 0.38 0.72 0.98 0.52 0.71 0.72 0.33 0.79 0.80 0.92 0.92 0.87 0.90 0.32 1.00 0.99 0.25 0.18 0.30 0.71 0.38 0.34 ]
[ 0.35 0.91 0.71 0.30 0.33 0.58 0.44 0.54 0.93 0.56 0.27 0.92 0.31 0.75 0.87 0.36 0.18 0.31 0.06 0.41 0.49 0.89 0.12 0.65 0.88 0.91 0.49 0.54 0.25 0.13 0.67 0.85 0.48 1.00 0.70 0.89 0.88 0.43 0.51 0.66 0.48 0.86 0.27 0.71 0.95 0.90 0.44 0.79 0.67 0.38 0.41 0.31 0.39 0.35 0.26 0.11 0.83 0.23 0.67 0.48 0.68 0.40 0.14 0.79 0.47 ]
[ 0.49 0.29 0.32 0.42 0.74 0.32 0.87 0.22 0.90 0.22 0.45 0.73 0.87 0.95 0.89 0.84 0.33 0.28 0.65 0.95 0.81 0.48 0.38 0.00 0.27 0.08 0.24 0.75 0.44 0.98 0.57 0.50 0.90 0.70 1.00 0.88 0.76 0.46 0.21 0.20 0.96 0.77 0.56 0.75 0.79 0.69 0.87 0.74 0.06 0.71 0.16 0.64 0.48 0.21 0.13 0.97 0.82 0.37 0.62 0.77 0.51 0.33 0.69 0.68 0.75 ]
[ 0.87 0.05 0.44 0.64 0.94 0.94 0.55 0.34 0.86 0.72 0.46 0.55 0.20 0.21 0.37 0.02 0.84 0.98 0.59 0.87 0.25 0.43 0.26 0.91 0.46 0.46 0.98 0.51 0.92 0.50 0.76 0.29 0.45 0.89 0.88 1.00 0.86 0.93 0.96 0.98 0.55 0.84 0.00 0.99 0.61 0.96 0.90 0.38 0.54 0.71 0.67 0.50 0.16 0.74 0.23 0.58 0.46 0.79 0.96 0.98 0.90 0.28 0.75 0.65 0.50 ]
[ 0.40 0.92 0.92 0.86 0.21 0.49 0.56 0.50 0.27 0.25 0.39 0.97 0.14 0.01 0.72 0.63 0.27 0.24 0.73 0.02 0.78 0.73 0.91 0.56 0.57 0.64 0.86 0.98 0.92 0.94 0.78 0.60 0.87 0.88 0.76 0.86 1.00 0.19 0.49 0.52 0.80 0.31 0.32 0.00 0.95 0.78 0.80 0.90 0.22 0.48 0.70 0.93 0.48 0.33 0.51 0.00 0.15 0.94 0.70 0.86 0.54 0.61 0.32 0.45 0.93 ]
[ 0.21 0.02 0.84 0.70 0.33 0.20 0.70 0.49 0.45 0.18 0.52 0.26 0.88 0.25 0.20 0.77 0.78 0.87 0.05 0.61 0.75 0.51 0.98 0.77 0.77 0.75 0.97 0.38 0.00 0.09 0.84 0.34 0.68 0.43 0.46 0.93 0.19 1.00 1.00 0.87 0.13 0.46 0.56 0.42 0.43 0.25 0.95 0.77 0.64 0.18 0.50 0.69 0.72 0.89 0.58 0.68 0.65 0.38 0.41 0.64 0.24 0.97 0.69 0.50 0.23 ]
[ 0.85 0.16 0.30 0.84 0.96 0.16 0.23 0.33 0.68 0.28 0.19 0.70 0.73 0.27 0.97 0.00 0.87 0.45 0.01 0.59 0.25 0.00 0.54 0.08 0.75 0.52 0.42 0.24 0.47 0.43 0.95 0.57 0.05 0.51 0.21 0.96 0.49 1.00 1.00 0.73 0.13 0.53 0.78 0.92 0.29 1.00 0.91 0.88 0.18 0.54 0.69 0.99 0.85 0.16 0.84 0.68 0.46 0.92 0.87 0.75 0.23 0.89 0.87 0.90 0.91 ]
[ 0.18 0.34 0.00 1.00 0.97 0.87 0.77 0.88 0.12 0.59 0.89 0.37 0.82 0.38 0.75 0.61 0.98 0.99 0.70 0.08 0.93 0.94 0.81 0.50 0.58 0.22 0.16 1.00 0.85 0.18 0.00 0.33 0.56 0.66 0.20 0.98 0.52 0.87 0.73 1.00 0.90 0.88 0.96 0.64 0.41 0.54 0.50 0.92 0.38 0.76 0.75 0.15 0.08 0.94 0.90 0.62 0.24 0.79 0.23 0.93 0.35 0.00 0.70 0.19 0.45 ]
[ 0.56 0.32 0.66 0.96 0.68 0.57 0.28 0.46 0.36 0.00 0.24 0.24 0.97 0.68 0.96 0.52 0.77 0.96 0.81 0.42 0.57 0.39 0.96 0.35 0.30 0.35 0.28 0.00 0.42 0.47 0.00 0.77 0.71 0.48 0.96 0.55 0.80 0.13 0.13 0.90 1.00 0.94 0.47 0.57 0.87 0.25 0.18 0.94 0.31 0.57 0.09 0.59 0.50 0.95 0.00 0.11 0.89 0.61 0.72 0.49 0.91 0.51 0.34 0.80 0.98 ]
[ 0.88 0.13 0.73 0.19 0.80 0.54 0.92 0.51 0.84 0.28 0.36 0.79 0.00 0.51 0.76 0.96 0.22 0.96 0.96 0.88 0.63 0.27 0.96 0.89 0.57 0.30 0.86 0.88 0.56 0.40 0.86 0.95 0.97 0.86 0.77 0.84 0.31 0.46 0.53 0.88 0.94 1.00 0.54 0.16 0.55 0.33 0.70 0.26 0.55 0.77 0.36 0.93 0.86 0.16 0.88 0.31 0.32 0.93 0.16 0.93 0.95 0.98 0.39 0.85 0.48 ]
[ 0.24 0.56 0.82 0.43 0.80 0.55 0.74 0.60 0.19 0.77 0.11 0.02 0.94 0.25 0.44 0.32 0.25 0.51 0.33 0.18 0.95 0.49 0.63 0.46 0.08 0.82 0.19 0.85 0.98 0.98 0.50 0.84 0.82 0.27 0.56 0.00 0.32 0.56 0.78 0.96 0.47 0.54 1.00 0.26 0.57 0.54 0.93 0.35 0.98 0.99 0.57 0.98 0.19 0.03 0.32 0.28 0.25 0.51 0.20 0.91 0.90 0.40 0.00 0.00 0.59 ]
[ 0.96 0.93 0.99 0.20 0.84 0.63 0.25 0.94 0.34 0.34 0.62 0.66 0.82 0.28 0.93 0.25 0.24 0.49 0.18 0.83 0.95 0.44 0.14 0.78 0.19 0.98 0.39 0.60 0.97 0.24 0.98 0.24 0.38 0.71 0.75 0.99 0.00 0.42 0.92 0.64 0.57 0.16 0.26 1.00 0.26 0.45 0.17 0.43 0.96 0.72 0.65 0.94 0.88 0.48 0.96 0.80 0.70 0.81 0.99 0.94 0.87 0.13 0.39 0.89 0.98 ]
[ 0.56 0.27 0.61 0.74 0.15 0.25 0.37 0.77 0.94 0.96 0.09 0.85 0.82 0.53 0.59 0.85 0.53 0.56 0.23 0.73 0.28 0.81 0.44 0.40 0.89 0.84 0.58 0.90 0.89 0.51 0.80 0.85 0.72 0.95 0.79 0.61 0.95 0.43 0.29 0.41 0.87 0.55 0.57 0.26 1.00 0.86 0.18 0.92 0.96 0.49 0.96 0.93 0.64 0.71 0.20 0.96 0.47 0.40 0.98 0.77 0.60 0.37 0.57 0.80 0.61 ]
[ 0.58 0.42 0.63 0.48 0.27 0.86 0.63 0.52 0.77 0.29 0.38 0.34 0.83 0.36 0.41 0.77 0.17 0.61 0.96 0.61 0.57 0.33 0.36 0.41 0.68 0.85 0.73 0.58 0.24 0.42 0.87 0.23 0.98 0.90 0.69 0.96 0.78 0.25 1.00 0.54 0.25 0.33 0.54 0.45 0.86 1.00 0.72 0.97 0.80 0.77 0.26 0.87 0.26 0.50 0.91 0.22 0.87 0.89 0.92 0.28 0.27 0.97 0.32 0.91 0.87 ]
[ 0.74 0.98 0.16 0.96 0.61 0.37 0.98 0.96 0.55 0.69 0.84 0.70 0.32 0.80 0.69 0.34 0.44 0.31 0.00 0.17 0.22 0.99 0.56 0.97 0.47 0.16 0.36 0.22 0.87 0.77 0.97 0.81 0.52 0.44 0.87 0.90 0.80 0.95 0.91 0.50 0.18 0.70 0.93 0.17 0.18 0.72 1.00 0.99 0.30 0.28 0.62 0.77 0.86 0.91 0.67 0.58 0.47 0.54 0.60 0.09 0.80 0.19 0.88 0.90 0.00 ]
[ 0.80 0.05 0.13 0.98 0.25 0.59 0.24 0.65 0.49 0.99 0.71 0.00 0.26 0.14 0.66 0.91 0.76 0.83 0.96 0.05 0.47 0.98 0.91 0.66 0.28 0.97 0.33 0.89 0.87 0.64 0.60 0.43 0.71 0.79 0.74 0.38 0.90 0.77 0.88 0.92 0.94 0.26 0.35 0.43 0.92 0.97 0.99 1.00 0.72 0.88 0.70 0.62 0.45 0.69 0.57 0.74 0.74 0.48 0.40 0.45 0.46 0.42 0.22 0.34 0.23 ]
[ 0.85 0.83 0.85 0.02 0.21 0.69 0.79 0.24 0.37 0.88 0.17 0.13 0.95 0.19 0.66 0.06 0.07 0.21 0.42 0.88 0.67 0.12 0.10 0.98 0.76 0.96 0.98 0.11 0.02 0.80 0.56 0.61 0.72 0.67 0.06 0.54 0.22 0.64 0.18 0.38 0.31 0.55 0.98 0.96 0.96 0.80 0.30 0.72 1.00 0.94 0.65 0.19 0.64 0.88 0.19 0.46 0.51 0.40 0.05 0.90 0.46 0.53 0.87 0.48 0.35 ]
[ 0.33 0.47 1.00 0.30 0.24 0.69 0.92 0.54 0.31 0.92 0.54 1.00 0.19 0.85 0.56 0.04 0.32 0.31 0.07 0.56 0.17 0.89 0.59 0.43 0.89 0.35 0.03 1.00 0.76 0.96 0.26 0.24 0.33 0.38 0.71 0.71 0.48 0.18 0.54 0.76 0.57 0.77 0.99 0.72 0.49 0.77 0.28 0.88 0.94 1.00 0.23 0.41 0.00 0.19 0.39 0.19 0.71 0.78 0.37 0.18 0.21 0.53 0.90 0.98 0.93 ]
[ 0.11 0.75 0.60 0.36 0.63 0.46 0.54 0.45 0.50 0.37 0.00 0.39 0.26 0.91 0.56 0.05 0.34 0.45 0.64 0.75 0.90 0.38 0.46 0.90 0.08 0.94 0.58 0.43 0.52 0.99 0.55 0.34 0.79 0.41 0.16 0.67 0.70 0.50 0.69 0.75 0.09 0.36 0.57 0.65 0.96 0.26 0.62 0.70 0.65 0.23 1.00 0.46 0.30 0.15 0.56 0.42 0.06 0.37 0.44 0.80 1.00 0.97 0.69 0.73 0.46 ]
