[ 0.61 0.64 0.40 0.34 0.12 0.63 0.70 0.48 0.11 0.25 1.00 0.95 0.18 0.25 0.00 0.63 0.62 0.73 0.37 0.45 0.00 0.00 0.24 0.91 0.23 0.36 0.78 0.26 0.50 0.37 0.92 0.37 0.77 0.63 0.26 0.92 0.88 ]
[ 0.67 0.41 0.94 0.98 0.54 0.89 0.73 0.56 0.64 0.38 0.95 1.00 0.41 0.81 0.26 0.40 0.18 0.89 0.52 0.50 0.07 0.36 0.86 0.67 0.78 0.69 0.49 0.35 0.34 0.61 0.89 0.98 0.35 0.53 0.79 0.60 1.00 ]
[ 0.13 0.21 0.77 0.94 0.23 0.26 0.83 0.13 0.98 0.07 0.18 0.41 1.00 0.23 0.25 0.75 0.68 0.47 0.57 0.86 0.84 0.37 0.69 0.59 0.90 0.98 0.30 0.09 0.92 0.04 0.56 0.62 0.70 0.94 0.76 0.89 0.46 ]
[ 0.91 0.10 0.19 0.89 0.58 0.34 0.21 0.00 1.00 0.53 0.25 0.81 0.23 1.00 0.25 0.97 0.34 0.99 0.91 0.60 0.05 0.66 0.96 0.72 0.62 0.93 0.85 0.81 0.35 0.74 0.57 0.27 0.66 0.15 0.32 0.22 0.69 ]
[ 0.46 0.67 0.89 0.42 0.39 0.87 0.97 0.25 0.34 0.24 0.00 0.26 0.25 0.25 1.00 0.34 0.87 0.99 0.63 0.20 0.78 0.82 0.43 0.57 0.43 0.98 0.77 0.31 0.51 0.67 0.26 0.71 0.22 0.24 0.88 0.00 0.22 ]
[ 0.98 0.66 0.12 0.26 0.54 0.97 0.02 0.21 0.94 0.21 0.63 0.40 0.75 0.97 0.34 1.00 0.45 0.59 0.77 0.57 0.50 0.53 0.81 0.77 0.44 0.45 0.83 0.93 0.98 0.78 0.69 0.89 0.00 0.80 0.00 0.08 0.72 ]
[ 0.76 0.22 0.44 0.88 0.84 0.47 0.39 0.18 0.19 0.18 0.62 0.18 0.68 0.34 0.87 0.45 1.00 0.67 0.92 0.16 0.82 0.50 0.74 0.23 0.27 0.61 0.18 0.20 0.59 0.89 0.92 0.18 0.77 0.95 0.48 0.95 0.22 ]
[ 0.38 0.20 0.82 0.88 0.99 0.45 0.98 0.76 0.96 0.96 0.73 0.89 0.47 0.99 0.99 0.59 0.67 1.00 0.97 0.59 0.36 0.77 0.76 0.06 0.00 0.85 0.52 0.69 0.21 0.89 0.65 0.90 0.29 0.49 0.54 0.83 0.67 ]
[ 0.69 0.30 0.94 0.99 0.46 0.88 0.15 0.68 0.98 0.48 0.37 0.52 0.57 0.91 0.63 0.77 0.92 0.97 1.00 0.90 0.61 0.20 0.52 0.76 0.87 0.43 0.96 0.20 0.28 0.72 0.25 0.66 0.96 0.27 0.49 0.03 0.97 ]
[ 0.07 0.52 0.61 0.47 0.11 0.73 0.55 0.42 0.91 0.72 0.45 0.50 0.86 0.60 0.20 0.57 0.16 0.59 0.90 1.00 0.67 0.39 0.40 0.89 0.95 0.42 0.42 0.02 0.81 0.51 1.00 0.06 0.96 0.95 0.17 0.26 0.68 ]
[ 0.94 0.33 0.91 0.98 0.62 0.42 0.55 0.92 0.56 0.20 0.00 0.07 0.84 0.05 0.78 0.50 0.82 0.36 0.61 0.67 1.00 0.91 0.99 0.76 0.56 0.39 0.12 0.87 0.67 0.92 0.80 0.75 0.96 0.54 0.83 0.00 0.96 ]
[ 0.50 0.99 0.64 0.24 0.97 0.10 0.00 0.39 0.64 0.16 0.00 0.36 0.37 0.66 0.82 0.53 0.50 0.77 0.20 0.39 0.91 1.00 0.77 0.88 0.65 0.22 0.24 0.68 0.88 0.39 0.99 0.72 0.78 0.51 0.85 0.91 0.69 ]
[ 0.39 0.78 0.81 0.24 0.19 0.17 0.84 0.39 0.71 0.82 0.24 0.86 0.69 0.96 0.43 0.81 0.74 0.76 0.52 0.40 0.99 0.77 1.00 0.82 0.99 0.88 0.79 0.58 0.38 0.60 0.98 0.46 0.17 0.60 0.66 0.40 0.43 ]
[ 0.58 0.53 0.57 0.91 0.36 0.85 0.71 0.00 0.97 0.93 0.91 0.67 0.59 0.72 0.57 0.77 0.23 0.06 0.76 0.89 0.76 0.88 0.82 1.00 0.49 0.75 0.73 0.55 0.92 0.35 0.52 0.07 0.27 0.26 0.31 0.76 0.24 ]
[ 0.95 0.34 0.16 0.93 0.47 0.81 0.04 0.98 0.00 0.23 0.23 0.78 0.90 0.62 0.43 0.44 0.27 0.00 0.87 0.95 0.56 0.65 0.99 0.49 1.00 0.16 0.39 0.04 0.57 0.34 0.79 0.46 0.38 0.50 0.90 0.18 0.90 ]
[ 0.42 0.05 0.99 0.57 0.84 0.18 0.21 0.64 0.37 0.53 0.36 0.69 0.98 0.93 0.98 0.45 0.61 0.85 0.43 0.42 0.39 0.22 0.88 0.75 0.16 1.00 0.24 0.42 0.46 0.09 0.85 0.77 0.67 0.90 0.79 0.75 0.61 ]
[ 0.83 0.54 0.92 0.86 0.91 0.55 0.30 0.52 0.23 0.19 0.78 0.49 0.30 0.85 0.77 0.83 0.18 0.52 0.96 0.42 0.12 0.24 0.79 0.73 0.39 0.24 1.00 0.00 0.26 0.45 0.22 0.92 0.19 0.64 0.50 0.59 0.31 ]
[ 0.72 0.15 0.17 0.95 0.68 0.74 0.35 0.95 0.81 0.91 0.26 0.35 0.09 0.81 0.31 0.93 0.20 0.69 0.20 0.02 0.87 0.68 0.58 0.55 0.04 0.42 0.00 1.00 0.13 0.89 0.71 0.32 0.26 0.11 0.62 0.44 0.15 ]
[ 0.18 0.78 0.84 0.39 0.18 0.17 0.96 0.83 0.30 0.68 0.50 0.34 0.92 0.35 0.51 0.98 0.59 0.21 0.28 0.81 0.67 0.88 0.38 0.92 0.57 0.46 0.26 0.13 1.00 0.85 0.73 0.53 0.25 0.11 0.85 0.00 0.76 ]
[ 0.50 0.73 0.94 0.23 0.41 0.32 0.95 0.44 0.90 0.33 0.37 0.61 0.04 0.74 0.67 0.78 0.89 0.89 0.72 0.51 0.92 0.39 0.60 0.35 0.34 0.09 0.45 0.89 0.85 1.00 0.56 0.32 0.45 0.86 0.17 0.63 0.73 ]
[ 0.92 0.36 0.86 0.75 0.89 0.97 0.69 0.74 0.83 0.58 0.92 0.89 0.56 0.57 0.26 0.69 0.92 0.65 0.25 1.00 0.80 0.99 0.98 0.52 0.79 0.85 0.22 0.71 0.73 0.56 1.00 0.78 0.97 0.28 0.81 0.17 0.47 ]
[ 0.38 0.97 0.70 0.64 0.71 0.29 0.80 0.30 0.96 0.81 0.37 0.98 0.62 0.27 0.71 0.89 0.18 0.90 0.66 0.06 0.75 0.72 0.46 0.07 0.46 0.77 0.92 0.32 0.53 0.32 0.78 1.00 0.85 0.87 0.77 0.20 0.09 ]
[ 0.97 0.40 0.62 0.86 0.06 0.16 0.39 0.38 0.92 0.61 0.77 0.35 0.70 0.66 0.22 0.00 0.77 0.29 0.96 0.96 0.96 0.78 0.17 0.27 0.38 0.67 0.19 0.26 0.25 0.45 0.97 0.85 1.00 0.45 0.51 0.17 0.40 ]
[ 0.22 0.79 0.94 0.00 0.88 0.46 0.30 0.80 0.21 0.19 0.63 0.53 0.94 0.15 0.24 0.80 0.95 0.49 0.27 0.95 0.54 0.51 0.60 0.26 0.50 0.90 0.64 0.11 0.11 0.86 0.28 0.87 0.45 1.00 1.00 0.88 0.95 ]
[ 0.99 0.30 0.62 0.16 0.60 0.78 0.89 0.90 0.95 0.47 0.26 0.79 0.76 0.32 0.88 0.00 0.48 0.54 0.49 0.17 0.83 0.85 0.66 0.31 0.90 0.79 0.50 0.62 0.85 0.17 0.81 0.77 0.51 1.00 1.00 0.64 0.86 ]
[ 0.44 0.46 0.35 0.84 0.24 0.40 0.89 0.00 0.18 0.90 0.92 0.60 0.89 0.22 0.00 0.08 0.95 0.83 0.03 0.26 0.00 0.91 0.40 0.76 0.18 0.75 0.59 0.44 0.00 0.63 0.17 0.20 0.17 0.88 0.64 1.00 0.94 ]
[ 0.86 0.62 0.75 0.74 0.51 0.44 0.86 0.96 0.80 0.27 0.88 1.00 0.46 0.69 0.22 0.72 0.22 0.67 0.97 0.68 0.96 0.69 0.43 0.24 0.90 0.61 0.31 0.15 0.76 0.73 0.47 0.09 0.40 0.95 0.86 0.94 1.00 ]
];
