[ 0.36 0.86 0.90 0.60 0.92 0.61 0.22 0.21 0.00 0.05 1.00 0.36 0.83 0.03 0.34 0.58 0.87 0.24 0.56 0.52 0.21 0.23 0.05 0.70 0.70 0.76 0.82 0.61 0.89 0.56 0.44 0.43 0.91 0.55 0.89 0.88 0.65 0.54 0.82 0.01 0.64 0.81 0.22 0.00 0.39 0.27 0.98 0.33 ]
[ 0.56 0.93 0.09 0.51 0.84 0.85 0.84 0.74 0.40 0.82 0.36 1.00 0.70 0.99 0.20 0.84 0.68 0.00 0.34 0.98 0.18 0.83 0.80 0.34 0.84 0.23 0.72 0.28 0.26 0.41 0.25 0.63 0.95 0.65 0.17 0.82 0.44 0.96 0.49 0.57 0.48 0.36 0.22 0.77 0.56 0.92 0.58 0.59 ]
[ 0.18 0.62 0.44 0.51 0.00 0.48 0.86 0.62 0.34 0.18 0.83 0.70 1.00 0.76 0.30 0.99 0.83 0.86 0.95 0.69 0.19 0.85 0.53 0.73 0.39 0.64 0.24 0.17 0.56 0.86 0.71 0.99 0.05 0.51 0.95 0.36 0.52 0.19 0.42 0.51 0.36 0.94 0.08 0.88 0.92 0.77 0.90 0.20 ]
[ 0.80 0.63 0.33 0.54 0.97 0.87 0.79 0.99 0.34 0.67 0.03 0.99 0.76 1.00 0.79 0.62 0.75 0.34 0.33 0.47 0.30 0.00 0.51 0.81 0.63 0.87 0.17 0.61 0.66 0.42 0.91 0.01 0.72 0.33 0.35 0.62 0.71 0.36 0.97 0.34 0.69 0.35 0.98 0.24 0.47 0.83 0.07 0.98 ]
[ 0.26 0.31 0.44 0.44 0.66 0.39 0.00 0.62 0.90 0.83 0.34 0.20 0.30 0.79 1.00 0.19 0.50 0.66 0.00 0.52 0.56 0.59 0.24 0.56 0.44 0.44 0.51 0.72 0.14 0.50 0.56 0.19 0.35 0.92 0.64 0.34 0.97 0.23 0.17 0.93 0.22 0.72 0.80 0.59 0.39 0.77 0.79 0.61 ]
[ 0.13 0.72 0.40 0.26 0.83 0.74 0.68 0.91 0.80 0.31 0.58 0.84 0.99 0.62 0.19 1.00 0.90 0.60 0.20 0.05 0.97 0.98 0.26 0.35 0.38 0.76 0.96 0.25 0.59 0.84 1.00 0.66 0.67 0.43 0.35 0.66 0.30 0.80 1.00 0.00 0.90 0.50 0.17 0.64 0.58 0.20 0.63 0.98 ]
[ 0.26 0.90 0.11 0.87 0.98 0.80 0.23 0.90 0.80 0.19 0.87 0.68 0.83 0.75 0.50 0.90 1.00 0.92 0.44 0.54 0.84 0.41 0.56 0.56 0.41 0.87 0.47 0.00 0.26 0.49 0.36 0.93 0.52 0.47 0.85 0.90 0.66 0.52 0.55 0.78 0.59 0.49 0.32 0.40 0.13 0.34 0.49 0.25 ]
[ 0.33 0.27 0.01 0.98 0.96 0.29 0.60 0.23 0.20 0.70 0.24 0.00 0.86 0.34 0.66 0.60 0.92 1.00 0.44 0.12 0.90 0.55 0.87 0.41 0.40 0.21 0.19 0.92 0.28 0.65 0.00 1.00 0.28 0.90 0.32 0.85 0.89 0.31 0.89 0.95 0.95 0.22 0.85 0.88 0.98 0.17 0.67 0.18 ]
[ 0.51 0.38 0.92 0.89 0.86 0.32 0.20 0.33 0.20 0.38 0.56 0.34 0.95 0.33 0.00 0.20 0.44 0.44 1.00 0.97 0.23 0.33 0.11 0.33 0.72 0.34 0.54 0.46 0.10 0.00 0.72 0.87 0.71 0.56 0.20 0.60 0.59 0.62 0.91 0.16 0.84 0.95 0.87 0.80 0.34 0.21 0.26 0.81 ]
[ 0.90 0.86 0.36 0.93 0.74 0.21 0.20 0.72 0.15 0.36 0.52 0.98 0.69 0.47 0.52 0.05 0.54 0.12 0.97 1.00 0.89 0.68 0.18 0.70 0.87 0.91 0.95 0.99 0.16 0.23 0.30 0.78 0.45 0.55 0.30 0.52 0.19 0.76 0.95 0.00 0.70 0.30 0.96 0.00 0.42 0.73 0.70 0.53 ]
[ 0.49 0.86 0.04 0.27 0.86 0.18 0.50 0.60 0.00 0.63 0.21 0.18 0.19 0.30 0.56 0.97 0.84 0.90 0.23 0.89 1.00 0.52 0.61 0.93 0.58 0.42 0.91 0.69 0.80 0.75 0.68 0.97 0.45 0.20 0.63 0.36 0.93 0.29 0.99 0.01 0.98 0.30 0.96 0.35 0.93 0.66 0.90 0.10 ]
[ 0.97 1.00 0.73 0.77 0.58 0.68 0.68 0.90 0.16 0.45 0.23 0.83 0.85 0.00 0.59 0.98 0.41 0.55 0.33 0.68 0.52 1.00 0.65 0.15 0.60 0.95 0.25 0.91 0.57 0.57 0.85 0.61 0.97 0.45 0.20 0.57 0.63 0.25 0.86 0.71 0.47 0.78 0.89 0.61 0.73 0.37 0.20 0.94 ]
[ 0.43 0.75 0.42 0.97 0.29 0.54 0.28 0.97 0.24 0.60 0.05 0.80 0.53 0.51 0.24 0.26 0.56 0.87 0.11 0.18 0.61 0.65 1.00 0.79 0.27 0.26 0.42 0.18 0.32 0.95 0.12 0.49 0.96 0.18 0.60 0.95 0.63 0.81 0.55 0.04 0.75 0.93 0.34 0.69 0.95 0.55 0.55 0.88 ]
[ 0.52 0.91 0.28 0.19 0.96 0.51 0.39 0.40 0.23 0.44 0.70 0.34 0.73 0.81 0.56 0.35 0.56 0.41 0.33 0.70 0.93 0.15 0.79 1.00 0.73 0.64 0.25 0.92 0.20 0.21 0.89 0.43 0.97 0.39 0.46 0.94 0.54 0.57 0.30 0.46 0.22 0.52 0.92 0.86 0.90 0.88 0.08 0.96 ]
[ 0.36 0.19 0.67 0.89 0.39 0.77 0.93 0.65 0.96 0.42 0.70 0.84 0.39 0.63 0.44 0.38 0.41 0.40 0.72 0.87 0.58 0.60 0.27 0.73 1.00 0.93 0.41 0.27 0.86 0.23 0.75 0.50 0.41 0.46 0.97 0.76 0.51 0.86 0.73 0.90 0.00 0.74 0.32 0.97 0.75 0.05 0.41 0.17 ]
[ 0.30 0.29 0.94 0.78 0.75 0.85 0.51 0.96 0.96 0.89 0.76 0.23 0.64 0.87 0.44 0.76 0.87 0.21 0.34 0.91 0.42 0.95 0.26 0.64 0.93 1.00 0.85 0.24 0.47 0.69 0.56 0.44 0.73 0.60 0.75 0.84 0.33 0.36 0.34 0.95 0.89 0.38 0.37 0.87 0.52 0.25 0.80 0.44 ]
[ 0.03 0.96 0.66 0.61 0.80 0.65 0.49 0.49 0.17 0.57 0.82 0.72 0.24 0.17 0.51 0.96 0.47 0.19 0.54 0.95 0.91 0.25 0.42 0.25 0.41 0.85 1.00 0.93 0.87 0.51 0.48 0.78 0.99 0.41 0.73 0.04 0.98 0.94 0.90 0.83 0.32 0.16 0.95 0.64 0.80 0.99 0.85 0.87 ]
[ 0.93 0.28 0.69 0.92 0.71 0.47 0.93 0.31 0.16 0.68 0.61 0.28 0.17 0.61 0.72 0.25 0.00 0.92 0.46 0.99 0.69 0.91 0.18 0.92 0.27 0.24 0.93 1.00 1.00 0.47 0.26 0.82 0.33 0.20 0.64 0.19 0.99 0.94 0.94 0.41 0.93 0.81 0.21 0.91 0.60 0.76 0.55 0.73 ]
[ 0.44 0.47 0.84 0.35 0.40 0.49 0.79 0.88 0.43 0.61 0.89 0.26 0.56 0.66 0.14 0.59 0.26 0.28 0.10 0.16 0.80 0.57 0.32 0.20 0.86 0.47 0.87 1.00 1.00 0.91 0.06 0.80 0.85 0.53 0.92 0.78 0.65 0.23 0.99 0.68 0.04 0.29 0.00 0.69 0.15 0.39 0.16 0.73 ]
[ 0.50 0.44 0.37 0.91 0.56 0.92 0.87 0.80 0.27 0.99 0.56 0.41 0.86 0.42 0.50 0.84 0.49 0.65 0.00 0.23 0.75 0.57 0.95 0.21 0.23 0.69 0.51 0.47 0.91 1.00 0.46 0.17 0.25 0.82 0.79 0.21 0.89 0.90 0.54 0.71 0.77 0.95 0.88 0.97 0.46 0.95 0.36 0.99 ]
[ 0.56 0.57 0.64 0.40 0.30 0.76 0.27 0.21 0.67 0.15 0.44 0.25 0.71 0.91 0.56 1.00 0.36 0.00 0.72 0.30 0.68 0.85 0.12 0.89 0.75 0.56 0.48 0.26 0.06 0.46 1.00 0.99 0.44 0.33 0.43 0.12 0.24 0.44 0.86 0.50 0.29 0.65 0.77 0.56 0.01 0.36 0.38 0.79 ]
[ 0.66 0.16 0.23 0.61 0.27 0.84 0.94 1.00 0.97 0.33 0.43 0.63 0.99 0.01 0.19 0.66 0.93 1.00 0.87 0.78 0.97 0.61 0.49 0.43 0.50 0.44 0.78 0.82 0.80 0.17 0.99 1.00 0.19 0.32 0.96 0.26 0.90 0.68 0.77 0.02 0.99 0.86 0.83 0.43 0.93 0.17 0.79 0.58 ]
[ 0.20 0.34 0.47 0.99 0.40 0.52 0.31 0.78 0.53 0.00 0.91 0.95 0.05 0.72 0.35 0.67 0.52 0.28 0.71 0.45 0.45 0.97 0.96 0.97 0.41 0.73 0.99 0.33 0.85 0.25 0.44 0.19 1.00 0.87 0.91 0.13 0.95 0.27 0.00 0.19 0.11 0.56 0.29 0.53 0.72 0.43 0.00 0.35 ]
[ 0.82 0.61 0.86 0.86 0.32 0.97 0.93 0.20 0.00 0.18 0.55 0.65 0.51 0.33 0.92 0.43 0.47 0.90 0.56 0.55 0.20 0.45 0.18 0.39 0.46 0.60 0.41 0.20 0.53 0.82 0.33 0.32 0.87 1.00 0.93 0.43 0.68 0.48 0.44 0.98 0.50 0.59 0.34 0.67 0.84 0.91 1.00 0.32 ]
[ 0.04 0.88 0.11 0.07 1.00 0.17 0.78 0.06 0.65 0.69 0.89 0.17 0.95 0.35 0.64 0.35 0.85 0.32 0.20 0.30 0.63 0.20 0.60 0.46 0.97 0.75 0.73 0.64 0.92 0.79 0.43 0.96 0.91 0.93 1.00 0.54 0.79 0.45 0.97 0.26 0.73 0.41 0.87 0.04 0.17 0.54 0.41 0.99 ]
[ 0.98 0.71 0.62 0.71 0.32 0.31 0.55 0.76 0.47 0.10 0.88 0.82 0.36 0.62 0.34 0.66 0.90 0.85 0.60 0.52 0.36 0.57 0.95 0.94 0.76 0.84 0.04 0.19 0.78 0.21 0.12 0.26 0.13 0.43 0.54 1.00 0.42 0.65 0.42 0.26 0.42 0.59 0.69 0.91 0.39 0.38 0.61 0.04 ]
[ 0.08 0.91 0.16 0.19 0.19 0.31 0.90 0.42 0.89 0.44 0.65 0.44 0.52 0.71 0.97 0.30 0.66 0.89 0.59 0.19 0.93 0.63 0.63 0.54 0.51 0.33 0.98 0.99 0.65 0.89 0.24 0.90 0.95 0.68 0.79 0.42 1.00 0.22 0.47 0.41 0.31 0.04 0.91 0.30 0.83 0.25 0.68 0.42 ]
[ 0.96 0.21 0.00 0.69 0.67 0.60 0.67 0.81 0.96 0.59 0.54 0.96 0.19 0.36 0.23 0.80 0.52 0.31 0.62 0.76 0.29 0.25 0.81 0.57 0.86 0.36 0.94 0.94 0.23 0.90 0.44 0.68 0.27 0.48 0.45 0.65 0.22 1.00 0.51 0.82 0.31 0.44 0.36 0.90 0.85 0.25 0.46 0.87 ]
[ 0.24 0.30 0.43 0.52 0.92 0.34 0.86 0.47 0.95 0.57 0.82 0.49 0.42 0.97 0.17 1.00 0.55 0.89 0.91 0.95 0.99 0.86 0.55 0.30 0.73 0.34 0.90 0.94 0.99 0.54 0.86 0.77 0.00 0.44 0.97 0.42 0.47 0.51 1.00 0.22 0.41 0.82 0.95 0.45 0.77 0.70 0.97 0.47 ]
[ 0.23 0.88 0.06 0.18 0.32 0.08 0.81 0.92 0.17 0.81 0.01 0.57 0.51 0.34 0.93 0.00 0.78 0.95 0.16 0.00 0.01 0.71 0.04 0.46 0.90 0.95 0.83 0.41 0.68 0.71 0.50 0.02 0.19 0.98 0.26 0.26 0.41 0.82 0.22 1.00 0.50 0.66 0.52 0.52 0.82 0.23 0.97 0.92 ]
[ 0.74 0.57 0.79 0.85 0.76 0.74 0.48 0.46 0.89 0.58 0.64 0.48 0.36 0.69 0.22 0.90 0.59 0.95 0.84 0.70 0.98 0.47 0.75 0.22 0.00 0.89 0.32 0.93 0.04 0.77 0.29 0.99 0.11 0.50 0.73 0.42 0.31 0.31 0.41 0.50 1.00 0.34 0.64 0.26 0.85 0.86 0.78 0.97 ]
[ 0.19 0.41 0.90 0.97 0.00 0.11 0.27 0.83 0.13 0.60 0.81 0.36 0.94 0.35 0.72 0.50 0.49 0.22 0.95 0.30 0.30 0.78 0.93 0.52 0.74 0.38 0.16 0.81 0.29 0.95 0.65 0.86 0.56 0.59 0.41 0.59 0.04 0.44 0.82 0.66 0.34 1.00 0.20 0.24 0.23 0.93 0.90 0.94 ]
[ 0.87 0.27 0.68 0.41 0.71 0.93 0.34 0.73 0.22 0.21 0.22 0.22 0.08 0.98 0.80 0.17 0.32 0.85 0.87 0.96 0.96 0.89 0.34 0.92 0.32 0.37 0.95 0.21 0.00 0.88 0.77 0.83 0.29 0.34 0.87 0.69 0.91 0.36 0.95 0.52 0.64 0.20 1.00 0.57 0.61 0.57 0.52 0.76 ]
[ 0.37 0.12 0.69 0.97 0.42 0.68 0.88 0.86 0.99 0.86 0.00 0.77 0.88 0.24 0.59 0.64 0.40 0.88 0.80 0.00 0.35 0.61 0.69 0.86 0.97 0.87 0.64 0.91 0.69 0.97 0.56 0.43 0.53 0.67 0.04 0.91 0.30 0.90 0.45 0.52 0.26 0.24 0.57 1.00 0.44 0.67 0.60 0.39 ]
[ 0.18 0.45 0.53 0.37 0.86 0.70 0.92 0.42 0.45 0.52 0.39 0.56 0.92 0.47 0.39 0.58 0.13 0.98 0.34 0.42 0.93 0.73 0.95 0.90 0.75 0.52 0.80 0.60 0.15 0.46 0.01 0.93 0.72 0.84 0.17 0.39 0.83 0.85 0.77 0.82 0.85 0.23 0.61 0.44 1.00 1.00 0.65 0.88 ]
[ 0.23 0.90 0.30 0.90 0.60 0.74 0.63 0.75 0.27 0.62 0.27 0.92 0.77 0.83 0.77 0.20 0.34 0.17 0.21 0.73 0.66 0.37 0.55 0.88 0.05 0.25 0.99 0.76 0.39 0.95 0.36 0.17 0.43 0.91 0.54 0.38 0.25 0.25 0.70 0.23 0.86 0.93 0.57 0.67 1.00 1.00 0.97 0.48 ]
[ 0.00 0.44 0.50 0.73 0.88 0.49 0.32 0.40 0.24 0.94 0.98 0.58 0.90 0.07 0.79 0.63 0.49 0.67 0.26 0.70 0.90 0.20 0.55 0.08 0.41 0.80 0.85 0.55 0.16 0.36 0.38 0.79 0.00 1.00 0.41 0.61 0.68 0.46 0.97 0.97 0.78 0.90 0.52 0.60 0.65 0.97 1.00 0.31 ]
[ 0.12 0.83 0.86 0.25 0.35 0.92 0.78 0.79 0.24 0.43 0.33 0.59 0.20 0.98 0.61 0.98 0.25 0.18 0.81 0.53 0.10 0.94 0.88 0.96 0.17 0.44 0.87 0.73 0.73 0.99 0.79 0.58 0.35 0.32 0.99 0.04 0.42 0.87 0.47 0.92 0.97 0.94 0.76 0.39 0.88 0.48 0.31 1.00 ]
];
