[ 0.38 0.54 0.21 0.47 0.30 0.79 0.42 0.99 0.91 0.64 1.00 0.68 0.94 0.18 0.49 0.16 0.87 0.50 0.81 0.91 0.75 0.42 0.87 0.85 0.95 0.59 0.98 0.73 0.05 0.26 0.55 0.92 ]
[ 0.64 0.51 0.97 0.11 0.01 0.82 0.56 0.71 0.35 0.96 0.68 1.00 0.00 0.83 0.24 0.94 0.06 0.56 0.64 0.33 0.68 0.90 0.84 0.63 0.18 0.60 0.24 0.38 0.85 0.15 0.75 0.40 ]
[ 0.80 0.90 0.82 0.86 0.66 0.43 0.51 0.36 0.05 0.00 0.94 0.00 1.00 0.87 0.52 0.15 0.53 0.98 0.09 0.58 0.40 0.75 0.51 0.73 0.70 0.25 0.15 0.90 0.33 0.36 0.34 0.93 ]
[ 0.99 0.24 0.42 0.77 0.22 0.80 0.64 0.86 0.27 0.24 0.18 0.83 0.87 1.00 0.20 0.96 0.05 0.84 0.84 0.96 0.71 0.39 0.42 0.40 0.92 0.67 0.23 0.51 0.05 0.28 0.53 0.22 ]
[ 0.29 0.50 0.80 0.95 0.92 0.00 0.98 0.77 0.54 0.22 0.49 0.24 0.52 0.20 1.00 0.30 0.93 0.99 0.95 0.71 0.37 0.53 0.55 0.90 0.69 0.40 0.72 0.40 0.23 0.98 0.97 0.00 ]
[ 0.60 0.80 0.86 0.91 0.55 0.58 0.26 0.84 0.36 0.95 0.16 0.94 0.15 0.96 0.30 1.00 0.90 0.88 0.85 0.06 0.03 0.56 0.26 0.30 0.42 0.73 0.48 0.85 0.10 0.42 0.64 0.87 ]
[ 0.97 0.83 0.88 0.67 0.62 0.04 0.51 0.68 0.87 0.29 0.87 0.06 0.53 0.05 0.93 0.90 1.00 0.71 0.95 0.89 0.13 0.59 0.06 0.86 0.89 0.04 0.87 0.57 0.30 0.86 0.86 0.21 ]
[ 0.89 0.48 0.65 0.58 0.51 0.31 0.79 0.96 0.52 0.39 0.50 0.56 0.98 0.84 0.99 0.88 0.71 1.00 0.71 0.55 0.64 0.49 0.90 0.15 0.78 0.34 0.93 0.31 0.33 0.69 0.86 0.19 ]
[ 0.52 0.78 0.17 0.11 0.40 0.26 0.26 0.69 0.57 0.29 0.81 0.64 0.09 0.84 0.95 0.85 0.95 0.71 1.00 0.57 0.91 0.17 0.75 0.70 0.34 0.47 0.70 0.90 0.51 0.56 0.51 0.55 ]
[ 0.47 0.94 0.73 0.33 0.88 0.99 0.87 0.85 0.89 0.18 0.91 0.33 0.58 0.96 0.71 0.06 0.89 0.55 0.57 1.00 0.04 0.87 0.71 0.49 0.25 0.25 0.31 0.39 0.17 0.97 0.87 0.76 ]
[ 0.21 0.17 0.99 0.81 0.44 0.23 0.43 0.68 0.55 0.61 0.75 0.68 0.40 0.71 0.37 0.03 0.13 0.64 0.91 0.04 1.00 0.85 0.43 0.89 0.12 0.57 0.81 0.64 0.09 0.81 0.74 0.61 ]
[ 0.88 0.59 0.35 0.38 0.96 0.96 0.46 0.79 0.87 0.27 0.42 0.90 0.75 0.39 0.53 0.56 0.59 0.49 0.17 0.87 0.85 1.00 0.63 0.83 0.50 0.94 0.70 0.73 0.88 0.02 0.66 0.84 ]
[ 0.32 1.00 0.47 0.91 0.78 0.67 0.26 0.91 0.47 0.85 0.87 0.84 0.51 0.42 0.55 0.26 0.06 0.90 0.75 0.71 0.43 0.63 1.00 0.87 0.22 0.51 0.92 0.31 0.53 0.71 0.91 0.60 ]
[ 0.92 0.27 0.66 0.67 0.22 0.47 0.27 0.44 0.00 0.41 0.85 0.63 0.73 0.40 0.90 0.30 0.86 0.15 0.70 0.49 0.89 0.83 0.87 1.00 0.62 0.95 0.58 0.94 0.13 0.53 0.17 0.53 ]
[ 0.92 0.94 0.62 1.00 0.49 0.84 0.88 0.63 0.18 0.01 0.95 0.18 0.70 0.92 0.69 0.42 0.89 0.78 0.34 0.25 0.12 0.50 0.22 0.62 1.00 0.47 0.88 0.45 0.19 0.39 0.49 0.26 ]
[ 0.17 0.77 0.19 0.19 0.63 0.59 0.73 0.61 0.07 0.87 0.59 0.60 0.25 0.67 0.40 0.73 0.04 0.34 0.47 0.25 0.57 0.94 0.51 0.95 0.47 1.00 0.96 0.54 0.38 0.89 0.82 0.90 ]
[ 0.78 0.42 0.11 0.34 0.31 0.01 0.34 0.98 0.40 0.58 0.98 0.24 0.15 0.23 0.72 0.48 0.87 0.93 0.70 0.31 0.81 0.70 0.92 0.58 0.88 0.96 1.00 0.18 0.30 0.47 0.60 0.57 ]
[ 0.69 0.51 0.66 0.09 0.95 0.97 0.00 0.64 0.59 0.15 0.73 0.38 0.90 0.51 0.40 0.85 0.57 0.31 0.90 0.39 0.64 0.73 0.31 0.94 0.45 0.54 0.18 1.00 0.19 0.18 0.51 0.87 ]
[ 0.32 0.95 0.85 0.55 0.71 0.97 0.70 0.95 0.95 0.87 0.05 0.85 0.33 0.05 0.23 0.10 0.30 0.33 0.51 0.17 0.09 0.88 0.53 0.13 0.19 0.38 0.30 0.19 1.00 0.95 0.50 0.38 ]
[ 0.67 0.99 0.23 0.19 0.67 0.73 0.45 0.99 0.81 0.78 0.26 0.15 0.36 0.28 0.98 0.42 0.86 0.69 0.56 0.97 0.81 0.02 0.71 0.53 0.39 0.89 0.47 0.18 0.95 1.00 0.43 0.70 ]
[ 0.87 0.49 0.26 0.21 0.24 0.76 0.95 0.18 0.31 0.74 0.55 0.75 0.34 0.53 0.97 0.64 0.86 0.86 0.51 0.87 0.74 0.66 0.91 0.17 0.49 0.82 0.60 0.51 0.50 0.43 1.00 0.70 ]
[ 0.00 0.21 0.71 0.76 0.37 0.34 0.78 0.56 0.03 0.43 0.92 0.40 0.93 0.22 0.00 0.87 0.21 0.19 0.55 0.76 0.61 0.84 0.60 0.53 0.26 0.90 0.57 0.87 0.38 0.70 0.70 1.00 ]
];
