[ 0.75 0.33 0.99 0.95 0.33 0.93 0.19 0.98 0.57 0.71 1.00 0.94 0.46 0.47 0.91 0.65 0.50 0.37 0.32 0.70 0.87 0.10 0.45 0.34 0.77 0.42 0.99 0.91 0.97 0.03 0.41 0.94 0.64 0.84 0.18 0.00 0.56 0.94 0.62 0.93 0.35 0.80 0.81 0.94 ]
[ 0.62 0.27 0.47 0.57 0.15 0.08 0.88 0.74 0.86 0.34 0.94 1.00 0.89 0.16 0.60 0.92 0.93 0.89 0.33 0.68 0.81 0.75 0.31 0.27 0.90 0.96 0.92 0.18 0.18 0.38 0.62 0.16 0.90 0.70 0.09 0.44 0.78 0.25 0.63 0.95 0.91 0.89 0.62 0.94 ]
[ 0.04 0.93 0.44 0.61 0.23 0.32 0.42 0.47 0.37 0.19 0.46 0.89 1.00 0.06 0.00 0.01 0.06 0.18 0.18 0.33 0.85 0.50 0.79 0.82 0.89 0.60 0.89 0.39 0.87 1.00 0.46 0.68 0.37 0.52 0.91 0.99 0.54 0.64 0.20 0.96 0.95 0.18 0.76 0.50 ]
[ 0.88 0.58 0.53 0.39 0.86 0.56 0.28 0.40 0.41 0.81 0.47 0.16 0.06 1.00 0.92 0.85 0.53 0.96 0.54 0.88 0.19 0.42 0.57 0.86 0.67 0.18 0.26 0.89 0.48 0.00 0.89 0.73 0.69 0.63 0.74 0.36 0.19 0.51 0.69 0.39 0.91 0.78 0.48 0.94 ]
[ 0.29 0.88 0.65 0.16 0.42 0.33 0.53 0.85 0.67 0.91 0.91 0.60 0.00 0.92 1.00 0.84 0.98 0.60 0.00 0.44 0.97 0.23 0.18 0.66 0.93 0.49 0.66 0.08 0.79 0.57 0.65 0.21 0.45 0.84 0.48 0.44 0.24 0.80 0.53 0.77 0.19 0.27 0.91 0.78 ]
[ 0.71 0.91 0.51 0.49 0.62 0.86 0.41 0.26 0.68 0.91 0.65 0.92 0.01 0.85 0.84 1.00 0.97 0.91 0.18 0.77 0.76 0.59 0.89 0.94 0.56 0.54 0.27 0.88 0.73 0.16 0.18 0.52 0.45 0.91 0.07 0.99 0.25 0.60 0.94 0.97 0.66 0.00 0.79 0.92 ]
[ 0.19 0.86 0.46 0.73 0.92 0.46 0.18 0.95 0.57 0.58 0.50 0.93 0.06 0.53 0.98 0.97 1.00 0.59 0.02 0.76 0.42 0.51 0.00 0.84 0.44 0.86 0.51 0.83 0.81 0.39 0.22 0.94 0.26 0.93 0.78 0.13 0.69 0.51 0.67 0.77 0.45 0.11 0.00 0.63 ]
[ 0.53 0.95 0.97 0.44 0.99 0.54 0.88 0.01 0.95 0.39 0.37 0.89 0.18 0.96 0.60 0.91 0.59 1.00 0.59 0.46 0.54 0.77 0.34 1.00 0.93 0.24 0.26 0.01 0.48 0.25 0.82 0.05 0.97 0.00 0.49 0.64 0.56 0.50 0.30 0.87 0.76 0.34 0.84 0.34 ]
[ 0.78 0.05 0.54 0.28 0.40 0.24 0.66 0.00 0.36 0.88 0.32 0.33 0.18 0.54 0.00 0.18 0.02 0.59 1.00 0.73 0.20 0.93 0.65 0.46 0.63 0.29 0.82 1.00 0.60 0.81 0.80 0.16 0.73 0.50 0.00 0.90 0.52 0.17 0.74 0.91 0.85 0.69 0.32 0.90 ]
[ 0.36 0.90 0.15 0.45 0.49 0.84 0.24 0.31 0.98 0.57 0.70 0.68 0.33 0.88 0.44 0.77 0.76 0.46 0.73 1.00 0.29 0.60 0.48 0.84 0.34 0.27 0.92 0.77 0.95 0.99 0.30 0.19 0.54 0.00 0.71 0.81 0.56 0.02 0.82 0.52 0.76 0.97 0.99 0.24 ]
[ 0.72 0.87 0.69 0.37 0.16 0.11 0.91 0.27 0.77 0.75 0.87 0.81 0.85 0.19 0.97 0.76 0.42 0.54 0.20 0.29 1.00 0.99 0.74 0.34 0.07 0.62 0.01 0.63 0.84 0.08 0.73 0.96 0.22 0.76 0.73 0.88 0.69 0.16 0.54 0.96 0.68 0.90 0.98 0.75 ]
[ 0.24 0.17 0.99 0.21 0.37 0.31 0.94 0.61 0.51 0.40 0.10 0.75 0.50 0.42 0.23 0.59 0.51 0.77 0.93 0.60 0.99 1.00 0.37 0.83 0.74 0.49 0.35 0.74 0.88 0.20 0.28 0.00 0.67 0.90 0.87 0.87 0.55 0.12 0.48 0.06 0.18 0.22 0.90 0.73 ]
[ 0.55 0.98 0.20 0.57 0.21 0.75 0.64 0.56 0.30 0.40 0.45 0.31 0.79 0.57 0.18 0.89 0.00 0.34 0.65 0.48 0.74 0.37 1.00 0.62 0.93 0.18 0.89 0.85 0.55 0.89 0.86 0.13 0.31 0.21 0.82 0.11 0.87 0.51 0.53 0.71 0.97 0.96 0.59 0.94 ]
[ 0.97 0.65 0.57 0.96 0.76 0.99 0.20 0.91 0.26 0.37 0.34 0.27 0.82 0.86 0.66 0.94 0.84 1.00 0.46 0.84 0.34 0.83 0.62 1.00 0.77 0.99 0.62 0.98 0.87 0.08 0.21 0.23 0.35 0.87 0.73 0.99 0.69 0.66 0.92 0.57 0.29 0.35 0.34 0.97 ]
[ 0.63 0.23 0.35 0.46 0.17 0.63 0.00 0.30 0.73 0.66 0.77 0.90 0.89 0.67 0.93 0.56 0.44 0.93 0.63 0.34 0.07 0.74 0.93 0.77 1.00 0.87 0.47 0.52 0.44 0.88 0.61 0.49 0.00 0.33 0.45 0.65 0.89 0.83 0.38 0.18 0.59 0.58 0.77 0.48 ]
[ 0.95 0.16 0.45 0.36 0.63 0.95 0.69 0.31 0.76 0.92 0.42 0.96 0.60 0.18 0.49 0.54 0.86 0.24 0.29 0.27 0.62 0.49 0.18 0.99 0.87 1.00 0.00 0.04 0.97 0.96 0.54 0.53 0.75 0.54 0.47 0.56 0.00 0.46 0.92 0.96 0.16 0.98 0.00 0.25 ]
[ 0.34 0.72 0.92 0.38 0.99 0.37 0.57 0.71 0.71 0.36 0.99 0.92 0.89 0.26 0.66 0.27 0.51 0.26 0.82 0.92 0.01 0.35 0.89 0.62 0.47 0.00 1.00 0.96 0.67 0.89 0.77 0.25 0.84 0.40 0.37 0.63 0.91 0.64 0.63 0.49 0.60 0.91 0.68 0.66 ]
[ 0.39 0.99 0.23 0.94 0.89 0.36 0.16 0.50 0.50 0.09 0.91 0.18 0.39 0.89 0.08 0.88 0.83 0.01 1.00 0.77 0.63 0.74 0.85 0.98 0.52 0.04 0.96 1.00 0.56 0.97 0.67 0.30 0.95 0.28 0.52 0.88 0.73 0.91 0.95 0.72 0.74 0.22 0.36 0.00 ]
[ 0.24 0.93 0.79 0.78 0.84 0.43 0.79 0.33 0.60 0.69 0.97 0.18 0.87 0.48 0.79 0.73 0.81 0.48 0.60 0.95 0.84 0.88 0.55 0.87 0.44 0.97 0.67 0.56 1.00 0.77 0.78 0.52 0.56 0.50 0.92 0.64 0.96 0.25 0.16 0.37 0.48 0.67 0.65 0.82 ]
[ 0.10 0.27 0.37 0.91 0.41 0.95 0.39 0.91 0.52 0.81 0.03 0.38 1.00 0.00 0.57 0.16 0.39 0.25 0.81 0.99 0.08 0.20 0.89 0.08 0.88 0.96 0.89 0.97 0.77 1.00 0.46 0.38 0.31 0.03 0.24 0.83 0.03 0.77 0.35 0.93 0.62 0.88 0.47 0.97 ]
[ 0.32 0.68 0.68 0.38 0.18 0.07 0.14 0.83 0.89 0.44 0.41 0.62 0.46 0.89 0.65 0.18 0.22 0.82 0.80 0.30 0.73 0.28 0.86 0.21 0.61 0.54 0.77 0.67 0.78 0.46 1.00 0.35 0.96 0.58 0.20 0.14 0.61 0.82 0.94 0.89 0.15 0.93 0.98 0.90 ]
[ 0.89 0.27 0.44 0.78 0.57 0.86 0.36 0.48 0.67 0.57 0.94 0.16 0.68 0.73 0.21 0.52 0.94 0.05 0.16 0.19 0.96 0.00 0.13 0.23 0.49 0.53 0.25 0.30 0.52 0.38 0.35 1.00 0.40 0.17 0.85 0.80 0.17 0.69 0.42 0.41 0.96 0.61 0.46 0.75 ]
[ 0.20 0.02 0.94 0.64 0.50 0.50 0.41 0.95 0.93 0.78 0.64 0.90 0.37 0.69 0.45 0.45 0.26 0.97 0.73 0.54 0.22 0.67 0.31 0.35 0.00 0.75 0.84 0.95 0.56 0.31 0.96 0.40 1.00 0.52 0.83 0.09 0.50 0.25 0.22 0.73 0.76 0.55 0.83 0.38 ]
[ 0.47 0.45 0.05 0.38 0.19 0.27 0.57 0.23 0.78 0.85 0.84 0.70 0.52 0.63 0.84 0.91 0.93 0.00 0.50 0.00 0.76 0.90 0.21 0.87 0.33 0.54 0.40 0.28 0.50 0.03 0.58 0.17 0.52 1.00 0.85 0.00 0.61 0.22 0.89 0.25 0.51 0.89 0.19 0.15 ]
[ 0.41 0.23 0.95 0.17 0.93 0.59 0.57 0.85 0.17 0.00 0.18 0.09 0.91 0.74 0.48 0.07 0.78 0.49 0.00 0.71 0.73 0.87 0.82 0.73 0.45 0.47 0.37 0.52 0.92 0.24 0.20 0.85 0.83 0.85 1.00 0.37 0.44 0.84 0.80 0.89 0.81 0.13 0.32 0.06 ]
[ 0.91 0.26 0.89 0.02 0.65 0.00 0.89 0.58 0.24 0.59 0.00 0.44 0.99 0.36 0.44 0.99 0.13 0.64 0.90 0.81 0.88 0.87 0.11 0.99 0.65 0.56 0.63 0.88 0.64 0.83 0.14 0.80 0.09 0.00 0.37 1.00 0.25 0.77 0.90 0.98 0.30 0.74 0.50 0.05 ]
[ 0.63 0.01 0.71 0.01 0.98 0.41 0.16 0.48 0.42 0.72 0.56 0.78 0.54 0.19 0.24 0.25 0.69 0.56 0.52 0.56 0.69 0.55 0.87 0.69 0.89 0.00 0.91 0.73 0.96 0.03 0.61 0.17 0.50 0.61 0.44 0.25 1.00 0.50 0.29 0.80 0.37 0.18 0.77 0.96 ]
[ 0.68 0.99 0.43 0.20 0.15 0.18 0.62 0.45 0.63 0.97 0.94 0.25 0.64 0.51 0.80 0.60 0.51 0.50 0.17 0.02 0.16 0.12 0.51 0.66 0.83 0.46 0.64 0.91 0.25 0.77 0.82 0.69 0.25 0.22 0.84 0.77 0.50 1.00 0.09 0.15 0.88 0.98 0.84 0.99 ]
[ 0.38 0.94 0.69 0.38 0.24 0.96 0.65 0.16 0.88 0.17 0.62 0.63 0.20 0.69 0.53 0.94 0.67 0.30 0.74 0.82 0.54 0.48 0.53 0.92 0.38 0.92 0.63 0.95 0.16 0.35 0.94 0.42 0.22 0.89 0.80 0.90 0.29 0.09 1.00 0.90 0.84 0.42 0.80 0.79 ]
[ 0.30 0.18 0.17 0.69 0.95 0.26 0.24 0.15 0.92 0.36 0.93 0.95 0.96 0.39 0.77 0.97 0.77 0.87 0.91 0.52 0.96 0.06 0.71 0.57 0.18 0.96 0.49 0.72 0.37 0.93 0.89 0.41 0.73 0.25 0.89 0.98 0.80 0.15 0.90 1.00 0.18 0.66 0.44 0.42 ]
[ 0.90 0.53 1.00 0.65 0.72 0.42 0.46 0.69 0.90 0.39 0.35 0.91 0.95 0.91 0.19 0.66 0.45 0.76 0.85 0.76 0.68 0.18 0.97 0.29 0.59 0.16 0.60 0.74 0.48 0.62 0.15 0.96 0.76 0.51 0.81 0.30 0.37 0.88 0.84 0.18 1.00 0.99 0.18 0.93 ]
[ 0.55 0.20 0.89 0.00 0.92 0.46 0.19 0.77 0.45 0.22 0.80 0.89 0.18 0.78 0.27 0.00 0.11 0.34 0.69 0.97 0.90 0.22 0.96 0.35 0.58 0.98 0.91 0.22 0.67 0.88 0.93 0.61 0.55 0.89 0.13 0.74 0.18 0.98 0.42 0.66 0.99 1.00 0.04 0.33 ]
[ 0.26 0.89 0.90 0.18 0.19 0.86 0.46 0.17 0.32 0.25 0.81 0.62 0.76 0.48 0.91 0.79 0.00 0.84 0.32 0.99 0.98 0.90 0.59 0.34 0.77 0.00 0.68 0.36 0.65 0.47 0.98 0.46 0.83 0.19 0.32 0.50 0.77 0.84 0.80 0.44 0.18 0.04 1.00 0.93 ]
[ 0.24 0.64 0.35 0.93 0.68 0.81 0.29 0.59 0.31 0.92 0.94 0.94 0.50 0.94 0.78 0.92 0.63 0.34 0.90 0.24 0.75 0.73 0.94 0.97 0.48 0.25 0.66 0.00 0.82 0.97 0.90 0.75 0.38 0.15 0.06 0.05 0.96 0.99 0.79 0.42 0.93 0.33 0.93 1.00 ]
];
