[ 0.47 0.17 0.35 0.91 0.22 0.84 0.73 0.98 0.59 0.87 0.26 0.75 0.93 0.30 0.88 0.89 0.49 0.70 0.25 1.00 0.09 0.81 0.74 0.61 0.63 0.83 0.50 0.94 0.70 0.73 0.88 0.02 0.66 ]
[ 0.21 0.59 0.47 0.67 0.49 0.59 0.34 0.64 0.95 0.78 0.55 0.40 0.20 0.93 0.85 0.13 0.90 0.34 0.31 0.09 1.00 0.84 0.87 0.22 0.51 0.92 0.31 0.53 0.71 0.91 0.60 0.62 0.95 ]
[ 0.88 1.00 0.66 1.00 0.63 0.01 0.00 0.95 0.81 0.74 0.92 0.87 0.96 0.99 0.06 0.59 0.15 0.47 0.39 0.81 0.84 1.00 0.58 0.94 0.13 0.53 0.17 0.53 0.47 0.88 0.45 0.19 0.39 ]
[ 0.32 0.27 0.62 0.19 0.31 0.97 0.70 0.99 0.31 0.43 0.00 0.52 0.05 0.95 0.03 0.06 0.78 0.70 0.17 0.74 0.87 0.58 1.00 0.49 0.26 0.96 0.54 0.38 0.89 0.82 0.90 0.18 0.30 ]
[ 0.92 0.94 0.19 0.34 0.95 0.97 0.45 0.18 0.03 0.68 0.83 0.15 0.84 0.71 0.56 0.86 0.34 0.90 0.97 0.61 0.22 0.94 0.49 1.00 0.47 0.60 0.57 0.19 0.18 0.51 0.87 0.95 0.50 ]
[ 0.92 0.77 0.11 0.09 0.71 0.73 0.95 0.56 0.64 0.94 0.24 0.53 0.84 0.37 0.26 0.89 0.93 0.51 0.87 0.63 0.51 0.13 0.26 0.47 1.00 0.38 0.43 0.70 0.70 0.76 0.43 0.44 0.68 ]
[ 0.17 0.42 0.66 0.55 0.67 0.76 0.78 0.01 0.96 0.18 0.94 0.98 0.96 0.53 0.30 0.04 0.31 0.56 0.76 0.83 0.92 0.53 0.96 0.60 0.38 1.00 0.92 0.25 0.00 0.81 0.96 0.29 0.83 ]
[ 0.78 0.51 0.85 0.19 0.24 0.34 0.00 0.91 0.00 0.49 0.06 0.09 0.71 0.55 0.42 0.87 0.33 0.51 0.85 0.50 0.31 0.17 0.54 0.57 0.43 0.92 1.00 0.56 0.53 0.99 0.90 0.91 0.52 ]
[ 0.69 0.95 0.23 0.21 0.37 0.71 0.26 0.35 0.24 0.16 0.56 0.58 0.39 0.90 0.73 0.57 0.69 0.55 0.43 0.94 0.53 0.53 0.38 0.19 0.70 0.25 0.56 1.00 0.37 0.95 0.85 0.91 0.64 ]
[ 0.32 0.99 0.26 0.76 0.92 0.40 0.99 0.05 0.22 0.87 0.64 0.40 0.42 0.69 0.48 0.30 0.86 0.04 0.89 0.70 0.71 0.47 0.89 0.18 0.70 0.00 0.53 0.37 1.00 0.39 0.99 0.96 0.45 ]
[ 0.67 0.49 0.71 0.84 0.93 0.49 0.71 0.27 0.95 0.50 0.33 0.75 0.40 0.40 0.85 0.86 0.19 0.87 0.12 0.73 0.91 0.88 0.82 0.51 0.76 0.81 0.99 0.95 0.39 1.00 0.98 1.00 0.16 ]
[ 0.87 0.21 0.97 0.65 0.06 0.42 0.36 0.54 0.29 0.81 0.68 0.51 0.92 0.72 0.10 0.86 0.57 0.71 0.57 0.88 0.60 0.45 0.90 0.87 0.43 0.96 0.90 0.85 0.99 0.98 1.00 0.96 0.56 ]
[ 0.00 0.03 0.60 0.14 0.19 0.56 0.86 0.36 0.39 0.91 0.90 0.73 0.67 0.40 0.42 0.21 0.91 0.49 0.81 0.02 0.62 0.19 0.18 0.95 0.44 0.29 0.91 0.91 0.96 1.00 0.96 1.00 0.57 ]
[ 0.98 0.38 0.44 0.88 0.79 0.51 0.77 0.87 0.29 0.75 0.84 0.70 0.23 0.23 0.64 0.71 0.17 0.25 0.64 0.66 0.95 0.39 0.30 0.50 0.68 0.83 0.52 0.64 0.45 0.16 0.56 0.57 1.00 ]
];
