[ 0.26 0.72 0.44 0.54 0.00 0.85 0.22 0.69 0.79 0.27 0.86 0.81 0.57 0.19 0.62 0.92 1.00 0.67 0.43 0.35 0.66 0.30 0.80 1.00 0.00 0.90 0.50 0.17 0.64 0.58 0.20 0.63 0.98 0.92 0.44 0.54 0.84 0.41 0.56 0.56 0.41 0.87 0.47 0.00 0.26 0.49 0.36 ]
[ 0.33 0.90 0.40 0.44 0.97 0.48 0.84 0.21 0.81 0.24 0.52 0.22 0.48 0.42 0.71 0.64 0.67 1.00 0.93 0.52 0.47 0.85 0.90 0.66 0.52 0.55 0.78 0.59 0.49 0.32 0.40 0.13 0.34 0.49 0.25 0.44 0.12 0.90 0.55 0.87 0.41 0.40 0.21 0.19 0.92 0.28 0.65 ]
[ 0.51 0.27 0.11 0.26 0.66 0.87 0.86 0.74 0.00 0.24 0.62 0.00 0.36 0.51 0.36 0.34 0.43 0.93 1.00 0.00 1.00 0.28 0.90 0.32 0.85 0.89 0.31 0.89 0.95 0.95 0.22 0.85 0.88 0.98 0.17 0.67 0.18 0.97 0.23 0.33 0.11 0.33 0.72 0.34 0.54 0.46 0.10 ]
[ 0.90 0.38 0.01 0.87 0.83 0.39 0.79 0.62 0.40 0.05 0.94 0.39 0.22 0.36 0.97 0.97 0.35 0.52 0.00 1.00 0.00 0.72 0.87 0.71 0.56 0.20 0.60 0.59 0.62 0.91 0.16 0.84 0.95 0.87 0.80 0.34 0.21 0.26 0.81 0.89 0.68 0.18 0.70 0.87 0.91 0.95 0.99 ]
[ 0.49 0.86 0.92 0.98 0.98 0.74 0.00 0.99 0.34 0.82 0.43 0.27 0.77 0.94 0.34 0.23 0.66 0.47 1.00 0.00 1.00 0.16 0.23 0.30 0.78 0.45 0.55 0.30 0.52 0.19 0.76 0.95 0.00 0.70 0.30 0.96 0.00 0.42 0.73 0.70 0.53 0.52 0.61 0.93 0.58 0.42 0.91 ]
[ 0.97 0.86 0.36 0.89 0.96 0.80 0.68 0.62 0.34 0.18 0.36 0.98 0.56 0.08 0.69 0.17 0.30 0.85 0.28 0.72 0.16 1.00 0.69 0.80 0.75 0.68 0.97 0.45 0.20 0.63 0.36 0.93 0.29 0.99 0.01 0.98 0.30 0.96 0.35 0.93 0.66 0.90 0.10 0.65 0.15 0.60 0.95 ]
[ 0.43 1.00 0.04 0.93 0.86 0.29 0.23 0.91 0.90 0.67 0.83 0.33 0.92 0.88 0.35 0.93 0.80 0.90 0.90 0.87 0.23 0.69 1.00 0.25 0.91 0.57 0.57 0.85 0.61 0.97 0.45 0.20 0.57 0.63 0.25 0.86 0.71 0.47 0.78 0.89 0.61 0.73 0.37 0.20 0.94 0.79 0.27 ]
[ 0.52 0.75 0.73 0.27 0.74 0.32 0.60 0.90 0.80 0.83 0.03 0.70 0.58 0.92 0.98 0.22 1.00 0.66 0.32 0.71 0.30 0.80 0.25 1.00 0.26 0.42 0.18 0.32 0.95 0.12 0.49 0.96 0.18 0.60 0.95 0.63 0.81 0.55 0.04 0.75 0.93 0.34 0.69 0.95 0.55 0.55 0.88 ]
[ 0.36 0.91 0.42 0.77 0.86 0.21 0.20 0.23 0.80 0.31 0.34 0.99 0.59 0.77 0.24 0.72 0.00 0.52 0.85 0.56 0.78 0.75 0.91 0.26 1.00 0.73 0.64 0.25 0.92 0.20 0.21 0.89 0.43 0.97 0.39 0.46 0.94 0.54 0.57 0.30 0.46 0.22 0.52 0.92 0.86 0.90 0.88 ]
[ 0.30 0.19 0.28 0.97 0.58 0.18 0.20 0.33 0.20 0.19 0.58 0.20 0.76 0.90 0.47 0.80 0.90 0.55 0.89 0.20 0.45 0.68 0.57 0.42 0.73 1.00 0.08 0.96 0.93 0.41 0.27 0.86 0.23 0.75 0.50 0.41 0.46 0.97 0.76 0.51 0.86 0.73 0.90 0.00 0.74 0.32 0.97 ]
[ 0.03 0.29 0.67 0.19 0.29 0.68 0.50 0.72 0.20 0.70 0.87 0.84 0.30 0.20 0.83 0.59 0.50 0.78 0.31 0.60 0.55 0.97 0.57 0.18 0.64 0.08 1.00 0.75 0.05 0.41 0.17 0.85 0.24 0.47 0.69 0.56 0.44 0.73 0.60 0.75 0.84 0.33 0.36 0.34 0.95 0.89 0.38 ]
[ 0.93 0.96 0.94 0.89 0.96 0.54 0.68 0.60 0.15 0.38 0.24 0.68 0.99 0.79 0.07 0.39 0.17 0.59 0.89 0.59 0.30 0.45 0.85 0.32 0.25 0.96 0.75 1.00 0.37 0.87 0.52 0.25 0.80 0.44 0.93 0.87 0.51 0.48 0.78 0.99 0.41 0.73 0.04 0.98 0.94 0.90 0.83 ]
[ 0.44 0.28 0.66 0.78 0.39 0.51 0.28 0.90 0.00 0.36 0.56 0.00 0.83 0.62 0.98 0.77 0.64 0.49 0.95 0.62 0.52 0.20 0.61 0.95 0.92 0.93 0.05 0.37 1.00 0.32 0.16 0.95 0.64 0.80 0.99 0.85 0.87 1.00 0.47 0.26 0.82 0.33 0.20 0.64 0.19 0.99 0.94 ]
[ 0.50 0.47 0.69 0.61 0.75 0.77 0.39 0.97 0.16 0.63 0.52 0.34 0.86 0.75 0.19 0.79 0.58 0.32 0.95 0.91 0.19 0.63 0.97 0.12 0.20 0.41 0.41 0.87 0.32 1.00 0.94 0.41 0.93 0.81 0.21 0.91 0.60 0.76 0.55 0.73 0.91 0.06 0.80 0.85 0.53 0.92 0.78 ]
[ 0.56 0.44 0.84 0.92 0.80 0.85 0.93 0.40 0.24 0.45 0.21 0.98 0.95 0.34 0.50 0.61 0.20 0.40 0.22 0.16 0.76 0.36 0.45 0.49 0.21 0.27 0.17 0.52 0.16 0.94 1.00 0.65 0.23 0.99 0.68 0.04 0.29 0.00 0.69 0.15 0.39 0.16 0.73 0.46 0.17 0.25 0.82 ]
[ 0.66 0.57 0.37 0.35 0.71 0.65 0.51 0.65 0.23 0.60 0.23 0.18 0.69 0.33 0.66 0.90 0.63 0.13 0.85 0.84 0.95 0.93 0.20 0.96 0.89 0.86 0.85 0.25 0.95 0.41 0.65 1.00 0.79 0.21 0.89 0.90 0.54 0.71 0.77 0.95 0.88 0.97 0.46 0.95 0.36 0.99 0.99 ]
[ 0.20 0.16 0.64 0.91 0.40 0.47 0.49 0.96 0.96 0.44 0.05 0.83 0.19 0.47 0.00 0.60 0.98 0.34 0.88 0.95 0.00 0.29 0.57 0.18 0.43 0.23 0.24 0.80 0.64 0.93 0.23 0.79 1.00 0.44 0.33 0.43 0.12 0.24 0.44 0.86 0.50 0.29 0.65 0.77 0.56 0.01 0.36 ]
[ 0.82 0.34 0.23 0.40 0.56 0.49 0.93 0.49 0.96 0.42 0.70 0.80 0.85 0.30 0.52 0.20 0.92 0.49 0.98 0.87 0.70 0.99 0.63 0.60 0.97 0.75 0.47 0.44 0.80 0.81 0.99 0.21 0.44 1.00 0.38 0.79 0.19 0.32 0.96 0.26 0.90 0.68 0.77 0.02 0.99 0.86 0.83 ]
[ 0.04 0.61 0.47 0.61 0.30 0.92 0.79 0.31 0.17 0.89 0.70 0.34 0.53 0.00 0.56 0.05 0.44 0.25 0.17 0.80 0.30 0.01 0.25 0.95 0.39 0.50 0.69 0.93 0.99 0.21 0.68 0.89 0.33 0.38 1.00 0.43 0.93 0.17 0.79 0.58 0.87 0.91 0.13 0.95 0.27 0.00 0.19 ]
[ 0.98 0.88 0.86 0.99 0.27 0.76 0.87 0.88 0.16 0.57 0.76 0.84 0.73 0.51 0.59 0.97 0.54 0.44 0.67 0.34 0.96 0.98 0.86 0.63 0.46 0.41 0.56 0.87 0.85 0.91 0.04 0.90 0.43 0.79 0.43 1.00 0.11 0.56 0.29 0.53 0.72 0.43 0.00 0.35 0.93 0.43 0.68 ]
[ 0.08 0.71 0.11 0.86 0.40 0.84 0.27 0.80 0.43 0.68 0.82 0.23 0.39 0.81 0.24 0.98 0.84 0.12 0.18 0.21 0.00 0.30 0.71 0.81 0.94 0.46 0.44 0.51 0.87 0.60 0.29 0.54 0.12 0.19 0.93 0.11 1.00 0.48 0.44 0.98 0.50 0.59 0.34 0.67 0.84 0.91 1.00 ]
[ 0.96 0.91 0.62 0.07 0.32 0.52 0.94 0.21 0.27 0.61 0.61 0.72 0.64 0.63 0.56 0.26 0.41 0.90 0.97 0.26 0.42 0.96 0.47 0.55 0.54 0.97 0.73 0.48 1.00 0.76 0.00 0.71 0.24 0.32 0.17 0.56 0.48 1.00 0.32 0.54 0.79 0.45 0.97 0.26 0.73 0.41 0.87 ]
[ 0.24 0.21 0.16 0.71 1.00 0.97 0.31 1.00 0.67 0.99 0.89 0.28 0.24 0.87 0.44 0.35 0.56 0.55 0.23 0.81 0.73 0.35 0.78 0.04 0.57 0.76 0.60 0.78 0.47 0.55 0.69 0.77 0.44 0.96 0.79 0.29 0.44 0.32 1.00 0.04 0.17 0.54 0.41 0.99 0.42 0.65 0.42 ]
[ 0.23 0.30 0.00 0.19 0.32 0.17 0.93 0.78 0.97 0.15 0.56 0.26 0.17 0.17 0.44 0.38 0.56 0.87 0.33 0.89 0.70 0.93 0.89 0.75 0.30 0.51 0.75 0.99 0.26 0.73 0.15 0.95 0.86 0.26 0.58 0.53 0.98 0.54 0.04 1.00 0.26 0.42 0.59 0.69 0.91 0.39 0.38 ]
[ 0.74 0.88 0.43 0.69 0.19 0.31 0.78 0.20 0.53 0.33 0.44 0.41 0.56 0.61 0.51 0.76 0.41 0.41 0.11 0.68 0.53 0.66 0.61 0.93 0.46 0.86 0.84 0.41 0.82 0.91 0.39 0.88 0.50 0.90 0.87 0.72 0.50 0.79 0.17 0.26 1.00 0.61 0.04 0.22 0.47 0.41 0.31 ]
[ 0.19 0.57 0.06 0.52 0.67 0.31 0.55 0.06 0.00 0.00 0.43 0.25 0.86 0.66 0.72 0.96 0.87 0.40 0.33 0.18 0.52 0.90 0.73 0.34 0.22 0.73 0.33 0.73 0.33 0.06 0.16 0.97 0.29 0.68 0.91 0.43 0.59 0.45 0.54 0.42 0.61 1.00 0.04 0.91 0.30 0.83 0.25 ]
[ 0.87 0.41 0.79 0.18 0.92 0.60 0.90 0.76 0.65 0.18 0.91 0.63 0.71 0.42 0.14 0.25 0.47 0.21 0.72 0.70 0.61 0.10 0.37 0.69 0.52 0.90 0.36 0.04 0.20 0.80 0.73 0.46 0.65 0.77 0.13 0.00 0.34 0.97 0.41 0.59 0.04 0.04 1.00 0.68 0.42 0.51 0.82 ]
[ 0.37 0.27 0.90 0.85 0.32 0.34 0.67 0.42 0.47 0.69 0.55 0.95 0.99 0.91 0.50 0.59 0.00 0.19 0.34 0.87 0.93 0.65 0.20 0.95 0.92 0.00 0.34 0.98 0.64 0.85 0.46 0.95 0.77 0.02 0.95 0.35 0.67 0.26 0.99 0.69 0.22 0.91 0.68 1.00 0.31 0.44 0.36 ]
[ 0.18 0.12 0.68 0.97 0.76 0.08 0.86 0.81 0.89 0.10 0.89 0.65 0.05 0.01 0.56 0.84 0.26 0.92 0.54 0.91 0.58 0.15 0.94 0.55 0.86 0.74 0.95 0.94 0.19 0.53 0.17 0.36 0.56 0.99 0.27 0.93 0.84 0.73 0.42 0.91 0.47 0.30 0.42 0.31 1.00 0.90 0.85 ]
[ 0.23 0.45 0.69 0.41 0.00 0.74 0.81 0.47 0.96 0.44 0.88 0.17 0.51 0.72 0.19 1.00 0.49 0.28 0.46 0.95 0.42 0.60 0.79 0.55 0.90 0.32 0.89 0.90 0.99 0.92 0.25 0.99 0.01 0.86 0.00 0.43 0.91 0.41 0.65 0.39 0.41 0.83 0.51 0.44 0.90 1.00 0.25 ]
[ 0.00 0.90 0.53 0.97 0.71 0.11 0.48 0.92 0.95 0.59 0.65 0.82 0.95 0.33 0.35 0.66 0.36 0.65 0.10 0.99 0.91 0.95 0.27 0.88 0.88 0.97 0.38 0.83 0.94 0.78 0.82 0.99 0.36 0.83 0.19 0.68 1.00 0.87 0.42 0.38 0.31 0.25 0.82 0.36 0.85 0.25 1.00 ]
];
