[ 0.61 0.52 0.71 0.30 0.98 0.02 0.37 0.29 0.92 0.25 1.00 0.47 0.00 0.35 0.74 0.67 0.97 0.71 0.91 0.96 0.68 0.40 0.20 0.35 0.16 0.48 0.18 0.55 0.98 0.54 0.30 0.35 0.68 0.41 0.20 0.57 0.81 0.81 0.51 0.76 0.98 0.60 0.48 0.81 0.19 0.84 0.97 0.33 0.41 0.63 0.96 0.34 0.04 0.62 0.46 0.89 0.77 0.32 0.24 0.61 0.64 0.92 0.80 0.21 0.39 0.66 0.19 0.96 0.30 0.86 0.82 0.84 ]
[ 0.55 0.59 0.19 0.82 0.00 0.41 0.40 0.39 0.55 0.92 0.47 1.00 0.34 0.29 0.91 0.56 0.50 0.61 0.69 0.65 0.51 0.88 0.00 0.81 0.61 0.81 0.38 0.36 0.94 0.41 0.83 0.55 0.96 0.11 0.42 0.77 0.16 0.64 0.69 0.00 0.91 0.44 0.39 0.86 0.35 0.77 0.54 0.73 0.75 0.45 0.73 0.78 0.82 0.86 0.15 0.16 0.64 0.28 0.25 0.53 0.97 0.63 0.53 0.86 0.14 0.91 0.44 0.24 0.53 0.99 0.00 0.79 ]
[ 0.53 0.22 0.64 0.84 0.88 0.28 0.16 0.98 0.06 0.34 0.00 0.34 1.00 0.53 0.87 0.48 0.23 0.30 0.55 0.21 0.95 0.86 0.98 0.93 0.15 0.96 0.71 0.15 0.33 0.00 0.45 0.51 0.32 0.17 0.85 0.98 0.33 0.87 0.30 0.98 0.82 0.24 0.56 0.22 0.62 0.39 0.69 0.78 0.89 0.71 0.53 0.40 0.16 0.88 0.07 0.09 0.98 0.51 0.26 0.67 0.33 0.79 0.99 0.19 0.68 0.93 0.52 0.87 0.40 0.69 0.39 0.89 ]
[ 0.60 0.83 0.45 0.68 0.61 0.02 0.38 0.82 0.34 0.30 0.35 0.29 0.53 1.00 0.02 0.61 0.91 0.25 0.50 0.62 0.77 0.64 0.56 0.80 0.01 0.61 0.37 0.35 0.72 0.98 0.04 0.89 0.81 0.35 0.48 0.78 0.95 0.84 0.72 0.91 0.82 0.00 0.89 0.61 0.33 0.73 0.92 0.49 0.36 0.43 0.91 0.59 0.18 0.64 0.18 0.10 0.94 0.90 0.25 0.12 0.27 0.58 0.15 0.68 0.85 0.16 0.93 0.21 0.75 0.74 0.91 0.75 ]
[ 0.88 0.70 0.40 0.94 0.68 0.95 0.23 0.66 0.83 0.39 0.74 0.91 0.87 0.02 1.00 0.31 0.98 0.27 0.96 0.35 1.00 0.49 0.54 0.76 0.98 0.30 0.99 0.66 0.84 0.36 0.24 0.16 0.77 0.60 0.51 0.18 0.30 0.88 0.85 0.40 0.07 0.70 0.61 0.28 0.10 0.00 0.97 0.92 0.78 0.44 0.28 0.56 0.54 0.98 0.87 0.63 0.44 0.67 0.79 0.85 0.80 0.85 0.49 0.49 0.27 0.00 0.40 0.08 0.72 0.99 0.11 0.74 ]
[ 0.44 0.43 0.91 0.59 0.37 0.77 0.89 0.16 0.33 0.33 0.67 0.56 0.48 0.61 0.31 1.00 0.34 0.47 0.85 0.21 0.60 0.55 0.86 0.75 0.33 0.90 0.15 0.95 0.08 0.82 0.91 0.15 0.78 0.68 0.26 0.48 0.43 0.26 0.24 0.77 0.69 0.15 0.24 0.56 0.28 0.81 0.05 0.89 0.40 0.87 0.75 0.90 0.63 0.96 0.49 0.29 0.74 0.00 0.98 0.95 0.26 0.09 0.92 0.67 0.13 0.40 0.93 0.16 0.25 0.85 0.38 0.77 ]
[ 0.36 0.34 0.21 0.72 0.65 0.19 0.69 0.58 0.43 0.99 0.97 0.50 0.23 0.91 0.98 0.34 1.00 0.46 0.25 0.51 0.39 0.39 0.28 0.74 0.63 0.74 0.48 0.96 0.94 0.30 0.93 0.75 0.64 0.36 0.57 0.94 0.50 0.79 0.97 0.58 0.07 0.52 0.72 0.46 0.23 0.16 0.28 0.16 0.88 0.65 0.24 0.96 0.89 0.36 0.43 0.93 0.40 0.12 0.36 0.55 0.79 0.85 0.48 0.84 0.90 0.46 0.85 0.86 0.72 0.39 0.37 0.21 ]
[ 0.48 0.69 0.60 0.96 0.57 0.67 0.65 0.72 0.38 0.66 0.71 0.61 0.30 0.25 0.27 0.47 0.46 1.00 0.81 0.98 0.28 0.60 0.16 0.30 0.65 0.87 0.98 0.52 0.68 0.88 0.85 0.71 0.45 1.00 0.97 0.58 0.33 0.22 0.80 0.68 0.50 0.64 0.50 0.36 0.74 0.98 0.19 0.88 0.51 0.75 0.18 0.90 0.66 0.55 0.65 0.36 0.89 0.57 0.30 0.84 0.44 0.99 0.47 0.81 0.37 0.36 0.34 0.95 0.16 0.95 0.53 0.81 ]
[ 0.58 0.34 0.66 0.63 0.10 0.37 0.89 0.38 0.51 0.18 0.91 0.69 0.55 0.50 0.96 0.85 0.25 0.81 1.00 0.80 0.51 0.47 0.30 0.90 0.90 0.00 0.34 0.56 0.18 0.39 0.56 0.61 0.84 0.40 0.38 0.75 0.95 0.39 0.30 0.48 0.51 0.94 0.16 0.98 0.25 0.64 0.52 0.52 0.96 0.91 0.16 0.84 0.35 0.72 0.51 0.13 0.53 0.73 0.96 0.58 0.13 0.55 0.63 0.79 1.00 0.53 0.59 0.62 0.74 0.91 0.70 0.43 ]
[ 0.43 0.48 0.46 0.34 0.53 0.78 0.13 0.81 0.03 0.62 0.96 0.65 0.21 0.62 0.35 0.21 0.51 0.98 0.80 1.00 0.71 0.77 0.79 0.39 0.72 0.29 0.15 0.81 0.47 0.15 0.85 0.85 0.87 0.31 0.66 0.32 0.76 0.17 0.59 0.56 0.35 0.80 0.78 0.89 0.41 0.92 0.99 0.04 0.98 0.83 0.22 0.24 0.39 0.68 0.53 0.44 0.87 0.23 0.88 0.42 0.60 1.00 0.89 0.56 0.63 0.96 0.69 0.11 0.18 0.86 0.75 0.06 ]
[ 0.73 0.23 0.42 0.26 0.66 0.99 0.92 0.43 0.74 0.45 0.68 0.51 0.95 0.77 1.00 0.60 0.39 0.28 0.51 0.71 1.00 0.74 0.85 0.13 0.61 0.30 0.20 0.98 0.59 0.30 0.37 0.89 0.86 0.57 0.75 0.63 0.46 0.69 0.57 0.98 0.88 0.98 0.53 0.99 0.31 0.08 0.24 0.94 0.86 0.45 0.62 0.03 0.60 0.54 0.59 0.49 0.47 0.86 0.20 0.28 0.28 0.74 0.93 0.00 0.54 0.83 0.40 0.60 0.66 0.86 0.31 0.46 ]
[ 0.79 0.65 0.97 0.33 0.79 0.16 0.15 0.86 0.93 0.36 0.40 0.88 0.86 0.64 0.49 0.55 0.39 0.60 0.47 0.77 0.74 1.00 0.79 0.87 0.76 0.23 0.39 0.85 0.39 0.30 0.26 0.41 0.33 1.00 0.59 0.81 0.48 0.98 0.29 0.36 0.29 0.31 0.33 0.30 0.64 0.50 0.57 0.41 0.78 0.00 0.93 0.69 0.76 0.89 0.00 0.89 0.45 0.83 0.86 0.77 0.73 0.62 0.92 0.28 0.87 0.27 0.57 0.67 0.92 0.03 0.34 0.32 ]
[ 0.62 0.56 0.32 0.58 0.83 0.84 0.85 0.66 0.94 0.91 0.20 0.00 0.98 0.56 0.54 0.86 0.28 0.16 0.30 0.79 0.85 0.79 1.00 0.85 0.40 0.47 0.34 0.73 0.57 0.30 0.22 0.76 0.90 0.73 0.92 0.99 0.99 0.27 0.79 0.91 0.88 0.93 0.27 0.44 0.59 0.54 0.00 0.45 0.89 0.97 0.39 0.36 0.18 0.29 0.46 0.63 0.55 0.88 0.11 0.47 0.28 0.19 0.86 0.78 0.91 0.64 0.12 0.67 0.51 0.22 0.36 0.62 ]
[ 0.94 0.44 0.36 0.27 0.25 0.33 0.08 0.99 0.66 0.72 0.35 0.81 0.93 0.80 0.76 0.75 0.74 0.30 0.90 0.39 0.13 0.87 0.85 1.00 0.40 0.79 0.47 0.57 0.48 0.93 0.87 0.79 0.26 0.31 0.58 0.72 0.78 0.00 0.29 0.67 0.19 0.84 0.86 0.67 0.72 0.35 0.51 0.35 0.77 0.32 0.51 0.61 0.23 0.96 0.34 0.42 0.23 0.92 0.65 0.80 0.94 0.99 0.81 0.24 0.21 0.62 0.55 0.89 0.79 0.85 0.45 0.51 ]
[ 0.63 0.92 0.82 0.77 0.19 0.41 0.94 0.40 0.55 0.51 0.16 0.61 0.15 0.01 0.98 0.33 0.63 0.65 0.90 0.72 0.61 0.76 0.40 0.40 1.00 0.68 0.66 0.28 0.16 0.98 0.78 0.22 0.59 0.42 0.70 0.60 0.61 1.00 0.67 0.18 0.82 0.31 0.34 0.39 0.29 0.29 0.17 0.23 0.92 0.82 0.48 0.38 0.26 0.97 0.96 0.87 0.60 0.41 0.71 0.29 0.80 0.01 0.96 0.94 0.65 0.07 0.28 0.90 0.24 0.32 0.82 0.52 ]
[ 0.73 0.44 0.42 0.19 0.87 0.96 0.88 0.59 0.35 0.36 0.48 0.81 0.96 0.61 0.30 0.90 0.74 0.87 0.00 0.29 0.30 0.23 0.47 0.79 0.68 1.00 0.69 0.52 0.94 0.54 0.87 0.51 0.75 0.18 0.65 0.68 0.40 0.32 0.88 0.39 0.77 0.68 0.70 0.00 0.43 0.97 0.25 0.47 0.89 0.85 0.36 0.58 0.99 0.47 0.78 0.96 0.98 0.73 0.45 0.66 0.24 0.69 0.99 0.88 0.97 0.23 0.12 0.37 0.45 0.22 0.65 0.42 ]
[ 0.09 0.48 0.45 0.88 0.69 0.48 0.35 0.98 0.94 0.70 0.18 0.38 0.71 0.37 0.99 0.15 0.48 0.98 0.34 0.15 0.20 0.39 0.34 0.47 0.66 0.69 1.00 0.50 0.86 0.38 0.96 0.04 0.64 0.66 0.92 0.28 0.60 0.05 0.95 0.66 0.22 0.60 0.16 0.65 0.19 0.74 0.49 0.90 0.41 0.87 0.55 0.92 0.34 0.27 0.54 0.66 0.41 0.02 0.51 0.46 0.79 0.41 0.44 0.56 0.64 0.09 0.17 0.00 0.90 0.61 0.46 0.84 ]
[ 0.15 0.81 0.00 0.95 0.88 0.69 0.14 0.73 0.09 0.92 0.55 0.36 0.15 0.35 0.66 0.95 0.96 0.52 0.56 0.81 0.98 0.85 0.73 0.57 0.28 0.52 0.50 1.00 0.99 0.34 0.13 0.69 0.20 0.97 0.48 0.86 0.27 0.77 0.71 0.99 0.98 0.90 0.27 0.91 0.95 0.45 0.97 0.15 0.34 0.40 0.89 0.85 0.29 0.78 0.98 0.21 0.45 0.15 0.69 0.64 0.20 0.17 0.39 0.71 0.74 0.40 0.56 0.55 0.32 0.69 0.37 0.71 ]
[ 0.24 0.37 0.24 0.18 0.44 0.76 0.49 0.45 0.97 0.69 0.98 0.94 0.33 0.72 0.84 0.08 0.94 0.68 0.18 0.47 0.59 0.39 0.57 0.48 0.16 0.94 0.86 0.99 1.00 0.35 0.38 0.29 0.52 0.88 0.27 0.09 0.02 0.25 0.53 0.98 0.07 0.09 0.28 0.87 0.61 0.97 0.49 0.17 0.34 0.09 0.65 0.91 0.56 0.39 0.35 0.89 0.35 0.86 0.68 0.48 0.57 0.43 0.34 0.22 0.58 0.15 0.73 0.28 0.85 0.93 0.96 0.21 ]
[ 0.97 0.68 0.99 0.93 0.56 0.76 0.04 0.24 0.82 0.53 0.54 0.41 0.00 0.98 0.36 0.82 0.30 0.88 0.39 0.15 0.30 0.30 0.30 0.93 0.98 0.54 0.38 0.34 0.35 1.00 0.10 0.00 0.44 0.83 0.99 0.31 0.93 0.22 0.33 0.86 0.57 0.97 0.51 0.55 0.85 0.98 0.17 0.08 0.00 0.50 0.37 0.50 0.33 0.45 0.91 0.91 0.71 0.69 0.44 0.00 0.31 0.68 0.24 0.27 0.31 0.26 0.13 0.15 0.27 0.58 0.93 0.78 ]
[ 0.05 0.66 0.96 0.60 0.02 0.30 0.86 0.38 0.71 0.97 0.30 0.83 0.45 0.04 0.24 0.91 0.93 0.85 0.56 0.85 0.37 0.26 0.22 0.87 0.78 0.87 0.96 0.13 0.38 0.10 1.00 0.58 0.38 0.03 0.73 0.50 0.55 0.42 0.89 0.89 0.23 0.41 0.38 0.33 0.18 0.67 0.40 0.68 0.71 0.86 0.92 0.31 0.30 0.96 0.03 0.83 0.28 0.47 0.98 0.07 0.52 0.75 0.93 0.54 0.56 0.85 0.88 0.19 0.73 0.79 0.75 0.42 ]
[ 0.02 0.99 0.42 0.20 0.79 0.63 0.10 0.13 0.37 0.74 0.35 0.55 0.51 0.89 0.16 0.15 0.75 0.71 0.61 0.85 0.89 0.41 0.76 0.79 0.22 0.51 0.04 0.69 0.29 0.00 0.58 1.00 0.31 0.93 0.55 0.16 0.88 0.84 0.48 0.25 0.27 0.86 0.40 0.70 0.82 0.31 0.94 0.76 0.48 0.79 0.46 0.25 0.70 0.44 0.62 0.00 0.73 0.91 0.86 0.85 0.93 0.48 0.37 0.88 0.09 0.86 0.86 0.96 0.69 0.24 0.54 0.39 ]
[ 1.00 0.30 0.66 0.94 0.19 0.93 0.89 0.83 0.54 0.55 0.68 0.96 0.32 0.81 0.77 0.78 0.64 0.45 0.84 0.87 0.86 0.33 0.90 0.26 0.59 0.75 0.64 0.20 0.52 0.44 0.38 0.31 1.00 0.06 0.94 0.90 0.61 0.37 0.27 0.31 0.68 0.84 0.44 0.70 0.69 0.01 0.55 0.55 0.16 0.62 0.06 0.88 0.12 0.88 0.87 0.90 0.29 0.64 0.44 0.12 0.17 0.20 0.49 0.51 0.57 0.24 0.27 0.15 0.98 1.00 0.55 0.00 ]
[ 0.79 0.00 0.61 0.99 0.62 0.53 0.51 0.86 0.17 0.00 0.41 0.11 0.17 0.35 0.60 0.68 0.36 1.00 0.40 0.31 0.57 1.00 0.73 0.31 0.42 0.18 0.66 0.97 0.88 0.83 0.03 0.93 0.06 1.00 0.69 0.58 0.22 0.28 0.24 0.00 0.66 0.85 0.86 0.44 0.54 0.50 0.94 0.96 0.43 0.78 0.21 0.99 0.63 0.95 0.27 0.37 0.31 0.02 0.78 0.45 0.02 0.17 0.37 0.89 0.21 0.16 0.67 0.61 0.84 0.42 0.15 0.19 ]
[ 0.85 0.49 0.45 0.31 0.73 0.22 0.84 0.65 0.96 0.94 0.20 0.42 0.85 0.48 0.51 0.26 0.57 0.97 0.38 0.66 0.75 0.59 0.92 0.58 0.70 0.65 0.92 0.48 0.27 0.99 0.73 0.55 0.94 0.69 1.00 0.85 0.92 0.66 0.41 0.13 0.54 0.27 0.76 0.83 0.46 0.98 0.24 0.43 0.84 0.30 0.59 0.31 0.02 0.18 0.72 0.77 0.01 0.29 0.38 0.73 0.98 0.98 0.50 0.93 0.62 0.93 0.82 0.44 0.11 0.54 0.90 0.99 ]
[ 0.47 0.93 0.52 0.67 0.86 0.97 0.99 0.74 0.62 0.58 0.57 0.77 0.98 0.78 0.18 0.48 0.94 0.58 0.75 0.32 0.63 0.81 0.99 0.72 0.60 0.68 0.28 0.86 0.09 0.31 0.50 0.16 0.90 0.58 0.85 1.00 0.51 0.90 0.89 0.59 0.75 0.26 0.70 0.74 0.44 0.68 0.23 0.46 0.95 0.00 0.15 0.89 1.00 0.71 0.95 0.07 0.74 0.00 0.29 0.95 0.30 0.44 0.46 0.24 0.40 0.77 0.97 0.84 0.37 0.15 0.86 0.58 ]
[ 0.81 0.24 0.79 0.76 0.05 0.39 0.17 0.68 0.94 0.91 0.81 0.16 0.33 0.95 0.30 0.43 0.50 0.33 0.95 0.76 0.46 0.48 0.99 0.78 0.61 0.40 0.60 0.27 0.02 0.93 0.55 0.88 0.61 0.22 0.92 0.51 1.00 0.73 0.74 0.39 0.21 0.55 0.51 0.01 0.79 0.91 0.87 0.25 0.06 0.92 0.94 0.43 0.42 0.73 0.34 0.65 0.67 0.75 0.37 0.99 0.35 0.17 0.53 0.51 0.60 0.40 0.51 0.50 1.00 0.23 0.51 0.58 ]
[ 0.31 0.97 0.91 0.71 0.40 0.92 0.86 0.37 0.52 0.33 0.81 0.64 0.87 0.84 0.88 0.26 0.79 0.22 0.39 0.17 0.69 0.98 0.27 0.00 1.00 0.32 0.05 0.77 0.25 0.22 0.42 0.84 0.37 0.28 0.66 0.90 0.73 1.00 0.87 0.50 0.90 0.62 0.96 0.19 0.76 0.32 0.54 0.69 0.91 0.99 0.56 0.58 0.98 0.39 0.11 0.46 0.33 0.65 0.71 0.90 0.38 0.27 0.26 0.81 0.29 0.98 0.82 0.78 0.67 0.74 0.01 0.51 ]
[ 0.61 0.16 0.79 0.83 0.79 0.94 0.58 0.19 0.59 0.81 0.51 0.69 0.30 0.72 0.85 0.24 0.97 0.80 0.30 0.59 0.57 0.29 0.79 0.29 0.67 0.88 0.95 0.71 0.53 0.33 0.89 0.48 0.27 0.24 0.41 0.89 0.74 0.87 1.00 0.42 0.41 0.84 0.74 0.31 0.88 0.82 0.79 0.17 0.83 0.90 0.97 0.23 0.51 0.99 0.54 0.32 0.93 0.94 0.54 0.41 0.31 0.77 0.50 0.82 0.78 0.38 0.38 0.42 0.60 0.76 0.10 0.24 ]
[ 0.36 0.23 0.87 0.54 0.80 0.38 0.89 0.48 0.12 0.32 0.76 0.00 0.98 0.91 0.40 0.77 0.58 0.68 0.48 0.56 0.98 0.36 0.91 0.67 0.18 0.39 0.66 0.99 0.98 0.86 0.89 0.25 0.31 0.00 0.13 0.59 0.39 0.50 0.42 1.00 0.40 0.52 0.56 0.62 0.31 0.82 0.49 0.29 0.88 0.23 0.82 0.40 0.98 0.71 0.39 0.95 0.95 0.09 0.86 0.20 0.98 0.86 0.81 0.64 0.96 0.61 0.05 0.36 0.32 0.60 0.01 0.00 ]
[ 0.63 0.78 0.66 0.31 0.43 0.88 0.34 0.78 0.33 0.98 0.98 0.91 0.82 0.82 0.07 0.69 0.07 0.50 0.51 0.35 0.88 0.29 0.88 0.19 0.82 0.77 0.22 0.98 0.07 0.57 0.23 0.27 0.68 0.66 0.54 0.75 0.21 0.90 0.41 0.40 1.00 0.65 0.13 0.94 0.18 0.85 0.99 0.15 0.17 0.78 0.00 0.58 0.97 0.36 0.16 0.59 0.33 0.96 0.72 0.38 0.97 1.00 0.24 0.74 0.90 0.28 0.69 0.41 0.65 0.94 0.94 0.97 ]
[ 0.96 0.42 0.47 0.81 0.62 0.48 0.24 0.83 0.03 0.64 0.60 0.44 0.24 0.00 0.70 0.15 0.52 0.64 0.94 0.80 0.98 0.31 0.93 0.84 0.31 0.68 0.60 0.90 0.09 0.97 0.41 0.86 0.84 0.85 0.27 0.26 0.55 0.62 0.84 0.52 0.65 1.00 0.26 0.58 0.35 0.82 0.25 0.77 0.35 0.00 0.60 0.96 0.48 0.03 0.33 0.60 0.50 0.97 0.19 1.00 0.09 0.83 0.18 0.55 0.88 0.76 0.85 0.96 0.26 0.07 0.98 0.43 ]
[ 0.53 0.93 0.77 0.10 0.73 0.26 0.86 0.21 0.81 0.16 0.48 0.39 0.56 0.89 0.61 0.24 0.72 0.50 0.16 0.78 0.53 0.33 0.27 0.86 0.34 0.70 0.16 0.27 0.28 0.51 0.38 0.40 0.44 0.86 0.76 0.70 0.51 0.96 0.74 0.56 0.13 0.26 1.00 0.86 0.64 0.52 0.23 0.94 0.74 0.16 0.80 0.64 0.86 0.91 0.27 0.69 0.83 0.72 0.99 0.54 0.81 0.37 0.89 0.25 0.49 0.50 0.43 0.30 0.78 0.38 0.28 0.96 ]
[ 0.45 0.73 0.81 0.53 0.25 0.39 0.75 0.53 0.98 0.84 0.81 0.86 0.22 0.61 0.28 0.56 0.46 0.36 0.98 0.89 0.99 0.30 0.44 0.67 0.39 0.00 0.65 0.91 0.87 0.55 0.33 0.70 0.70 0.44 0.83 0.74 0.01 0.19 0.31 0.62 0.94 0.58 0.86 1.00 0.64 0.52 0.43 0.35 0.88 0.06 0.49 0.93 0.65 0.42 0.88 0.94 0.31 0.29 0.18 0.56 0.49 0.91 0.30 0.88 0.34 0.73 0.88 0.96 0.41 0.17 0.96 0.64 ]
[ 0.39 0.96 0.05 0.22 0.97 0.02 0.90 0.56 0.68 0.32 0.19 0.35 0.62 0.33 0.10 0.28 0.23 0.74 0.25 0.41 0.31 0.64 0.59 0.72 0.29 0.43 0.19 0.95 0.61 0.85 0.18 0.82 0.69 0.54 0.46 0.44 0.79 0.76 0.88 0.31 0.18 0.35 0.64 0.64 1.00 0.09 0.41 0.98 0.42 0.01 0.03 0.47 0.62 0.20 0.49 0.75 0.25 0.38 0.71 0.72 0.16 0.44 0.00 0.32 0.92 0.44 0.69 0.61 0.41 0.33 0.76 0.65 ]
[ 0.16 0.75 0.17 0.39 0.91 0.93 0.25 0.61 0.52 0.59 0.84 0.77 0.39 0.73 0.00 0.81 0.16 0.98 0.64 0.92 0.08 0.50 0.54 0.35 0.29 0.97 0.74 0.45 0.97 0.98 0.67 0.31 0.01 0.50 0.98 0.68 0.91 0.32 0.82 0.82 0.85 0.82 0.52 0.52 0.09 1.00 0.61 0.45 0.66 0.95 0.50 0.61 0.22 0.00 0.53 0.95 0.88 0.91 0.00 0.00 0.63 0.10 0.36 0.74 0.28 0.83 0.37 0.27 0.75 0.07 0.36 0.30 ]
